team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8696,2022-08-14T15:30:00.000Z,161771,Villarreal B,0,2,True,45,8,5,2,2,257 (72%),21,1,55,10,5,1,0,346 (78%),18,3,,1,2,0,4,4,,3,2,0,3,7,355,127,130,21 (36%),0 (0%),21,1,441,222,124,25 (46%),0 (0%),23,0,,18,13,2,11,3,,13,8,2,20,5,,51,43 (50%),8 (40%),8 (73%),,55,43 (50%),12 (60%),9 (50%),,0,0,,0,0,,
8696,2022-08-20T20:00:00.000Z,7878,Granada,0,2,False,42,5,1,0,0,192 (65%),16,6,58,10,3,4,2,306 (76%),17,5,,2,2,1,2,3,,7,0,0,9,1,295,124,68,22 (30%),3 (23%),25,5,404,183,123,33 (43%),7 (47%),27,2,,14,8,0,13,1,,25,6,2,18,1,,49,36 (46%),13 (38%),6 (35%),,64,43 (54%),21 (62%),4 (36%),,1,0,,2,0,,
8696,2022-08-28T15:30:00.000Z,8670,Real Oviedo,0,1,True,50,11,2,1,1,245 (74%),8,7,50,8,4,5,4,248 (72%),24,5,,5,4,1,7,4,,4,0,1,7,1,333,94,151,25 (39%),4 (17%),22,1,344,136,112,20 (34%),4 (27%),19,1,,17,8,0,14,3,,21,9,4,23,2,,60,47 (58%),13 (35%),8 (42%),,58,34 (42%),24 (65%),5 (56%),,3,0,,3,0,,
8696,2022-09-03T19:00:00.000Z,9867,Tenerife,0,1,False,50,10,2,0,0,287 (79%),17,4,50,11,4,4,3,292 (79%),19,2,,4,4,0,5,5,,4,3,0,8,3,363,152,135,36 (56%),5 (24%),25,0,371,147,145,29 (46%),4 (40%),15,5,,14,10,3,10,3,,21,7,4,15,2,,60,44 (49%),16 (50%),11 (55%),,62,46 (51%),16 (50%),9 (50%),,4,1,,2,0,,
8696,2022-09-11T12:00:00.000Z,9869,Sporting Gijon,2,0,False,34,12,5,4,2,132 (62%),16,4,66,15,6,2,2,329 (80%),14,4,,6,1,0,7,5,,7,2,1,8,7,214,54,78,26 (40%),6 (35%),22,2,411,187,142,26 (55%),6 (25%),20,2,,15,16,3,16,5,,16,9,1,6,3,,51,34 (49%),17 (57%),4 (36%),,49,36 (51%),13 (43%),4 (67%),,5,0,,4,0,15.0,21.0
8696,2022-09-18T16:30:00.000Z,8306,Las Palmas,0,0,True,19,12,2,1,1,112 (69%),11,5,81,26,3,1,1,658 (90%),10,7,,4,6,1,7,5,,10,13,1,14,12,162,35,77,28 (60%),5 (42%),14,2,729,281,377,23 (68%),4 (31%),22,4,,29,13,13,25,3,,18,2,6,7,2,,60,46 (56%),14 (52%),7 (41%),,49,36 (44%),13 (48%),8 (35%),,0,0,,0,0,,
8696,2022-09-25T16:30:00.000Z,8372,Eibar,1,2,False,31,7,3,1,1,150 (60%),20,3,69,12,5,2,0,465 (82%),20,2,,3,1,2,6,1,,5,2,0,6,6,251,55,95,26 (36%),3 (21%),22,2,564,268,197,38 (53%),4 (29%),21,2,,13,13,2,7,3,,16,6,1,8,3,,57,39 (51%),18 (40%),8 (57%),,65,38 (49%),27 (60%),5 (63%),,3,0,,1,0,12.0,16.0
8696,2022-10-01T14:15:00.000Z,9864,Malaga,0,0,True,38,16,3,2,2,206 (68%),14,4,62,6,4,0,0,401 (80%),12,1,,11,2,2,11,5,,2,0,0,5,1,301,79,127,20 (34%),3 (20%),29,2,502,228,173,13 (30%),4 (27%),19,3,,19,18,0,6,4,,18,9,2,15,3,,50,42 (49%),8 (32%),13 (59%),,61,44 (51%),17 (68%),12 (63%),,2,0,,2,0,24.0,15.0
8696,2022-10-09T16:30:00.000Z,8581,Levante,1,0,False,30,19,7,4,4,148 (66%),11,2,70,10,4,3,3,423 (82%),20,5,,9,3,1,11,8,,5,1,0,6,4,223,58,90,20 (36%),2 (20%),13,0,515,187,236,33 (62%),8 (28%),18,2,,17,12,1,25,4,,16,5,2,8,7,,58,42 (56%),16 (39%),5 (36%),,58,33 (44%),25 (61%),6 (46%),,2,2,,3,0,25.0,29.0
8696,2022-10-12T19:00:00.000Z,8394,Real Zaragoza,1,0,True,49,23,9,1,0,271 (80%),9,10,51,4,0,0,0,299 (79%),17,3,,9,5,1,14,9,,2,2,0,3,1,338,121,150,19 (45%),14 (44%),24,0,378,174,125,35 (60%),1 (10%),14,2,,12,7,1,5,0,,19,9,5,21,9,,46,32 (53%),14 (50%),4 (24%),,42,28 (47%),14 (50%),1 (11%),,3,0,,4,1,31.0,10.0
8696,2022-10-15T16:30:00.000Z,96925,SD Huesca,0,0,False,42,11,1,2,2,196 (66%),9,7,58,10,2,0,0,319 (76%),20,3,,9,1,0,6,5,,5,3,0,6,4,295,91,105,19 (27%),5 (28%),19,2,417,184,135,45 (58%),5 (33%),25,2,,23,11,2,15,2,,13,5,1,17,1,,63,48 (62%),15 (33%),8 (53%),,61,30 (38%),31 (67%),9 (47%),,0,0,,1,0,14.0,20.0
