team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
9869,2022-08-13T17:00:00.000Z,4032,CD Mirandes,1,1,False,52,8,4,3,2,286 (75%),5,2,48,15,2,0,0,255 (72%),16,3,,3,1,0,7,1,,7,6,0,5,10,383,173,113,23 (39%),8 (42%),26,26.0,1,355,90,165,25 (41%),1 (6%),27,12.0,3,,22,7,6,31,1,,21,10,1,15,3,,56,46 (58%),10 (38%),8 (33%),,49,33 (42%),16 (62%),8 (47%),,2,0,,1,0
9869,2022-08-20T15:30:00.000Z,494050,FC Andorra,4,1,True,26,13,6,6,2,172 (70%),15,2,74,7,2,1,0,628 (89%),7,4,,5,2,0,10,3,,2,3,0,3,4,244,110,62,23 (52%),6 (46%),23,21.0,5,708,353,275,18 (45%),3 (19%),17,11.0,0,,14,12,3,13,1,,18,13,1,12,2,,40,28 (41%),12 (67%),7 (47%),,47,41 (60%),6 (33%),10 (71%),,0,0,,0,0
9869,2022-08-27T15:30:00.000Z,7876,Burgos CF,0,0,True,65,18,2,1,1,418 (85%),13,3,35,7,1,0,0,159 (60%),15,4,,8,8,0,9,9,,3,3,0,4,3,491,220,198,34 (54%),6 (21%),29,25.0,2,264,87,72,15 (27%),3 (20%),25,11.0,1,,12,13,3,12,1,,22,7,8,21,2,,60,33 (46%),27 (61%),8 (42%),,56,39 (54%),17 (39%),6 (67%),,1,0,,2,0
9869,2022-09-03T16:30:00.000Z,8005,Ponferradina,3,1,False,34,8,4,3,0,203 (75%),13,6,66,13,5,4,3,446 (84%),12,5,,3,1,0,7,1,,4,4,0,7,6,271,105,98,25 (42%),5 (33%),21,11.0,4,534,251,195,28 (51%),5 (23%),23,24.0,0,,22,14,3,26,4,,15,5,0,13,1,,52,41 (53%),11 (46%),7 (41%),,50,37 (48%),13 (54%),10 (45%),,0,0,,5,0
9869,2022-09-11T12:00:00.000Z,8696,Racing Santander,0,2,True,66,15,6,2,2,329 (80%),14,4,34,12,5,4,2,132 (62%),16,4,,7,2,1,8,7,,6,1,0,7,5,411,187,142,26 (55%),6 (25%),20,21.0,2,214,54,78,26 (40%),6 (35%),22,15.0,2,,16,9,1,6,3,,15,16,3,16,5,,49,36 (51%),13 (43%),4 (67%),,51,34 (49%),17 (57%),4 (36%),,4,0,,5,0
9869,2022-09-17T19:00:00.000Z,8394,Real Zaragoza,0,1,False,43,11,1,2,2,251 (72%),10,4,57,12,4,2,1,373 (77%),8,4,,7,3,0,7,4,,6,2,1,6,6,349,134,117,30 (43%),6 (26%),36,17.0,3,485,213,160,30 (43%),3 (30%),19,20.0,1,,21,11,2,14,3,,13,16,3,18,1,,61,36 (61%),25 (45%),8 (53%),,54,23 (39%),31 (55%),1 (11%),,4,0,,2,0
9869,2022-09-23T19:00:00.000Z,1123073,UD Ibiza,2,1,True,42,9,4,1,0,237 (69%),13,2,58,11,5,2,1,362 (77%),12,4,,3,2,0,5,4,,3,3,0,9,2,343,148,89,25 (40%),0 (0%),19,13.0,3,468,195,167,33 (53%),7 (27%),28,19.0,3,,28,7,3,22,4,,22,11,1,11,2,,65,46 (53%),19 (41%),7 (37%),,67,40 (47%),27 (59%),6 (38%),,2,0,,3,0
9869,2022-09-30T19:00:00.000Z,9867,Tenerife,1,1,False,41,12,6,1,0,271 (77%),13,6,59,16,5,2,2,421 (83%),8,11,,3,3,1,10,2,,7,4,1,13,3,352,176,95,43 (55%),4 (24%),18,18.0,0,507,232,189,45 (61%),5 (15%),28,33.0,1,,19,12,4,31,4,,13,9,3,14,5,,45,38 (47%),7 (39%),11 (50%),,54,43 (53%),11 (61%),17 (61%),,3,0,,2,0
9869,2022-10-07T19:00:00.000Z,161771,Villarreal B,3,1,True,50,11,5,3,1,283 (78%),11,6,50,12,1,1,0,277 (77%),12,10,,3,3,0,8,3,,6,5,1,5,7,361,159,124,36 (56%),5 (31%),19,21.0,1,358,167,110,21 (42%),6 (29%),16,15.0,4,,23,9,5,19,0,,20,14,3,20,2,,56,41 (54%),15 (54%),7 (37%),,48,35 (46%),13 (46%),4 (22%),,1,0,,1,0
9869,2022-10-13T19:00:00.000Z,7878,Granada,0,5,False,42,12,3,4,4,245 (75%),14,4,58,13,8,4,1,378 (82%),7,2,,8,1,1,10,2,,4,1,0,10,3,328,158,87,22 (40%),4 (22%),25,16.0,3,463,241,137,30 (42%),5 (50%),25,23.0,2,,16,7,1,8,3,,13,11,1,18,3,,43,32 (52%),11 (41%),9 (53%),,46,30 (48%),16 (59%),4 (44%),,2,0,,0,0
