team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
161771,2022-08-14T15:30:00.000Z,8696,Racing Santander,2,0,False,55,10,5,1,0,346 (78%),18,3,45,8,5,2,2,257 (72%),21,1,,3,2,0,3,7,,1,2,0,4,4,441,222,124,25 (46%),0 (0%),23,0,355,127,130,21 (36%),0 (0%),21,1,,13,8,2,20,5,,18,13,2,11,3,,55,43 (50%),12 (60%),9 (50%),,51,43 (50%),8 (40%),8 (73%),,0,0,,0,0,,
161771,2022-08-19T18:00:00.000Z,8372,Eibar,2,2,True,46,13,5,2,1,321 (81%),11,2,54,14,3,3,1,367 (80%),15,6,,5,3,0,7,6,,7,4,0,9,5,395,162,159,19 (40%),1 (17%),25,3,458,166,201,42 (63%),10 (59%),17,2,,17,16,4,15,1,,17,9,3,5,3,,45,36 (51%),9 (43%),5 (56%),,47,35 (49%),12 (57%),7 (64%),,5,1,,4,1,,
161771,2022-08-29T18:00:00.000Z,7878,Granada,0,3,False,48,6,0,0,0,295 (75%),11,2,52,6,4,4,1,328 (79%),17,4,,5,1,0,2,4,,2,0,0,5,1,391,229,66,19 (35%),1 (10%),29,4,416,163,165,32 (48%),2 (15%),20,1,,23,4,0,14,1,,21,13,1,11,0,,57,44 (56%),13 (57%),6 (35%),,45,35 (44%),10 (43%),3 (25%),,2,0,,2,0,,
161771,2022-09-03T14:15:00.000Z,4032,CD Mirandes,3,0,True,67,18,6,2,0,386 (85%),15,7,33,8,1,0,0,143 (65%),18,3,,8,4,1,8,10,,6,1,0,4,4,455,181,205,33 (58%),4 (36%),9,1,220,72,71,25 (40%),1 (9%),16,0,,8,5,2,18,0,,11,5,4,12,3,,50,34 (50%),16 (62%),8 (53%),,44,34 (50%),10 (38%),9 (56%),,0,0,,0,0,,
161771,2022-09-10T19:00:00.000Z,8581,Levante,1,4,False,56,13,3,0,0,330 (80%),10,2,44,14,6,4,3,250 (78%),12,5,,7,3,0,1,12,,6,2,1,7,7,415,179,151,19 (40%),0 (0%),14,0,320,121,129,34 (62%),4 (27%),16,3,,10,12,2,11,2,,18,14,3,10,2,,41,28 (44%),13 (57%),6 (43%),,45,35 (56%),10 (43%),8 (57%),,3,0,,5,0,,
161771,2022-09-17T12:00:00.000Z,8206,Lugo,3,1,True,47,13,7,3,1,271 (73%),14,2,53,9,4,3,2,315 (77%),14,4,,4,2,0,8,5,,3,2,0,7,2,369,140,131,22 (34%),5 (45%),14,1,408,173,142,36 (47%),3 (12%),23,4,,21,13,2,32,3,,18,13,2,13,4,,53,41 (49%),12 (41%),7 (58%),,59,42 (51%),17 (59%),12 (55%),,0,0,,0,0,,
161771,2022-09-24T16:30:00.000Z,9864,Malaga,1,1,False,38,6,1,0,0,231 (73%),18,4,62,15,7,3,2,429 (85%),16,3,,3,2,0,3,3,,5,3,0,9,6,316,154,77,17 (33%),4 (40%),13,1,506,233,196,24 (48%),7 (23%),16,4,,14,7,3,26,6,,13,12,2,9,0,,45,36 (51%),9 (47%),7 (54%),,45,35 (49%),10 (53%),6 (55%),,3,0,,3,0,11.0,21.0
161771,2022-10-01T19:00:00.000Z,7876,Burgos CF,0,0,True,55,10,3,1,1,390 (83%),14,4,45,12,1,0,0,302 (76%),11,1,,5,2,0,4,6,,9,2,1,6,6,471,194,196,35 (61%),1 (5%),16,2,399,162,140,36 (50%),1 (20%),21,3,,14,8,2,15,1,,8,19,2,15,3,,39,28 (55%),11 (42%),3 (43%),,38,23 (45%),15 (58%),5 (50%),,1,0,,1,0,16.0,13.0
161771,2022-10-07T19:00:00.000Z,9869,Sporting Gijon,1,3,False,50,12,1,1,0,277 (77%),12,10,50,11,5,3,1,283 (78%),11,6,,6,5,1,5,7,,3,3,0,8,3,358,167,110,21 (42%),6 (29%),16,4,361,159,124,36 (56%),5 (31%),19,1,,20,14,3,20,2,,23,9,5,19,0,,48,35 (46%),13 (46%),4 (22%),,56,41 (54%),15 (54%),7 (37%),,1,0,,1,0,15.0,21.0
161771,2022-10-12T12:00:00.000Z,8005,Ponferradina,2,2,True,51,23,10,2,0,365 (84%),9,8,49,9,5,1,0,345 (83%),14,3,,6,7,0,19,4,,4,0,0,4,5,436,157,208,16 (41%),6 (30%),16,4,415,192,153,21 (43%),0 (0%),16,2,,29,11,0,15,3,,19,6,7,25,8,,56,48 (55%),8 (47%),5 (42%),,49,40 (45%),9 (53%),12 (44%),,3,0,,4,0,33.0,14.0
161771,2022-10-15T14:15:00.000Z,8394,Real Zaragoza,1,2,False,49,8,4,2,2,277 (77%),6,7,51,17,4,4,3,308 (82%),11,8,,3,1,0,5,3,,8,5,1,12,5,362,185,92,27 (44%),4 (27%),17,1,377,150,158,32 (63%),7 (28%),21,1,,14,12,5,21,2,,13,21,1,5,3,,34,27 (47%),7 (35%),4 (36%),,43,30 (53%),13 (65%),11 (55%),,2,0,,4,0,10.0,32.0
161771,2022-10-22T14:15:00.000Z,494050,FC Andorra,1,0,True,23,10,4,2,1,145 (68%),13,0,77,14,3,4,4,654 (91%),16,3,,5,1,0,7,3,,7,4,0,6,8,214,85,60,29 (48%),1 (20%),9,1,722,340,314,23 (62%),4 (24%),22,1,,21,7,4,11,3,,11,6,1,5,3,,46,41 (55%),5 (45%),5 (45%),,39,33 (45%),6 (55%),10 (67%),,1,0,,1,0,9.0,22.0
161771,2022-10-30T20:00:00.000Z,8393,Albacete,0,0,False,39,13,4,1,1,255 (76%),11,6,61,16,4,1,1,443 (86%),15,5,,4,5,0,7,6,,8,4,2,9,7,334,125,130,23 (43%),2 (13%),18,0,513,216,227,21 (53%),3 (11%),19,0,,15,8,4,37,5,,12,12,5,15,4,,54,42 (59%),12 (63%),12 (67%),,36,29 (41%),7 (37%),7 (39%),,2,0,,1,0,15.0,25.0
161771,2022-11-02T18:00:00.000Z,8670,Real Oviedo,2,1,True,62,12,5,3,1,436 (83%),10,6,38,14,3,2,1,224 (71%),11,8,,2,5,0,7,5,,4,7,0,10,4,527,274,162,38 (48%),4 (31%),16,2,317,137,87,24 (36%),7 (32%),29,1,,19,5,7,19,2,,19,14,5,14,3,,46,31 (47%),15 (48%),2 (25%),,51,35 (53%),16 (52%),6 (43%),,3,0,,2,0,13.0,16.0
161771,2022-11-05T17:30:00.000Z,96925,SD Huesca,0,1,False,65,10,4,0,0,434 (82%),9,7,35,7,3,0,0,206 (70%),15,0,,4,2,0,6,4,,4,0,0,4,3,527,252,182,31 (52%),4 (18%),20,1,295,108,98,27 (44%),1 (17%),18,0,,15,13,0,13,2,,19,15,2,24,4,,48,34 (52%),14 (48%),6 (38%),,47,32 (48%),15 (52%),4 (33%),,3,0,,3,0,19.0,21.0
161771,2022-11-20T13:00:00.000Z,1123073,UD Ibiza,1,0,True,59,14,11,2,1,343 (81%),17,7,41,10,2,0,0,220 (76%),26,4,,2,1,0,9,5,,4,4,0,6,4,422,194,149,22 (40%),6 (30%),15,0,291,132,88,18 (33%),3 (18%),20,2,,18,2,3,19,2,,13,5,1,18,10,,61,46 (53%),15 (60%),3 (43%),,50,40 (47%),10 (40%),12 (63%),,0,1,,5,0,22.0,14.0
161771,2022-11-26T15:15:00.000Z,9866,Deportivo Alaves,0,2,False,53,8,1,1,1,341 (79%),10,1,47,13,4,3,1,279 (78%),12,7,,5,2,1,2,6,,6,3,0,9,4,433,241,100,23 (44%),0 (0%),26,0,359,118,161,25 (44%),2 (9%),25,1,,18,7,3,16,2,,14,12,2,10,1,,50,37 (61%),13 (68%),9 (45%),,30,24 (39%),6 (32%),1 (20%),,4,1,,2,0,12.0,25.0
161771,2022-12-03T20:00:00.000Z,7854,Leganes,0,0,True,58,5,1,1,1,439 (84%),19,3,42,15,3,2,2,295 (80%),12,9,,0,4,0,2,3,,8,4,2,13,2,523,259,180,38 (60%),3 (27%),18,3,368,168,127,28 (46%),6 (27%),14,3,,17,6,4,16,3,,11,8,4,14,1,,47,34 (49%),13 (59%),6 (55%),,45,36 (51%),9 (41%),7 (47%),,3,0,,4,0,17.0,22.0
161771,2022-12-07T18:00:00.000Z,8554,Cartagena,1,0,False,47,14,4,1,0,339 (78%),10,3,53,14,3,2,2,392 (83%),17,5,,6,4,0,8,6,,9,2,1,11,3,434,166,173,42 (60%),1 (11%),19,0,475,249,143,26 (51%),4 (17%),14,3,,15,17,2,20,3,,7,10,4,20,3,,54,39 (56%),15 (52%),8 (73%),,45,31 (44%),14 (48%),14 (61%),,3,0,,1,0,22.0,29.0
161771,2022-12-10T18:00:00.000Z,9867,Tenerife,2,2,True,59,8,3,2,0,421 (84%),14,3,41,10,4,2,1,281 (78%),19,2,,3,2,0,5,3,,5,1,0,7,3,503,221,200,41 (75%),3 (14%),22,0,360,160,121,35 (50%),5 (56%),16,2,,15,6,1,9,2,,19,8,2,18,1,,46,38 (52%),8 (29%),4 (31%),,55,35 (48%),20 (71%),3 (27%),,2,0,,3,0,16.0,15.0
161771,2022-12-17T17:30:00.000Z,8306,Las Palmas,0,1,True,65,16,4,5,5,399 (84%),17,6,35,13,4,2,1,176 (69%),9,7,,6,6,1,11,5,,4,5,0,5,8,477,196,203,30 (57%),3 (18%),24,5,254,83,93,20 (31%),1 (8%),13,1,,20,7,5,13,3,,15,20,6,20,4,,37,31 (42%),6 (43%),2 (13%),,51,43 (58%),8 (57%),13 (59%),,5,0,,3,1,27.0,9.0
161771,2023-01-06T15:15:00.000Z,8005,Ponferradina,1,2,False,52,5,3,0,0,401 (83%),8,3,48,15,6,2,0,368 (83%),14,5,,1,1,0,2,3,,4,5,0,8,7,485,228,173,31 (53%),2 (17%),20,2,445,197,171,22 (46%),5 (36%),14,1,,15,5,5,15,4,,13,16,1,12,2,,44,38 (58%),6 (32%),9 (60%),,40,27 (42%),13 (68%),6 (40%),,0,1,,3,0,23.0,24.0
161771,2023-01-14T15:15:00.000Z,8394,Real Zaragoza,2,3,True,50,10,4,0,0,341 (83%),13,2,50,7,3,0,0,325 (82%),22,5,,6,0,1,4,6,,3,1,0,6,1,413,218,123,21 (47%),3 (20%),12,2,396,205,120,39 (63%),6 (27%),19,3,,8,12,1,16,1,,10,8,0,15,2,,56,37 (59%),19 (59%),7 (58%),,39,26 (41%),13 (41%),3 (43%),,3,0,,2,0,15.0,11.0
161771,2023-01-22T20:00:00.000Z,8206,Lugo,2,1,False,63,19,7,4,3,384 (81%),7,9,37,10,5,2,1,180 (68%),19,1,,8,4,2,13,6,,4,1,0,5,5,474,173,211,21 (45%),1 (8%),25,2,266,85,95,32 (55%),6 (32%),29,0,,15,1,1,22,4,,18,11,4,15,6,,54,42 (59%),12 (39%),10 (59%),,48,29 (41%),19 (61%),7 (47%),,2,0,,3,1,34.0,13.0
161771,2023-01-28T17:30:00.000Z,8670,Real Oviedo,1,0,False,54,3,2,0,0,380 (79%),9,1,46,13,4,2,2,280 (75%),11,11,,1,0,0,1,2,,5,4,0,10,3,478,251,129,27 (36%),1 (25%),19,1,371,135,145,22 (49%),8 (21%),24,4,,14,2,4,19,4,,16,4,0,3,1,,51,29 (48%),22 (46%),4 (29%),,57,31 (52%),26 (54%),7 (54%),,3,0,,2,0,7.0,29.0
161771,2023-02-05T13:00:00.000Z,7878,Granada,0,2,True,59,19,5,1,1,426 (82%),14,8,41,7,4,1,1,252 (70%),15,1,,9,5,0,13,6,,3,0,0,3,4,521,229,197,23 (50%),3 (20%),21,3,361,127,125,22 (36%),4 (31%),20,0,,11,19,0,17,2,,12,11,4,8,6,,41,33 (47%),8 (53%),8 (53%),,44,37 (53%),7 (47%),10 (59%),,2,0,,1,0,34.0,14.0
161771,2023-02-11T17:30:00.000Z,4032,CD Mirandes,1,2,False,53,11,3,2,1,390 (81%),6,1,47,23,12,4,3,335 (79%),6,9,,5,3,0,8,3,,8,3,1,15,8,479,214,176,19 (40%),2 (40%),17,4,426,144,191,22 (42%),5 (29%),21,0,,18,11,3,14,10,,21,8,3,8,2,,41,32 (48%),9 (39%),10 (43%),,49,35 (52%),14 (61%),8 (50%),,2,0,,1,0,20.0,29.0
161771,2023-02-19T20:00:00.000Z,8696,Racing Santander,2,1,True,60,14,3,1,0,475 (87%),12,2,40,4,1,1,0,277 (76%),16,0,,7,4,0,7,7,,2,1,0,1,3,544,236,239,33 (59%),2 (15%),27,1,363,173,104,21 (34%),1 (7%),18,0,,15,2,1,10,0,,18,11,4,9,1,,55,43 (55%),12 (63%),13 (52%),,42,35 (45%),7 (37%),6 (46%),,0,0,,3,0,22.0,6.0
161771,2023-02-24T20:00:00.000Z,8372,Eibar,0,2,False,54,7,3,1,1,366 (76%),10,5,46,13,5,3,3,315 (77%),11,4,,1,3,0,4,3,,5,3,0,9,4,481,239,127,40 (42%),1 (5%),27,0,410,174,141,28 (52%),5 (26%),29,2,,14,11,2,21,3,,12,5,3,23,3,,56,36 (57%),20 (43%),12 (63%),,53,27 (43%),26 (57%),6 (46%),,1,0,,4,0,12.0,19.0
161771,2023-03-06T20:00:00.000Z,9866,Deportivo Alaves,1,0,True,51,10,4,1,1,334 (80%),11,3,49,10,2,0,0,299 (79%),17,8,,3,3,0,5,5,,2,6,0,7,3,417,204,130,25 (40%),2 (17%),16,2,379,149,150,19 (41%),3 (11%),22,2,,10,10,6,23,2,,6,6,3,18,3,,45,37 (63%),8 (32%),11 (69%),,39,22 (37%),17 (68%),6 (67%),,2,0,,4,0,14.0,23.0
161771,2023-03-11T17:30:00.000Z,1123073,UD Ibiza,0,0,False,65,13,5,1,1,421 (83%),12,8,35,6,1,1,1,179 (68%),20,4,,5,3,1,4,9,,1,4,0,5,1,505,224,197,22 (38%),0 (0%),25,2,264,111,68,11 (19%),5 (36%),32,1,,12,3,3,17,1,,14,6,2,18,5,,48,40 (54%),8 (50%),9 (50%),,42,34 (46%),8 (50%),9 (64%),,1,0,,3,1,15.0,13.0
161771,2023-03-19T17:30:00.000Z,8554,Cartagena,5,2,True,54,21,9,5,1,362 (83%),14,8,46,12,2,1,0,297 (80%),9,5,,8,4,2,15,6,,6,4,0,7,5,436,176,186,16 (47%),3 (15%),11,1,372,192,105,33 (58%),3 (18%),19,3,,14,4,4,19,0,,8,8,4,15,4,,47,29 (56%),18 (53%),6 (75%),,39,23 (44%),16 (47%),2 (22%),,2,0,,2,2,41.0,18.0
161771,2023-03-26T16:30:00.000Z,96925,SD Huesca,0,0,True,63,15,6,1,1,510 (87%),11,2,37,7,0,0,0,264 (78%),8,2,,6,3,0,8,7,,4,3,0,3,4,588,257,253,23 (40%),3 (20%),14,2,339,170,94,38 (54%),2 (15%),17,0,,13,4,3,23,0,,12,7,2,20,6,,44,25 (45%),19 (45%),5 (42%),,53,30 (55%),23 (55%),7 (54%),,1,0,,2,0,18.0,9.0
161771,2023-04-01T16:30:00.000Z,9867,Tenerife,1,1,False,36,7,4,2,1,231 (74%),9,1,64,18,7,3,2,467 (87%),23,7,,3,0,0,6,1,,8,3,2,12,6,314,148,83,29 (48%),1 (17%),18,0,534,180,287,25 (56%),7 (23%),12,2,,9,4,3,20,6,,8,3,0,5,3,,50,38 (60%),12 (46%),7 (88%),,39,25 (40%),14 (54%),9 (64%),,1,2,,0,1,11.0,25.0
161771,2023-04-07T19:00:00.000Z,9864,Malaga,1,2,True,54,13,3,2,2,451 (87%),11,2,46,9,4,2,0,361 (84%),10,6,,5,5,0,8,5,,2,3,0,7,2,519,222,229,24 (62%),6 (38%),20,3,429,173,188,19 (51%),3 (15%),26,0,,25,4,3,18,2,,8,3,5,13,2,,50,40 (54%),10 (67%),5 (56%),,39,34 (46%),5 (33%),16 (48%),,2,0,,3,0,17.0,18.0
161771,2023-04-16T19:00:00.000Z,7854,Leganes,0,1,False,54,7,2,1,1,428 (83%),13,4,46,15,3,3,3,351 (80%),10,4,,4,1,1,1,6,,9,3,1,10,5,517,256,172,33 (51%),2 (12%),20,0,437,154,197,27 (46%),7 (37%),17,1,,13,5,3,19,2,,17,7,1,11,2,,46,36 (49%),10 (63%),14 (61%),,44,38 (51%),6 (38%),9 (60%),,1,0,,0,0,11.0,24.0
161771,2023-04-22T12:00:00.000Z,8393,Albacete,1,2,True,47,14,5,2,1,339 (81%),10,4,53,22,8,4,3,415 (86%),13,2,,3,6,1,9,5,,11,3,0,13,9,418,198,141,29 (51%),6 (46%),14,3,483,221,194,28 (53%),5 (50%),9,0,,18,7,3,7,6,,22,7,5,8,4,,54,44 (56%),10 (48%),14 (52%),,46,35 (44%),11 (52%),3 (23%),,2,0,,1,0,26.0,23.0
