team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10204,2022-08-07T13:00:00.000Z,10260,Manchester United,2,1,False,37,1.50,15,4,2,0,229 (70%),12,2,63,1.38,17,5,2,2,452 (82%),7,6,,6,5,0,10,5,,5,7,0,13,4,1.41,0.09,1.50,1.56,0.87,0.52,1.38,0.85,326,76,153,17 (26%),6 (50%),22,1,548,208,244,27 (50%),7 (29%),22,3,,14,12,7,24,5,,12,15,4,10,2,,36,27 (48%),9 (45%),6 (50%),,40,29 (52%),11 (55%),5 (42%),,1,0,,4,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10204,2022-08-13T14:00:00.000Z,10261,Newcastle United,0,0,True,54,1.50,13,7,3,3,286 (76%),8,7,46,0.22,4,1,0,0,230 (73%),6,3,,3,3,0,8,5,,2,1,0,3,1,1.13,0.36,1.50,1.08,0.15,0.07,0.22,0.06,374,99,187,26 (46%),1 (5%),23,1,314,118,112,19 (32%),3 (30%),22,4,,18,8,1,19,1,,12,14,5,32,5,,43,25 (45%),18 (53%),3 (38%),,47,31 (55%),16 (47%),12 (60%),,2,0,,3,0,,,1,2.0,1.0,37.0,1.5,15.0,4.0,2.0,63.0,1.38,17.0,5.0,2.0,0.0,0.0,3.0,0.133,0.5,0.059,0.2
10204,2022-08-21T13:00:00.000Z,8654,West Ham United,2,0,False,50,1.71,11,2,3,1,395 (81%),7,4,50,0.89,13,3,0,0,376 (81%),10,5,,5,4,0,9,2,,3,7,0,8,5,0.73,0.19,0.92,1.48,0.45,0.44,0.89,0.53,485,183,212,22 (37%),5 (31%),15,1,467,208,168,33 (51%),7 (28%),23,3,,17,6,7,16,3,,8,13,4,12,0,,39,30 (63%),9 (31%),3 (60%),,38,18 (38%),20 (69%),4 (67%),,0,0,,2,0,,,3,1.0,0.5,45.5,1.5,14.0,5.5,2.5,54.5,0.8,10.5,3.0,1.0,0.0,0.0,2.0,0.071,0.182,0.048,0.167
10204,2022-08-27T14:00:00.000Z,8463,Leeds United,1,0,True,43,2.02,13,4,2,2,250 (71%),10,5,57,1.84,10,2,1,1,359 (76%),14,3,,8,1,0,11,2,,3,5,0,7,3,1.45,0.57,2.02,1.35,1.37,0.47,1.84,0.50,353,118,132,29 (45%),5 (42%),27,2,475,192,167,19 (30%),2 (17%),21,1,,14,9,5,8,2,,22,16,1,16,3,,48,34 (44%),14 (58%),7 (47%),,53,43 (56%),10 (42%),11 (69%),,2,0,,3,0,,,3,1.333,0.333,47.0,1.57,13.0,4.333,2.667,53.0,0.83,11.333,3.0,0.667,0.0,0.0,2.333,0.103,0.308,0.029,0.111
10204,2022-08-30T18:30:00.000Z,9879,Fulham,1,2,False,61,1.42,7,4,3,2,446 (84%),11,3,39,0.68,10,3,2,1,257 (75%),9,3,,3,0,1,6,1,,7,0,0,7,3,0.62,0.01,0.63,1.18,0.21,0.47,0.68,0.33,533,237,209,33 (53%),3 (18%),26,2,344,158,99,16 (42%),2 (25%),23,0,,23,11,0,11,2,,26,6,1,22,2,,56,43 (48%),13 (42%),11 (48%),,64,46 (52%),18 (58%),9 (50%),,1,0,,2,0,,,0,1.25,0.25,46.0,1.683,13.0,4.25,2.5,54.0,1.083,11.0,2.75,0.75,0.0,0.0,2.5,0.096,0.294,0.023,0.091
10204,2022-09-04T13:00:00.000Z,8197,Leicester City,5,2,True,54,2.76,23,11,4,1,421 (85%),6,10,46,1.45,6,4,2,0,360 (83%),8,1,,5,7,0,12,11,,1,1,0,5,1,1.72,0.25,1.97,3.76,1.45,0.00,1.45,1.48,493,206,215,39 (59%),6 (24%),15,2,436,246,114,17 (35%),2 (29%),19,3,,17,13,1,5,2,,13,12,5,27,7,,46,36 (59%),10 (48%),11 (65%),,36,25 (41%),11 (52%),6 (60%),,1,0,,1,0,,,3,1.2,0.6,49.0,1.63,11.8,4.2,2.6,51.0,1.002,10.8,2.8,1.0,0.0,0.0,2.0,0.102,0.286,0.056,0.214
10204,2022-10-01T14:00:00.000Z,8650,Liverpool,3,3,False,46,1.37,6,6,6,3,359 (78%),13,2,54,1.47,15,7,5,3,432 (82%),9,9,,0,0,0,6,0,,6,2,1,12,3,1.37,0.00,1.37,2.61,1.27,0.20,1.47,2.31,460,248,111,23 (38%),3 (23%),16,0,530,179,253,26 (46%),3 (12%),26,1,,23,14,2,26,5,,14,9,0,16,3,,48,40 (53%),8 (42%),11 (58%),,46,35 (47%),11 (58%),8 (53%),,1,0,,1,0,23.0,45.0,1,1.8,0.8,52.4,1.882,13.4,5.6,3.0,47.6,1.016,8.6,2.6,1.0,0.0,0.0,2.0,0.134,0.321,0.093,0.308
10204,2022-10-08T16:30:00.000Z,8586,Tottenham Hotspur,0,1,True,59,0.72,14,4,1,1,610 (88%),9,6,41,0.79,8,3,1,0,398 (81%),14,2,,5,5,0,8,6,,4,1,0,4,4,0.54,0.17,0.72,0.70,0.38,0.41,0.79,0.49,694,245,365,20 (50%),3 (18%),19,2,489,242,156,18 (35%),2 (29%),14,3,,17,10,1,7,2,,15,11,5,19,4,,51,39 (56%),12 (52%),9 (75%),,42,31 (44%),11 (48%),8 (50%),,1,0,,2,0,30.0,16.0,0,2.4,1.4,50.8,1.856,12.0,5.4,3.6,49.2,1.266,10.8,3.8,2.0,4.6,9.0,2.0,0.2,0.444,0.13,0.368
10204,2022-10-14T19:00:00.000Z,9937,Brentford,0,2,False,72,1.95,21,7,2,2,520 (85%),15,11,28,1.47,7,3,3,1,157 (67%),12,2,,4,10,0,14,7,,4,0,1,6,1,1.22,0.73,1.95,1.28,0.53,0.15,0.68,1.97,611,197,323,28 (55%),11 (33%),20,3,235,77,80,27 (44%),3 (30%),13,0,,25,7,1,9,0,,12,12,10,29,7,,52,37 (51%),15 (47%),2 (22%),,53,36 (49%),17 (53%),9 (50%),,1,0,,3,0,39.0,19.0,0,2.0,1.6,52.6,1.658,12.6,5.8,3.2,47.4,1.246,9.8,3.8,2.2,10.6,12.2,1.4,0.159,0.345,0.163,0.421
10204,2022-10-18T18:30:00.000Z,10203,Nottingham Forest,0,0,True,70,1.66,19,7,3,3,541 (87%),10,9,30,0.13,3,0,0,0,176 (68%),14,1,,7,5,1,14,5,,3,0,0,3,0,1.26,0.40,1.66,1.64,0.11,0.01,0.13,0.00,623,235,306,33 (58%),7 (26%),28,1,260,122,54,12 (27%),1 (14%),20,0,,11,7,0,8,0,,13,9,5,24,7,,42,26 (49%),16 (52%),2 (20%),,42,27 (51%),15 (48%),4 (44%),,3,0,,1,0,41.0,6.0,1,1.8,2.0,58.4,1.644,14.2,6.4,3.2,41.6,1.172,9.2,4.0,2.6,18.4,16.0,0.8,0.127,0.281,0.217,0.5
10204,2022-10-22T14:00:00.000Z,8456,Manchester City,1,3,False,52,0.48,8,2,1,1,398 (85%),12,3,48,1.63,10,4,3,1,368 (83%),11,6,,3,3,0,5,3,,3,3,0,9,1,0.33,0.15,0.48,,0.70,0.14,0.84,,471,230,168,26 (50%),2 (13%),22,4,446,203,165,16 (36%),2 (18%),9,0,,16,9,3,11,1,,14,8,3,12,1,,42,34 (50%),8 (89%),7 (50%),,35,34 (50%),1 (11%),8 (62%),,3,0,,1,0,14.0,29.0,0,1.6,1.6,60.2,1.692,16.6,7.0,3.2,39.8,1.062,7.8,3.4,2.2,26.6,17.2,1.0,0.096,0.229,0.205,0.471
10204,2022-10-29T14:00:00.000Z,8455,Chelsea,4,1,True,41,2.27,19,9,3,1,276 (79%),16,8,59,1.43,15,7,1,0,441 (86%),6,7,,7,3,1,15,4,,5,3,0,9,6,2.09,0.17,2.27,,1.27,0.16,1.43,,349,168,108,22 (51%),4 (24%),14,0,513,210,231,20 (56%),6 (33%),23,0,,18,6,3,21,7,,8,7,5,16,5,,43,32 (55%),11 (48%),8 (73%),,38,26 (45%),12 (52%),2 (18%),,1,0,,2,0,30.0,33.0,3,0.8,1.8,59.8,1.236,13.6,5.2,2.6,40.2,1.098,8.6,3.4,2.4,29.4,23.0,0.4,0.059,0.154,0.209,0.529
