team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8197,2022-08-07T13:00:00.000Z,9937,Brentford,2,2,True,55,0.62,14,5,0,0,510 (88%),6,5,45,0.76,8,3,2,1,386 (84%),5,6,,6,3,2,5,9,,4,1,0,5,3,0.37,0.25,0.62,0.77,0.76,0.00,0.76,1.32,580,214,296,16 (48%),3 (30%),20,2,457,222,164,34 (59%),1 (6%),12,2,,13,10,1,12,1,,10,8,3,16,3,,40,26 (57%),14 (48%),8 (57%),,35,20 (43%),15 (52%),4 (50%),,0,0,,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8197,2022-08-13T14:00:00.000Z,9825,Arsenal,2,4,False,50,0.46,6,2,1,1,383 (81%),9,2,50,2.96,19,7,5,3,386 (84%),15,6,,3,1,0,5,1,,8,4,1,15,4,0.43,0.03,0.46,0.47,1.23,1.72,2.96,3.37,472,234,149,28 (44%),1 (11%),16,3,462,145,241,15 (37%),4 (24%),15,2,,12,8,4,16,4,,8,8,1,11,1,,44,30 (52%),14 (42%),3 (38%),,47,28 (48%),19 (58%),11 (69%),,1,0,,1,0,,,0,2.0,2.0,55.0,0.62,14.0,5.0,0.0,45.0,0.76,8.0,3.0,2.0,0.0,0.0,1.0,0.143,0.4,0.25,0.667
8197,2022-08-20T14:00:00.000Z,8466,Southampton,1,2,True,62,0.29,6,1,0,0,454 (82%),11,2,38,0.92,9,3,3,1,240 (72%),15,5,,3,2,0,4,2,,5,1,1,6,3,0.25,0.04,0.29,0.33,0.44,0.49,0.92,0.53,556,242,212,29 (51%),2 (14%),33,0,335,101,139,29 (41%),7 (39%),20,1,,15,6,1,20,1,,19,10,2,22,0,,55,38 (47%),17 (46%),9 (64%),,63,43 (53%),20 (54%),13 (65%),,2,0,,3,0,,,0,2.0,3.0,52.5,0.54,10.0,3.5,0.5,47.5,1.86,13.5,5.0,3.5,0.0,0.0,0.5,0.2,0.571,0.222,0.6
8197,2022-08-27T14:00:00.000Z,8455,Chelsea,1,2,False,55,2.52,17,5,4,4,456 (87%),7,11,45,1.75,7,4,3,2,372 (83%),10,3,,7,5,1,11,6,,1,2,1,5,2,2.25,0.26,2.52,1.26,1.65,0.10,1.75,2.35,524,230,226,25 (61%),5 (15%),17,1,446,171,201,32 (55%),3 (25%),18,3,,17,7,2,14,2,,18,6,5,25,4,,48,31 (51%),17 (49%),5 (42%),,48,30 (49%),18 (51%),6 (43%),,2,0,,1,1,,,0,1.667,2.667,55.667,0.457,8.667,2.667,0.333,44.333,1.547,12.0,4.333,3.333,0.0,0.0,0.333,0.192,0.625,0.222,0.616
8197,2022-09-01T19:00:00.000Z,10260,Manchester United,0,1,True,54,0.73,10,2,1,1,487 (82%),7,1,46,1.55,9,2,1,0,400 (78%),15,3,,5,3,0,2,8,,5,2,0,7,2,0.52,0.21,0.73,0.59,1.55,0.00,1.55,1.17,595,309,178,27 (47%),1 (8%),18,0,513,199,201,30 (43%),1 (8%),24,2,,21,17,2,16,1,,15,8,3,10,2,,59,41 (58%),18 (53%),5 (45%),,46,30 (42%),16 (47%),8 (57%),,1,0,,3,0,,,0,1.5,2.5,55.5,0.973,10.75,3.25,1.25,44.5,1.597,10.75,4.25,3.25,0.0,0.0,0.25,0.14,0.462,0.233,0.588
8197,2022-09-04T13:00:00.000Z,10204,Brighton & Hove Albion,2,5,False,46,1.45,6,4,2,0,360 (83%),8,1,54,2.76,23,11,4,1,421 (85%),6,10,,1,1,0,5,1,,5,7,0,12,11,1.45,0.00,1.45,1.48,1.72,0.25,1.97,3.76,436,246,114,17 (35%),2 (29%),19,3,493,206,215,39 (59%),6 (24%),15,2,,13,12,5,27,7,,17,13,1,5,2,,36,25 (41%),11 (52%),6 (60%),,46,36 (59%),10 (48%),11 (65%),,1,0,,1,0,,,0,1.2,2.2,55.2,0.924,10.6,3.0,1.2,44.8,1.588,10.4,3.8,2.8,0.0,0.0,0.2,0.113,0.4,0.212,0.579
8197,2022-09-17T16:30:00.000Z,8586,Tottenham Hotspur,2,6,False,56,1.77,19,7,2,1,552 (87%),9,1,44,2.19,16,11,3,0,403 (84%),9,6,,7,5,0,8,11,,2,3,0,10,6,0.99,0.00,0.99,2.08,1.60,0.59,2.19,3.87,632,191,361,39 (71%),3 (27%),10,0,482,264,139,36 (61%),5 (31%),19,1,,16,8,3,11,5,,14,14,5,8,5,,37,27 (47%),10 (45%),4 (44%),,43,31 (53%),12 (55%),9 (50%),,2,0,,1,0,,,0,1.2,2.8,53.4,1.09,9.0,2.8,1.6,46.6,1.988,13.4,5.4,3.2,0.0,0.0,0.0,0.133,0.429,0.209,0.519
8197,2022-10-03T19:00:00.000Z,10203,Nottingham Forest,4,0,True,52,1.32,17,7,2,2,416 (85%),13,6,48,1.16,10,3,3,3,362 (78%),12,6,,7,3,0,10,7,,5,2,1,8,2,1.09,0.23,1.32,2.22,1.13,0.03,1.16,0.52,492,230,186,15 (43%),4 (24%),13,3,464,248,114,19 (31%),4 (31%),18,4,,11,14,2,17,3,,13,13,3,15,4,,39,27 (44%),12 (52%),5 (42%),,46,35 (56%),11 (48%),11 (65%),,2,0,,4,0,23.0,15.0,3,1.2,3.2,54.6,1.352,11.6,3.8,1.8,45.4,1.834,12.8,6.2,2.8,0.0,0.0,0.0,0.103,0.316,0.25,0.516
8197,2022-10-08T14:00:00.000Z,8678,AFC Bournemouth,1,2,False,56,1.08,9,5,1,1,475 (86%),16,2,44,1.14,10,4,1,0,359 (85%),8,7,,2,2,0,8,1,,2,4,0,8,2,0.69,0.38,1.08,1.92,0.92,0.22,1.14,1.30,551,279,196,13 (38%),2 (20%),15,0,424,197,162,18 (43%),3 (14%),26,3,,32,6,4,23,2,,13,10,2,12,4,,64,45 (54%),19 (73%),6 (60%),,46,39 (46%),7 (27%),10 (37%),,2,0,,1,0,25.0,26.0,0,1.8,2.8,52.6,1.558,13.8,5.0,2.2,47.4,1.882,13.0,6.2,2.8,4.6,3.0,0.6,0.13,0.36,0.215,0.452
8197,2022-10-15T11:30:00.000Z,9826,Crystal Palace,0,0,True,53,1.03,14,5,1,1,493 (85%),18,9,47,0.39,8,1,0,0,426 (83%),13,2,,5,4,0,8,6,,5,2,0,2,6,0.74,0.30,1.03,0.82,0.21,0.19,0.39,0.25,579,258,235,13 (33%),1 (6%),25,2,514,253,173,28 (45%),1 (14%),14,1,,25,11,2,12,1,,13,7,4,25,6,,51,42 (51%),9 (41%),5 (38%),,53,40 (49%),13 (59%),11 (69%),,2,0,,2,0,33.0,8.0,1,1.8,2.8,52.8,1.27,12.2,5.0,1.6,47.2,1.76,13.6,6.2,2.4,9.6,8.2,0.6,0.148,0.36,0.206,0.452
