team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8655,2022-07-30T14:00:00.000Z,10172,Queens Park Rangers,1,0,True,50,0.30,9,4,0,0,425 (80%),15,6,50,0.14,4,0,0,0,430 (81%),9,0,,3,2,0,3,6,,3,1,1,1,3,0.22,0.08,0.30,0.47,0.14,0.00,0.14,0.00,531,248,177,33 (51%),1 (9%),29,3,529,265,165,22 (37%),1 (8%),29,3,,14,13,1,14,0,,22,14,2,20,3,,50,34 (43%),16 (73%),11 (58%),,51,45 (57%),6 (27%),8 (47%),,1,0,,1,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8655,2022-08-06T14:00:00.000Z,10003,Swansea City,3,0,False,29,0.48,5,4,2,0,234 (80%),9,4,71,0.44,8,5,0,0,655 (93%),8,5,,1,0,0,5,0,,2,1,0,6,2,0.46,0.02,0.48,1.34,0.32,0.12,0.44,0.57,292,172,62,28 (51%),1 (14%),15,0,708,249,406,28 (61%),6 (19%),19,1,,13,9,1,26,5,,11,6,0,6,1,,31,25 (50%),6 (67%),4 (31%),,28,25 (50%),3 (33%),5 (50%),,1,0,,3,0,,,3,1.0,0.0,50.0,0.3,9.0,4.0,0.0,50.0,0.14,4.0,0.0,0.0,0.0,0.0,3.0,0.111,0.25,0.0,0.0
8655,2022-08-14T14:00:00.000Z,8659,West Bromwich Albion,2,1,True,41,0.37,7,2,0,0,274 (75%),14,1,59,1.01,13,4,2,2,425 (82%),16,5,,3,2,0,3,4,,5,4,0,6,7,0.37,0.00,0.37,0.67,0.64,0.37,1.01,0.77,366,184,90,31 (48%),0 (0%),34,1,518,208,217,30 (43%),5 (19%),23,1,,21,9,4,22,3,,13,13,2,4,1,,51,41 (55%),10 (40%),5 (83%),,49,34 (45%),15 (60%),7 (35%),,4,0,,1,0,,,3,2.0,0.0,39.5,0.39,7.0,4.0,1.0,60.5,0.29,6.0,2.5,0.0,0.0,0.0,3.0,0.286,0.5,0.0,0.0
8655,2022-08-17T19:00:00.000Z,9798,Reading,0,3,False,65,0.47,8,1,0,0,474 (81%),7,3,35,1.21,12,7,2,1,210 (67%),8,7,,4,3,0,4,4,,3,2,0,10,2,0.45,0.03,0.47,0.18,0.63,0.58,1.21,1.73,583,318,156,48 (61%),1 (14%),27,0,312,91,119,25 (40%),6 (40%),20,0,,22,5,4,25,2,,22,12,3,18,1,,55,36 (49%),19 (40%),6 (50%),,67,38 (51%),29 (60%),9 (53%),,2,0,,5,0,,,0,2.0,0.333,40.0,0.383,7.0,3.333,0.667,60.0,0.53,8.333,3.0,0.667,0.0,0.0,3.0,0.286,0.6,0.04,0.111
8655,2022-08-20T14:00:00.000Z,8657,Sheffield United,0,3,False,44,0.10,3,0,0,0,261 (75%),8,4,56,3.44,22,11,6,6,334 (77%),8,11,,1,2,0,1,2,,7,4,0,15,7,0.10,0.00,0.10,0.00,2.53,0.91,3.44,4.11,350,171,90,31 (49%),0 (0%),18,2,433,113,221,23 (38%),8 (28%),27,0,,16,12,5,35,7,,21,16,2,8,0,,44,31 (44%),13 (50%),7 (37%),,53,40 (56%),13 (50%),12 (50%),,2,0,,3,0,,,0,1.5,1.0,46.25,0.405,7.25,2.75,0.5,53.75,0.7,9.25,4.0,1.0,0.0,0.0,2.25,0.207,0.545,0.108,0.25
8655,2022-08-27T14:00:00.000Z,10194,Stoke City,0,1,True,71,1.35,18,2,1,1,428 (82%),8,12,29,0.57,8,3,0,0,131 (62%),14,3,,6,10,0,10,8,,1,4,0,5,3,0.87,0.48,1.35,0.39,0.53,0.04,0.57,0.88,525,237,191,28 (46%),2 (7%),26,2,213,67,64,23 (37%),3 (23%),21,2,,16,2,4,12,2,,17,24,11,34,1,,48,35 (49%),13 (48%),6 (55%),,50,36 (51%),14 (52%),11 (52%),,3,0,,3,0,,,0,1.2,1.4,45.8,0.344,6.4,2.2,0.4,54.2,1.248,11.8,5.4,2.0,0.0,0.0,1.8,0.187,0.545,0.119,0.259
8655,2022-08-31T19:00:00.000Z,8483,Blackpool,1,0,False,54,1.24,18,5,1,0,331 (77%),15,5,46,0.89,13,1,1,1,236 (69%),9,7,,7,6,0,11,7,,8,4,0,10,3,1.17,0.07,1.24,1.03,0.44,0.45,0.89,0.05,428,221,110,24 (40%),0 (0%),20,2,340,108,128,44 (56%),9 (35%),36,0,,18,12,2,24,1,,9,12,6,13,4,,49,29 (46%),20 (53%),3 (38%),,52,34 (54%),18 (47%),12 (52%),,3,0,,2,0,,,3,1.0,1.6,50.0,0.554,8.2,1.8,0.6,50.0,1.334,12.6,6.0,2.0,0.0,0.0,1.2,0.122,0.556,0.127,0.267
8655,2022-09-03T14:00:00.000Z,8427,Bristol City,2,3,True,62,1.48,11,6,3,1,443 (80%),8,5,38,2.02,16,5,3,1,227 (71%),10,6,,2,3,0,9,2,,10,1,1,13,3,1.46,0.02,1.48,1.74,1.33,0.69,2.02,2.87,553,266,177,46 (53%),0 (0%),28,3,319,126,101,30 (34%),10 (43%),24,0,,19,5,1,16,2,,22,12,3,19,4,,54,35 (43%),19 (53%),6 (43%),,63,46 (57%),17 (47%),17 (57%),,2,0,,2,0,,,0,0.6,1.6,55.0,0.706,10.8,2.0,0.4,45.0,1.424,13.6,5.2,2.2,0.0,0.0,1.2,0.056,0.3,0.118,0.308
8655,2022-09-13T18:45:00.000Z,9817,Watford,2,0,True,47,1.53,15,6,3,1,293 (76%),9,9,53,0.79,6,2,1,1,363 (82%),12,5,,7,2,0,10,5,,1,3,0,6,0,0.91,0.62,1.53,2.07,0.59,0.20,0.79,0.60,387,149,144,17 (33%),6 (38%),30,3,442,222,141,16 (36%),5 (36%),16,2,,21,12,3,14,2,,18,11,2,15,4,,60,40 (52%),20 (57%),8 (47%),,52,37 (48%),15 (43%),10 (40%),,2,0,,0,0,20.0,15.0,3,0.6,2.0,59.2,0.928,11.6,2.8,1.0,40.8,1.626,14.2,5.4,2.4,0.0,0.0,0.6,0.052,0.214,0.141,0.37
8655,2022-09-17T14:00:00.000Z,8346,Luton Town,0,2,False,61,0.30,7,1,2,2,414 (80%),13,3,39,1.05,13,4,2,1,222 (69%),10,4,,4,2,0,5,2,,5,4,0,9,4,0.29,0.01,0.30,0.00,1.00,0.05,1.05,1.38,515,284,130,42 (56%),2 (17%),22,1,322,101,121,40 (48%),2 (14%),28,5,,17,4,4,22,2,,11,10,3,14,0,,45,31 (53%),14 (44%),4 (67%),,46,28 (47%),18 (56%),4 (44%),,2,0,,3,0,,,0,1.0,1.4,55.6,1.14,13.0,3.8,1.6,44.4,1.542,13.0,4.4,2.2,4.0,3.0,1.2,0.077,0.263,0.108,0.318
8655,2022-10-01T14:00:00.000Z,10004,Millwall,2,1,True,57,1.32,10,4,2,0,432 (81%),6,4,43,1.29,10,2,3,2,297 (74%),9,4,,3,3,0,5,5,,7,1,0,7,3,0.55,0.76,1.32,1.51,0.25,1.04,1.29,0.61,536,260,172,34 (47%),3 (33%),27,2,403,164,133,29 (38%),2 (20%),19,1,,14,11,1,18,1,,11,11,3,12,2,,54,32 (58%),22 (58%),10 (71%),,39,23 (42%),16 (42%),6 (43%),,1,0,,0,0,12.0,19.0,3,1.0,1.2,59.0,1.18,13.8,4.0,2.0,41.0,1.064,11.2,3.0,1.4,4.0,3.0,1.2,0.072,0.25,0.107,0.4
