team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9796,2022-07-29T19:00:00.000Z,8191,Burnley,0,1,True,30,0.08,2,0,0,0,175 (67%),13,1,70,1.06,16,7,2,2,506 (84%),10,5,,1,1,0,2,0,,6,3,1,9,7,0.08,0.00,0.08,0.00,0.86,0.20,1.06,1.87,261,97,78,24 (50%),1 (10%),32,1,599,241,265,29 (43%),3 (14%),28,3,,23,4,3,35,6,,15,5,1,19,0,,60,40 (51%),20 (50%),8 (62%),,59,39 (49%),20 (50%),11 (42%),,1,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9796,2022-08-05T18:45:00.000Z,8658,Birmingham City,1,2,False,61,0.91,9,2,2,1,454 (86%),10,7,39,1.24,18,6,2,1,253 (73%),10,6,,2,5,0,5,4,,5,7,0,12,6,0.76,0.14,0.91,1.18,0.94,0.31,1.24,1.32,530,306,148,13 (33%),0 (0%),25,5,345,121,132,26 (36%),6 (40%),17,1,,8,5,7,14,4,,23,8,5,24,1,,40,25 (38%),15 (38%),7 (33%),,64,40 (62%),24 (62%),7 (70%),,2,0,,1,0,,,0,0.0,1.0,30.0,0.08,2.0,0.0,0.0,70.0,1.06,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.062,0.143
9796,2022-08-13T14:00:00.000Z,10194,Stoke City,3,1,True,42,1.75,10,5,2,0,242 (73%),9,3,58,2.68,18,5,2,2,365 (78%),9,3,,3,2,0,7,3,,8,5,1,11,7,1.47,0.28,1.75,1.77,0.84,1.05,1.89,1.81,333,120,122,24 (36%),6 (32%),21,1,467,188,177,25 (36%),5 (28%),26,2,,9,8,4,29,4,,12,11,2,11,2,,48,19 (44%),29 (67%),1 (13%),,38,24 (56%),14 (33%),3 (43%),,1,0,,3,0,,,3,0.5,1.5,45.5,0.495,5.5,1.0,1.0,54.5,1.15,17.0,6.5,2.0,0.0,0.0,0.0,0.091,0.5,0.088,0.231
9796,2022-08-16T18:45:00.000Z,9850,Norwich City,1,2,False,33,0.97,11,5,1,1,278 (79%),5,1,67,1.55,22,9,2,1,638 (89%),13,8,,3,3,0,6,5,,8,5,0,15,7,0.91,0.06,0.97,0.99,1.36,0.19,1.55,2.29,352,200,78,23 (40%),0 (0%),18,0,719,287,351,30 (61%),6 (29%),13,2,,8,14,5,14,7,,16,6,3,11,4,,39,25 (50%),14 (50%),5 (50%),,39,25 (50%),14 (50%),4 (50%),,0,1,,1,0,,,0,1.333,1.333,44.333,0.913,7.0,2.333,1.333,55.667,1.66,17.333,6.0,2.0,0.0,0.0,1.0,0.19,0.571,0.077,0.222
9796,2022-08-27T14:00:00.000Z,8659,West Bromwich Albion,2,2,True,31,0.88,11,3,1,0,171 (60%),2,6,69,1.86,16,6,4,2,548 (84%),6,4,,5,3,1,7,4,,8,2,0,12,4,0.56,0.32,0.88,0.73,1.78,0.08,1.86,2.22,286,109,62,15 (22%),5 (45%),19,2,655,183,365,19 (34%),7 (27%),19,3,,8,12,2,23,4,,16,11,3,7,1,,43,15 (42%),28 (52%),1 (7%),,47,21 (58%),26 (48%),3 (30%),,1,0,,2,0,,,1,1.25,1.5,41.5,0.927,8.0,3.0,1.25,58.5,1.633,18.5,6.75,2.0,0.0,0.0,0.75,0.156,0.417,0.081,0.222
9796,2022-08-31T18:45:00.000Z,8427,Bristol City,0,2,False,51,1.26,12,4,2,2,384 (80%),3,7,49,1.22,12,7,0,0,361 (77%),6,4,,7,1,1,11,1,,4,1,1,9,3,0.49,0.77,1.26,0.45,0.99,0.23,1.22,2.62,478,298,86,15 (29%),6 (35%),21,2,468,194,167,32 (37%),7 (39%),23,1,,11,12,1,20,5,,21,11,0,15,4,,39,24 (44%),15 (38%),7 (44%),,55,30 (56%),25 (63%),6 (50%),,0,0,,0,0,,,0,1.4,1.6,39.4,0.918,8.6,3.0,1.2,60.6,1.678,18.0,6.6,2.4,0.0,0.0,0.8,0.163,0.467,0.089,0.242
9796,2022-09-04T14:00:00.000Z,8483,Blackpool,0,1,True,64,1.80,15,6,2,2,393 (82%),8,10,36,0.69,7,2,3,2,194 (69%),4,2,,6,3,0,11,4,,2,3,1,4,3,0.68,1.12,1.80,2.15,0.69,0.00,0.69,1.01,482,219,174,16 (31%),8 (21%),24,5,283,107,87,17 (26%),2 (22%),23,1,,7,6,3,13,1,,21,5,3,39,6,,45,21 (37%),24 (55%),10 (50%),,56,36 (63%),20 (45%),7 (70%),,0,0,,3,0,,,0,1.4,1.8,43.6,1.154,10.6,3.8,1.6,56.4,1.71,17.2,6.6,2.0,0.0,0.0,0.8,0.132,0.368,0.105,0.273
9796,2022-09-13T18:45:00.000Z,8528,Wigan Athletic,1,2,True,58,2.00,18,6,3,3,363 (82%),12,4,42,1.82,12,5,2,1,236 (75%),10,5,,10,2,0,10,8,,7,0,1,7,5,1.51,0.50,2.00,0.58,0.67,0.36,1.03,1.37,443,211,152,25 (48%),6 (29%),25,1,314,120,116,29 (40%),6 (26%),18,1,,13,6,0,17,3,,18,12,3,23,4,,47,25 (42%),22 (56%),3 (27%),,51,34 (58%),17 (44%),4 (40%),,2,0,,2,0,,,0,1.2,1.6,44.2,1.332,11.8,4.6,1.6,55.8,1.6,15.0,5.8,2.2,0.0,0.0,0.8,0.102,0.261,0.107,0.276
9796,2022-09-17T14:00:00.000Z,8344,Cardiff City,1,0,True,33,0.93,8,4,2,2,149 (57%),10,1,67,1.15,7,2,1,1,419 (78%),6,3,,4,0,0,7,1,,4,1,0,3,4,0.49,0.45,0.93,0.98,0.15,0.21,0.36,1.11,262,54,95,25 (39%),4 (36%),27,6,539,207,212,43 (47%),3 (17%),35,3,,21,21,1,25,2,,18,13,1,12,2,,52,30 (49%),22 (47%),4 (29%),,56,31 (51%),25 (53%),4 (29%),,4,0,,0,0,,,3,0.8,1.8,47.4,1.382,13.4,4.8,1.8,52.6,1.428,13.8,5.8,2.2,0.0,0.0,0.2,0.06,0.167,0.13,0.31
9796,2022-10-01T14:00:00.000Z,9798,Reading,1,3,False,54,0.72,10,3,1,0,366 (78%),13,1,46,1.71,11,3,1,0,305 (77%),5,5,,5,2,0,5,5,,7,1,0,7,4,0.34,0.38,0.72,0.93,1.11,0.60,1.71,1.29,470,185,181,28 (43%),5 (24%),26,2,395,179,126,40 (48%),7 (35%),23,0,,17,7,1,16,1,,17,10,2,16,2,,46,26 (43%),20 (43%),4 (44%),,62,35 (57%),27 (57%),5 (36%),,3,0,,0,0,14.0,22.0,0,0.8,1.4,47.4,1.374,12.8,4.6,2.0,52.6,1.348,10.8,4.4,2.0,0.0,0.0,0.8,0.062,0.174,0.13,0.318
9796,2022-10-04T18:45:00.000Z,8346,Luton Town,3,3,False,53,0.97,3,3,2,0,260 (72%),9,5,47,2.45,24,10,3,0,219 (70%),9,9,,0,0,0,2,1,,7,7,0,17,7,0.02,0.15,0.18,1.66,1.32,1.13,2.45,3.96,361,133,127,26 (31%),1 (4%),17,0,311,85,134,40 (53%),10 (31%),29,1,,22,7,7,33,7,,5,15,0,19,1,,53,34 (57%),19 (39%),5 (71%),,56,26 (43%),30 (61%),13 (52%),,0,1,,0,0,7.0,40.0,1,0.6,1.6,52.0,1.342,12.6,4.6,2.0,48.0,1.318,9.8,3.8,1.4,2.8,4.4,0.6,0.048,0.13,0.163,0.421
