team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10003,2022-07-30T14:00:00.000Z,8119,Rotherham United,1,1,False,74,0.58,14,5,1,1,523 (89%),6,6,26,0.62,9,8,1,1,126 (63%),12,5,,3,6,0,6,8,,0,1,0,7,2,0.53,0.05,0.58,0.86,0.46,0.17,0.62,1.72,589,255,268,23 (52%),3 (20%),17,3,201,48,78,25 (40%),3 (20%),8,1,,9,3,1,15,7,,16,16,6,11,4,,46,33 (55%),13 (57%),12 (75%),,37,27 (45%),10 (43%),6 (60%),,2,0,,1,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,2022-08-06T14:00:00.000Z,8655,Blackburn Rovers,0,3,True,71,0.44,8,5,0,0,655 (93%),8,5,29,0.48,5,4,2,0,234 (80%),9,4,,2,1,0,6,2,,1,0,0,5,0,0.32,0.12,0.44,0.57,0.46,0.02,0.48,1.34,708,249,406,28 (61%),6 (19%),19,1,292,172,62,28 (51%),1 (14%),15,0,,11,6,0,6,1,,13,9,1,26,5,,28,25 (50%),3 (33%),5 (50%),,31,25 (50%),6 (67%),4 (31%),,3,0,,1,0,,,0,1.0,1.0,74.0,0.58,14.0,5.0,1.0,26.0,0.62,9.0,8.0,1.0,0.0,0.0,1.0,0.071,0.2,0.111,0.125
10003,2022-08-13T14:00:00.000Z,8483,Blackpool,1,0,False,64,1.53,15,5,1,0,444 (85%),13,6,36,1.32,10,4,2,2,214 (73%),6,3,,4,6,1,6,9,,3,3,0,6,4,1.49,0.05,1.53,1.09,0.49,0.04,0.53,1.91,525,235,209,20 (43%),7 (37%),24,2,295,141,73,21 (38%),4 (36%),23,0,,18,7,3,13,4,,14,9,6,17,4,,39,29 (45%),10 (42%),5 (63%),,49,35 (55%),14 (58%),8 (57%),,3,0,,1,0,,,3,0.5,2.0,72.5,0.51,11.0,5.0,0.5,27.5,0.55,7.0,6.0,1.5,0.0,0.0,0.5,0.045,0.1,0.286,0.333
10003,2022-08-16T18:45:00.000Z,10004,Millwall,2,2,True,60,1.50,17,9,2,2,444 (83%),8,6,40,1.52,15,1,0,0,262 (78%),8,7,,4,4,0,6,11,,8,6,2,11,4,1.43,0.08,1.50,2.50,0.85,0.66,1.52,0.20,532,220,224,15 (38%),1 (5%),18,0,338,130,132,35 (53%),7 (32%),13,2,,11,8,6,16,1,,17,10,4,23,7,,42,23 (43%),19 (44%),4 (36%),,54,30 (57%),24 (56%),5 (50%),,2,0,,3,0,,,1,0.667,1.333,69.667,0.85,12.333,5.0,0.667,30.333,0.807,8.0,5.333,1.667,0.0,0.0,1.333,0.054,0.133,0.167,0.25
10003,2022-08-20T14:00:00.000Z,8346,Luton Town,0,2,True,75,1.45,14,2,1,1,524 (83%),7,7,25,0.52,7,5,1,0,128 (62%),12,5,,4,8,0,8,6,,1,1,0,6,1,1.25,0.20,1.45,0.21,0.41,0.11,0.52,1.17,631,241,283,18 (34%),2 (7%),24,1,207,37,91,22 (40%),2 (20%),22,1,,16,6,1,16,3,,16,15,8,39,2,,45,35 (56%),10 (34%),8 (50%),,46,27 (44%),19 (66%),4 (40%),,1,0,,0,0,,,0,1.0,1.5,67.25,1.012,13.5,6.0,1.0,32.75,0.985,9.75,4.25,1.25,0.0,0.0,1.25,0.074,0.167,0.154,0.353
10003,2022-08-27T14:00:00.000Z,8549,Middlesbrough,1,2,False,61,1.29,9,4,1,0,477 (87%),14,4,39,0.85,7,3,1,0,257 (75%),13,8,,1,4,0,5,4,,3,1,1,6,1,0.43,0.07,0.50,1.35,0.51,0.34,0.85,1.75,551,265,212,28 (54%),3 (19%),14,1,342,162,95,29 (43%),4 (20%),28,3,,11,13,1,18,1,,16,7,3,16,3,,44,33 (49%),11 (48%),10 (63%),,46,34 (51%),12 (52%),4 (40%),,2,1,,5,0,,,0,0.8,1.6,68.8,1.1,13.6,5.2,1.0,31.2,0.892,9.2,4.4,1.2,0.0,0.0,1.0,0.059,0.154,0.174,0.364
10003,2022-08-31T18:45:00.000Z,10194,Stoke City,1,1,False,52,0.99,10,5,1,0,337 (79%),8,2,48,2.28,20,4,4,4,269 (72%),12,12,,4,1,0,6,4,,8,8,1,16,4,0.90,0.10,0.99,0.89,1.08,1.19,2.28,0.46,428,201,136,18 (31%),5 (33%),22,1,374,159,110,32 (44%),13 (33%),37,0,,13,11,8,36,3,,10,11,1,13,4,,46,30 (54%),16 (43%),5 (63%),,47,26 (46%),21 (57%),8 (57%),,2,0,,1,0,,,1,0.8,1.8,66.2,1.242,12.6,5.0,1.0,33.8,0.938,8.8,3.4,1.2,0.0,0.0,0.8,0.063,0.16,0.205,0.529
10003,2022-09-03T14:00:00.000Z,10172,Queens Park Rangers,1,0,True,46,2.15,13,4,6,5,326 (76%),8,6,54,0.52,8,3,0,0,413 (82%),9,4,,6,3,0,12,1,,3,2,0,5,3,0.82,0.54,1.37,2.93,0.41,0.11,0.52,0.67,430,229,97,26 (36%),6 (46%),19,4,502,257,156,22 (42%),2 (13%),27,3,,17,11,2,29,3,,9,12,3,7,3,,43,26 (49%),17 (68%),1 (20%),,35,27 (51%),8 (32%),10 (77%),,3,0,,0,0,,,3,1.0,1.4,62.4,1.352,13.0,5.0,1.2,37.6,1.298,11.8,3.4,1.6,0.0,0.0,1.0,0.077,0.2,0.119,0.412
10003,2022-09-13T18:45:00.000Z,8657,Sheffield United,0,1,True,50,1.35,12,2,2,2,380 (81%),9,6,50,1.00,12,3,4,3,378 (81%),13,4,,5,5,0,8,4,,7,2,0,8,4,1.24,0.11,1.35,0.09,0.87,0.13,1.00,1.36,470,176,204,17 (32%),3 (18%),24,2,468,163,215,38 (51%),5 (25%),24,1,,17,17,2,20,2,,22,11,5,16,2,,48,37 (48%),11 (50%),7 (50%),,51,40 (52%),11 (50%),10 (56%),,1,0,,1,0,,,0,1.0,1.4,58.8,1.476,12.6,4.8,2.2,41.2,1.138,11.4,3.2,1.2,0.0,0.0,1.0,0.079,0.208,0.123,0.437
10003,2022-09-17T11:30:00.000Z,8667,Hull City,3,0,True,60,2.39,17,5,4,1,540 (91%),6,5,40,0.27,6,1,0,0,322 (83%),7,3,,5,7,3,14,3,,4,1,0,1,5,2.24,0.15,2.39,1.89,0.24,0.03,0.27,0.05,593,280,260,14 (41%),5 (28%),16,2,389,227,95,21 (48%),3 (27%),24,2,,13,6,1,10,1,,12,6,7,15,2,,29,24 (47%),5 (50%),4 (36%),,32,27 (53%),5 (50%),9 (69%),,1,0,,2,0,,,3,0.6,1.2,56.8,1.446,11.6,3.4,2.2,43.2,1.034,10.8,3.6,2.0,0.0,0.0,0.8,0.052,0.176,0.111,0.333
