team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8528,2022-07-30T14:00:00.000Z,8411,Preston North End,0,0,True,51,1.75,20,5,0,0,301 (79%),9,7,49,1.37,11,2,2,2,280 (75%),17,4,,9,6,0,14,6,,5,4,1,9,2,1.05,0.69,1.75,0.70,0.62,0.75,1.37,0.64,382,126,175,28 (44%),7 (29%),22,0,371,183,97,24 (39%),3 (23%),12,1,,11,10,2,10,2,,14,8,6,20,5,,54,34 (60%),20 (45%),7 (41%),,47,23 (40%),24 (55%),1 (17%),,2,0,,3,1,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8528,2022-08-06T11:30:00.000Z,9850,Norwich City,1,1,False,30,0.60,6,3,2,1,157 (62%),13,0,70,1.24,22,4,1,1,494 (84%),6,9,,1,2,0,5,1,,11,7,1,12,10,0.56,0.05,0.60,1.69,0.99,0.24,1.24,0.45,254,89,68,28 (36%),1 (25%),14,1,585,257,237,29 (50%),3 (10%),23,2,,12,14,7,33,3,,9,4,2,4,2,,31,22 (37%),9 (38%),4 (57%),,52,37 (63%),15 (63%),17 (74%),,4,0,,0,0,,,1,0.0,0.0,51.0,1.75,20.0,5.0,0.0,49.0,1.37,11.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8528,2022-08-13T14:00:00.000Z,8427,Bristol City,1,1,True,57,1.86,13,3,3,2,343 (76%),10,5,43,1.02,5,1,2,1,246 (70%),13,1,,6,4,0,9,4,,2,2,1,5,0,0.36,1.50,1.86,1.16,0.96,0.06,1.02,0.95,454,215,128,27 (42%),7 (29%),19,4,350,139,107,30 (34%),5 (63%),22,2,,11,11,2,8,0,,18,10,3,17,2,,56,30 (48%),26 (70%),6 (40%),,43,32 (52%),11 (30%),4 (40%),,1,0,,2,0,,,1,0.5,0.5,40.5,1.175,13.0,4.0,1.0,59.5,1.305,16.5,3.0,1.5,0.0,0.0,1.0,0.038,0.125,0.03,0.167
8528,2022-08-20T14:00:00.000Z,8658,Birmingham City,1,0,False,42,0.37,5,2,2,1,191 (66%),8,3,58,0.94,14,4,1,1,293 (78%),11,7,,2,1,0,3,2,,8,2,0,8,6,0.19,0.18,0.37,1.07,0.90,0.04,0.94,0.66,291,113,78,31 (43%),2 (20%),24,0,375,154,139,36 (52%),6 (15%),33,0,,20,11,2,28,4,,8,5,1,16,1,,62,34 (54%),28 (72%),3 (43%),,40,29 (46%),11 (28%),13 (62%),,2,1,,0,0,,,3,0.667,0.667,46.0,1.403,13.0,3.667,1.667,54.0,1.21,12.667,2.333,1.667,0.0,0.0,1.0,0.051,0.182,0.053,0.286
8528,2022-08-27T14:00:00.000Z,8191,Burnley,1,5,True,45,1.85,18,4,1,0,257 (72%),8,6,55,0.90,8,6,2,0,349 (78%),8,1,,6,8,0,13,5,,2,0,0,8,0,0.88,0.18,1.06,1.46,0.87,0.03,0.90,1.98,355,177,80,38 (45%),4 (25%),25,4,450,247,102,30 (40%),3 (43%),22,1,,17,7,0,6,1,,11,11,8,12,3,,53,29 (53%),24 (71%),4 (50%),,36,26 (47%),10 (29%),7 (58%),,1,0,,1,0,,,0,0.75,0.5,45.0,1.145,11.0,3.25,1.75,55.0,1.143,13.0,2.75,1.5,0.0,0.0,1.5,0.068,0.231,0.038,0.182
8528,2022-08-30T18:45:00.000Z,8659,West Bromwich Albion,1,1,True,34,0.53,8,3,1,0,136 (51%),12,3,66,0.54,8,3,0,0,424 (81%),12,2,,5,0,0,4,4,,3,2,0,5,3,0.37,0.16,0.53,0.84,0.36,0.17,0.54,0.65,265,65,71,21 (26%),2 (29%),29,1,523,271,153,26 (45%),5 (33%),43,3,,20,22,2,15,2,,9,6,0,11,2,,73,35 (54%),38 (63%),3 (43%),,52,30 (46%),22 (37%),9 (53%),,2,0,,2,0,,,1,0.8,1.4,45.0,1.286,12.4,3.4,1.6,55.0,1.094,12.0,3.4,1.6,0.0,0.0,1.2,0.065,0.235,0.117,0.412
8528,2022-09-03T14:00:00.000Z,8346,Luton Town,2,1,False,51,0.62,9,1,0,0,287 (73%),7,4,49,1.06,15,4,1,1,248 (68%),10,9,,4,4,0,7,2,,3,8,0,9,6,0.52,0.10,0.62,0.17,0.80,0.26,1.06,0.96,394,171,116,32 (34%),3 (23%),18,1,365,112,136,23 (29%),5 (20%),37,2,,12,6,9,36,2,,11,6,4,14,0,,54,26 (49%),28 (58%),5 (42%),,47,27 (51%),20 (42%),9 (82%),,1,0,,1,0,,,3,1.0,1.6,41.6,1.042,10.0,3.0,1.8,58.4,0.928,11.4,3.6,1.2,0.0,0.0,1.2,0.1,0.333,0.14,0.444
8528,2022-09-13T18:45:00.000Z,9796,Huddersfield Town,2,1,False,42,1.82,12,5,2,1,236 (75%),10,5,58,2.00,18,6,3,3,363 (82%),12,4,,7,0,1,7,5,,10,2,0,10,8,0.67,0.36,1.03,1.37,1.51,0.50,2.00,0.58,314,120,116,29 (40%),6 (26%),18,1,443,211,152,25 (48%),6 (29%),25,1,,18,12,3,23,4,,13,6,0,17,3,,51,34 (58%),17 (44%),4 (40%),,47,25 (42%),22 (56%),3 (27%),,2,0,,2,0,,,3,1.2,1.6,45.8,1.046,10.6,2.6,1.4,54.2,0.892,10.0,3.6,1.2,0.0,0.0,1.6,0.113,0.462,0.16,0.444
8528,2022-09-17T14:00:00.000Z,9798,Reading,0,1,True,61,0.57,10,0,1,1,450 (82%),10,1,39,1.25,7,2,2,2,260 (74%),12,3,,8,2,1,6,4,,4,1,0,3,4,0.52,0.04,0.57,0.00,0.95,0.30,1.25,0.85,548,296,154,43 (44%),7 (33%),29,0,352,147,113,29 (37%),2 (15%),16,1,,25,4,1,15,1,,10,11,2,15,0,,75,46 (64%),29 (56%),10 (59%),,49,26 (36%),23 (44%),7 (44%),,3,0,,2,0,,,0,1.4,1.6,42.8,1.038,10.4,3.0,1.2,57.2,1.088,12.6,4.6,1.4,0.0,0.0,2.0,0.135,0.467,0.127,0.348
8528,2022-10-01T14:00:00.000Z,8119,Rotherham United,2,0,False,46,2.06,14,5,3,1,163 (61%),8,4,54,0.76,12,3,0,0,203 (66%),9,8,,4,5,0,6,8,,3,6,0,9,3,1.25,0.81,2.06,2.41,0.38,0.38,0.76,0.44,267,61,102,26 (32%),2 (11%),31,2,308,98,105,24 (32%),8 (33%),24,0,,14,5,7,20,2,,13,13,5,15,3,,43,27 (50%),16 (53%),4 (29%),,41,27 (50%),14 (47%),6 (43%),,1,0,,3,0,12.0,22.0,3,1.2,1.8,46.6,1.078,11.4,2.6,1.0,53.4,1.15,11.2,4.2,1.6,0.0,0.0,1.4,0.105,0.462,0.161,0.429
