team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8521,2022-08-07T13:00:00.000Z,8588,Lens,2,3,False,38,1.22,6,4,2,1,208 (70%),14,3,62,2.54,16,7,6,4,409 (85%),16,6,,1,1,0,4,2,,9,0,0,16,0,0.22,0.21,0.43,1.69,1.10,0.64,1.75,2.50,297,121,87,14 (29%),4 (36%),23,2,484,260,149,21 (46%),6 (50%),21,0,,15,8,0,9,4,,12,7,1,10,2,,47,35 (49%),12 (52%),5 (38%),,47,36 (51%),11 (48%),10 (53%),,4,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8521,2022-08-14T18:45:00.000Z,8592,Marseille,1,1,True,47,2.05,17,5,2,2,309 (78%),10,7,53,0.73,5,2,2,1,367 (78%),15,5,,9,3,1,10,7,,2,1,0,4,1,1.56,0.49,2.05,0.80,0.61,0.12,0.73,1.13,397,131,178,38 (56%),8 (28%),26,1,468,247,120,20 (34%),3 (30%),18,3,,23,12,1,14,1,,16,8,3,29,4,,58,40 (51%),18 (64%),3 (27%),,48,38 (49%),10 (36%),12 (48%),,1,0,,4,0,,,1,2.0,3.0,38.0,1.22,6.0,4.0,2.0,62.0,2.54,16.0,7.0,6.0,0.0,0.0,0.0,0.333,0.5,0.188,0.429
8521,2022-08-21T13:00:00.000Z,8121,Angers,3,1,False,50,1.85,11,7,5,3,421 (86%),10,6,50,0.61,7,5,2,1,434 (86%),9,3,,3,1,0,10,1,,2,0,0,5,2,1.20,0.65,1.85,1.62,0.55,0.06,0.61,1.78,488,216,205,45 (64%),7 (33%),23,4,506,237,197,16 (48%),1 (11%),19,4,,22,12,0,12,4,,24,9,1,10,4,,52,42 (48%),10 (50%),11 (58%),,55,45 (52%),10 (50%),11 (42%),,0,0,,2,1,25.0,12.0,3,1.5,2.0,42.5,1.635,11.5,4.5,2.0,57.5,1.635,10.5,4.5,4.0,0.0,0.0,0.5,0.13,0.333,0.19,0.444
8521,2022-08-28T13:00:00.000Z,10249,Montpellier,0,7,True,52,0.27,6,0,0,0,301 (79%),15,5,48,2.63,14,8,3,1,281 (79%),16,4,,3,3,0,4,2,,4,2,1,13,1,0.12,0.15,0.27,0.00,1.80,0.82,2.63,3.08,380,151,150,32 (60%),4 (24%),22,1,357,176,105,19 (39%),4 (33%),22,1,,10,10,2,8,1,,18,6,3,20,0,,45,30 (44%),15 (54%),4 (33%),,51,38 (56%),13 (46%),7 (58%),,0,1,,2,0,,,0,2.0,1.667,45.0,1.707,11.333,5.333,3.0,55.0,1.293,9.333,4.667,3.333,8.333,4.0,1.333,0.176,0.375,0.179,0.357
8521,2022-08-31T19:00:00.000Z,9851,Rennes,1,3,False,35,0.51,7,2,0,0,239 (71%),6,3,65,1.51,16,9,3,1,552 (87%),11,7,,3,2,1,3,4,,3,4,0,11,5,0.41,0.10,0.51,0.69,1.20,0.31,1.51,3.03,339,119,120,32 (40%),2 (13%),23,2,637,265,287,31 (66%),5 (29%),27,3,,25,13,4,20,6,,10,7,2,15,1,,50,37 (57%),13 (46%),2 (20%),,43,28 (43%),15 (54%),12 (44%),,0,0,,2,0,9.0,41.0,0,1.5,3.0,46.75,1.347,10.0,4.0,2.25,53.25,1.627,10.5,5.5,3.25,6.25,3.0,1.0,0.15,0.375,0.286,0.545
8521,2022-09-04T13:00:00.000Z,9848,Strasbourg,1,1,True,59,0.80,11,2,1,1,398 (82%),15,7,41,2.39,10,3,4,3,248 (73%),9,3,,4,5,0,8,3,,4,3,0,5,5,0.57,0.23,0.80,0.55,1.53,0.08,1.61,2.33,485,185,213,44 (64%),11 (31%),21,2,340,110,138,23 (40%),4 (31%),19,1,,15,15,3,15,2,,13,11,5,16,1,,45,27 (39%),18 (53%),3 (30%),,58,42 (61%),16 (47%),17 (74%),,3,0,,1,1,16.0,24.0,1,1.4,3.0,44.4,1.18,9.4,3.6,1.8,55.6,1.604,11.6,6.2,3.2,6.8,10.6,0.8,0.149,0.389,0.259,0.484
8521,2022-09-10T15:00:00.000Z,9847,Paris Saint-Germain,0,1,False,39,1.09,6,3,2,2,352 (83%),16,5,61,1.73,13,4,4,3,599 (89%),13,3,,3,0,0,2,4,,5,4,1,11,2,0.31,0.02,0.31,1.29,1.57,0.16,1.73,1.34,425,197,155,28 (51%),4 (27%),11,1,671,271,328,17 (68%),2 (33%),17,3,,21,20,2,17,3,,15,11,0,14,3,,46,37 (48%),9 (47%),3 (33%),,50,40 (52%),10 (53%),9 (43%),,2,0,,4,0,,,0,1.2,2.6,48.6,1.096,10.4,3.2,1.6,51.4,1.574,10.4,5.4,2.8,10.0,15.4,1.0,0.115,0.375,0.25,0.481
8521,2022-09-18T13:00:00.000Z,8576,AC Ajaccio,0,1,True,59,0.58,8,4,1,1,372 (74%),13,6,41,0.53,6,4,1,0,232 (65%),12,2,,2,2,0,7,1,,1,1,0,4,2,0.50,0.08,0.58,0.97,0.40,0.13,0.53,1.01,501,196,176,46 (58%),8 (29%),33,2,356,154,78,24 (31%),1 (10%),21,0,,12,10,1,11,3,,16,20,2,25,4,,56,27 (42%),29 (58%),4 (33%),,59,38 (58%),21 (42%),10 (56%),,2,0,,2,0,25.0,5.0,0,1.0,2.6,47.0,0.904,8.2,2.8,1.6,53.0,1.774,12.0,5.8,3.2,11.36,17.52,0.8,0.122,0.357,0.217,0.448
8521,2022-10-02T13:00:00.000Z,8583,Auxerre,1,1,False,51,0.57,9,2,1,1,383 (85%),18,6,49,1.44,11,3,1,0,375 (86%),15,0,,5,2,0,6,3,,5,3,1,4,7,0.45,0.12,0.57,0.58,0.61,0.04,0.65,1.51,453,179,204,31 (51%),5 (22%),15,2,438,228,147,40 (63%),5 (36%),12,0,,13,11,3,11,2,,16,15,2,24,1,,50,33 (42%),17 (55%),6 (50%),,60,46 (58%),14 (45%),14 (70%),,4,0,,1,1,17.0,18.0,1,0.4,2.6,48.8,0.65,7.6,2.2,0.8,51.2,1.758,11.8,5.6,3.0,11.36,16.12,0.2,0.053,0.182,0.22,0.464
8521,2022-10-09T13:00:00.000Z,8689,Lorient,1,2,True,50,0.91,11,4,1,0,338 (77%),14,7,50,1.12,14,5,1,0,356 (80%),13,8,,5,2,0,8,3,,5,4,0,8,6,0.69,0.22,0.91,0.77,1.08,0.04,1.12,1.90,437,187,151,19 (37%),10 (29%),22,0,445,205,151,16 (36%),1 (5%),17,1,,25,10,4,15,3,,10,15,2,25,3,,54,42 (57%),12 (32%),4 (80%),,58,32 (43%),26 (68%),9 (38%),,3,0,,1,0,27.0,17.0,0,0.6,1.4,48.6,0.71,8.2,2.6,1.0,51.4,1.52,11.2,4.6,2.6,14.76,19.72,0.4,0.073,0.231,0.125,0.304
