team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10249,2022-08-07T13:00:00.000Z,10242,Troyes,3,2,True,53,1.76,17,6,2,1,335 (84%),13,3,47,2.02,16,10,2,1,285 (83%),10,6,,4,7,0,8,9,,4,2,0,11,5,1.43,0.32,1.76,1.85,1.10,0.14,1.23,2.89,398,177,158,23 (59%),2 (17%),20,4,342,172,113,35 (65%),10 (45%),16,0,,15,7,2,6,8,,17,15,7,15,3,,37,29 (42%),8 (35%),5 (42%),,55,40 (58%),15 (65%),11 (73%),,1,0,,0,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10249,2022-08-13T19:00:00.000Z,9847,Paris Saint-Germain,2,5,False,41,0.85,7,4,2,0,371 (87%),18,0,59,3.19,20,10,4,1,562 (92%),15,11,,2,1,0,4,3,,7,3,0,13,7,0.85,0.00,0.85,1.49,1.16,0.46,1.61,5.18,425,250,121,27 (69%),1 (25%),8,1,611,124,438,19 (90%),4 (29%),6,1,,22,9,2,17,6,,18,14,1,2,2,,53,48 (48%),5 (50%),11 (58%),,58,53 (52%),5 (50%),19 (54%),,1,0,,2,0,,,0,3.0,2.0,53.0,1.76,17.0,6.0,2.0,47.0,2.02,16.0,10.0,2.0,0.0,0.0,3.0,0.176,0.5,0.125,0.2
10249,2022-08-21T13:00:00.000Z,8583,Auxerre,1,2,True,64,1.01,13,7,0,0,493 (88%),10,7,36,1.30,7,2,2,0,257 (82%),13,2,,3,3,0,9,4,,4,1,0,3,4,0.81,0.20,1.01,1.18,0.30,0.21,0.51,1.74,561,262,231,25 (51%),9 (35%),22,2,314,143,114,30 (56%),3 (27%),10,0,,12,8,1,6,0,,17,9,3,27,6,,46,38 (54%),8 (42%),13 (62%),,44,33 (46%),11 (58%),6 (50%),,1,2,,1,2,,,0,2.5,3.5,47.0,1.305,12.0,5.0,2.0,53.0,2.605,18.0,10.0,3.0,0.0,0.0,1.5,0.208,0.5,0.194,0.35
10249,2022-08-28T13:00:00.000Z,8521,Brest,7,0,False,48,2.63,14,8,3,1,281 (79%),16,4,52,0.27,6,0,0,0,301 (79%),15,5,,4,2,1,13,1,,3,3,0,4,2,1.80,0.82,2.63,3.08,0.12,0.15,0.27,0.00,357,176,105,19 (39%),4 (33%),22,1,380,151,150,32 (60%),4 (24%),22,1,,18,6,3,20,0,,10,10,2,8,1,,51,38 (56%),13 (46%),7 (58%),,45,30 (44%),15 (54%),4 (33%),,2,0,,0,1,,,3,2.0,3.0,52.667,1.207,12.333,5.667,1.333,47.333,2.17,14.333,7.333,2.667,0.0,0.0,1.0,0.162,0.353,0.209,0.409
10249,2022-08-31T17:00:00.000Z,8576,AC Ajaccio,2,0,True,38,1.73,9,4,2,0,218 (71%),9,3,62,1.19,15,0,1,1,406 (84%),17,8,,2,3,0,7,2,,9,6,0,11,4,1.50,0.23,1.73,1.66,0.65,0.53,1.19,0.94,309,144,74,24 (36%),4 (67%),20,1,481,155,251,29 (56%),13 (41%),24,1,,16,14,6,28,0,,14,6,3,9,2,,54,33 (51%),21 (48%),3 (30%),,55,32 (49%),23 (52%),9 (56%),,2,1,,2,1,13.0,18.0,3,3.25,2.25,51.5,1.562,12.75,6.25,1.75,48.5,1.695,12.25,5.5,2.0,0.0,0.0,1.5,0.255,0.52,0.184,0.409
10249,2022-09-04T11:00:00.000Z,8639,Lille,1,3,True,24,0.49,4,2,2,1,138 (64%),8,1,76,1.68,26,8,1,1,603 (89%),11,9,,0,2,0,2,2,,9,9,2,14,12,0.35,0.14,0.49,0.09,1.33,0.35,1.68,1.94,216,83,55,17 (32%),1 (13%),20,2,681,182,421,32 (70%),7 (30%),22,3,,20,11,8,27,5,,17,7,3,11,0,,44,32 (49%),12 (36%),2 (22%),,54,33 (51%),21 (64%),8 (36%),,0,1,,4,0,,,0,3.0,1.8,48.8,1.596,12.0,5.8,1.8,51.2,1.594,12.8,4.4,1.8,2.6,3.6,1.8,0.25,0.517,0.141,0.409
10249,2022-09-11T13:00:00.000Z,8121,Angers,1,2,False,55,0.73,7,2,2,1,370 (81%),12,5,45,2.53,11,5,5,3,289 (77%),15,2,,4,1,0,5,2,,3,3,1,11,0,0.36,0.37,0.73,1.47,1.13,0.61,1.74,1.72,458,218,152,25 (48%),5 (28%),31,2,374,148,141,25 (49%),3 (27%),22,2,,17,7,3,7,3,,28,7,1,17,1,,52,37 (44%),15 (50%),5 (33%),,63,48 (56%),15 (50%),8 (50%),,4,0,,2,0,13.0,19.0,0,2.6,2.0,43.0,1.342,9.4,5.0,1.8,57.0,1.526,14.8,4.0,1.6,2.6,3.6,1.2,0.277,0.52,0.135,0.5
10249,2022-09-17T15:00:00.000Z,9848,Strasbourg,2,1,True,50,1.79,10,4,4,2,265 (75%),11,8,50,0.65,8,2,1,1,267 (76%),20,6,,5,1,1,9,1,,5,1,0,6,2,0.59,0.41,1.00,1.27,0.47,0.18,0.65,0.54,354,132,133,35 (47%),4 (18%),28,3,351,124,143,32 (47%),4 (19%),31,2,,18,9,1,23,1,,16,8,1,22,2,,59,40 (53%),19 (49%),3 (33%),,55,35 (47%),20 (51%),8 (44%),,4,0,,4,0,,,3,2.4,1.4,45.8,1.318,9.4,4.6,1.8,54.2,1.394,13.0,3.0,1.8,5.2,7.4,1.2,0.255,0.522,0.108,0.467
10249,2022-10-02T13:00:00.000Z,9941,Toulouse,2,4,False,57,1.13,23,6,3,2,357 (83%),7,12,43,1.68,12,6,4,1,266 (78%),13,3,,6,11,0,11,12,,6,0,0,9,3,0.70,0.43,1.13,1.71,0.94,0.74,1.68,2.64,432,163,194,30 (60%),7 (21%),26,3,342,140,126,29 (59%),3 (33%),19,1,,23,6,1,5,1,,14,12,11,32,3,,51,44 (64%),7 (28%),8 (73%),,43,25 (36%),18 (72%),4 (33%),,4,0,,3,1,32.0,22.0,0,2.6,1.2,43.0,1.474,8.8,4.0,2.6,57.0,1.264,13.2,3.0,1.6,5.72,8.12,1.8,0.295,0.65,0.091,0.4
10249,2022-10-09T11:00:00.000Z,9829,Monaco,0,2,True,51,0.76,11,1,0,0,324 (79%),13,7,49,1.22,11,7,1,0,329 (80%),16,2,,8,2,0,6,5,,3,1,0,5,6,0.33,0.43,0.76,0.11,1.05,0.17,1.22,2.05,411,165,159,25 (42%),5 (21%),14,1,413,125,204,35 (61%),1 (6%),28,0,,23,14,1,20,5,,12,11,2,29,1,,57,47 (57%),10 (43%),9 (64%),,49,36 (43%),13 (57%),11 (42%),,2,0,,3,0,24.0,25.0,0,1.6,2.0,44.8,1.174,10.6,3.6,2.6,55.2,1.546,14.4,4.2,2.4,12.12,12.52,1.2,0.151,0.444,0.139,0.476
10249,2022-10-15T19:00:00.000Z,8588,Lens,0,1,False,34,0.77,8,1,0,0,218 (67%),10,5,66,1.76,17,5,4,3,555 (87%),12,4,,5,2,0,4,4,,9,3,0,11,6,0.50,0.27,0.77,0.07,1.72,0.04,1.76,1.55,324,148,70,13 (22%),3 (20%),24,2,641,276,279,41 (68%),4 (17%),18,1,,20,13,3,22,5,,9,8,2,9,1,,46,37 (61%),9 (35%),7 (64%),,41,24 (39%),17 (65%),6 (43%),,2,0,,2,0,9.0,28.0,0,1.2,2.4,47.4,0.98,11.0,3.0,2.2,52.6,1.552,13.6,5.6,2.4,14.32,13.92,0.6,0.109,0.4,0.176,0.429
10249,2022-10-22T15:00:00.000Z,9748,Lyon,1,2,True,37,1.16,10,4,2,1,242 (75%),9,4,63,2.73,21,10,3,1,460 (86%),18,7,,5,1,0,6,4,,2,9,0,16,5,0.73,0.43,1.16,1.04,2.27,0.46,2.73,2.35,321,139,103,19 (41%),3 (30%),21,2,532,230,230,30 (67%),7 (30%),18,3,,15,7,8,19,8,,17,8,1,14,3,,49,38 (54%),11 (38%),6 (40%),,50,32 (46%),18 (62%),6 (50%),,2,1,,2,1,14.0,44.0,0,1.0,2.0,49.4,1.036,11.8,2.8,1.8,50.6,1.568,11.8,5.0,3.0,16.12,19.52,0.6,0.085,0.357,0.169,0.4
10249,2022-10-30T14:00:00.000Z,9851,Rennes,0,3,False,44,0.90,8,3,2,2,327 (80%),12,4,56,1.22,14,3,3,1,440 (84%),15,3,,4,1,0,3,5,,7,4,1,7,7,0.82,0.07,0.90,1.40,0.90,0.31,1.22,0.89,409,199,128,21 (44%),6 (32%),16,5,524,176,264,44 (65%),4 (24%),16,0,,20,11,4,15,1,,10,12,1,16,3,,51,39 (55%),12 (52%),5 (56%),,43,32 (45%),11 (48%),10 (50%),,2,0,,1,0,10.0,24.0,0,1.0,2.0,45.8,1.122,12.4,3.2,1.8,54.2,1.608,13.8,6.0,2.6,16.32,24.52,0.6,0.081,0.312,0.145,0.333
10249,2022-11-06T14:00:00.000Z,8311,Clermont Foot,1,1,False,46,1.16,7,3,2,1,255 (72%),17,1,54,3.47,16,7,5,4,296 (74%),14,5,,3,1,0,3,4,,6,3,1,11,5,0.36,0.02,0.37,1.17,0.83,1.06,1.89,2.76,354,126,129,26 (39%),1 (8%),20,1,399,171,125,29 (48%),9 (33%),29,1,,19,15,3,17,6,,28,10,1,11,2,,55,42 (45%),13 (34%),10 (45%),,77,52 (55%),25 (66%),8 (38%),,2,0,,1,0,15.0,30.0,1,0.6,2.4,44.6,0.944,12.0,3.0,1.4,55.4,1.722,15.0,6.2,3.0,17.8,28.6,0.0,0.05,0.2,0.16,0.387
10249,2022-11-13T14:00:00.000Z,9837,Reims,1,1,True,49,1.71,16,8,3,3,243 (70%),15,11,51,2.23,17,4,3,2,272 (72%),15,7,,5,3,0,9,7,,5,8,1,11,6,1.54,0.17,1.71,1.48,1.58,0.65,2.23,0.87,345,100,143,30 (45%),8 (21%),31,1,378,147,125,20 (36%),4 (21%),31,2,,20,14,8,18,3,,20,22,2,32,7,,60,42 (51%),18 (47%),9 (50%),,60,40 (49%),20 (53%),6 (43%),,2,0,,2,0,24.0,19.0,1,0.4,1.8,42.4,0.95,8.8,2.4,1.2,57.6,2.08,15.8,6.4,3.2,14.4,30.2,0.2,0.045,0.167,0.114,0.281
10249,2022-12-29T16:00:00.000Z,8689,Lorient,2,0,False,52,1.69,14,6,3,2,386 (78%),15,2,48,1.03,12,4,1,1,364 (82%),15,5,,3,5,0,8,6,,7,1,1,9,3,1.64,0.06,1.69,2.55,0.96,0.07,1.03,0.50,498,221,165,20 (30%),2 (15%),21,2,443,202,162,13 (33%),5 (24%),21,0,,13,4,1,15,4,,19,15,5,8,4,,55,41 (49%),14 (47%),13 (76%),,58,42 (51%),16 (53%),8 (50%),,4,0,,3,0,16.0,16.0,3,0.6,1.6,42.0,1.14,9.8,3.8,1.8,58.0,2.282,17.0,5.8,3.6,14.4,29.0,0.4,0.061,0.158,0.094,0.276
10249,2023-01-02T18:00:00.000Z,8592,Marseille,1,2,True,40,1.37,8,1,2,1,242 (76%),10,5,60,1.48,17,8,2,2,407 (84%),14,7,,3,4,1,6,2,,3,6,0,12,5,0.50,0.08,0.58,1.00,0.77,0.71,1.48,2.09,317,99,143,20 (47%),2 (11%),23,3,483,198,209,45 (70%),7 (29%),20,2,,19,6,7,16,6,,18,12,4,13,0,,52,40 (54%),12 (57%),7 (44%),,43,34 (46%),9 (43%),7 (33%),,2,0,,2,1,14.0,34.0,0,1.0,1.4,45.6,1.324,11.0,4.8,2.4,54.4,2.136,16.0,5.6,3.0,15.8,26.6,1.0,0.091,0.208,0.087,0.25
10249,2023-01-11T20:00:00.000Z,9831,Nice,1,6,False,41,0.22,4,2,0,0,271 (80%),17,4,59,2.52,16,10,6,2,423 (86%),16,3,,2,0,0,2,2,,2,4,1,13,3,0.04,0.18,0.22,0.37,2.08,0.44,2.52,3.91,338,163,108,26 (63%),2 (17%),24,3,491,223,200,25 (74%),4 (25%),12,0,,32,10,4,17,4,,32,7,0,16,1,,59,52 (47%),7 (58%),5 (23%),,63,58 (53%),5 (42%),11 (33%),,1,0,,1,0,12.0,33.0,0,1.0,1.4,46.2,1.366,10.6,4.2,2.4,53.8,1.886,15.2,5.2,2.8,15.8,24.6,1.0,0.094,0.238,0.092,0.269
10249,2023-01-15T14:00:00.000Z,9830,Nantes,0,3,True,46,0.87,11,5,1,1,277 (76%),13,3,54,0.65,12,7,1,0,334 (80%),14,5,,4,2,1,9,2,,3,2,0,5,7,0.58,0.28,0.87,0.78,0.58,0.07,0.65,1.80,366,152,125,22 (45%),3 (17%),28,1,418,175,159,26 (54%),5 (18%),20,2,,13,3,2,25,4,,15,11,2,17,5,,53,32 (50%),21 (47%),5 (38%),,56,32 (50%),24 (53%),5 (45%),,1,2,,2,0,22.0,24.0,0,1.2,2.0,45.6,1.23,9.8,4.0,2.0,54.4,2.146,15.6,6.6,3.4,16.2,26.4,1.0,0.122,0.3,0.128,0.303
10249,2023-01-29T14:00:00.000Z,8583,Auxerre,2,0,False,42,0.71,4,3,1,0,243 (70%),18,3,58,1.03,16,5,2,2,380 (81%),13,5,,1,0,0,4,0,,10,1,2,11,5,0.63,0.08,0.71,0.68,0.71,0.32,1.03,1.84,346,138,105,26 (41%),3 (30%),22,0,469,209,171,42 (68%),5 (17%),36,0,,28,13,1,23,5,,24,13,0,11,1,,55,44 (48%),11 (44%),3 (21%),,62,48 (52%),14 (56%),7 (37%),,3,0,,1,0,10.0,31.0,3,1.0,2.4,45.6,1.172,10.6,4.4,1.8,54.4,1.582,14.8,6.6,2.6,17.6,25.2,0.8,0.094,0.227,0.162,0.364
10249,2023-02-01T20:00:00.000Z,9847,Paris Saint-Germain,1,3,True,34,0.50,6,3,0,0,268 (75%),9,1,66,4.37,19,8,9,6,633 (89%),12,3,,3,0,0,3,3,,7,4,2,14,5,0.31,0.19,0.50,1.01,3.25,0.33,3.58,4.44,356,168,100,22 (50%),2 (18%),7,3,708,230,403,32 (78%),3 (23%),15,4,,17,16,4,11,5,,15,11,0,10,2,,42,37 (51%),5 (38%),8 (57%),,44,36 (49%),8 (62%),13 (57%),,1,0,,1,0,14.0,30.0,0,1.2,2.2,44.2,0.972,8.2,3.4,1.4,55.8,1.342,14.6,6.8,2.4,14.8,27.6,1.2,0.146,0.353,0.151,0.324
10249,2023-02-05T14:00:00.000Z,9848,Strasbourg,0,2,False,68,0.86,11,0,1,1,473 (84%),16,7,32,0.86,6,2,3,1,182 (66%),11,4,,5,6,0,7,4,,1,3,0,6,0,0.79,0.07,0.86,0.00,0.81,0.05,0.86,1.13,566,233,240,42 (62%),10 (30%),21,5,275,106,76,29 (40%),3 (43%),23,0,,14,8,3,4,0,,21,12,6,30,0,,50,33 (42%),17 (43%),8 (40%),,68,45 (58%),23 (58%),9 (53%),,1,0,,3,1,25.0,9.0,0,1.0,2.8,40.6,0.734,6.6,2.8,0.8,59.4,2.01,16.0,7.6,4.0,14.4,30.4,0.6,0.152,0.357,0.175,0.368
