team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9941,2022-08-07T11:00:00.000Z,9831,Nice,1,1,True,46,0.89,6,4,3,2,370 (81%),10,6,54,1.22,11,4,1,0,459 (84%),8,3,,1,1,0,6,0,,7,0,1,7,4,0.81,0.08,0.89,1.43,1.07,0.15,1.22,0.99,456,205,165,36 (56%),5 (28%),18,2,544,265,194,16 (44%),5 (36%),24,2,,23,16,0,11,3,,15,9,2,9,2,,51,37 (49%),14 (64%),7 (64%),,46,38 (51%),8 (36%),14 (64%),,1,0,,2,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9941,2022-08-14T13:00:00.000Z,10242,Troyes,3,0,False,68,1.56,10,4,3,2,500 (87%),19,6,32,0.98,12,2,1,1,202 (76%),14,6,,2,4,0,6,4,,5,5,0,9,3,1.53,0.03,1.56,1.27,0.58,0.40,0.98,0.08,575,299,201,39 (65%),2 (11%),13,2,265,142,60,13 (31%),5 (29%),11,2,,21,5,6,11,1,,19,4,4,15,2,,46,35 (42%),11 (52%),1 (10%),,58,48 (58%),10 (48%),10 (53%),,1,0,,2,0,,,3,1.0,1.0,46.0,0.89,6.0,4.0,3.0,54.0,1.22,11.0,4.0,1.0,0.0,0.0,1.0,0.167,0.25,0.091,0.25
9941,2022-08-21T13:00:00.000Z,8689,Lorient,2,2,True,52,1.88,16,8,4,2,368 (82%),14,3,48,2.54,14,4,4,3,362 (85%),10,6,,6,2,0,12,4,,7,3,0,9,5,0.81,1.06,1.88,2.69,0.85,0.12,0.96,3.11,450,181,187,20 (51%),12 (50%),18,2,428,231,131,20 (44%),1 (9%),19,2,,19,12,3,15,2,,20,10,2,17,6,,54,39 (44%),15 (68%),10 (45%),,57,50 (56%),7 (32%),16 (67%),,2,0,,1,0,,,1,2.0,0.5,57.0,1.225,8.0,4.0,3.0,43.0,1.1,11.5,3.0,1.0,0.0,0.0,2.0,0.25,0.5,0.043,0.167
9941,2022-08-28T11:00:00.000Z,9830,Nantes,1,3,False,50,0.60,9,3,0,0,334 (81%),9,5,50,1.55,16,8,4,2,330 (80%),11,4,,3,3,1,9,0,,5,3,1,13,3,0.45,0.15,0.60,0.34,1.44,0.11,1.55,3.31,414,192,142,31 (53%),1 (7%),21,2,412,151,179,27 (40%),11 (58%),21,2,,16,14,3,19,5,,13,14,3,13,2,,54,34 (49%),20 (69%),8 (62%),,44,35 (51%),9 (31%),14 (61%),,3,0,,0,0,,,0,2.0,1.0,55.333,1.443,10.667,5.333,3.333,44.667,1.58,12.333,3.333,2.0,0.0,0.0,1.667,0.187,0.375,0.081,0.3
9941,2022-08-31T19:00:00.000Z,9847,Paris Saint-Germain,0,3,True,38,0.76,14,7,0,0,310 (85%),10,3,62,2.84,20,13,8,6,543 (90%),7,9,,5,2,0,7,7,,6,1,1,16,4,0.68,0.09,0.76,0.73,2.40,0.44,2.84,4.87,364,162,148,27 (68%),2 (20%),12,1,606,273,270,20 (69%),2 (18%),18,1,,35,12,1,15,9,,14,12,2,4,7,,46,45 (58%),1 (17%),5 (36%),,37,32 (42%),5 (83%),9 (32%),,1,0,,0,0,,,0,1.75,1.5,54.0,1.232,10.25,4.75,2.5,46.0,1.573,13.25,4.5,2.5,0.0,0.0,1.25,0.171,0.368,0.113,0.333
9941,2022-09-04T13:00:00.000Z,8311,Clermont Foot,0,2,False,67,1.35,14,4,2,2,435 (85%),12,6,33,1.30,12,3,2,0,188 (75%),14,4,,7,3,2,8,6,,4,5,0,8,4,1.02,0.33,1.35,0.67,0.65,0.65,1.30,1.42,509,206,229,39 (71%),6 (20%),28,2,250,98,90,23 (48%),3 (14%),16,1,,21,6,5,18,1,,18,15,4,23,3,,55,37 (47%),18 (75%),4 (24%),,48,42 (53%),6 (25%),13 (59%),,1,0,,4,0,,,0,1.4,1.8,50.8,1.138,11.0,5.2,2.0,49.2,1.826,14.6,6.2,3.6,0.0,0.0,1.0,0.127,0.269,0.123,0.29
9941,2022-09-11T13:00:00.000Z,9837,Reims,1,0,True,47,1.31,14,3,5,4,297 (76%),17,4,53,1.01,11,1,1,1,332 (76%),11,6,,9,2,0,7,7,,5,5,0,8,3,1.20,0.10,1.31,1.58,0.94,0.07,1.01,0.03,393,147,150,32 (46%),2 (25%),13,1,438,187,145,17 (34%),5 (24%),22,0,,32,22,5,29,1,,14,6,2,7,2,,60,46 (53%),14 (54%),4 (44%),,52,40 (47%),12 (46%),9 (39%),,1,0,,2,1,,,3,1.2,2.0,55.0,1.23,12.6,5.2,1.8,45.0,1.842,14.8,6.0,3.8,0.0,0.0,0.8,0.095,0.231,0.135,0.333
9941,2022-09-17T19:00:00.000Z,8639,Lille,1,2,False,55,0.86,14,5,1,1,375 (79%),14,7,45,1.05,10,4,2,1,309 (76%),20,5,,5,4,0,8,6,,3,3,0,7,3,0.50,0.36,0.86,0.44,0.83,0.22,1.05,1.36,475,218,157,28 (50%),5 (17%),33,5,408,154,155,17 (33%),4 (44%),31,1,,18,20,3,10,2,,20,14,4,23,4,,73,54 (55%),19 (51%),16 (59%),,63,45 (45%),18 (49%),11 (58%),,0,0,,2,0,,,0,0.8,2.0,50.8,1.18,13.4,5.0,2.2,49.2,1.848,14.6,5.8,3.8,0.0,0.0,0.8,0.06,0.16,0.137,0.345
9941,2022-10-02T13:00:00.000Z,10249,Montpellier,4,2,True,43,1.68,12,6,4,1,266 (78%),13,3,57,1.13,23,6,3,2,357 (83%),7,12,,6,0,0,9,3,,6,11,0,11,12,0.94,0.74,1.68,2.64,0.70,0.43,1.13,1.71,342,140,126,29 (59%),3 (33%),19,1,432,163,194,30 (60%),7 (21%),26,3,,14,12,11,32,3,,23,6,1,5,1,,43,25 (36%),18 (72%),4 (33%),,51,44 (64%),7 (28%),8 (73%),,3,1,,4,0,22.0,32.0,3,0.6,2.0,51.4,0.976,13.0,4.4,1.6,48.6,1.55,13.8,5.8,3.4,0.0,0.0,0.6,0.046,0.136,0.145,0.345
9941,2022-10-07T19:00:00.000Z,9748,Lyon,1,1,False,42,0.53,5,2,1,0,302 (76%),11,5,58,1.42,19,8,2,2,461 (83%),13,4,,3,0,2,3,2,,6,5,0,8,11,0.42,0.11,0.53,0.68,1.27,0.15,1.42,1.24,399,160,142,29 (48%),1 (7%),19,1,556,179,282,22 (50%),4 (31%),25,2,,14,10,5,24,7,,18,7,0,13,1,,43,34 (45%),9 (36%),7 (39%),,57,41 (55%),16 (64%),14 (70%),,2,0,,2,0,9.0,24.0,1,1.2,1.8,50.0,1.192,13.6,5.0,2.4,50.0,1.466,15.2,5.4,3.2,4.4,6.4,1.2,0.088,0.24,0.118,0.333
9941,2022-10-16T11:00:00.000Z,8121,Angers,3,2,True,55,2.43,14,7,3,2,383 (83%),12,2,45,1.20,13,6,3,3,289 (79%),15,8,,6,1,0,6,8,,4,3,1,6,7,1.54,0.11,1.64,1.87,1.17,0.03,1.20,1.20,464,228,155,23 (43%),2 (13%),13,2,367,169,120,20 (45%),1 (6%),10,0,,24,7,4,14,3,,18,10,2,15,3,,53,42 (50%),11 (58%),5 (31%),,50,42 (50%),8 (42%),13 (54%),,3,0,,2,0,26.0,19.0,3,1.4,1.4,50.8,1.146,11.8,4.0,2.6,49.2,1.182,15.0,4.4,2.0,6.2,11.2,1.4,0.119,0.35,0.093,0.318
