team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9789,2022-08-06T16:30:00.000Z,8178,Bayer Leverkusen,1,0,True,45,1.62,14,4,3,2,299 (75%),13,3,55,1.31,8,3,2,2,383 (80%),13,3,,9,1,1,7,7,,4,1,0,3,5,1.45,0.17,1.62,1.91,1.01,0.30,1.31,0.92,398,145,154,22 (39%),2 (17%),22,2,480,206,177,10 (32%),3 (19%),24,4,,25,14,1,21,3,,23,11,1,8,3,,58,45 (48%),13 (68%),9 (38%),,55,49 (52%),6 (32%),13 (45%),,2,0,,4,1,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789,2022-08-12T18:30:00.000Z,8358,SC Freiburg,3,1,False,61,1.12,13,6,1,1,424 (84%),10,2,39,1.02,16,7,2,2,219 (72%),16,9,,6,1,0,7,6,,5,4,0,8,8,1.01,0.11,1.12,1.20,0.77,0.25,1.02,1.43,507,257,167,21 (41%),2 (13%),19,2,303,87,132,30 (49%),8 (28%),21,3,,16,10,3,24,6,,17,11,1,14,3,,67,44 (57%),23 (53%),12 (60%),,53,33 (43%),20 (47%),6 (40%),,3,0,,1,0,,,3,1.0,0.0,45.0,1.62,14.0,4.0,3.0,55.0,1.31,8.0,3.0,2.0,0.0,0.0,3.0,0.071,0.25,0.0,0.0
9789,2022-08-20T13:30:00.000Z,8697,Werder Bremen,2,3,True,49,0.51,6,4,1,1,323 (78%),13,3,51,1.31,14,7,1,1,328 (76%),9,5,,1,1,1,2,4,,4,3,0,8,6,0.49,0.02,0.51,0.95,0.99,0.32,1.31,2.86,413,210,113,14 (30%),0 (0%),28,7,432,162,166,32 (49%),3 (27%),21,3,,18,7,2,17,4,,17,12,1,20,2,,45,35 (51%),10 (42%),8 (40%),,48,34 (49%),14 (58%),4 (31%),,4,0,,1,0,,,0,2.0,0.5,53.0,1.37,13.5,5.0,2.0,47.0,1.165,12.0,5.0,2.0,0.0,0.0,3.0,0.148,0.4,0.042,0.1
9789,2022-08-27T13:30:00.000Z,8177,Hertha BSC,1,0,False,62,2.70,22,7,6,6,501 (86%),9,10,38,0.49,13,3,0,0,272 (76%),8,6,,10,5,2,20,2,,8,2,0,4,9,2.30,0.40,2.70,1.34,0.35,0.15,0.49,0.62,583,282,219,24 (47%),6 (25%),20,0,360,151,121,23 (48%),3 (27%),13,1,,16,11,2,11,3,,21,9,6,16,5,,47,35 (43%),12 (44%),11 (55%),,61,46 (57%),15 (56%),16 (73%),,0,0,,1,0,,,3,2.0,1.333,51.667,1.083,11.0,4.667,1.667,48.333,1.213,12.667,5.667,1.667,0.0,0.0,2.0,0.182,0.429,0.105,0.235
9789,2022-09-02T18:30:00.000Z,8226,TSG Hoffenheim,1,0,True,50,1.99,15,5,4,3,367 (82%),14,5,50,0.45,7,2,0,0,365 (83%),15,8,,8,2,0,12,3,,3,2,0,5,2,1.70,0.30,1.99,1.60,0.19,0.26,0.45,0.17,450,181,186,34 (67%),7 (41%),17,2,440,208,157,33 (63%),4 (15%),29,2,,22,9,2,16,2,,16,10,2,12,4,,54,43 (56%),11 (50%),7 (50%),,45,34 (44%),11 (50%),5 (33%),,3,0,,4,0,,,3,1.75,1.0,54.25,1.488,13.75,5.25,2.75,45.75,1.032,12.75,5.0,1.25,0.0,0.0,2.25,0.127,0.333,0.078,0.2
9789,2022-09-10T13:30:00.000Z,178475,RB Leipzig,0,3,False,56,0.60,5,0,0,0,364 (78%),6,8,44,2.04,15,5,3,2,271 (72%),12,5,,2,3,0,4,1,,7,3,0,12,3,0.33,0.27,0.60,0.00,1.81,0.23,2.04,1.22,464,230,134,32 (52%),9 (43%),24,0,374,150,121,27 (43%),5 (45%),23,2,,25,17,2,9,2,,25,14,2,14,0,,60,49 (57%),11 (50%),12 (60%),,48,37 (43%),11 (50%),7 (39%),,1,0,,2,0,,,0,1.6,0.8,53.4,1.588,14.0,5.2,3.0,46.6,0.916,11.6,4.4,1.0,0.0,0.0,2.4,0.114,0.308,0.069,0.182
9789,2022-09-17T13:30:00.000Z,10189,Schalke 04,1,0,True,67,1.80,17,5,4,3,458 (82%),12,11,33,0.07,3,0,0,0,181 (64%),14,2,,8,4,0,12,5,,2,1,0,2,1,1.35,0.45,1.80,1.77,0.06,0.01,0.07,0.00,558,201,257,45 (63%),6 (19%),21,3,283,134,47,19 (32%),3 (27%),28,3,,13,17,1,15,0,,15,9,4,32,4,,64,41 (60%),23 (59%),15 (79%),,43,27 (40%),16 (41%),3 (60%),,3,0,,2,0,,,3,1.4,1.4,55.6,1.384,12.2,4.4,2.4,44.4,1.062,13.0,4.8,1.2,0.0,0.0,1.8,0.115,0.318,0.108,0.292
9789,2022-10-01T13:30:00.000Z,8722,1. FC Köln,2,3,False,58,2.59,22,8,5,4,396 (84%),9,11,42,1.89,21,10,4,3,270 (78%),14,7,,10,4,0,16,6,,5,6,1,16,5,2.22,0.37,2.59,,1.71,0.17,1.89,,472,212,184,38 (64%),7 (28%),20,3,344,167,103,20 (38%),4 (25%),15,9,,16,3,6,14,7,,19,12,4,27,7,,55,42 (58%),13 (57%),12 (55%),,41,31 (42%),10 (43%),4 (27%),,3,0,,4,0,35.0,29.0,0,1.0,1.2,56.8,1.52,13.0,4.2,3.0,43.2,0.872,10.4,3.4,0.8,0.0,0.0,1.8,0.077,0.238,0.115,0.353
9789,2022-10-08T16:30:00.000Z,9823,Bayern München,2,2,True,44,1.62,12,6,2,1,348 (79%),8,7,56,0.61,9,3,2,2,477 (83%),11,4,,2,4,0,8,4,,3,3,0,4,5,1.46,0.16,1.62,1.81,0.61,0.00,0.61,1.42,440,215,133,29 (57%),5 (29%),21,0,572,291,186,38 (62%),1 (10%),21,2,,18,12,2,14,1,,31,9,4,23,4,,37,33 (42%),4 (33%),4 (22%),,53,45 (58%),8 (67%),6 (46%),,3,0,,4,1,27.0,26.0,1,1.0,1.2,58.6,1.936,16.2,5.0,3.8,41.4,0.988,11.8,4.0,1.4,7.0,5.8,1.8,0.062,0.2,0.102,0.3
9789,2022-10-16T15:30:00.000Z,8149,Union Berlin,0,2,False,77,0.85,14,6,1,1,693 (88%),5,8,23,1.88,16,5,1,0,137 (60%),15,5,,3,5,0,8,6,,7,4,0,12,4,0.59,0.26,0.85,0.52,1.52,0.37,1.88,1.82,785,372,321,57 (74%),5 (19%),21,0,228,76,61,20 (32%),6 (46%),14,3,,21,2,4,12,3,,19,10,5,31,6,,56,44 (62%),12 (43%),8 (44%),,43,27 (38%),16 (57%),3 (25%),,2,0,,1,0,26.0,26.0,0,1.2,1.6,55.0,1.72,14.2,4.8,3.0,45.0,1.012,11.0,4.0,1.8,12.4,11.0,1.4,0.085,0.25,0.145,0.4
