team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8543,2022-08-14T16:30:00.000Z,9857,Bologna,2,1,True,41,0.66,9,6,1,0,247 (80%),11,3,59,1.59,11,3,2,1,387 (86%),18,2,,2,1,0,4,5,,6,2,0,5,6,0.61,0.05,0.66,1.65,0.55,0.25,0.80,1.40,307,129,118,28 (57%),3 (30%),21,3,450,231,156,27 (51%),3 (30%),18,2,,15,4,2,9,2,,13,8,1,18,5,,47,39 (52%),8 (47%),7 (47%),,42,33 (46%),9 (53%),10 (63%),,2,1,,4,1,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8543,2022-08-20T16:30:00.000Z,9804,Torino,0,0,False,46,0.79,7,2,1,1,335 (78%),12,4,54,0.66,10,1,1,1,403 (83%),11,6,,2,3,0,5,2,,7,2,0,6,4,0.74,0.05,0.79,0.16,0.37,0.29,0.66,0.03,427,214,121,34 (44%),0 (0%),12,0,483,250,153,26 (43%),6 (38%),19,4,,17,6,2,16,1,,7,8,3,10,2,,47,31 (50%),16 (47%),3 (50%),,49,31 (50%),18 (53%),13 (54%),,5,0,,0,0,,,1,2.0,1.0,41.0,0.66,9.0,6.0,1.0,59.0,1.59,11.0,3.0,2.0,0.0,0.0,3.0,0.222,0.333,0.091,0.333
8543,2022-08-26T18:45:00.000Z,8636,Inter,3,1,True,48,1.12,11,7,1,0,442 (88%),5,2,52,1.51,19,7,2,1,481 (89%),12,4,,3,1,0,10,1,,10,2,0,13,6,1.02,0.10,1.12,2.01,0.82,0.69,1.51,1.55,503,256,186,37 (70%),2 (20%),9,0,539,287,194,20 (54%),10 (43%),13,0,,17,7,2,19,6,,15,6,1,9,4,,45,37 (60%),8 (38%),8 (53%),,38,25 (40%),13 (62%),5 (45%),,2,0,,1,0,,,3,1.0,0.5,43.5,0.725,8.0,4.0,1.0,56.5,1.125,10.5,2.0,1.5,0.0,0.0,2.0,0.125,0.25,0.048,0.25
8543,2022-08-31T16:30:00.000Z,9882,Sampdoria,1,1,False,56,1.51,13,6,4,3,550 (89%),10,7,44,0.82,10,3,1,0,419 (86%),11,5,,3,4,1,8,5,,4,3,0,6,4,1.35,0.15,1.51,1.15,0.72,0.10,0.82,1.09,621,311,239,25 (60%),2 (11%),11,2,485,260,159,30 (64%),3 (17%),13,2,,9,4,3,12,2,,6,8,4,16,5,,33,26 (52%),7 (33%),7 (58%),,38,24 (48%),14 (67%),8 (100%),,2,0,,0,0,,,1,1.667,0.667,45.0,0.857,9.0,5.0,1.0,55.0,1.253,13.333,3.667,1.667,0.0,0.0,2.333,0.185,0.333,0.05,0.182
8543,2022-09-03T18:45:00.000Z,9875,Napoli,1,2,True,39,0.26,8,2,0,0,322 (82%),12,6,61,2.15,19,7,3,3,552 (89%),14,8,,5,1,0,2,6,,6,6,2,15,4,0.19,0.07,0.26,0.69,1.66,0.49,2.15,1.98,391,212,110,9 (27%),1 (10%),13,0,622,325,227,36 (57%),7 (32%),19,1,,14,10,6,16,5,,17,3,1,11,1,,30,27 (40%),3 (27%),1 (9%),,48,40 (60%),8 (73%),11 (58%),,4,0,,0,0,,,0,1.5,0.75,47.75,1.02,10.0,5.25,1.75,52.25,1.145,12.5,3.5,1.5,0.0,0.0,2.0,0.15,0.286,0.06,0.214
8543,2022-09-11T16:00:00.000Z,9876,Hellas Verona,2,0,True,60,1.09,15,6,2,1,400 (80%),5,3,40,0.34,7,1,0,0,229 (71%),23,5,,6,3,1,10,5,,4,2,1,5,2,0.86,0.24,1.09,1.45,0.28,0.06,0.34,0.11,499,230,170,27 (45%),5 (42%),19,3,323,119,110,25 (43%),5 (24%),19,3,,10,8,2,13,1,,15,6,3,14,4,,52,37 (58%),15 (71%),5 (45%),,33,27 (42%),6 (29%),7 (54%),,2,0,,5,0,30.0,21.0,3,1.4,1.0,46.0,0.868,9.6,4.6,1.4,54.0,1.346,13.8,4.2,1.8,0.0,0.0,1.6,0.146,0.304,0.072,0.238
8543,2022-09-18T13:00:00.000Z,7801,Cremonese,4,0,False,56,3.21,14,6,5,1,401 (83%),9,5,44,1.34,18,4,1,1,300 (81%),12,8,,4,4,1,14,0,,10,4,0,11,7,2.33,0.10,2.43,3.42,0.87,0.47,1.34,0.35,485,235,166,36 (60%),2 (29%),14,0,371,188,112,25 (51%),8 (33%),26,3,,16,8,5,16,4,,10,14,3,6,2,,41,33 (58%),8 (44%),6 (50%),,34,24 (42%),10 (56%),6 (35%),,1,0,,1,0,,,3,1.4,0.8,49.8,0.954,10.8,4.6,1.6,50.2,1.096,13.0,3.8,1.4,6.0,4.2,1.6,0.13,0.304,0.062,0.211
8543,2022-10-02T10:30:00.000Z,9881,Spezia,4,0,True,61,2.34,13,6,4,1,519 (89%),3,3,39,1.06,14,2,1,1,286 (80%),14,6,,5,2,1,12,1,,6,6,0,7,7,1.37,0.18,1.55,2.83,0.80,0.26,1.06,0.40,581,341,178,28 (70%),2 (17%),21,2,358,206,80,14 (40%),3 (23%),19,6,,15,5,7,21,1,,11,5,2,13,2,,53,43 (66%),10 (45%),14 (88%),,34,22 (34%),12 (55%),8 (57%),,0,0,,2,0,36.0,11.0,3,2.2,0.8,51.8,1.438,12.2,5.4,2.4,48.2,1.232,14.6,4.4,1.4,6.0,4.2,2.0,0.18,0.407,0.055,0.182
8543,2022-10-10T18:45:00.000Z,8535,Fiorentina,4,0,False,38,1.58,10,6,3,0,251 (76%),9,2,62,2.26,25,3,5,5,445 (86%),17,9,,3,1,1,8,2,,14,8,1,18,7,1.39,0.19,1.58,2.88,1.53,0.73,2.26,0.52,332,183,68,28 (50%),2 (33%),17,2,515,198,247,46 (70%),11 (31%),20,4,,11,12,7,28,3,,18,14,1,5,2,,41,34 (50%),7 (28%),6 (35%),,52,34 (50%),18 (72%),8 (80%),,1,0,,4,0,20.0,46.0,3,2.4,0.6,54.4,1.682,12.6,5.2,3.0,45.6,1.142,13.6,3.4,1.2,13.2,6.4,2.0,0.19,0.462,0.044,0.176
8543,2022-10-16T13:00:00.000Z,8600,Udinese,0,0,True,55,0.79,8,3,1,1,385 (82%),8,7,45,0.86,12,2,0,0,318 (81%),11,3,,4,1,0,5,3,,7,3,2,8,4,0.49,0.30,0.79,0.57,0.79,0.07,0.86,0.37,472,209,176,31 (61%),3 (19%),31,0,393,212,106,30 (50%),3 (27%),29,1,,18,9,3,13,2,,19,10,1,20,3,,41,32 (47%),9 (47%),3 (43%),,46,36 (53%),10 (53%),9 (45%),,1,0,,4,0,16.0,18.0,1,3.0,0.4,50.8,1.696,12.0,5.2,2.8,49.2,1.43,16.6,3.4,2.0,17.2,15.6,2.4,0.25,0.577,0.024,0.118
