team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
6480,2022-08-14T18:45:00.000Z,8686,Roma,0,1,True,52,0.61,13,2,0,0,375 (84%),18,4,48,2.42,20,5,6,6,345 (83%),9,2,,5,6,0,4,9,,9,6,1,14,6,0.22,0.39,0.61,0.06,2.08,0.34,2.42,1.86,449,178,197,23 (45%),5 (45%),13,1,418,213,132,22 (47%),2 (22%),19,3,,16,9,7,12,3,,17,9,6,9,2,,37,30 (42%),7 (37%),6 (38%),,54,42 (58%),12 (63%),8 (57%),,3,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6480,2022-08-20T16:30:00.000Z,8600,Udinese,0,0,False,53,1.63,17,6,3,3,337 (82%),12,6,47,1.22,15,2,2,2,281 (75%),9,6,,8,3,0,11,6,,5,8,0,10,5,1.15,0.49,1.63,2.31,0.99,0.24,1.22,0.47,412,163,174,41 (59%),5 (19%),21,1,377,145,136,24 (44%),2 (18%),32,0,,15,14,7,16,2,,18,7,3,18,6,,40,29 (38%),11 (48%),6 (35%),,59,47 (62%),12 (52%),18 (75%),,4,0,,2,1,,,1,0.0,1.0,52.0,0.61,13.0,2.0,0.0,48.0,2.42,20.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2
6480,2022-08-28T16:30:00.000Z,9882,Sampdoria,4,0,True,45,1.74,9,6,2,0,308 (80%),19,6,55,1.79,17,6,1,1,412 (84%),14,3,,2,1,1,7,2,,6,5,0,16,1,1.50,0.24,1.74,2.63,1.64,0.15,1.79,0.42,386,174,134,25 (44%),5 (25%),10,1,488,260,152,26 (52%),4 (33%),17,4,,13,11,5,9,6,,23,6,1,13,2,,40,31 (39%),9 (41%),5 (28%),,62,49 (61%),13 (59%),7 (50%),,2,0,,2,0,,,3,0.0,0.5,52.5,1.12,15.0,4.0,1.5,47.5,1.82,17.5,3.5,4.0,0.0,0.0,0.5,0.0,0.0,0.029,0.143
6480,2022-09-01T18:45:00.000Z,9857,Bologna,1,1,False,54,1.39,20,4,2,1,314 (75%),11,8,46,1.77,11,4,3,2,283 (76%),10,1,,8,8,0,13,7,,5,2,0,8,3,1.02,0.37,1.39,0.86,0.98,0.00,0.98,1.67,417,120,194,25 (45%),9 (33%),20,0,374,160,123,18 (35%),4 (25%),24,1,,13,7,2,23,3,,15,11,7,24,3,,53,37 (53%),16 (46%),16 (84%),,52,33 (47%),19 (54%),8 (73%),,2,0,,2,0,,,1,1.333,0.333,50.0,1.327,13.0,4.667,1.667,50.0,1.81,17.333,4.333,3.0,0.0,0.0,1.333,0.103,0.286,0.019,0.077
6480,2022-09-05T16:30:00.000Z,8534,Empoli,2,2,True,52,1.28,15,4,3,1,346 (83%),7,6,48,0.91,11,5,1,0,300 (78%),9,7,,3,8,0,7,8,,3,3,0,7,4,0.84,0.44,1.28,2.26,0.85,0.06,0.91,1.17,419,183,163,30 (51%),6 (23%),17,4,384,193,107,19 (44%),2 (10%),25,1,,21,11,3,21,3,,19,4,8,22,2,,53,36 (52%),17 (61%),7 (50%),,44,33 (48%),11 (39%),7 (39%),,3,0,,2,0,,,1,1.25,0.5,51.0,1.343,14.75,4.5,1.75,49.0,1.8,15.75,4.25,3.0,0.0,0.0,1.25,0.085,0.278,0.032,0.118
6480,2022-09-11T18:45:00.000Z,9885,Juventus,2,2,False,39,1.70,11,5,2,0,292 (78%),15,2,61,1.94,23,8,3,1,505 (88%),13,8,,3,3,0,4,7,,11,4,1,16,7,0.90,0.02,0.92,2.22,0.79,0.36,1.15,1.97,376,142,150,30 (48%),0 (0%),18,2,572,255,250,44 (72%),7 (27%),11,6,,14,10,4,16,5,,9,14,2,7,3,,47,33 (51%),14 (56%),7 (78%),,43,32 (49%),11 (44%),9 (69%),,4,1,,3,2,,,1,1.4,0.8,51.2,1.33,14.8,4.4,2.0,48.8,1.622,14.8,4.4,2.6,0.0,0.0,1.2,0.095,0.318,0.054,0.182
6480,2022-09-16T18:45:00.000Z,9888,Lecce,1,2,True,57,1.20,8,4,2,2,417 (84%),9,4,43,1.46,13,4,2,1,294 (80%),11,5,,4,0,0,7,1,,6,3,0,4,9,1.20,0.00,1.20,1.40,1.36,0.11,1.46,1.07,494,223,194,23 (43%),7 (41%),29,6,368,173,121,27 (45%),3 (17%),18,0,,11,8,3,13,2,,16,10,0,19,4,,36,24 (41%),12 (63%),6 (33%),,42,35 (59%),7 (37%),10 (63%),,1,0,,3,0,,,0,1.8,1.0,48.6,1.548,14.4,5.0,2.4,51.4,1.526,15.4,5.0,2.0,0.0,0.0,1.4,0.125,0.36,0.065,0.2
6480,2022-10-02T13:00:00.000Z,7943,Sassuolo,0,5,False,56,0.51,6,1,2,2,458 (85%),8,2,44,3.24,17,11,7,4,365 (85%),10,1,,5,0,0,3,3,,4,2,0,12,5,0.36,0.15,0.51,0.21,2.45,0.00,2.45,5.93,537,249,209,22 (45%),2 (9%),21,3,427,201,164,34 (57%),1 (14%),19,1,,15,5,2,12,6,,11,9,0,22,1,,39,30 (53%),9 (56%),6 (50%),,34,27 (47%),7 (44%),8 (53%),,1,0,,1,0,13.0,26.0,0,2.0,1.4,49.4,1.462,12.6,4.6,2.2,50.6,1.574,15.0,5.4,2.0,0.0,0.0,1.2,0.159,0.435,0.093,0.259
6480,2022-10-09T13:00:00.000Z,9876,Hellas Verona,2,1,True,40,1.07,14,4,1,0,229 (71%),9,1,60,0.91,12,2,1,0,370 (81%),15,6,,6,4,0,6,8,,6,4,2,4,8,0.93,0.14,1.07,1.72,0.88,0.03,0.91,1.00,322,125,104,26 (37%),2 (25%),15,1,457,174,196,21 (40%),4 (15%),20,3,,25,5,4,25,1,,13,5,3,8,2,,64,46 (61%),18 (51%),6 (55%),,46,29 (39%),17 (49%),7 (37%),,3,1,,3,1,12.0,14.0,3,1.2,2.4,51.6,1.216,12.0,3.6,2.2,48.4,1.864,15.0,6.4,3.2,2.6,5.2,0.6,0.1,0.333,0.16,0.375
6480,2022-10-16T10:30:00.000Z,8636,Inter,0,2,False,38,0.36,8,3,0,0,267 (81%),14,4,62,1.75,16,6,2,1,469 (88%),12,6,,4,1,0,4,4,,7,3,0,13,3,0.31,0.05,0.36,0.52,1.08,0.67,1.75,2.84,330,157,110,18 (43%),0 (0%),21,4,534,261,208,47 (69%),7 (30%),11,0,,11,7,2,20,4,,9,8,1,11,3,,31,27 (45%),4 (25%),5 (63%),,45,33 (55%),12 (75%),11 (79%),,1,0,,0,0,6.0,28.0,0,1.4,2.4,48.8,1.152,10.8,3.6,2.0,51.2,1.692,15.2,6.0,2.8,5.0,8.0,1.0,0.13,0.389,0.158,0.4
