team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9881,2022-08-14T18:45:00.000Z,8534,Empoli,1,0,True,41,0.46,9,2,2,1,275 (77%),15,6,59,0.71,18,5,0,0,416 (80%),8,4,,6,1,0,4,5,,8,5,0,9,9,0.34,0.12,0.46,0.56,0.61,0.11,0.71,0.28,355,152,123,27 (47%),3 (14%),18,3,519,199,217,38 (59%),4 (14%),32,1,,23,17,5,27,5,,14,10,1,16,1,,39,36 (49%),3 (25%),5 (38%),,47,38 (51%),9 (75%),11 (55%),,2,0,,1,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9881,2022-08-20T18:45:00.000Z,8636,Inter,0,3,False,45,0.49,2,0,1,1,355 (85%),7,4,55,2.11,19,8,4,3,446 (89%),11,10,,1,1,0,2,0,,8,3,1,14,5,0.30,0.49,0.49,0.00,1.30,0.81,2.11,2.78,420,217,138,12 (36%),4 (36%),27,1,503,273,173,40 (67%),5 (24%),18,5,,14,7,3,17,5,,17,8,1,6,0,,31,25 (45%),6 (55%),2 (25%),,36,31 (55%),5 (45%),7 (50%),,0,0,,0,0,,,0,1.0,0.0,41.0,0.46,9.0,2.0,2.0,59.0,0.71,18.0,5.0,0.0,0.0,0.0,3.0,0.111,0.5,0.0,0.0
9881,2022-08-27T18:45:00.000Z,7943,Sassuolo,2,2,True,42,1.20,7,2,1,0,301 (75%),17,2,58,2.91,21,8,4,2,451 (83%),10,6,,4,1,0,6,1,,9,4,0,17,4,0.41,0.05,0.41,1.44,2.70,0.20,2.91,2.16,399,208,93,18 (28%),4 (40%),20,3,543,229,222,32 (56%),12 (55%),25,1,,14,5,4,25,6,,15,9,1,12,0,,35,29 (42%),6 (29%),6 (55%),,55,40 (58%),15 (71%),9 (53%),,0,1,,1,0,,,1,0.5,1.5,43.0,0.475,5.5,1.0,1.5,57.0,1.41,18.5,6.5,2.0,0.0,0.0,1.5,0.091,0.5,0.081,0.231
9881,2022-08-31T18:45:00.000Z,9885,Juventus,0,2,False,49,0.18,9,0,0,0,364 (81%),10,3,51,0.94,15,3,3,2,385 (82%),11,7,,2,7,0,2,7,,7,5,0,10,5,0.16,0.02,0.18,0.00,0.48,0.46,0.94,0.84,447,198,166,27 (56%),3 (17%),31,2,467,265,120,51 (65%),6 (50%),23,1,,21,6,5,12,1,,22,12,7,22,0,,55,39 (50%),16 (62%),8 (38%),,49,39 (50%),10 (38%),8 (62%),,2,0,,0,0,,,0,1.0,1.667,42.667,0.717,6.0,1.333,1.333,57.333,1.91,19.333,7.0,2.667,0.0,0.0,1.333,0.167,0.75,0.086,0.238
9881,2022-09-04T13:00:00.000Z,9857,Bologna,2,2,True,45,0.95,15,5,1,1,274 (78%),12,7,55,0.90,13,6,2,0,362 (80%),5,2,,4,6,0,10,5,,7,0,0,4,9,0.86,0.09,0.95,1.06,0.90,0.00,0.90,1.13,351,103,171,26 (49%),4 (17%),25,0,454,208,154,28 (51%),1 (10%),26,5,,11,10,0,18,4,,21,11,5,21,4,,30,18 (31%),12 (63%),3 (23%),,47,40 (69%),7 (37%),9 (56%),,4,0,,1,0,,,1,0.75,1.75,44.25,0.583,6.75,1.0,1.0,55.75,1.667,18.25,6.0,2.75,0.0,0.0,1.0,0.111,0.75,0.096,0.292
9881,2022-09-10T13:00:00.000Z,9875,Napoli,0,1,False,37,0.52,10,1,1,1,232 (77%),14,5,63,2.25,28,6,2,2,469 (90%),6,10,,4,5,0,7,3,,8,14,0,18,10,0.47,0.05,0.52,0.09,1.67,0.58,2.25,1.01,300,140,92,21 (38%),1 (10%),13,1,520,211,258,23 (77%),5 (24%),20,5,,15,5,14,19,5,,13,10,5,11,1,,38,28 (45%),10 (50%),7 (54%),,44,34 (55%),10 (50%),8 (44%),,2,0,,1,0,,,0,1.0,1.8,44.4,0.656,8.4,1.8,1.0,55.6,1.514,17.2,6.0,2.6,0.0,0.0,1.0,0.119,0.556,0.105,0.3
9881,2022-09-17T16:00:00.000Z,9882,Sampdoria,2,1,True,52,0.68,6,3,2,1,276 (74%),17,3,48,0.90,11,8,2,2,258 (72%),14,6,,2,1,0,4,2,,2,1,0,6,5,0.49,0.19,0.68,1.14,0.84,0.05,0.90,0.97,374,156,120,27 (44%),7 (32%),30,4,359,116,142,26 (39%),0 (0%),33,1,,32,6,1,24,7,,15,14,1,10,2,,76,51 (58%),25 (57%),5 (45%),,56,37 (42%),19 (43%),6 (33%),,4,0,,5,0,,,3,0.8,2.0,43.6,0.668,8.6,1.6,0.8,56.4,1.822,19.2,6.2,3.0,0.0,0.0,0.4,0.093,0.5,0.104,0.323
9881,2022-10-02T10:30:00.000Z,8543,Lazio,0,4,False,39,1.06,14,2,1,1,286 (80%),14,6,61,2.34,13,6,4,1,519 (89%),3,3,,6,6,0,7,7,,5,2,1,12,1,0.80,0.26,1.06,0.40,1.37,0.18,1.55,2.83,358,206,80,14 (40%),3 (23%),19,6,581,341,178,28 (70%),2 (17%),21,2,,11,5,2,13,2,,15,5,7,21,1,,34,22 (34%),12 (55%),8 (57%),,53,43 (66%),10 (45%),14 (88%),,2,0,,0,0,11.0,36.0,0,1.2,1.6,45.0,0.706,9.4,2.2,1.0,55.0,1.58,17.6,6.2,2.6,0.0,0.0,1.0,0.128,0.545,0.091,0.258
9881,2022-10-09T13:00:00.000Z,6504,Monza,0,2,False,52,0.47,10,1,0,0,359 (82%),20,6,48,0.75,7,4,1,0,317 (77%),10,3,,5,4,0,7,3,,2,1,0,3,4,0.22,0.25,0.47,0.18,0.51,0.23,0.75,1.05,439,218,141,30 (53%),4 (24%),27,4,411,180,137,20 (34%),1 (11%),21,3,,16,13,1,7,2,,19,11,4,14,1,,49,34 (44%),15 (50%),8 (73%),,58,43 (56%),15 (50%),7 (64%),,2,0,,3,0,23.0,11.0,0,0.8,2.0,44.4,0.678,10.8,2.2,1.0,55.6,1.466,16.0,5.8,2.6,2.2,7.2,0.8,0.074,0.364,0.125,0.345
9881,2022-10-16T13:00:00.000Z,7801,Cremonese,2,2,True,54,1.59,15,6,1,1,291 (71%),12,6,46,2.28,24,4,4,2,242 (69%),11,8,,3,6,0,6,9,,11,9,0,14,10,1.03,0.55,1.59,1.43,0.95,1.33,2.28,2.14,409,163,128,19 (32%),6 (30%),29,3,349,135,107,22 (39%),6 (26%),18,2,,13,15,8,29,2,,29,15,6,26,4,,48,33 (40%),15 (39%),10 (45%),,72,49 (60%),23 (61%),8 (80%),,2,0,,0,0,23.0,28.0,1,0.8,2.0,45.0,0.736,11.0,2.4,1.0,55.0,1.428,14.4,6.0,2.2,6.8,9.4,0.8,0.073,0.333,0.139,0.333
