team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8600,2022-08-13T16:30:00.000Z,8564,Milan,2,4,False,41,0.49,9,4,0,0,278 (81%),13,1,59,2.33,14,5,3,0,429 (85%),16,5,,4,1,0,5,4,,7,2,0,9,5,0.37,0.12,0.49,0.39,1.40,0.14,1.54,3.01,343,168,110,30 (68%),4 (36%),14,1,502,239,190,35 (53%),4 (19%),21,0,,13,11,2,19,1,,23,8,1,5,2,,43,31 (40%),12 (71%),3 (19%),,51,46 (60%),5 (29%),10 (71%),,4,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600,2022-08-20T16:30:00.000Z,6480,Salernitana,0,0,True,47,1.22,15,2,2,2,281 (75%),9,6,53,1.63,17,6,3,3,337 (82%),12,6,,5,8,0,10,5,,8,3,0,11,6,0.99,0.24,1.22,0.47,1.15,0.49,1.63,2.31,377,145,136,24 (44%),2 (18%),32,0,412,163,174,41 (59%),5 (19%),21,1,,18,7,3,18,6,,15,14,7,16,2,,59,47 (62%),12 (52%),18 (75%),,40,29 (38%),11 (48%),6 (35%),,2,1,,4,0,,,1,2.0,4.0,41.0,0.49,9.0,4.0,0.0,59.0,2.33,14.0,5.0,3.0,0.0,0.0,0.0,0.222,0.5,0.286,0.8
8600,2022-08-26T16:30:00.000Z,6504,Monza,2,1,False,44,1.71,15,4,3,1,305 (83%),10,5,56,1.53,10,5,2,2,416 (89%),16,3,,4,7,0,12,3,,1,4,0,9,1,1.45,0.25,1.71,1.80,1.35,0.19,1.53,1.23,368,159,146,29 (59%),4 (33%),19,4,469,240,176,27 (66%),7 (54%),19,4,,22,9,4,9,4,,12,7,7,14,2,,59,48 (62%),11 (50%),11 (52%),,41,30 (38%),11 (50%),8 (38%),,2,0,,3,0,,,3,1.0,2.0,44.0,0.855,12.0,3.0,1.0,56.0,1.98,15.5,5.5,3.0,0.0,0.0,0.5,0.083,0.333,0.129,0.364
8600,2022-08-31T16:30:00.000Z,8535,Fiorentina,1,0,True,26,1.29,8,3,1,0,165 (71%),13,3,74,0.75,12,2,0,0,593 (89%),10,7,,3,2,0,6,2,,5,5,0,8,4,1.29,0.00,1.29,0.78,0.30,0.45,0.75,0.13,233,71,94,20 (41%),1 (14%),16,5,666,293,300,53 (70%),7 (35%),29,0,,21,9,5,20,2,,10,3,2,13,2,,51,35 (53%),16 (55%),5 (50%),,44,31 (47%),13 (45%),8 (53%),,1,0,,2,0,,,3,1.333,1.667,44.0,1.14,13.0,3.333,1.667,56.0,1.83,13.667,5.333,2.667,0.0,0.0,1.333,0.103,0.4,0.122,0.313
8600,2022-09-04T18:45:00.000Z,8686,Roma,4,0,True,43,1.16,11,5,1,0,320 (83%),16,3,57,0.80,12,2,0,0,447 (87%),13,7,,5,1,0,6,5,,6,4,1,10,2,0.99,0.17,1.16,1.69,0.32,0.48,0.80,0.17,386,153,167,21 (45%),2 (18%),10,0,515,235,212,37 (74%),6 (38%),21,2,,18,7,4,14,2,,8,7,1,9,1,,46,38 (54%),8 (62%),8 (57%),,37,32 (46%),5 (38%),8 (40%),,3,0,,2,0,,,3,1.25,1.25,39.5,1.177,11.75,3.25,1.5,60.5,1.56,13.25,4.5,2.0,0.0,0.0,1.75,0.106,0.385,0.094,0.278
8600,2022-09-11T13:00:00.000Z,7943,Sassuolo,3,1,False,68,2.10,17,4,3,1,497 (89%),16,6,32,0.52,5,2,0,0,176 (68%),7,5,,9,4,1,9,8,,1,2,0,4,1,1.78,0.32,2.10,1.95,0.40,0.12,0.52,0.29,557,200,297,41 (71%),5 (28%),12,5,260,96,80,18 (32%),2 (18%),21,0,,12,11,2,12,1,,17,5,4,10,1,,37,27 (41%),10 (48%),9 (47%),,50,39 (59%),11 (52%),7 (58%),,3,0,,1,1,,,3,1.8,1.0,40.2,1.174,11.6,3.6,1.4,59.8,1.408,13.0,4.0,1.6,0.0,0.0,2.0,0.155,0.5,0.077,0.25
8600,2022-09-18T10:30:00.000Z,8636,Inter,3,1,True,44,1.66,20,6,1,0,251 (75%),11,7,56,1.06,16,4,1,1,336 (80%),13,4,,5,9,1,11,9,,9,3,1,8,8,1.19,0.48,1.66,1.64,0.64,0.42,1.06,0.46,333,132,119,27 (47%),3 (21%),24,1,421,205,131,21 (50%),7 (29%),19,2,,21,11,3,21,3,,16,6,9,17,4,,50,40 (56%),10 (40%),7 (50%),,47,32 (44%),15 (60%),6 (33%),,3,0,,4,0,,,3,2.0,0.4,45.6,1.496,13.2,3.6,2.0,54.4,1.046,11.2,3.4,1.0,0.0,0.0,2.6,0.152,0.556,0.036,0.118
8600,2022-10-03T18:45:00.000Z,9876,Hellas Verona,2,1,False,69,1.83,21,8,4,2,472 (85%),11,9,31,0.35,7,2,0,0,156 (67%),15,4,,8,5,1,11,10,,3,2,0,4,3,1.42,0.42,1.83,2.20,0.26,0.09,0.35,0.81,553,204,268,21 (53%),4 (33%),17,1,233,71,85,21 (41%),3 (15%),16,4,,16,12,2,16,1,,8,8,4,20,6,,53,34 (61%),19 (73%),4 (57%),,29,22 (39%),7 (27%),3 (33%),,3,0,,3,0,36.0,17.0,3,2.6,0.6,45.0,1.584,14.2,4.4,1.8,55.0,0.932,11.0,3.0,0.6,0.0,0.0,3.0,0.183,0.591,0.055,0.2
8600,2022-10-09T13:00:00.000Z,8524,Atalanta,2,2,True,59,1.05,10,2,1,0,418 (83%),11,5,41,2.11,9,5,2,0,270 (77%),12,3,,6,2,0,6,4,,3,1,0,6,3,0.48,0.57,1.05,0.75,1.07,0.25,1.32,2.73,502,217,201,30 (60%),2 (17%),30,0,349,129,141,23 (47%),3 (27%),19,1,,18,8,1,11,3,,27,9,2,17,0,,46,36 (45%),10 (59%),6 (32%),,51,44 (55%),7 (41%),6 (43%),,2,0,,3,0,37.0,17.0,1,2.6,0.6,50.0,1.608,15.4,5.2,2.0,50.0,0.696,10.4,2.4,0.2,7.2,3.4,3.0,0.169,0.5,0.058,0.25
8600,2022-10-16T13:00:00.000Z,8543,Lazio,0,0,False,45,0.86,12,2,0,0,318 (81%),11,3,55,0.79,8,3,1,1,385 (82%),8,7,,7,3,2,8,4,,4,1,0,5,3,0.79,0.07,0.86,0.37,0.49,0.30,0.79,0.57,393,212,106,30 (50%),3 (27%),29,1,472,209,176,31 (61%),3 (19%),31,0,,19,10,1,20,3,,18,9,3,13,2,,46,36 (53%),10 (53%),9 (45%),,41,32 (47%),9 (47%),3 (43%),,4,0,,1,0,18.0,16.0,1,2.8,1.0,56.6,1.56,15.8,5.0,2.0,43.4,0.968,9.8,3.0,0.6,14.6,6.8,2.6,0.177,0.56,0.102,0.333
