team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9865,2022-08-14T20:00:00.000Z,8633,Real Madrid,1,2,True,32,0.71,10,6,1,0,257 (82%),11,2,68,2.12,29,15,5,4,593 (91%),4,15,,3,1,0,7,3,,4,10,0,18,11,0.50,0.21,0.71,0.69,1.49,0.64,2.12,3.25,315,157,100,27 (51%),1 (17%),13,3,649,190,403,25 (71%),5 (21%),19,3,,11,9,10,32,13,,9,8,1,3,5,,28,21 (42%),7 (58%),6 (67%),,34,29 (56%),5 (42%),9 (50%),,3,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9865,2022-08-22T18:00:00.000Z,10268,Elche,1,1,False,46,0.75,12,7,1,1,291 (81%),16,5,54,1.04,13,3,1,1,353 (83%),12,6,,1,4,0,6,6,,5,5,0,9,4,0.29,0.46,0.75,1.31,0.89,0.15,1.04,0.36,360,192,99,20 (50%),3 (25%),17,3,423,160,193,27 (50%),5 (22%),14,7,,11,11,5,22,2,,14,8,4,11,6,,38,31 (44%),7 (41%),8 (73%),,49,39 (56%),10 (59%),11 (85%),,4,1,,1,0,,,1,1.0,2.0,32.0,0.71,10.0,6.0,1.0,68.0,2.12,29.0,15.0,5.0,0.0,0.0,0.0,0.1,0.167,0.069,0.133
9865,2022-08-27T20:00:00.000Z,8302,Sevilla,2,1,True,32,2.30,11,5,5,3,172 (70%),18,5,68,0.99,13,5,2,2,482 (88%),11,2,,5,1,0,8,3,,6,2,0,9,4,2.01,0.30,2.30,2.72,0.82,0.17,0.99,1.25,245,109,63,24 (44%),2 (14%),17,4,547,225,257,26 (55%),8 (36%),13,5,,9,6,2,16,4,,7,4,1,7,3,,39,28 (49%),11 (42%),8 (57%),,44,29 (51%),15 (58%),5 (42%),,5,0,,8,0,,,3,1.0,1.5,39.0,0.73,11.0,6.5,1.0,61.0,1.58,21.0,9.0,3.0,0.0,0.0,0.5,0.091,0.154,0.071,0.167
9865,2022-09-05T19:00:00.000Z,10281,Real Valladolid,0,1,False,48,0.54,12,1,0,0,244 (75%),19,8,52,1.17,14,6,4,3,282 (78%),11,2,,3,8,0,9,3,,7,1,1,8,6,0.27,0.28,0.54,0.00,0.99,0.18,1.17,1.32,326,129,115,35 (55%),10 (40%),28,4,361,155,127,28 (45%),7 (35%),14,6,,12,9,1,17,5,,20,12,9,16,0,,53,32 (42%),21 (60%),9 (41%),,58,44 (58%),14 (40%),7 (58%),,6,0,,1,0,18.0,24.0,0,1.333,1.333,36.667,1.253,11.0,6.0,2.333,63.333,1.383,18.333,7.667,2.667,0.0,0.0,1.333,0.121,0.222,0.073,0.174
9865,2022-09-12T19:00:00.000Z,8371,Osasuna,0,1,True,61,0.23,7,2,0,0,445 (83%),4,5,39,1.98,15,4,4,4,234 (72%),9,10,,1,4,0,4,3,,6,5,1,14,1,0.19,0.04,0.23,0.24,1.85,0.13,1.98,1.34,535,286,159,39 (57%),3 (16%),19,2,323,106,128,25 (38%),8 (30%),23,3,,13,10,5,22,3,,15,10,2,19,2,,44,25 (49%),19 (59%),5 (45%),,39,26 (51%),13 (41%),7 (47%),,0,0,,2,0,,,0,1.0,1.25,39.5,1.075,11.25,4.75,1.75,60.5,1.33,17.25,7.25,3.0,4.5,6.0,1.0,0.089,0.211,0.072,0.172
9865,2022-09-17T12:00:00.000Z,8661,Mallorca,0,1,False,56,0.39,9,3,0,0,422 (87%),14,2,44,0.60,5,2,2,1,323 (83%),15,5,,4,2,0,3,6,,3,0,0,3,2,0.35,0.04,0.39,0.18,0.56,0.05,0.60,0.65,485,236,186,34 (64%),3 (19%),20,3,389,209,114,32 (49%),2 (13%),13,2,,18,5,0,8,1,,10,7,3,13,2,,45,39 (57%),6 (40%),6 (55%),,38,29 (43%),9 (60%),5 (42%),,6,0,,3,0,,,0,0.8,1.2,43.8,0.906,10.4,4.2,1.4,56.2,1.46,16.8,6.6,3.2,3.6,4.8,0.8,0.077,0.19,0.071,0.182
9865,2022-09-30T19:00:00.000Z,8315,Athletic Club,0,4,False,41,0.73,8,2,0,0,245 (77%),8,2,59,2.06,17,4,2,0,395 (86%),17,11,,3,3,0,6,2,,8,5,0,11,6,0.55,0.18,0.73,0.12,0.98,0.29,1.27,1.99,319,177,68,20 (39%),2 (25%),20,6,458,172,223,23 (53%),4 (17%),17,5,,13,12,5,20,0,,14,8,3,9,2,,34,33 (54%),1 (13%),5 (38%),,35,28 (46%),7 (88%),6 (43%),,3,0,,1,0,8.0,29.0,0,0.6,1.0,48.6,0.842,10.2,3.6,1.2,51.4,1.156,12.0,4.0,2.6,4.5,6.0,0.8,0.059,0.167,0.083,0.25
9865,2022-10-08T12:00:00.000Z,8370,Rayo Vallecano,3,1,True,37,1.19,10,4,2,0,175 (67%),22,7,63,0.85,12,4,2,1,379 (84%),12,6,,6,0,0,6,4,,6,2,1,8,4,0.87,0.32,1.19,1.05,0.38,0.47,0.85,0.36,261,91,84,22 (31%),4 (24%),19,4,453,187,192,29 (54%),4 (14%),25,4,,31,2,2,25,3,,18,8,0,15,1,,62,49 (51%),13 (62%),7 (39%),,55,47 (49%),8 (38%),7 (50%),,2,1,,2,0,16.0,19.0,3,0.4,1.6,47.6,0.838,9.4,2.6,1.0,52.4,1.36,12.8,4.2,2.8,6.1,11.8,0.6,0.043,0.154,0.125,0.381
9865,2022-10-16T19:00:00.000Z,8603,Real Betis,1,3,False,45,0.80,12,5,2,1,363 (84%),7,3,55,2.48,16,6,6,3,440 (83%),6,9,,4,3,0,9,3,,4,6,0,14,2,0.80,0.00,0.80,1.56,2.07,0.41,2.48,3.37,433,218,145,22 (54%),5 (33%),19,3,529,220,220,20 (36%),4 (22%),14,1,,6,12,6,16,3,,14,4,2,7,4,,33,19 (40%),14 (67%),7 (47%),,36,29 (60%),7 (33%),8 (80%),,1,0,,1,0,23.0,33.0,0,0.6,1.6,48.6,0.616,9.2,2.4,0.4,51.4,1.332,12.6,4.0,2.8,9.3,15.6,0.6,0.065,0.25,0.127,0.4
9865,2022-10-20T17:00:00.000Z,7732,Girona,3,2,True,34,1.82,13,7,3,1,164 (70%),14,4,66,2.86,14,5,4,2,381 (85%),14,5,,5,1,0,11,2,,5,4,0,11,3,1.80,0.02,1.82,2.70,0.98,0.31,1.29,2.58,235,97,67,19 (31%),2 (15%),19,1,449,202,179,23 (52%),8 (25%),23,3,,11,7,4,30,3,,14,2,1,11,4,,42,29 (48%),13 (42%),5 (38%),,49,31 (52%),18 (58%),5 (33%),,1,0,,3,0,17.0,23.0,3,0.8,2.0,48.0,0.668,9.2,3.2,0.8,52.0,1.594,13.0,4.0,3.2,10.3,17.4,0.6,0.087,0.25,0.154,0.5
