team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8634,2022-08-13T19:00:00.000Z,8370,Rayo Vallecano,0,0,True,68,1.93,21,6,2,2,489 (87%),16,8,32,0.50,4,2,2,2,191 (70%),14,0,,9,6,0,15,6,,2,0,0,3,1,1.70,0.23,1.93,1.62,0.50,0.00,0.50,0.43,560,274,215,36 (68%),9 (38%),24,4,274,121,70,25 (37%),0 (0%),15,4,,16,4,0,7,2,,18,10,7,19,5,,47,36 (47%),11 (65%),7 (54%),,47,41 (53%),6 (35%),7 (58%),,1,1,,6,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8634,2022-08-21T20:00:00.000Z,8560,Real Sociedad,4,1,False,59,2.10,15,7,3,0,495 (90%),9,6,41,0.86,10,5,1,0,311 (82%),15,3,,3,5,0,13,2,,3,2,0,7,3,1.67,0.42,2.10,3.13,0.57,0.29,0.86,1.32,549,252,243,36 (58%),2 (25%),24,1,380,168,143,15 (56%),3 (30%),18,5,,20,12,1,12,4,,25,5,5,11,3,,52,45 (54%),7 (47%),10 (38%),,47,39 (46%),8 (53%),5 (38%),,1,0,,2,0,,,3,0.0,0.0,68.0,1.93,21.0,6.0,2.0,32.0,0.5,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8634,2022-08-28T17:30:00.000Z,10281,Real Valladolid,4,0,True,68,2.67,24,9,5,2,570 (89%),9,14,32,0.78,8,3,2,2,221 (73%),8,4,,8,7,3,19,5,,4,1,0,5,3,2.20,0.47,2.67,4.01,0.64,0.14,0.78,0.81,637,182,388,37 (74%),7 (23%),24,1,304,168,53,14 (35%),5 (50%),24,3,,15,7,2,3,2,,22,9,7,26,5,,52,39 (50%),13 (62%),16 (59%),,47,39 (50%),8 (38%),8 (57%),,1,0,,2,0,56.0,10.0,3,2.0,0.5,63.5,2.015,18.0,6.5,2.5,36.5,0.68,7.0,3.5,1.5,0.0,0.0,2.0,0.111,0.308,0.071,0.143
8634,2022-09-03T19:00:00.000Z,8302,Sevilla,3,0,False,54,3.98,18,7,9,6,372 (83%),14,4,46,1.03,9,4,1,1,286 (78%),15,4,,10,1,0,11,7,,2,3,0,7,2,3.11,0.87,3.98,3.39,1.01,0.01,1.03,1.06,447,195,177,36 (55%),2 (20%),15,2,367,171,115,27 (47%),6 (40%),19,6,,11,13,3,10,4,,21,17,3,8,2,,40,33 (48%),7 (58%),7 (41%),,41,36 (52%),5 (42%),1 (20%),,4,0,,2,0,,,3,2.667,0.333,65.0,2.233,20.0,7.333,3.333,35.0,0.713,7.333,3.333,1.667,18.667,3.333,2.333,0.133,0.364,0.045,0.1
8634,2022-09-10T16:30:00.000Z,8385,Cadiz,4,0,False,70,3.45,16,8,3,0,482 (85%),13,6,30,0.39,6,0,0,0,142 (65%),12,5,,6,2,1,13,3,,6,0,0,4,2,3.29,0.16,3.45,3.03,0.13,0.27,0.39,0.00,568,218,264,49 (68%),1 (10%),21,3,219,63,79,21 (39%),3 (20%),17,3,,9,7,0,18,0,,17,12,2,16,4,,51,34 (50%),17 (57%),14 (50%),,47,34 (50%),13 (43%),4 (50%),,3,0,,0,0,,,3,2.75,0.25,62.25,2.67,19.5,7.25,4.75,37.75,0.792,7.75,3.5,1.5,14.0,2.5,2.5,0.141,0.379,0.032,0.071
8634,2022-09-17T14:15:00.000Z,10268,Elche,3,0,True,77,4.09,25,9,8,5,642 (91%),11,6,23,0.03,1,1,0,0,143 (67%),9,0,,10,6,0,18,7,,0,0,0,1,0,3.34,0.74,4.09,4.11,0.03,0.00,0.03,0.03,708,140,502,28 (74%),7 (32%),23,5,213,92,51,25 (40%),1 (33%),16,3,,14,12,0,1,1,,14,12,6,19,6,,38,29 (48%),9 (56%),7 (41%),,38,31 (52%),7 (44%),6 (50%),,2,0,,2,1,,,3,3.0,0.2,63.8,2.826,18.8,7.4,4.4,36.2,0.712,7.4,2.8,1.2,14.933,2.667,2.6,0.16,0.405,0.027,0.071
8634,2022-10-01T19:00:00.000Z,8661,Mallorca,1,0,False,72,0.73,11,3,0,0,715 (93%),13,5,28,1.16,13,3,1,1,226 (80%),9,5,,6,2,0,7,4,,7,3,0,9,4,0.62,0.11,0.73,0.80,1.05,0.11,1.16,0.51,770,227,488,26 (67%),3 (20%),11,1,283,119,107,28 (53%),6 (30%),11,2,,11,6,3,9,3,,14,5,2,13,2,,43,25 (42%),18 (82%),5 (45%),,38,34 (58%),4 (18%),7 (54%),,4,0,,2,0,23.0,16.0,3,3.6,0.2,65.6,3.258,19.6,8.0,5.6,34.4,0.618,6.8,2.6,0.8,17.733,3.167,3.0,0.184,0.45,0.029,0.077
8634,2022-10-09T19:00:00.000Z,9910,Celta Vigo,1,0,True,58,2.01,13,5,2,1,495 (88%),16,6,42,1.57,14,3,2,2,334 (81%),9,3,,7,1,0,11,2,,5,6,0,10,4,1.64,0.37,2.01,,1.40,0.17,1.57,,565,189,306,49 (77%),5 (25%),26,1,411,187,147,27 (52%),2 (11%),21,4,,17,8,5,20,4,,12,15,1,13,4,,51,37 (51%),14 (52%),11 (58%),,48,35 (49%),13 (48%),7 (35%),,2,0,,4,0,27.0,22.0,3,3.0,0.0,68.2,2.984,18.8,7.2,5.0,31.8,0.678,7.4,2.2,0.8,22.333,6.367,3.0,0.16,0.417,0.0,0.0
8634,2022-10-16T14:15:00.000Z,8633,Real Madrid,1,3,False,57,2.16,18,5,2,1,488 (89%),14,3,43,1.14,8,4,2,1,345 (83%),11,2,,7,6,0,12,6,,2,2,0,6,2,2.04,0.12,2.16,1.03,0.35,0.00,0.35,1.45,547,181,307,35 (73%),5 (56%),15,4,414,195,150,35 (57%),1 (14%),17,3,,14,8,2,5,1,,16,6,6,9,4,,44,37 (54%),7 (50%),12 (67%),,38,31 (46%),7 (50%),2 (29%),,2,0,,2,0,30.0,17.0,0,2.4,0.0,66.2,2.852,16.6,6.4,4.4,33.8,0.836,8.6,2.2,0.8,16.533,8.767,3.0,0.145,0.375,0.0,0.0
8634,2022-10-20T19:00:00.000Z,10205,Villarreal,3,0,True,70,2.08,16,5,4,2,716 (94%),18,8,30,0.42,5,1,1,1,276 (84%),11,0,,6,5,1,11,5,,4,0,0,4,1,1.84,0.24,2.08,2.08,0.37,0.05,0.42,0.04,763,293,423,36 (86%),9 (41%),14,4,328,194,82,24 (56%),4 (57%),12,0,,17,11,0,1,1,,16,13,5,19,2,,42,35 (45%),7 (70%),8 (47%),,45,42 (55%),3 (30%),9 (56%),,0,0,,1,0,37.0,14.0,3,2.0,0.6,66.8,2.488,16.6,6.0,3.0,33.2,0.858,8.4,2.2,1.0,22.533,12.167,2.4,0.12,0.333,0.071,0.273
