team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8661,2022-08-15T15:30:00.000Z,8315,Athletic Club,0,0,False,36,0.36,6,2,1,1,183 (67%),12,2,64,1.59,23,6,2,2,388 (82%),13,7,,2,2,0,5,1,,10,7,2,13,10,0.20,0.16,0.36,0.42,1.39,0.20,1.59,2.04,272,106,77,35 (47%),1 (10%),16,0,471,89,299,23 (51%),10 (27%),20,1,,19,11,7,27,6,,10,4,2,14,2,,50,38 (56%),12 (43%),6 (50%),,46,30 (44%),16 (57%),8 (50%),,6,0,,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8661,2022-08-20T17:30:00.000Z,8603,Real Betis,1,2,True,47,0.59,13,7,3,2,277 (79%),22,5,53,2.15,8,3,3,1,329 (82%),17,2,,3,3,1,9,4,,4,1,0,7,1,0.37,0.22,0.59,1.69,0.24,0.33,0.57,2.12,350,138,139,26 (52%),4 (19%),26,4,403,164,165,23 (43%),3 (21%),17,0,,17,14,1,13,1,,10,8,3,19,6,,60,43 (54%),17 (61%),11 (61%),,48,37 (46%),11 (39%),8 (44%),,7,0,,8,0,,,0,0.0,0.0,36.0,0.36,6.0,2.0,1.0,64.0,1.59,23.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8661,2022-08-27T17:30:00.000Z,8370,Rayo Vallecano,2,0,False,35,0.82,9,4,1,0,224 (74%),18,3,65,0.74,15,0,0,0,449 (84%),11,7,,2,3,0,6,3,,4,11,0,8,7,0.74,0.07,0.82,1.08,0.61,0.13,0.74,0.00,302,115,109,21 (38%),1 (10%),17,2,536,210,239,45 (69%),8 (17%),24,1,,8,18,11,38,0,,14,10,3,10,2,,36,23 (37%),13 (54%),4 (57%),,51,40 (63%),11 (46%),8 (73%),,3,0,,1,0,,,3,0.5,1.0,41.5,0.475,9.5,4.5,2.0,58.5,1.87,15.5,4.5,2.5,0.0,0.0,0.5,0.053,0.111,0.065,0.222
8661,2022-09-03T12:00:00.000Z,7732,Girona,1,1,True,52,0.68,10,4,2,1,347 (85%),22,6,48,1.19,10,4,1,0,328 (84%),10,3,,5,1,0,8,2,,6,0,0,3,7,0.46,0.22,0.68,1.04,0.32,0.08,0.40,1.39,410,157,190,20 (50%),6 (32%),14,1,390,184,144,12 (38%),2 (22%),21,2,,17,7,0,15,3,,11,9,1,13,3,,43,31 (45%),12 (46%),5 (56%),,52,38 (55%),14 (54%),7 (37%),,4,0,,2,0,,,1,1.0,0.667,39.333,0.59,9.333,4.333,1.667,60.667,1.493,15.333,3.0,1.667,0.0,0.0,1.333,0.107,0.231,0.044,0.222
8661,2022-09-11T12:00:00.000Z,8633,Real Madrid,1,4,False,32,0.50,5,2,2,1,241 (82%),15,3,68,2.31,22,7,3,0,596 (92%),7,4,,2,1,0,5,0,,8,7,0,6,16,0.33,0.17,0.50,0.31,1.62,0.69,2.31,2.99,294,137,104,25 (49%),1 (8%),8,1,649,146,450,21 (72%),1 (14%),15,0,,20,12,7,17,3,,12,4,1,5,1,,39,35 (42%),4 (44%),8 (67%),,53,48 (58%),5 (56%),21 (70%),,5,0,,3,0,,,0,1.0,0.75,42.5,0.613,9.5,4.25,1.75,57.5,1.417,14.0,3.25,1.5,0.0,0.0,1.25,0.105,0.235,0.054,0.231
8661,2022-09-17T12:00:00.000Z,9865,Almeria,1,0,True,44,0.60,5,2,2,1,323 (83%),15,5,56,0.39,9,3,0,0,422 (87%),14,2,,3,0,0,3,2,,4,2,0,3,6,0.56,0.05,0.60,0.65,0.35,0.04,0.39,0.18,389,209,114,32 (49%),2 (13%),13,2,485,236,186,34 (64%),3 (19%),20,3,,10,7,3,13,2,,18,5,0,8,1,,38,29 (43%),9 (60%),5 (42%),,45,39 (57%),6 (40%),6 (55%),,3,0,,6,0,,,3,1.0,1.4,40.4,0.59,8.6,3.8,1.8,59.6,1.596,15.6,4.0,1.8,0.0,0.0,1.0,0.116,0.263,0.09,0.35
8661,2022-10-01T19:00:00.000Z,8634,Barcelona,0,1,True,28,1.16,13,3,1,1,226 (80%),9,5,72,0.73,11,3,0,0,715 (93%),13,5,,7,3,0,9,4,,6,2,0,7,4,1.05,0.11,1.16,0.51,0.62,0.11,0.73,0.80,283,119,107,28 (53%),6 (30%),11,2,770,227,488,26 (67%),3 (20%),11,1,,14,5,2,13,2,,11,6,3,9,3,,38,34 (58%),4 (18%),7 (54%),,43,25 (42%),18 (82%),5 (45%),,2,0,,4,0,16.0,23.0,0,1.2,1.4,42.0,0.638,8.4,3.8,2.0,58.0,1.356,12.8,3.4,1.4,0.0,0.0,1.4,0.143,0.316,0.109,0.412
8661,2022-10-10T19:30:00.000Z,10268,Elche,1,1,False,58,2.72,11,4,4,3,372 (85%),17,7,42,0.53,7,2,1,1,243 (76%),12,5,,4,3,0,8,3,,3,2,0,4,3,0.40,0.74,1.15,2.52,0.23,0.29,0.53,0.59,438,190,182,31 (56%),3 (11%),19,5,319,149,94,26 (46%),5 (36%),11,2,,13,8,2,9,1,,15,3,3,22,3,,43,28 (45%),15 (45%),4 (44%),,52,34 (55%),18 (55%),3 (50%),,5,1,,4,1,23.0,12.0,1,1.0,1.2,38.2,0.752,8.4,3.0,1.6,61.8,1.072,13.4,3.4,0.8,3.2,4.6,1.4,0.119,0.333,0.09,0.353
8661,2022-10-15T16:30:00.000Z,8302,Sevilla,0,1,True,43,0.71,9,5,3,3,295 (80%),17,1,57,0.16,4,1,0,0,417 (83%),15,3,,3,1,0,6,3,,3,0,0,1,3,0.57,0.15,0.71,0.26,0.03,0.13,0.16,0.46,370,181,114,21 (48%),4 (25%),27,2,500,189,228,16 (31%),2 (17%),16,2,,13,4,0,20,0,,6,14,2,11,4,,44,33 (57%),11 (46%),6 (75%),,38,25 (43%),13 (54%),2 (29%),,2,0,,3,0,12.0,8.0,0,0.8,1.4,42.8,1.132,8.8,3.0,2.2,57.2,1.03,11.8,3.8,1.0,7.8,7.0,1.0,0.091,0.267,0.119,0.368
8661,2022-10-19T18:00:00.000Z,8560,Real Sociedad,0,1,False,48,0.90,12,3,2,2,286 (76%),9,7,52,1.22,14,7,4,3,326 (80%),18,10,,4,5,1,9,3,,5,2,1,7,7,0.78,0.12,0.90,0.08,1.01,0.21,1.22,2.63,377,163,123,17 (33%),4 (22%),24,1,408,128,198,9 (24%),3 (20%),22,0,,13,11,2,20,7,,13,3,5,27,3,,52,35 (56%),17 (44%),5 (50%),,49,27 (44%),22 (56%),5 (50%),,2,0,,1,0,21.0,23.0,0,0.6,1.4,41.0,1.138,8.6,3.2,2.4,59.0,0.824,10.6,3.2,0.8,10.2,8.6,0.8,0.07,0.187,0.132,0.437
