team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8370,2022-08-13T19:00:00.000Z,8634,Barcelona,0,0,False,32,0.50,4,2,2,2,191 (70%),14,0,68,1.93,21,6,2,2,489 (87%),16,8,,2,0,0,3,1,,9,6,0,15,6,0.50,0.00,0.50,0.43,1.70,0.23,1.93,1.62,274,121,70,25 (37%),0 (0%),15,4,560,274,215,36 (68%),9 (38%),24,4,,18,10,7,19,5,,16,4,0,7,2,,47,41 (53%),6 (35%),7 (58%),,47,36 (47%),11 (65%),7 (54%),,6,0,,1,1,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8370,2022-08-19T18:00:00.000Z,8558,Espanyol,2,0,False,46,1.40,8,3,3,2,321 (81%),17,2,54,0.87,13,1,2,2,386 (86%),12,9,,4,1,0,4,4,,8,4,3,7,6,0.61,0.78,1.40,0.83,0.33,0.54,0.87,0.24,395,188,133,34 (45%),2 (25%),14,2,450,196,190,26 (58%),6 (17%),18,3,,7,4,4,32,1,,11,7,1,6,1,,28,20 (38%),8 (30%),2 (29%),,52,33 (62%),19 (70%),7 (50%),,3,1,,2,1,,,3,0.0,0.0,32.0,0.5,4.0,2.0,2.0,68.0,1.93,21.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8370,2022-08-27T17:30:00.000Z,8661,Mallorca,0,2,True,65,0.74,15,0,0,0,449 (84%),11,7,35,0.82,9,4,1,0,224 (74%),18,3,,4,11,0,8,7,,2,3,0,6,3,0.61,0.13,0.74,0.00,0.74,0.07,0.82,1.08,536,210,239,45 (69%),8 (17%),24,1,302,115,109,21 (38%),1 (10%),17,2,,14,10,3,10,2,,8,18,11,38,0,,51,40 (63%),11 (46%),8 (73%),,36,23 (37%),13 (54%),4 (57%),,1,0,,3,0,,,0,1.0,0.0,39.0,0.95,6.0,2.5,2.5,61.0,1.4,17.0,3.5,2.0,0.0,0.0,2.0,0.167,0.4,0.0,0.0
8370,2022-09-04T12:00:00.000Z,8371,Osasuna,1,2,False,54,0.17,5,3,0,0,302 (78%),16,0,46,1.98,13,6,5,3,233 (71%),14,4,,1,1,0,2,3,,4,3,0,8,5,0.10,0.07,0.17,0.17,1.91,0.07,1.98,3.26,389,165,137,37 (52%),1 (8%),22,2,329,103,130,24 (34%),6 (33%),27,3,,14,11,4,21,3,,16,10,1,12,2,,52,36 (49%),16 (48%),9 (56%),,55,38 (51%),17 (52%),6 (46%),,2,0,,2,0,11.0,15.0,0,0.667,0.667,47.667,0.88,9.0,1.667,1.667,52.333,1.207,14.333,3.667,1.667,0.0,0.0,1.333,0.074,0.4,0.047,0.182
8370,2022-09-10T12:00:00.000Z,10267,Valencia,2,1,True,46,1.59,14,6,3,2,206 (71%),22,7,54,1.80,17,4,3,2,266 (77%),11,7,,5,3,0,8,6,,6,7,0,13,4,1.35,0.24,1.59,1.49,0.98,0.82,1.80,1.85,289,75,131,26 (37%),5 (21%),30,1,345,151,115,26 (46%),9 (39%),27,2,,16,11,6,19,3,,17,6,2,28,5,,41,32 (38%),9 (32%),7 (35%),,72,53 (62%),19 (68%),15 (71%),,5,0,,2,0,,,3,0.75,1.0,49.25,0.703,8.0,2.0,1.25,50.75,1.4,14.0,4.25,2.5,2.75,3.75,1.0,0.094,0.375,0.071,0.235
8370,2022-09-17T19:00:00.000Z,8315,Athletic Club,2,3,False,61,0.73,11,2,0,0,413 (84%),13,7,39,1.97,14,7,5,2,235 (74%),13,2,,7,2,1,6,5,,5,2,0,11,3,0.52,0.21,0.73,0.62,1.54,0.43,1.97,2.82,491,187,226,24 (44%),5 (16%),22,3,318,119,116,23 (42%),4 (33%),20,3,,16,9,2,10,4,,12,12,1,22,0,,48,38 (52%),10 (40%),10 (59%),,50,35 (48%),15 (60%),10 (77%),,2,0,,1,0,,,0,1.0,1.0,48.6,0.88,9.2,2.8,1.6,51.4,1.48,14.6,4.2,2.6,2.2,3.0,1.4,0.109,0.357,0.068,0.238
8370,2022-10-03T19:00:00.000Z,10268,Elche,2,1,True,72,0.87,15,6,0,0,455 (85%),5,13,28,1.14,6,2,2,1,137 (63%),19,3,,5,4,0,8,7,,3,1,0,4,2,0.67,0.20,0.87,0.99,0.76,0.38,1.14,0.91,535,166,289,38 (55%),8 (21%),25,2,218,52,85,35 (55%),2 (22%),27,0,,21,8,1,12,1,,19,9,4,40,4,,56,45 (58%),11 (58%),6 (38%),,40,32 (42%),8 (42%),9 (53%),,1,0,,8,0,27.0,14.0,3,1.4,1.6,54.4,0.926,10.6,2.8,1.2,45.6,1.488,13.2,4.4,3.2,2.75,3.75,1.2,0.132,0.5,0.121,0.364
8370,2022-10-08T12:00:00.000Z,9865,Almeria,1,3,False,63,0.85,12,4,2,1,379 (84%),12,6,37,1.19,10,4,2,0,175 (67%),22,7,,6,2,1,8,4,,6,0,0,6,4,0.38,0.47,0.85,0.36,0.87,0.32,1.19,1.05,453,187,192,29 (54%),4 (14%),25,4,261,91,84,22 (31%),4 (24%),19,4,,18,8,0,15,1,,31,2,2,25,3,,55,47 (49%),8 (38%),7 (50%),,62,49 (51%),13 (62%),7 (39%),,2,0,,2,1,19.0,16.0,0,1.4,1.8,59.6,0.82,12.0,3.4,0.6,40.4,1.542,11.8,4.6,3.2,8.15,6.55,1.2,0.117,0.412,0.153,0.391
8370,2022-10-14T19:00:00.000Z,8305,Getafe,0,0,True,65,1.64,17,3,1,1,486 (84%),13,4,35,0.47,6,3,0,0,223 (69%),17,1,,5,9,0,8,9,,1,2,0,3,3,0.63,0.22,0.85,1.21,0.47,0.00,0.47,0.58,580,215,271,43 (58%),5 (14%),30,6,323,126,97,31 (42%),1 (25%),23,0,,8,7,2,8,3,,12,13,8,33,3,,50,28 (50%),22 (67%),6 (55%),,39,28 (50%),11 (33%),5 (56%),,2,0,,3,0,18.0,9.0,1,1.6,2.0,59.2,0.842,11.4,4.2,1.0,40.8,1.616,12.0,4.6,3.4,11.95,9.75,1.2,0.14,0.381,0.167,0.435
8370,2022-10-18T19:00:00.000Z,9906,Atletico Madrid,1,1,False,47,1.89,14,4,2,1,380 (82%),11,4,53,1.10,12,4,1,0,447 (83%),11,3,,7,3,0,7,7,,6,2,0,8,4,0.86,0.24,1.10,2.01,0.63,0.46,1.10,1.47,466,166,214,27 (51%),8 (31%),23,3,538,268,179,28 (47%),7 (54%),16,3,,14,7,2,17,3,,21,14,2,16,3,,35,24 (38%),11 (55%),0 (0%),,48,39 (62%),9 (45%),7 (54%),,0,0,,3,0,15.0,18.0,1,1.4,1.6,61.4,1.136,13.8,4.2,1.2,38.6,1.314,10.6,4.0,2.4,13.35,8.55,1.4,0.101,0.333,0.151,0.4
