team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8633,2022-08-14T20:00:00.000Z,9865,Almeria,2,1,False,68,2.12,29,15,5,4,593 (91%),4,15,32,0.71,10,6,1,0,257 (82%),11,2,,4,10,0,18,11,,3,1,0,7,3,1.49,0.64,2.12,3.25,0.50,0.21,0.71,0.69,649,190,403,25 (71%),5 (21%),19,3,315,157,100,27 (51%),1 (17%),13,3,,9,8,1,3,5,,11,9,10,32,13,,34,29 (56%),5 (42%),9 (50%),,28,21 (42%),7 (58%),6 (67%),,1,0,,3,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8633,2022-08-20T20:00:00.000Z,9910,Celta Vigo,4,1,False,49,3.80,16,7,6,4,475 (88%),8,2,51,1.41,15,2,1,0,479 (88%),12,2,,5,4,0,12,4,,8,5,0,9,6,2.08,0.14,2.23,4.44,0.45,0.17,0.62,1.23,538,246,229,26 (65%),1 (14%),13,1,543,230,249,25 (66%),7 (30%),13,0,,14,15,4,20,1,,13,7,3,11,3,,41,36 (55%),5 (38%),12 (55%),,37,29 (45%),8 (62%),10 (67%),,2,0,,2,0,,,3,2.0,1.0,68.0,2.12,29.0,15.0,5.0,32.0,0.71,10.0,6.0,1.0,0.0,0.0,3.0,0.069,0.133,0.1,0.167
8633,2022-08-28T20:00:00.000Z,8558,Espanyol,3,1,False,64,2.09,19,6,2,0,499 (90%),12,7,36,1.30,15,4,2,1,235 (78%),15,7,,3,10,0,12,7,,6,5,0,11,4,1.73,0.36,2.09,2.80,0.80,0.49,1.30,1.28,555,234,265,31 (63%),7 (39%),18,6,303,109,126,32 (53%),3 (18%),15,0,,8,5,5,12,3,,22,6,9,18,3,,41,28 (43%),13 (65%),5 (28%),,44,37 (57%),7 (35%),3 (43%),,0,0,,0,1,,,3,3.0,1.0,58.5,2.96,22.5,11.0,5.5,41.5,1.06,12.5,4.0,1.0,0.0,0.0,3.0,0.133,0.273,0.08,0.25
8633,2022-09-03T14:15:00.000Z,8603,Real Betis,2,1,True,50,2.89,22,5,5,3,446 (90%),8,9,50,0.53,8,4,0,0,456 (88%),12,2,,12,5,1,13,9,,2,2,0,4,4,2.33,0.56,2.89,1.29,0.48,0.05,0.53,0.27,495,169,277,26 (70%),5 (31%),11,2,519,256,200,28 (57%),1 (20%),16,3,,24,12,2,3,3,,28,8,6,16,2,,54,44 (52%),10 (63%),7 (35%),,47,41 (48%),6 (38%),6 (24%),,0,0,,1,0,,,3,3.0,1.0,60.333,2.67,21.333,9.333,4.333,39.667,1.14,13.333,4.0,1.333,0.0,0.0,3.0,0.141,0.321,0.075,0.25
8633,2022-09-11T12:00:00.000Z,8661,Mallorca,4,1,True,68,2.31,22,7,3,0,596 (92%),7,4,32,0.50,5,2,2,1,241 (82%),15,3,,8,7,0,6,16,,2,1,0,5,0,1.62,0.69,2.31,2.99,0.33,0.17,0.50,0.31,649,146,450,21 (72%),1 (14%),15,0,294,137,104,25 (49%),1 (8%),8,1,,12,4,1,5,1,,20,12,7,17,3,,53,48 (58%),5 (56%),21 (70%),,39,35 (42%),4 (44%),8 (67%),,3,0,,5,0,,,3,2.75,1.0,57.75,2.725,21.5,8.25,4.5,42.25,0.988,12.0,4.0,1.0,0.0,0.0,3.0,0.128,0.333,0.083,0.25
8633,2022-09-18T19:00:00.000Z,9906,Atletico Madrid,2,1,False,47,0.88,6,3,3,1,451 (89%),16,1,53,1.04,12,4,1,0,508 (90%),15,8,,2,1,0,4,2,,4,4,0,7,5,0.83,0.05,0.88,1.64,0.34,0.70,1.04,0.49,507,321,130,41 (69%),0 (0%),7,0,565,266,242,15 (50%),1 (5%),12,2,,12,17,4,15,3,,11,9,1,8,1,,45,37 (49%),8 (62%),10 (63%),,43,38 (51%),5 (38%),11 (65%),,2,0,,2,1,,,3,3.0,1.0,59.8,2.642,21.6,8.0,4.2,40.2,0.89,10.6,3.6,1.2,0.0,0.0,3.0,0.139,0.375,0.094,0.278
8633,2022-10-02T19:00:00.000Z,8371,Osasuna,1,1,True,64,2.53,22,4,3,3,550 (91%),9,10,36,0.53,8,2,0,0,281 (80%),13,2,,9,9,2,12,10,,6,0,0,6,2,1.34,0.40,1.75,0.99,0.52,0.02,0.53,0.53,605,219,331,23 (74%),9 (29%),23,4,350,144,137,29 (51%),2 (25%),10,0,,6,8,0,7,1,,14,9,8,27,3,,38,26 (50%),12 (57%),7 (47%),,35,26 (50%),9 (43%),5 (71%),,1,0,,2,1,38.0,13.0,1,3.0,1.0,55.6,2.394,17.0,5.6,3.8,44.4,0.956,11.0,3.2,1.2,0.0,0.0,3.0,0.176,0.536,0.091,0.312
8633,2022-10-08T19:00:00.000Z,8305,Getafe,1,0,False,66,1.41,19,4,2,1,666 (90%),5,4,34,0.31,9,2,0,0,284 (75%),10,4,,11,4,0,8,11,,4,3,0,4,5,1.18,0.24,1.41,0.80,0.21,0.10,0.31,0.23,740,303,363,33 (65%),2 (18%),16,2,381,147,137,21 (37%),1 (8%),19,1,,13,7,3,13,2,,11,7,4,17,3,,45,36 (69%),9 (41%),13 (59%),,29,16 (31%),13 (59%),0 (0%),,0,0,,0,0,15.0,10.0,3,2.4,1.0,58.6,2.14,18.2,5.0,3.2,41.4,0.78,9.6,3.2,1.0,7.6,2.6,2.6,0.132,0.48,0.104,0.312
8633,2022-10-16T14:15:00.000Z,8634,Barcelona,3,1,True,43,1.14,8,4,2,1,345 (83%),11,2,57,2.16,18,5,2,1,488 (89%),14,3,,2,2,0,6,2,,7,6,0,12,6,0.35,0.00,0.35,1.45,2.04,0.12,2.16,1.03,414,195,150,35 (57%),1 (14%),17,3,547,181,307,35 (73%),5 (56%),15,4,,16,6,6,9,4,,14,8,2,5,1,,38,31 (46%),7 (50%),2 (29%),,44,37 (54%),7 (50%),12 (67%),,2,0,,2,0,17.0,30.0,3,2.0,0.8,59.0,2.004,18.2,4.6,3.2,41.0,0.582,8.4,2.8,0.6,10.6,4.6,2.6,0.11,0.435,0.095,0.286
8633,2022-10-19T19:00:00.000Z,10268,Elche,3,0,False,62,1.51,10,7,4,3,696 (94%),10,2,38,0.76,10,3,2,2,382 (88%),14,8,,1,2,0,7,3,,4,3,0,8,2,1.51,0.00,1.51,2.14,0.67,0.09,0.76,0.97,738,292,404,20 (87%),0 (0%),16,6,435,216,166,20 (53%),5 (28%),10,0,,15,5,3,14,3,,13,8,3,8,3,,40,0,0 (0%),11 (73%),,33,0,4 (100%),6 (60%),,1,0,,1,0,34.0,18.0,3,2.2,0.8,57.6,1.654,15.4,4.4,2.6,42.4,0.908,10.4,3.0,1.0,14.0,10.6,2.6,0.143,0.5,0.077,0.267
