team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10205,2022-08-13T17:00:00.000Z,10281,Real Valladolid,3,0,False,48,1.50,10,4,2,1,323 (78%),10,5,52,1.02,12,6,1,1,362 (83%),6,4,,4,2,0,6,4,,5,1,0,7,5,0.93,0.57,1.50,1.90,0.90,0.12,1.02,0.61,414,180,143,31 (50%),4 (50%),25,33.0,1,434,193,169,25 (47%),5 (23%),18,15.0,2,,18,7,1,12,6,,16,19,2,18,1,,50,38 (50%),12 (55%),15 (65%),,48,38 (49%),10 (45%),12 (52%),,0,0,,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10205,2022-08-21T17:30:00.000Z,9906,Atletico Madrid,2,0,False,50,1.78,19,5,3,2,443 (90%),11,6,50,1.58,13,5,3,3,410 (87%),8,5,,5,9,1,13,6,,6,2,1,8,5,0.80,0.97,1.78,2.05,1.55,0.03,1.58,1.20,491,256,187,37 (64%),3 (33%),5,,1,473,213,197,16 (46%),7 (23%),16,,2,,6,12,1,31,5,,18,2,9,10,3,,35,24 (44%),11 (46%),10 (42%),,44,31 (56%),13 (54%),4 (50%),,2,0,,2,1,3,3.0,0.0,48.0,1.5,10.0,4.0,2.0,52.0,1.02,12.0,6.0,1.0,33.0,15.0,3.0,0.3,0.75,0.0,0.0
10205,2022-08-28T15:30:00.000Z,8305,Getafe,0,0,False,65,1.08,11,6,3,3,408 (85%),19,4,35,0.30,8,2,0,0,197 (75%),11,1,,3,2,0,8,3,,4,2,0,4,4,0.99,0.10,1.08,0.94,0.10,0.19,0.30,0.24,480,190,218,22 (61%),5 (42%),25,,0,263,104,93,27 (47%),2 (20%),20,,5,,7,7,1,9,2,,15,2,2,13,6,,38,29 (42%),9 (64%),12 (67%),,45,40 (58%),5 (36%),6 (67%),,5,0,,1,0,1,2.5,0.0,49.0,1.64,14.5,4.5,2.5,51.0,1.3,12.5,5.5,2.0,16.5,7.5,3.0,0.172,0.556,0.0,0.0
10205,2022-09-04T16:30:00.000Z,10268,Elche,4,0,True,53,3.61,18,10,8,5,411 (87%),10,6,47,0.56,7,0,0,0,356 (88%),9,4,,6,2,0,17,1,,4,3,0,5,2,3.13,0.49,3.61,5.99,0.34,0.23,0.56,0.00,472,213,198,34 (59%),2 (13%),11,,5,403,157,199,22 (56%),2 (8%),17,,2,,21,3,3,14,0,,19,11,2,20,6,,45,37 (56%),8 (50%),7 (70%),,37,29 (44%),8 (50%),1 (17%),,1,0,,3,0,3,1.667,0.0,54.333,1.453,13.333,5.0,2.667,45.667,0.967,11.0,4.333,1.333,22.0,10.0,2.333,0.125,0.333,0.0,0.0
10205,2022-09-11T19:00:00.000Z,8603,Real Betis,0,1,False,53,1.70,14,3,6,6,357 (86%),14,8,47,1.90,16,5,2,1,322 (86%),11,9,,4,7,0,8,6,,6,5,0,11,5,1.50,0.20,1.70,0.84,1.53,0.38,1.90,1.13,413,165,192,20 (57%),4 (17%),17,,6,376,139,183,19 (54%),5 (24%),13,,4,,17,9,5,19,4,,16,11,8,25,2,,51,38 (51%),13 (57%),10 (53%),,47,37 (49%),10 (43%),8 (53%),,1,0,,1,0,0,2.25,0.0,54.0,1.992,14.5,6.25,4.0,46.0,0.865,10.0,3.25,1.0,20.625,9.375,2.5,0.155,0.36,0.0,0.0
10205,2022-09-18T14:15:00.000Z,8302,Sevilla,1,1,True,46,1.46,17,7,4,3,305 (81%),15,6,54,0.58,12,1,0,0,386 (85%),12,4,,8,2,1,11,6,,7,4,0,6,6,1.42,0.04,1.46,1.58,0.57,0.01,0.58,0.30,376,130,175,23 (55%),1 (5%),22,,1,455,214,172,32 (54%),2 (13%),16,,6,,20,7,3,16,0,,13,11,2,24,6,,57,47 (58%),10 (59%),15 (71%),,41,34 (42%),7 (41%),7 (44%),,1,0,,5,0,1,1.8,0.2,53.8,1.934,14.4,5.6,4.4,46.2,1.072,11.2,3.6,1.2,20.9,9.5,2.0,0.125,0.321,0.018,0.056
10205,2022-10-01T12:00:00.000Z,8385,Cadiz,0,0,False,60,1.64,14,6,2,2,400 (83%),8,5,40,0.68,10,2,2,2,236 (79%),13,6,,5,3,1,10,4,,3,5,0,6,4,1.52,0.12,1.64,0.73,0.46,0.22,0.68,0.65,481,181,219,20 (45%),3 (16%),19,19.0,1,300,121,115,22 (45%),7 (32%),13,18.0,3,,16,2,5,17,2,,20,11,3,18,7,,49,37 (54%),12 (46%),10 (63%),,45,31 (46%),14 (54%),3 (23%),,3,0,,2,1,1,1.4,0.4,53.4,1.926,15.8,6.2,4.8,46.6,0.984,11.2,2.6,1.0,18.425,8.375,1.6,0.089,0.226,0.036,0.154
10205,2022-10-09T16:30:00.000Z,8560,Real Sociedad,0,1,False,40,0.21,5,1,0,0,279 (82%),18,3,60,1.32,17,5,6,5,468 (90%),21,9,,2,2,0,3,2,,6,6,0,12,5,0.21,0.00,0.21,0.24,1.08,0.24,1.32,1.27,340,155,124,27 (55%),0 (0%),21,17.0,0,522,222,246,29 (67%),2 (13%),14,24.0,5,,20,4,6,14,4,,24,6,2,17,1,,48,41 (48%),7 (39%),2 (25%),,56,45 (52%),11 (61%),5 (28%),,3,0,,5,0,0,1.0,0.4,55.4,1.898,14.8,6.4,4.6,44.6,0.804,10.6,2.0,0.8,22.225,11.975,1.2,0.068,0.156,0.038,0.2
10205,2022-10-17T19:00:00.000Z,8371,Osasuna,2,0,True,58,1.55,12,9,3,1,347 (83%),14,8,42,0.48,14,3,0,0,233 (81%),23,4,,2,1,0,8,4,,8,3,0,2,12,0.73,0.03,0.76,2.63,0.46,0.02,0.48,0.29,416,189,158,30 (51%),3 (21%),18,28.0,5,289,124,109,34 (59%),1 (6%),15,7.0,2,,10,4,3,18,3,,13,12,1,16,7,,43,34 (56%),9 (39%),4 (40%),,41,27 (44%),14 (61%),1 (25%),,2,0,,6,0,3,1.0,0.6,50.4,1.724,13.6,5.4,4.0,49.6,1.008,12.4,2.6,2.0,19.025,13.775,1.0,0.074,0.185,0.048,0.231
10205,2022-10-20T19:00:00.000Z,8634,Barcelona,0,3,False,30,0.42,5,1,1,1,276 (84%),11,0,70,2.08,16,5,4,2,716 (94%),18,8,,4,0,0,4,1,,6,5,1,11,5,0.37,0.05,0.42,0.04,1.84,0.24,2.08,2.08,328,194,82,24 (56%),4 (57%),12,14.0,0,763,293,423,36 (86%),9 (41%),14,37.0,4,,16,13,5,19,2,,17,11,0,1,1,,45,42 (55%),3 (30%),9 (56%),,42,35 (45%),7 (70%),8 (47%),,1,0,,0,0,0,0.6,0.6,51.4,1.312,12.4,5.2,3.0,48.6,0.992,13.8,3.2,2.0,21.325,13.675,1.0,0.048,0.115,0.043,0.187
