team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
4032,2023-08-14T17:00:00.000Z,161750,Alcorcon,4,0,True,38,17,6,5,2,256 (73%),14,2,62,18,6,0,0,445 (81%),6,5,,7,4,0,9,8,,6,6,0,7,11,350,165,91,18 (27%),0 (0%),14,0,551,200,245,34 (44%),3 (12%),19,6,,16,9,6,27,6,,18,6,3,13,2,,42,30 (44%),12 (38%),8 (47%),,58,38 (56%),20 (63%),6 (46%),,1,0,,1,0,,
4032,2023-08-20T17:30:00.000Z,9869,Sporting Gijon,0,3,False,49,22,11,0,0,271 (75%),12,11,51,12,7,0,0,297 (79%),11,7,,6,5,0,5,17,,2,3,0,8,4,362,148,123,23 (49%),9 (39%),23,1,378,126,171,32 (45%),5 (31%),15,1,,13,15,3,19,4,,16,11,5,25,11,,54,39 (51%),15 (45%),15 (56%),,55,37 (49%),18 (55%),9 (56%),,2,0,,2,0,,
4032,2023-08-27T17:30:00.000Z,8558,Espanyol,0,1,True,51,5,1,0,0,349 (81%),12,4,49,17,4,2,2,322 (80%),13,7,,2,2,0,3,2,,10,3,0,6,11,429,241,108,30 (50%),1 (7%),20,2,402,141,181,18 (37%),8 (32%),16,2,,6,6,4,22,2,,21,16,2,13,1,,24,19 (33%),5 (28%),2 (13%),,51,38 (67%),13 (72%),5 (56%),,4,0,,2,0,,
4032,2023-09-03T19:00:00.000Z,96925,SD Huesca,1,1,False,64,13,3,2,1,345 (80%),10,5,36,15,3,0,0,140 (60%),15,9,,7,3,1,10,3,,6,6,0,7,8,432,175,170,39 (51%),8 (26%),27,4,232,67,73,18 (30%),5 (21%),24,1,,10,5,6,23,2,,13,8,4,33,1,,53,30 (50%),23 (56%),6 (35%),,48,30 (50%),18 (44%),7 (64%),,5,0,,3,1,,
4032,2023-09-10T16:30:00.000Z,494050,FC Andorra,4,3,True,27,17,6,5,4,145 (64%),9,3,73,25,7,1,0,574 (89%),11,3,,9,2,2,12,5,,10,8,0,12,13,225,80,65,17 (33%),3 (30%),16,2,644,314,260,21 (47%),6 (46%),20,0,,34,9,8,10,4,,15,8,2,20,2,,57,49 (58%),8 (50%),5 (33%),,43,35 (42%),8 (50%),12 (36%),,1,0,,3,0,,
4032,2023-09-17T12:00:00.000Z,189624,SD Amorebieta,0,2,False,58,10,2,1,1,356 (78%),10,4,42,8,2,2,0,225 (67%),24,9,,6,2,0,5,5,,3,3,0,6,2,457,216,140,39 (54%),6 (23%),26,0,335,123,102,24 (33%),7 (44%),16,1,,11,6,3,12,0,,12,9,2,31,2,,71,43 (61%),28 (67%),9 (69%),,42,28 (39%),14 (33%),6 (46%),,2,0,,3,0,,
4032,2023-09-24T16:30:00.000Z,7854,Leganes,1,3,True,53,12,6,0,0,354 (82%),11,0,47,11,5,3,1,289 (76%),12,4,,5,1,0,5,7,,5,1,0,7,4,430,190,164,33 (57%),2 (11%),36,1,381,150,139,29 (36%),4 (31%),23,1,,13,9,1,22,2,,19,7,1,19,5,,43,36 (50%),7 (33%),13 (65%),,50,36 (50%),14 (67%),7 (47%),,1,0,,1,0,,
4032,2023-10-01T16:30:00.000Z,8394,Real Zaragoza,1,0,False,40,8,0,1,1,273 (80%),11,2,60,8,2,2,2,427 (83%),10,6,,5,3,0,4,4,,4,2,1,7,1,343,171,102,13 (30%),2 (15%),18,2,513,249,178,49 (58%),3 (19%),28,0,,10,13,2,26,2,,11,10,3,8,0,,39,22 (45%),17 (57%),3 (38%),,40,27 (55%),13 (43%),5 (63%),,4,0,,2,1,12.0,17.0
4032,2023-10-05T17:00:00.000Z,8372,Eibar,1,3,True,45,7,3,2,1,319 (76%),9,0,55,15,3,2,0,403 (82%),14,7,,3,1,0,3,4,,8,4,0,6,9,417,210,109,28 (44%),0 (0%),30,4,493,205,198,45 (49%),3 (14%),27,2,,19,6,4,13,0,,16,16,1,7,2,,56,40 (56%),16 (59%),8 (57%),,42,31 (44%),11 (41%),6 (33%),,2,0,,2,0,9.0,16.0
4032,2023-10-08T14:15:00.000Z,10281,Real Valladolid,2,3,False,29,6,3,2,0,151 (64%),11,1,71,23,9,2,1,501 (87%),10,7,,2,1,0,3,3,,6,8,0,11,12,235,96,55,14 (22%),1 (14%),18,2,575,176,325,45 (68%),7 (19%),25,1,,11,10,8,33,6,,7,6,0,12,1,,31,23 (46%),8 (30%),3 (38%),,46,27 (54%),19 (70%),9 (69%),,3,0,,3,0,7.0,27.0
4032,2023-10-14T14:15:00.000Z,9867,Tenerife,1,1,True,48,9,3,1,0,335 (80%),10,5,52,9,4,0,0,371 (80%),14,2,,2,4,0,8,1,,3,2,0,3,6,418,226,109,23 (39%),4 (27%),17,4,465,213,158,29 (45%),2 (11%),20,2,,8,7,2,13,3,,19,10,4,17,2,,49,34 (49%),15 (58%),12 (52%),,46,35 (51%),11 (42%),6 (75%),,3,0,,3,0,21.0,13.0
4032,2023-10-21T14:15:00.000Z,161771,Villarreal B,3,0,False,33,7,3,3,1,205 (69%),13,1,67,15,3,1,1,491 (84%),8,8,,3,1,0,6,1,,5,7,0,7,8,296,121,84,18 (27%),2 (25%),15,4,586,271,220,38 (54%),8 (28%),24,1,,27,13,7,37,3,,16,12,1,16,0,,55,41 (53%),14 (50%),6 (40%),,51,37 (47%),14 (50%),9 (45%),,1,0,,1,0,15.0,22.0
4032,2023-10-29T13:00:00.000Z,8554,Cartagena,2,1,True,49,13,4,5,3,316 (84%),9,4,51,14,5,4,3,319 (81%),14,5,,5,4,0,9,4,,3,6,0,9,5,377,181,135,19 (44%),9 (41%),16,1,395,153,166,35 (49%),6 (38%),24,0,,9,10,6,14,4,,16,6,3,19,2,,36,26 (44%),10 (48%),7 (37%),,44,33 (56%),11 (52%),10 (59%),,0,0,,3,0,23.0,16.0
4032,2023-11-04T17:30:00.000Z,8581,Levante,2,2,False,54,10,4,4,2,339 (80%),11,6,46,10,5,2,2,285 (78%),19,2,,4,2,0,6,4,,2,3,1,6,4,422,178,161,22 (39%),3 (11%),26,2,364,146,139,28 (47%),1 (11%),21,2,,15,7,3,16,3,,22,3,2,31,2,,52,43 (54%),9 (32%),10 (56%),,56,37 (46%),19 (68%),4 (36%),,3,0,,4,2,25.0,14.0
4032,2023-11-11T17:30:00.000Z,8474,Racing de Ferrol,1,2,True,63,17,7,3,2,437 (82%),4,6,37,10,3,1,0,209 (66%),12,2,,5,5,0,8,9,,4,3,0,6,4,536,231,206,30 (48%),2 (6%),22,1,318,116,93,27 (33%),4 (44%),21,0,,14,11,3,9,1,,21,12,5,45,6,,58,41 (60%),17 (47%),16 (67%),,46,27 (40%),19 (53%),3 (25%),,1,0,,1,0,25.0,12.0
4032,2023-11-19T15:15:00.000Z,8288,Eldense,2,2,False,48,7,3,1,0,255 (78%),14,1,52,20,6,6,4,276 (76%),21,7,,1,3,0,5,2,,8,6,2,15,5,329,166,89,24 (40%),6 (32%),19,0,362,120,156,26 (41%),5 (28%),25,1,,12,6,4,25,4,,16,6,3,21,1,,55,41 (55%),14 (52%),10 (53%),,47,34 (45%),13 (48%),5 (38%),,1,0,,1,0,11.0,26.0
4032,2023-11-26T15:15:00.000Z,8670,Real Oviedo,2,1,True,35,10,6,2,1,228 (75%),7,5,65,8,2,0,0,499 (87%),15,2,,2,2,0,5,5,,3,3,0,5,3,304,136,92,21 (36%),4 (25%),16,1,574,275,224,21 (51%),9 (30%),23,0,,25,7,3,26,1,,15,10,3,14,3,,59,49 (56%),10 (48%),9 (60%),,49,38 (44%),11 (52%),16 (47%),,3,0,,3,0,14.0,24.0
4032,2023-12-03T17:30:00.000Z,8696,Racing Santander,0,0,True,53,13,5,4,4,295 (79%),15,9,47,12,3,2,2,264 (78%),17,10,,7,1,1,11,2,,8,1,1,5,7,373,183,112,29 (53%),8 (27%),13,3,339,113,151,21 (47%),3 (16%),21,1,,15,5,1,15,3,,11,11,2,28,4,,46,36 (52%),10 (42%),7 (70%),,47,33 (48%),14 (58%),7 (50%),,4,0,,5,0,27.0,21.0
4032,2023-12-09T20:00:00.000Z,7876,Burgos CF,0,0,False,47,5,1,0,0,278 (78%),10,8,53,11,2,0,0,313 (77%),10,3,,2,2,0,4,1,,7,2,0,10,1,356,173,105,19 (37%),3 (17%),25,3,406,157,156,34 (50%),6 (27%),33,0,,8,13,1,22,2,,15,5,1,18,1,,37,22 (44%),15 (39%),5 (50%),,51,28 (56%),23 (61%),4 (67%),,4,0,,3,0,19.0,20.0
4032,2023-12-16T20:00:00.000Z,8393,Albacete,2,0,True,38,13,3,4,2,236 (72%),9,2,62,11,3,1,1,406 (79%),16,7,,9,1,0,7,6,,5,3,0,9,2,328,130,106,27 (36%),2 (29%),20,1,514,147,259,19 (34%),7 (23%),26,2,,18,11,3,30,3,,15,11,1,10,1,,55,40 (56%),15 (45%),7 (54%),,50,32 (44%),18 (55%),10 (48%),,2,0,,2,0,20.0,27.0
4032,2023-12-19T20:30:00.000Z,10268,Elche,0,0,False,39,4,0,1,1,279 (76%),12,1,61,17,1,0,0,477 (85%),13,6,,3,1,1,3,1,,10,6,0,11,6,369,200,79,32 (42%),1 (17%),21,3,560,272,205,30 (49%),7 (30%),21,3,,19,12,6,16,1,,17,7,1,8,0,,49,38 (48%),11 (41%),7 (47%),,57,41 (52%),16 (59%),13 (54%),,3,0,,2,0,4.0,28.0
4032,2024-01-13T13:00:00.000Z,161750,Alcorcon,0,0,False,48,12,2,0,0,294 (79%),7,3,52,14,2,0,0,312 (79%),10,3,,9,1,0,4,8,,9,3,0,7,7,374,190,104,21 (38%),4 (29%),21,1,393,142,170,42 (50%),6 (21%),23,3,,23,4,3,23,2,,38,8,1,24,2,,60,43 (46%),17 (44%),11 (39%),,72,50 (54%),22 (56%),7 (35%),,1,0,,0,0,29.0,27.0
4032,2024-01-21T15:15:00.000Z,8581,Levante,1,1,True,48,15,3,1,0,294 (79%),11,6,52,9,2,0,0,352 (82%),18,3,,7,5,1,10,5,,5,2,0,5,4,370,172,122,18 (46%),8 (26%),16,0,430,222,130,32 (49%),4 (31%),30,2,,14,5,2,11,1,,12,10,5,27,2,,46,34 (52%),12 (52%),5 (38%),,42,31 (48%),11 (48%),9 (53%),,2,0,,3,0,27.0,13.0
4032,2024-01-26T19:30:00.000Z,8372,Eibar,0,1,False,38,11,3,1,1,252 (73%),10,4,62,20,7,2,1,483 (85%),12,6,,5,3,0,8,3,,6,7,0,11,9,343,163,89,27 (44%),4 (33%),15,1,569,223,260,35 (51%),4 (15%),22,0,,11,12,7,30,6,,14,8,3,16,3,,51,34 (52%),17 (46%),12 (57%),,51,31 (48%),20 (54%),7 (78%),,2,0,,1,0,27.0,30.0
4032,2024-02-03T15:15:00.000Z,161771,Villarreal B,3,0,True,56,13,6,4,1,397 (81%),9,5,44,4,0,0,0,302 (77%),13,1,,5,2,1,8,5,,3,1,0,2,2,493,254,143,24 (36%),2 (12%),24,2,390,178,124,34 (46%),2 (15%),18,1,,21,13,1,12,0,,29,9,1,17,3,,50,39 (49%),11 (42%),7 (30%),,55,40 (51%),15 (58%),2 (15%),,1,0,,1,0,17.0,7.0
