team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
10268,2023-08-12T20:00:00.000Z,8474,Racing de Ferrol,0,1,True,56,14,1,0,0,392 (84%),13,4,44,10,2,1,1,291 (77%),15,4,,8,5,0,10,4,,5,3,0,8,2,467,217,175,23 (47%),4 (17%),29,39.0,3,379,170,121,16 (31%),3 (30%),20,18.0,0,,15,6,3,11,2,,14,12,5,24,1,,60,45 (57%),15 (52%),16 (64%),,48,34 (43%),14 (48%),8 (47%),,0,0,,2,0
10268,2023-08-19T15:00:00.000Z,8372,Eibar,1,2,False,51,13,3,3,2,320 (79%),8,4,49,11,5,2,2,300 (77%),13,6,,6,4,0,9,4,,3,3,0,5,6,406,180,140,35 (52%),4 (17%),38,,2,391,170,130,29 (43%),3 (19%),27,,5,,10,12,3,21,3,,14,10,3,23,2,,60,36 (60%),24 (52%),16 (73%),,46,24 (40%),22 (48%),2 (22%),,2,0,,1,0
10268,2023-08-26T19:30:00.000Z,161771,Villarreal B,1,0,True,49,18,8,2,1,360 (82%),14,4,51,12,3,0,0,372 (81%),8,4,,7,3,0,12,6,,5,4,1,8,4,439,231,129,29 (49%),5 (29%),21,,3,457,201,171,19 (42%),3 (30%),11,,2,,14,9,4,11,3,,22,7,3,14,7,,43,34 (44%),9 (50%),13 (57%),,53,44 (56%),9 (50%),9 (50%),,2,0,,0,0
10268,2023-09-02T19:00:00.000Z,8696,Racing Santander,1,1,True,59,24,6,1,1,401 (82%),11,8,41,12,6,1,0,281 (78%),16,1,,10,8,0,15,9,,5,1,0,6,6,492,228,173,20 (39%),15 (43%),31,,3,358,126,155,16 (40%),2 (33%),14,,0,,13,13,1,6,5,,23,12,8,26,5,,56,44 (52%),12 (48%),15 (63%),,53,40 (48%),13 (52%),6 (60%),,0,1,,3,0
10268,2023-09-10T19:00:00.000Z,10281,Real Valladolid,1,1,False,48,8,3,2,1,321 (81%),13,6,52,15,5,3,2,350 (83%),15,7,,3,2,0,6,2,,7,3,0,8,7,396,189,132,32 (44%),2 (13%),24,,2,422,138,212,27 (59%),3 (12%),29,,1,,6,2,3,32,4,,21,5,2,20,2,,43,29 (39%),14 (44%),10 (45%),,63,45 (61%),18 (56%),11 (65%),,2,1,,4,1
10268,2023-09-17T16:30:00.000Z,7854,Leganes,1,0,True,57,18,5,3,2,410 (86%),14,8,43,9,3,1,1,291 (79%),10,4,,6,7,1,11,7,,6,0,1,4,5,479,199,211,33 (51%),6 (25%),23,,2,367,180,111,18 (46%),2 (17%),17,,2,,17,4,0,23,3,,13,5,7,18,4,,49,37 (52%),12 (52%),11 (58%),,45,34 (48%),11 (48%),7 (47%),,4,0,,3,0
10268,2023-09-23T16:30:00.000Z,7876,Burgos CF,0,4,False,65,12,1,1,1,439 (83%),12,1,35,16,9,4,1,202 (70%),11,4,,9,2,1,3,9,,4,3,0,12,4,526,235,204,38 (55%),3 (11%),21,,2,287,114,88,25 (40%),1 (11%),17,,0,,12,6,2,13,5,,18,10,2,20,1,,47,28 (45%),19 (56%),6 (38%),,49,34 (55%),15 (44%),5 (45%),,1,0,,3,0
10268,2023-09-30T16:30:00.000Z,8581,Levante,0,0,True,53,28,4,4,4,385 (87%),8,8,47,10,2,1,1,352 (85%),12,7,,18,6,0,20,8,,5,3,0,5,5,442,187,198,28 (65%),14 (29%),25,40.0,2,413,199,153,22 (55%),2 (15%),15,15.0,3,,26,6,3,13,2,,17,5,7,45,3,,64,52 (61%),12 (46%),15 (60%),,47,33 (39%),14 (54%),8 (38%),,1,0,,1,0
10268,2023-10-04T19:30:00.000Z,9869,Sporting Gijon,0,2,False,52,10,1,0,0,405 (85%),15,3,48,20,8,1,1,379 (87%),9,6,,6,3,0,6,4,,10,2,1,14,6,474,246,159,29 (60%),6 (25%),24,15.0,1,434,236,143,29 (56%),6 (35%),16,35.0,3,,18,16,2,15,6,,16,11,3,16,1,,48,34 (50%),14 (45%),7 (44%),,51,34 (50%),17 (55%),4 (27%),,0,0,,0,0
10268,2023-10-09T17:00:00.000Z,494050,FC Andorra,2,1,True,44,24,9,3,2,250 (78%),13,10,56,4,1,1,0,359 (84%),15,4,,6,9,0,16,8,,2,1,0,2,2,322,110,140,15 (35%),8 (26%),26,39.0,3,428,238,121,27 (57%),0 (0%),13,7.0,2,,22,11,1,8,0,,16,6,9,29,7,,67,56 (58%),11 (39%),21 (68%),,57,40 (42%),17 (61%),11 (44%),,0,0,,0,0
