team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
7854,2023-08-13T20:00:00.000Z,494050,FC Andorra,0,1,True,32,12,4,1,1,216 (76%),25,2,68,14,4,2,2,536 (88%),12,2,,6,2,0,8,4,,5,5,1,10,4,283,73,143,22 (54%),3 (25%),16,3,611,342,194,24 (48%),2 (22%),23,1,,22,11,5,9,3,,13,3,3,13,3,,60,43 (45%),17 (77%),9 (69%),,57,52 (55%),5 (23%),15 (52%),,5,0,,1,0,,
7854,2023-08-19T20:00:00.000Z,161750,Alcorcon,2,0,False,50,7,4,1,0,277 (75%),16,5,50,15,3,1,1,280 (79%),12,8,,2,1,0,3,4,,5,7,0,4,11,371,150,127,20 (36%),2 (13%),28,2,356,141,139,30 (48%),5 (19%),14,2,,12,6,6,16,3,,10,10,1,17,2,,52,29 (49%),23 (53%),6 (67%),,50,30 (51%),20 (47%),6 (55%),,4,0,,2,0,,
7854,2023-08-27T19:30:00.000Z,8393,Albacete,2,0,True,34,11,2,2,0,198 (66%),9,2,66,12,3,0,0,498 (82%),15,5,,8,1,0,5,6,,6,3,1,6,6,301,106,92,22 (28%),1 (6%),12,0,606,213,285,18 (42%),3 (13%),32,1,,11,5,3,26,3,,14,9,1,19,0,,36,27 (50%),9 (35%),3 (33%),,44,27 (50%),17 (65%),5 (63%),,3,0,,2,0,,
7854,2023-09-03T14:15:00.000Z,8372,Eibar,1,0,False,22,2,1,1,0,95 (50%),14,1,78,20,2,0,0,543 (85%),11,8,,0,1,0,2,0,,7,11,0,12,8,191,55,40,16 (24%),0 (0%),18,1,639,227,316,39 (60%),7 (18%),41,4,,17,16,11,37,2,,20,4,1,8,0,,48,33 (45%),15 (54%),6 (50%),,54,41 (55%),13 (46%),8 (42%),,3,0,,2,0,,
7854,2023-09-09T19:00:00.000Z,96925,SD Huesca,2,0,True,54,11,7,2,1,418 (84%),19,2,46,8,3,1,1,349 (84%),12,3,,3,1,1,7,4,,1,4,1,5,3,498,302,116,34 (53%),2 (17%),23,1,415,193,156,20 (43%),7 (37%),14,2,,13,4,4,22,3,,12,4,1,19,5,,43,27 (42%),16 (64%),3 (43%),,47,38 (58%),9 (36%),8 (47%),,0,0,,2,0,,
7854,2023-09-17T16:30:00.000Z,10268,Elche,0,1,False,43,9,3,1,1,291 (79%),10,4,57,18,5,3,2,410 (86%),14,8,,6,0,1,4,5,,6,7,1,11,7,367,180,111,18 (46%),2 (17%),17,2,479,199,211,33 (51%),6 (25%),23,2,,13,5,7,18,4,,17,4,0,23,3,,45,34 (48%),11 (48%),7 (47%),,49,37 (52%),12 (52%),11 (58%),,3,0,,4,0,,
7854,2023-09-24T16:30:00.000Z,4032,CD Mirandes,3,1,False,47,11,5,3,1,289 (76%),12,4,53,12,6,0,0,354 (82%),11,0,,5,1,0,7,4,,5,1,0,5,7,381,150,139,29 (36%),4 (31%),23,1,430,190,164,33 (57%),2 (11%),36,1,,19,7,1,19,5,,13,9,1,22,2,,50,36 (50%),14 (67%),7 (47%),,43,36 (50%),7 (33%),13 (65%),,1,0,,1,0,,
7854,2023-09-29T19:00:00.000Z,8696,Racing Santander,2,1,True,43,9,4,2,2,313 (77%),14,3,57,15,2,1,0,426 (80%),5,11,,3,2,0,5,4,,6,7,1,11,4,409,130,183,35 (50%),1 (8%),28,2,533,216,210,7 (24%),6 (25%),14,0,,14,9,7,22,1,,22,9,2,22,3,,48,30 (41%),18 (60%),11 (58%),,55,43 (59%),12 (40%),8 (50%),,4,0,,3,0,,
7854,2023-10-04T19:30:00.000Z,7876,Burgos CF,0,1,False,60,12,2,0,0,488 (86%),11,8,40,5,3,0,0,306 (80%),14,0,,5,5,0,6,6,,2,0,0,2,3,567,234,254,30 (46%),3 (15%),30,0,382,174,132,30 (51%),0 (0%),17,0,,10,3,0,9,2,,15,10,5,21,2,,49,38 (55%),11 (44%),15 (75%),,45,31 (45%),14 (56%),6 (67%),,3,1,,5,0,19.0,11.0
7854,2023-10-07T19:00:00.000Z,8670,Real Oviedo,0,0,True,37,9,3,0,0,225 (74%),11,1,63,6,2,3,3,431 (86%),13,4,,5,1,1,5,4,,3,1,0,2,4,304,109,116,18 (37%),2 (17%),17,1,502,268,163,27 (56%),6 (22%),23,0,,17,6,1,15,2,,15,4,1,17,3,,50,37 (55%),13 (50%),8 (44%),,43,30 (45%),13 (50%),5 (33%),,3,0,,1,0,12.0,9.0
