team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
8581,2023-08-11T17:00:00.000Z,189624,SD Amorebieta,1,1,False,58,7,2,2,1,339 (79%),18,2,42,11,3,2,1,215 (73%),20,8,,5,0,0,3,4,,5,3,0,7,4,431,162,177,35 (56%),4 (27%),19,17,2,295,118,97,37 (52%),8 (31%),23,19,2,,10,3,3,23,1,,18,10,0,29,1,,53,36 (46%),17 (47%),6 (38%),,62,43 (54%),19 (53%),7 (58%),,3,0,,0,0
8581,2023-08-19T17:30:00.000Z,7876,Burgos CF,3,2,True,50,18,11,3,3,323 (81%),19,4,50,15,7,2,0,318 (81%),7,4,,5,2,1,8,10,,6,2,0,9,6,399,170,153,22 (46%),5 (26%),15,22,1,394,172,146,31 (48%),7 (33%),21,24,2,,12,5,2,14,5,,21,11,2,21,8,,43,34 (44%),9 (43%),16 (57%),,56,44 (56%),12 (57%),4 (40%),,4,0,,3,0
8581,2023-08-25T19:30:00.000Z,8554,Cartagena,1,0,False,45,13,5,2,1,300 (80%),15,12,55,9,3,2,2,390 (84%),14,2,,6,2,0,8,5,,5,1,0,5,4,377,170,130,27 (49%),9 (47%),15,23,1,465,241,149,25 (45%),10 (40%),17,22,1,,9,9,1,25,3,,15,6,2,16,4,,48,33 (46%),15 (71%),10 (67%),,44,38 (54%),6 (29%),8 (57%),,6,0,,4,0
8581,2023-09-02T16:30:00.000Z,8670,Real Oviedo,1,1,True,73,17,4,1,0,514 (86%),18,4,27,11,2,2,1,128 (61%),11,2,,7,6,0,9,8,,5,4,2,7,4,600,181,333,30 (63%),5 (23%),15,27,4,211,55,73,24 (38%),3 (15%),14,14,2,,7,7,3,12,1,,17,8,6,18,3,,52,30 (47%),22 (67%),12 (63%),,45,34 (53%),11 (33%),2 (33%),,3,0,,1,1
8581,2023-09-08T19:00:00.000Z,8558,Espanyol,1,4,True,59,15,3,1,1,468 (88%),13,5,41,16,10,3,2,299 (83%),13,3,,6,6,0,8,7,,5,1,0,11,5,529,259,209,38 (75%),3 (19%),15,20,0,362,141,158,13 (33%),4 (31%),20,26,2,,15,7,2,21,5,,25,5,6,16,2,,44,34 (45%),10 (67%),8 (33%),,47,42 (55%),5 (33%),5 (42%),,0,1,,0,0
8581,2023-09-16T16:30:00.000Z,161750,Alcorcon,2,0,False,71,21,5,1,1,565 (90%),16,6,29,10,1,1,1,184 (75%),10,3,,10,6,1,6,15,,7,2,0,6,4,625,221,344,24 (62%),5 (29%),25,27,2,246,117,67,28 (50%),5 (28%),18,10,2,,17,7,2,14,1,,13,6,6,21,3,,52,38 (52%),14 (50%),11 (61%),,49,35 (48%),14 (50%),7 (47%),,3,0,,4,1
8581,2023-09-23T14:15:00.000Z,8288,Eldense,2,0,True,41,17,7,2,0,267 (75%),11,5,59,10,2,0,0,407 (83%),15,2,,7,3,0,10,7,,4,4,0,6,4,354,134,133,23 (41%),5 (26%),13,22,0,493,187,220,29 (49%),9 (29%),27,33,1,,11,8,4,29,2,,18,4,3,15,5,,51,41 (53%),10 (43%),16 (76%),,50,37 (47%),13 (57%),8 (73%),,1,0,,2,0
8581,2023-09-30T16:30:00.000Z,10268,Elche,0,0,False,47,10,2,1,1,352 (85%),12,7,53,28,4,4,4,385 (87%),8,8,,5,3,0,5,5,,18,6,0,20,8,413,199,153,22 (55%),2 (15%),15,15,3,442,187,198,28 (65%),14 (29%),25,40,2,,17,5,7,45,3,,26,6,3,13,2,,47,33 (39%),14 (54%),8 (38%),,64,52 (61%),12 (46%),15 (60%),,1,0,,1,0
8581,2023-10-03T17:00:00.000Z,161771,Villarreal B,1,1,True,63,15,4,3,2,508 (84%),18,8,37,7,1,1,0,284 (77%),9,2,,7,4,0,10,5,,4,2,0,4,3,608,252,256,23 (44%),8 (38%),22,36,2,367,152,132,31 (49%),0 (0%),19,12,0,,18,9,2,8,0,,17,11,4,26,3,,60,39 (48%),21 (58%),12 (57%),,58,43 (52%),15 (42%),10 (48%),,2,0,,2,0
8581,2023-10-06T19:00:00.000Z,8393,Albacete,2,0,False,35,10,7,2,1,242 (75%),11,3,65,14,4,2,2,503 (86%),11,6,,2,1,0,7,3,,6,4,0,5,9,322,160,82,25 (41%),2 (40%),31,10,0,583,159,344,28 (58%),5 (12%),39,19,0,,23,10,4,35,4,,19,11,1,3,5,,56,41 (53%),15 (56%),8 (44%),,49,37 (47%),12 (44%),7 (35%),,1,0,,0,0
8581,2023-10-16T19:00:00.000Z,8474,Racing de Ferrol,1,0,True,47,9,4,2,2,342 (81%),13,3,53,14,1,0,0,358 (80%),11,3,,3,2,0,7,2,,9,4,0,10,4,422,161,181,25 (43%),2 (29%),14,17,2,448,207,151,25 (53%),9 (35%),25,20,3,,17,15,4,20,1,,15,7,2,9,3,,59,43 (52%),16 (53%),16 (76%),,54,40 (48%),14 (47%),12 (55%),,4,0,,1,0
