team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8670,2023-08-14T19:30:00.000Z,9867,Tenerife,0,1,False,46,7,0,0,0,204 (65%),7,4,54,10,3,2,1,266 (72%),17,6,,5,2,1,3,4,,4,3,1,7,3,315,135,69,25 (40%),5 (28%),27,3,368,113,153,34 (48%),6 (43%),21,3,,18,6,3,13,2,,16,15,2,21,0,,73,45 (56%),28 (54%),11 (61%),,60,36 (44%),24 (46%),14 (58%),,0,0,,6,0,,
8670,2023-08-20T15:00:00.000Z,8474,Racing de Ferrol,1,1,True,59,16,3,0,0,372 (81%),8,6,41,5,1,1,0,236 (70%),12,3,,8,5,0,8,8,,2,2,0,5,0,462,179,193,32 (48%),9 (26%),29,0,336,133,103,22 (31%),5 (42%),15,1,,12,5,2,7,1,,11,13,5,31,2,,61,31 (58%),30 (56%),7 (47%),,46,22 (42%),24 (44%),4 (36%),,2,0,,1,1,19.0,13.0
8670,2023-08-26T15:00:00.000Z,7876,Burgos CF,0,1,False,42,10,3,1,1,229 (76%),16,3,58,16,5,3,3,371 (83%),13,4,,5,2,0,6,4,,8,3,1,9,7,302,118,111,29 (47%),4 (15%),29,1,448,191,180,40 (51%),4 (25%),26,1,,12,8,3,16,4,,21,9,2,15,3,,47,31 (43%),16 (53%),7 (32%),,55,41 (57%),14 (47%),5 (71%),,2,1,,4,0,,
8670,2023-09-02T16:30:00.000Z,8581,Levante,1,1,False,27,11,2,2,1,128 (61%),11,2,73,17,4,1,0,514 (86%),18,4,,5,4,2,7,4,,7,6,0,9,8,211,55,73,24 (38%),3 (15%),14,2,600,181,333,30 (63%),5 (23%),15,4,,17,8,6,18,3,,7,7,3,12,1,,45,34 (53%),11 (33%),2 (33%),,52,30 (47%),22 (67%),12 (63%),,1,1,,3,0,14.0,27.0
8670,2023-09-09T16:30:00.000Z,9869,Sporting Gijon,0,0,True,45,6,0,0,0,215 (75%),12,7,55,7,1,1,1,280 (76%),17,1,,2,4,0,5,1,,4,2,0,5,2,287,89,126,29 (52%),5 (16%),27,1,368,172,108,15 (31%),1 (8%),24,1,,17,8,2,16,1,,23,5,4,25,0,,64,37 (46%),27 (55%),4 (22%),,65,43 (54%),22 (45%),10 (48%),,2,0,,3,0,,
8670,2023-09-18T19:00:00.000Z,494050,FC Andorra,0,1,False,36,6,2,0,0,182 (67%),16,3,64,5,1,1,0,406 (83%),15,4,,1,3,0,3,3,,1,3,0,2,3,271,81,101,34 (62%),2 (15%),28,1,487,221,185,21 (33%),1 (8%),24,2,,12,8,3,10,0,,9,6,3,14,2,,54,30 (54%),24 (67%),4 (44%),,38,26 (46%),12 (33%),3 (60%),,2,1,,1,1,,
8670,2023-09-24T14:15:00.000Z,10281,Real Valladolid,0,1,True,49,10,3,1,1,294 (77%),14,6,51,16,5,1,1,321 (80%),13,6,,2,5,1,5,5,,8,3,0,10,6,381,175,119,23 (45%),5 (28%),29,3,401,155,166,30 (47%),6 (33%),17,0,,13,8,2,21,4,,15,7,4,21,3,,50,35 (47%),15 (56%),9 (56%),,52,40 (53%),12 (44%),13 (59%),,1,0,,3,0,,
8670,2023-10-01T12:00:00.000Z,8288,Eldense,3,1,False,50,10,4,2,1,356 (79%),10,4,50,10,4,3,2,340 (77%),18,6,,4,2,0,9,1,,4,2,1,7,3,449,220,136,25 (44%),0 (0%),14,2,441,175,165,27 (43%),4 (18%),31,1,,11,17,3,22,2,,19,10,2,8,1,,56,36 (54%),20 (59%),9 (50%),,45,31 (46%),14 (41%),4 (57%),,0,0,,1,0,16.0,14.0
8670,2023-10-04T17:00:00.000Z,96925,SD Huesca,1,0,True,62,9,6,2,1,433 (82%),14,5,38,9,3,0,0,228 (71%),18,4,,2,1,1,9,0,,4,2,0,6,3,527,262,171,30 (46%),4 (21%),25,0,321,125,103,9 (18%),5 (50%),27,0,,10,17,2,11,3,,24,18,1,21,5,,56,38 (47%),18 (53%),11 (58%),,59,43 (53%),16 (47%),5 (50%),,2,0,,2,0,25.0,17.0
8670,2023-10-07T19:00:00.000Z,7854,Leganes,0,0,False,63,6,2,3,3,431 (86%),13,4,37,9,3,0,0,225 (74%),11,1,,3,1,0,2,4,,5,1,1,5,4,502,268,163,27 (56%),6 (22%),23,0,304,109,116,18 (37%),2 (17%),17,1,,15,4,1,17,3,,17,6,1,15,2,,43,30 (45%),13 (50%),5 (33%),,50,37 (55%),13 (50%),8 (44%),,1,0,,3,0,9.0,12.0
