team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
96925,2023-08-13T15:00:00.000Z,7876,Burgos CF,1,1,False,51,5,2,1,1,294 (80%),14,5,49,19,5,2,1,279 (79%),5,6,,0,3,0,3,2,,11,3,0,10,9,367,193,101,29 (43%),4 (25%),24,1,354,136,143,28 (45%),4 (21%),26,2,,9,14,3,27,4,,17,15,4,13,0,,36,23 (41%),13 (36%),9 (56%),,56,33 (59%),23 (64%),3 (50%),,4,0,,2,0,,
96925,2023-08-21T19:30:00.000Z,9867,Tenerife,0,2,True,54,12,4,1,1,295 (73%),7,4,46,11,5,3,1,242 (67%),18,2,,6,2,0,6,6,,4,2,0,7,4,406,174,121,34 (43%),4 (22%),34,2,363,135,107,18 (22%),1 (20%),20,4,,13,5,1,18,3,,16,7,2,28,4,,67,42 (62%),25 (53%),11 (50%),,48,26 (38%),22 (47%),4 (57%),,0,0,,4,0,,
96925,2023-08-28T19:30:00.000Z,8696,Racing Santander,0,0,False,38,14,0,0,0,144 (60%),16,6,62,10,0,1,1,289 (74%),16,12,,9,5,1,3,11,,5,5,1,6,4,242,76,68,24 (36%),3 (17%),29,4,393,133,156,27 (46%),7 (28%),20,1,,11,7,5,26,0,,15,11,5,24,0,,58,33 (51%),25 (51%),8 (47%),,56,32 (49%),24 (49%),2 (20%),,5,0,,5,0,,
96925,2023-09-03T19:00:00.000Z,4032,CD Mirandes,1,1,True,36,15,3,0,0,140 (60%),15,9,64,13,3,2,1,345 (80%),10,5,,6,6,0,7,8,,7,3,1,10,3,232,67,73,18 (30%),5 (21%),24,1,432,175,170,39 (51%),8 (26%),27,4,,13,8,4,33,1,,10,5,6,23,2,,48,30 (50%),18 (44%),7 (64%),,53,30 (50%),23 (56%),6 (35%),,3,1,,5,0,,
96925,2023-09-09T19:00:00.000Z,7854,Leganes,0,2,False,46,8,3,1,1,349 (84%),12,3,54,11,7,2,1,418 (84%),19,2,,1,4,1,5,3,,3,1,1,7,4,415,193,156,20 (43%),7 (37%),14,2,498,302,116,34 (53%),2 (17%),23,1,,12,4,1,19,5,,13,4,4,22,3,,47,38 (58%),9 (36%),8 (47%),,43,27 (42%),16 (64%),3 (43%),,2,0,,0,0,,
96925,2023-09-16T14:15:00.000Z,161771,Villarreal B,2,2,True,53,8,2,1,0,387 (83%),14,7,47,6,2,1,0,346 (82%),14,0,,5,1,1,3,5,,3,1,0,3,3,467,202,185,30 (51%),4 (18%),27,1,421,228,118,27 (44%),1 (13%),12,2,,8,5,1,10,0,,12,6,1,31,0,,42,30 (46%),12 (48%),8 (50%),,48,35 (54%),13 (52%),9 (60%),,5,0,,3,0,,
96925,2023-09-23T19:00:00.000Z,161750,Alcorcon,2,0,False,35,6,2,2,0,207 (66%),7,2,65,19,3,0,0,447 (82%),15,4,,4,0,0,5,1,,11,5,0,11,8,312,106,101,19 (24%),2 (33%),17,3,546,246,201,56 (60%),7 (21%),38,1,,18,14,5,28,3,,16,8,0,7,0,,53,36 (54%),17 (39%),5 (42%),,58,31 (46%),27 (61%),8 (44%),,1,0,,2,0,,
96925,2023-10-01T19:00:00.000Z,9869,Sporting Gijon,0,1,True,48,6,2,2,2,299 (81%),11,9,52,13,6,2,2,341 (82%),15,8,,3,1,0,5,1,,3,4,0,8,5,368,184,115,30 (52%),5 (17%),14,3,415,160,181,29 (46%),7 (33%),12,3,,12,8,4,13,5,,18,7,2,30,1,,51,37 (51%),14 (44%),11 (52%),,53,35 (49%),18 (56%),7 (54%),,6,0,,6,0,19.0,28.0
96925,2023-10-04T17:00:00.000Z,8670,Real Oviedo,0,1,False,38,9,3,0,0,228 (71%),18,4,62,9,6,2,1,433 (82%),14,5,,4,2,0,6,3,,2,1,1,9,0,321,125,103,9 (18%),5 (50%),27,0,527,262,171,30 (46%),4 (21%),25,0,,24,18,1,21,5,,10,17,2,11,3,,59,43 (53%),16 (47%),5 (50%),,56,38 (47%),18 (53%),11 (58%),,2,0,,2,0,17.0,25.0
96925,2023-10-07T14:15:00.000Z,8288,Eldense,0,1,True,48,17,1,1,1,234 (71%),8,4,52,15,3,0,0,269 (75%),17,8,,8,8,1,8,9,,8,4,1,9,6,329,126,108,20 (34%),10 (43%),15,0,358,111,158,31 (41%),5 (17%),28,4,,17,11,4,30,2,,10,5,8,20,1,,58,37 (62%),21 (58%),5 (63%),,38,23 (38%),15 (42%),6 (38%),,1,1,,6,0,22.0,22.0
96925,2023-10-15T16:30:00.000Z,8372,Eibar,1,1,False,32,5,2,1,1,179 (63%),14,1,68,14,2,0,0,486 (81%),8,6,,3,0,0,1,4,,9,3,0,4,10,284,108,71,21 (30%),0 (0%),22,1,599,274,212,34 (50%),6 (21%),37,4,,15,21,3,30,2,,16,7,0,3,3,,47,28 (44%),19 (44%),6 (55%),,60,36 (56%),24 (56%),7 (44%),,3,0,,1,0,6.0,14.0
