team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
9867,2023-08-14T19:30:00.000Z,8670,Real Oviedo,1,0,True,54,10,3,2,1,266 (72%),17,6,46,7,0,0,0,204 (65%),7,4,,4,3,1,7,3,,5,2,1,3,4,368,113,153,34 (48%),6 (43%),21,3,315,135,69,25 (40%),5 (28%),27,3,,16,15,2,21,0,,18,6,3,13,2,,60,36 (44%),24 (46%),14 (58%),,73,45 (56%),28 (54%),11 (61%),,6,0,,0,0,,
9867,2023-08-21T19:30:00.000Z,96925,SD Huesca,2,0,False,46,11,5,3,1,242 (67%),18,2,54,12,4,1,1,295 (73%),7,4,,4,2,0,7,4,,6,2,0,6,6,363,135,107,18 (22%),1 (20%),20,4,406,174,121,34 (43%),4 (22%),34,2,,16,7,2,28,4,,13,5,1,18,3,,48,26 (38%),22 (47%),4 (57%),,67,42 (62%),25 (53%),11 (50%),,4,0,,0,0,,
9867,2023-08-26T17:00:00.000Z,8394,Real Zaragoza,0,1,True,54,14,2,0,0,312 (80%),19,11,46,7,4,2,1,263 (77%),10,3,,4,8,1,9,5,,1,2,0,4,3,388,136,176,24 (51%),3 (10%),22,3,343,185,78,27 (47%),5 (42%),19,2,,11,8,1,12,3,,18,11,7,25,2,,47,28 (38%),19 (56%),7 (47%),,60,45 (62%),15 (44%),10 (83%),,3,1,,3,0,,
9867,2023-09-03T12:00:00.000Z,494050,FC Andorra,1,0,False,24,10,4,4,3,119 (63%),18,4,76,16,2,1,1,570 (89%),7,8,,4,2,0,7,3,,6,8,0,7,9,189,57,62,20 (39%),3 (23%),26,4,643,341,229,28 (64%),3 (19%),21,2,,18,17,8,15,2,,9,7,2,11,3,,37,27 (41%),10 (42%),3 (60%),,53,39 (59%),14 (58%),13 (59%),,3,0,,0,0,,
9867,2023-09-09T19:00:00.000Z,8393,Albacete,2,0,True,37,10,4,3,1,256 (72%),19,1,63,14,4,3,3,497 (83%),9,7,,3,3,0,7,3,,8,2,0,9,5,355,129,127,26 (41%),3 (33%),14,1,602,204,293,35 (54%),4 (20%),27,2,,15,11,2,30,4,,14,10,3,8,2,,64,34 (49%),30 (58%),11 (61%),,58,36 (51%),22 (42%),5 (50%),,2,0,,1,0,,
9867,2023-09-17T19:00:00.000Z,9869,Sporting Gijon,1,2,False,48,8,1,0,0,298 (73%),16,4,52,10,4,2,0,346 (78%),12,6,,5,2,0,7,1,,4,2,0,5,5,409,146,152,25 (37%),5 (28%),17,0,444,188,158,26 (50%),6 (26%),22,1,,28,12,2,17,2,,12,7,2,16,0,,67,50 (62%),17 (45%),11 (65%),,52,31 (38%),21 (55%),7 (37%),,5,0,,2,0,,
9867,2023-09-25T19:00:00.000Z,8558,Espanyol,1,0,True,46,13,6,3,2,307 (81%),22,6,54,18,2,4,4,361 (84%),9,10,,3,4,0,8,5,,6,10,0,13,5,381,169,138,24 (49%),2 (17%),7,3,428,164,197,24 (52%),11 (34%),13,2,,12,7,10,24,2,,6,4,4,10,5,,43,27 (41%),16 (57%),8 (62%),,51,39 (59%),12 (43%),11 (69%),,3,0,,3,0,,
9867,2023-09-30T14:15:00.000Z,8372,Eibar,0,3,False,44,8,2,0,0,279 (74%),9,3,56,14,5,1,0,380 (80%),16,4,,4,2,0,2,6,,4,5,0,7,7,376,159,120,30 (39%),3 (33%),27,2,477,185,195,41 (49%),6 (26%),33,1,,16,13,5,14,2,,13,7,2,14,2,,55,40 (56%),15 (38%),9 (64%),,56,31 (44%),25 (63%),10 (50%),,1,0,,3,0,10.0,21.0
9867,2023-10-03T19:30:00.000Z,8696,Racing Santander,2,0,True,54,20,6,3,1,373 (83%),18,7,46,9,3,0,0,301 (78%),7,4,,7,7,0,10,10,,1,5,0,7,2,448,137,236,27 (47%),3 (14%),14,0,386,116,185,13 (36%),2 (13%),20,2,,21,7,4,21,3,,8,8,7,18,4,,50,35 (49%),15 (54%),7 (64%),,49,36 (51%),13 (46%),11 (55%),,1,0,,4,0,28.0,25.0
9867,2023-10-08T16:30:00.000Z,7876,Burgos CF,2,1,True,49,8,2,3,1,331 (82%),12,4,51,14,6,3,2,343 (84%),15,6,,4,2,0,6,2,,3,5,0,9,5,403,151,180,23 (45%),4 (19%),12,5,408,144,199,37 (64%),8 (31%),14,2,,11,5,5,18,5,,10,9,2,18,0,,41,33 (61%),8 (26%),8 (53%),,44,21 (39%),23 (74%),3 (38%),,1,1,,4,0,23.0,18.0
