index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,11/08/2023,Burnley,Man City,0,3,8,5.5,1.33,1.5,1.95,1.98
1,12/08/2023,Arsenal,Nott'm Forest,2,1,1.18,7,15,-2,1.95,1.98
2,12/08/2023,Bournemouth,West Ham,1,1,2.7,3.4,2.55,0,2.02,1.91
3,12/08/2023,Brighton,Luton,4,1,1.33,5.5,9,-1.75,2.01,1.92
4,12/08/2023,Everton,Fulham,0,1,2.2,3.4,3.3,-0.25,2.06,1.87
5,12/08/2023,Sheffield United,Crystal Palace,0,1,3,3.3,2.38,0.25,2.1,1.83
6,12/08/2023,Newcastle,Aston Villa,5,1,1.75,3.75,4.6,-0.75,1.84,2.09
7,13/08/2023,Brentford,Tottenham,2,2,2.75,3.4,2.45,0,1.88,2.02
8,13/08/2023,Chelsea,Liverpool,1,1,2.9,3.4,2.38,0.25,1.98,1.92
9,14/08/2023,Man United,Wolves,1,0,1.33,5.5,9,-1.5,1.8,2
10,18/08/2023,Nott'm Forest,Sheffield United,2,1,1.95,3.4,4,-0.5,1.94,1.99
11,19/08/2023,Fulham,Brentford,0,3,2.7,3.3,2.63,0,2.01,1.92
12,19/08/2023,Liverpool,Bournemouth,3,1,1.2,7,13,-2,1.86,2.07
13,19/08/2023,Wolves,Brighton,1,4,4,3.8,1.85,0.75,1.88,2.05
14,19/08/2023,Tottenham,Man United,2,0,2.8,3.6,2.38,0.25,1.94,1.99
15,19/08/2023,Man City,Newcastle,1,0,1.67,4,5,-0.5,1.87,2.06
16,20/08/2023,Aston Villa,Everton,4,0,1.7,4,4.5,-0.75,2.03,1.78
17,20/08/2023,West Ham,Chelsea,3,1,3.75,3.5,2,0.25,1.96,1.97
18,21/08/2023,Crystal Palace,Arsenal,0,1,5.5,4,1.6,0.5,2,1.93
19,25/08/2023,Chelsea,Luton,3,0,1.29,5.5,11,-1.75,2.05,1.75
20,26/08/2023,Bournemouth,Tottenham,0,2,3.8,3.75,1.91,0.5,1.84,2.09
21,26/08/2023,Arsenal,Fulham,2,2,1.2,7,13,-1.75,2.04,1.89
22,26/08/2023,Brentford,Crystal Palace,1,1,2.15,3.4,3.5,-0.25,1.85,2.08
23,26/08/2023,Everton,Wolves,0,1,2.3,3.3,3.2,-0.25,2.11,1.82
24,26/08/2023,Man United,Nott'm Forest,3,2,1.3,6,8,-1.5,2.06,1.87
25,26/08/2023,Brighton,West Ham,1,3,1.53,4.75,5.25,-1.25,2.08,1.85
26,27/08/2023,Burnley,Aston Villa,1,3,3.4,3.4,2.15,0.25,1.93,2
27,27/08/2023,Sheffield United,Man City,1,2,13,8,1.17,1.75,2.08,1.85
28,27/08/2023,Newcastle,Liverpool,1,2,2.2,3.75,3,-0.25,1.95,1.98
29,01/09/2023,Luton,West Ham,1,2,4.75,3.8,1.73,0.75,1.93,2
30,02/09/2023,Sheffield United,Everton,2,2,2.9,3.25,2.5,0.25,1.89,2.04
31,02/09/2023,Brentford,Bournemouth,2,2,1.73,3.8,4.75,-0.75,1.97,1.96
32,02/09/2023,Burnley,Tottenham,2,5,3.6,4,1.85,0.5,1.88,2.05
33,02/09/2023,Chelsea,Nott'm Forest,0,1,1.4,4.5,8.5,-1.25,1.92,2.01
34,02/09/2023,Man City,Fulham,5,1,1.17,8,15,-2,1.88,2.05
35,02/09/2023,Brighton,Newcastle,3,1,2.5,3.8,2.55,0,1.99,1.94
36,03/09/2023,Crystal Palace,Wolves,3,2,1.91,3.3,4.33,-0.5,1.89,2.04
37,03/09/2023,Liverpool,Aston Villa,3,0,1.65,4.5,4.5,-1,2.05,1.88
38,03/09/2023,Arsenal,Man United,3,1,1.75,3.8,4.5,-0.75,1.96,1.97
39,16/09/2023,Wolves,Liverpool,1,3,6,5,1.45,0.75,2.02,1.91
40,16/09/2023,Aston Villa,Crystal Palace,3,1,1.91,3.6,4,-0.5,1.99,1.94
41,16/09/2023,Fulham,Luton,1,0,1.67,3.75,5.5,-0.75,1.89,2.04
42,16/09/2023,Man United,Brighton,1,3,2.15,4,2.88,-0.5,2.04,1.89
43,16/09/2023,Tottenham,Sheffield United,2,1,1.29,5.5,11,-1.75,2.01,1.92
44,16/09/2023,West Ham,Man City,1,3,7,4.5,1.45,1,1.83,2.1
45,16/09/2023,Newcastle,Brentford,1,0,1.53,4.2,6,-1,2.05,1.75
46,17/09/2023,Bournemouth,Chelsea,0,0,4.33,3.75,1.8,0.5,2.08,1.85
47,17/09/2023,Everton,Arsenal,0,1,6,4.5,1.5,1,1.94,1.99
48,18/09/2023,Nott'm Forest,Burnley,1,1,2.2,3.5,3.25,-0.25,1.84,2.09
49,23/09/2023,Crystal Palace,Fulham,0,0,1.91,3.4,4.2,-0.5,2.11,1.82
50,23/09/2023,Luton,Wolves,1,1,3.25,3.4,2.2,0.25,1.89,2.04
51,23/09/2023,Man City,Nott'm Forest,2,0,1.14,8.5,15,-2,1.9,2.03
52,23/09/2023,Brentford,Everton,1,3,1.8,3.8,4.2,-0.5,1.95,1.98
53,23/09/2023,Burnley,Man United,0,1,4.2,4.2,1.73,0.75,1.78,2.03
54,24/09/2023,Arsenal,Tottenham,2,2,1.67,4.33,4.33,-1,2.08,1.85
55,24/09/2023,Brighton,Bournemouth,3,1,1.36,5.25,7.5,-1.25,2.09,1.84
56,24/09/2023,Chelsea,Aston Villa,0,1,1.91,3.75,3.8,-0.5,1.9,2.03
57,24/09/2023,Liverpool,West Ham,3,1,1.4,5,7,-1.5,2.01,1.92
58,24/09/2023,Sheffield United,Newcastle,0,8,7,4.75,1.44,1,1.95,1.98
59,30/09/2023,Aston Villa,Brighton,6,1,2.55,3.75,2.55,0,1.86,2.07
60,30/09/2023,Bournemouth,Arsenal,0,4,5.5,4.5,1.53,1,2.03,1.9
61,30/09/2023,Everton,Luton,1,2,1.57,3.8,6.5,-0.75,1.86,2.07
62,30/09/2023,Man United,Crystal Palace,0,1,1.55,4.2,5.75,-1,1.97,1.96
63,30/09/2023,Newcastle,Burnley,2,0,1.3,5.75,9,-1.25,1.85,2.08
64,30/09/2023,West Ham,Sheffield United,2,0,1.45,4.5,7,-1.25,2.04,1.89
65,30/09/2023,Wolves,Man City,2,1,8,5.75,1.33,1.25,2.05,1.88
66,30/09/2023,Tottenham,Liverpool,2,1,2.9,4,2.15,0.25,1.92,2.01
67,01/10/2023,Nott'm Forest,Brentford,1,1,2.75,3.1,2.7,0,1.82,2.08
68,02/10/2023,Fulham,Chelsea,0,2,3.6,3.5,2.05,0.25,2.01,1.89
69,03/10/2023,Luton,Burnley,1,2,2.9,3,2.63,0,2.06,1.87
70,07/10/2023,Luton,Tottenham,0,1,6,4.75,1.45,1.25,1.91,2.02
71,07/10/2023,Burnley,Chelsea,1,4,4.5,3.8,1.73,0.75,2.05,1.88
72,07/10/2023,Everton,Bournemouth,3,0,1.91,3.6,3.8,-0.5,1.91,2.02
73,07/10/2023,Fulham,Sheffield United,3,1,1.62,3.8,6,-1,1.84,2.09
74,07/10/2023,Man United,Brentford,2,1,1.67,4.2,4.75,-1,2.06,1.87
75,07/10/2023,Crystal Palace,Nott'm Forest,0,0,2.2,3.1,3.6,-0.25,1.99,1.94
76,08/10/2023,Brighton,Liverpool,2,2,3,3.8,2.2,0.5,1.83,2.1
77,08/10/2023,West Ham,Newcastle,2,2,3.2,3.75,2.1,0.25,2.03,1.78
78,08/10/2023,Wolves,Aston Villa,1,1,3.5,3.4,2.1,0.5,1.85,2.08
79,08/10/2023,Arsenal,Man City,1,0,2.9,3.3,2.4,0.25,1.73,2.08
80,21/10/2023,Liverpool,Everton,2,0,1.33,5.75,7.5,-1.5,2.11,1.82
81,21/10/2023,Bournemouth,Wolves,1,2,2.38,3.4,3,-0.25,2.01,1.92
82,21/10/2023,Brentford,Burnley,3,0,1.83,3.75,4.2,-0.75,1.96,1.97
83,21/10/2023,Man City,Brighton,2,1,1.4,5.25,6.5,-1.5,2.03,1.9
84,21/10/2023,Newcastle,Crystal Palace,4,0,1.45,4.5,7,-1.25,2.11,1.82
85,21/10/2023,Nott'm Forest,Luton,2,2,1.67,3.75,5.5,-0.75,1.98,1.95
86,21/10/2023,Chelsea,Arsenal,2,2,3.2,3.4,2.25,0.25,1.94,1.99
87,21/10/2023,Sheffield United,Man United,1,2,6.5,5.25,1.4,1.5,1.91,2.02
88,22/10/2023,Aston Villa,West Ham,4,1,1.85,3.6,4,-0.75,2.03,1.9
89,23/10/2023,Tottenham,Fulham,2,0,1.5,4.5,6,-1,1.8,2
90,27/10/2023,Crystal Palace,Tottenham,1,2,4.5,3.75,1.75,0.75,1.87,2.06
91,28/10/2023,Chelsea,Brentford,0,2,1.65,4,5.25,-0.75,1.83,2.1
92,28/10/2023,Arsenal,Sheffield United,5,0,1.13,8.5,19,-2.25,1.86,2.07
93,28/10/2023,Bournemouth,Burnley,2,1,2.15,3.5,3.3,-0.25,1.87,2.06
94,28/10/2023,Wolves,Newcastle,2,2,4.2,4,1.75,0.5,2,1.93
95,29/10/2023,West Ham,Everton,0,1,2.15,3.5,3.3,-0.5,2.09,1.84
96,29/10/2023,Aston Villa,Luton,3,1,1.25,6.5,9.5,-1.5,1.97,1.96
97,29/10/2023,Brighton,Fulham,1,1,1.55,4.2,5.5,-1,2.05,1.88
98,29/10/2023,Liverpool,Nott'm Forest,3,0,1.29,5.75,11,-1.75,1.93,2
99,29/10/2023,Man United,Man City,0,3,5,3.8,1.67,1,1.91,2.02
100,04/11/2023,Fulham,Man United,0,1,3.2,3.6,2.2,0.25,1.85,2.08
101,04/11/2023,Brentford,West Ham,3,2,2.05,3.6,3.5,-0.25,1.89,2.04
102,04/11/2023,Burnley,Crystal Palace,0,2,2.75,3.25,2.6,0.25,1.96,1.97
103,04/11/2023,Everton,Brighton,1,1,3.1,3.6,2.2,0.25,1.73,2.08
104,04/11/2023,Man City,Bournemouth,6,1,1.1,11,19,-2.5,1.86,2.07
105,04/11/2023,Sheffield United,Wolves,2,1,3.8,3.5,2,0.5,2.06,1.87
106,04/11/2023,Newcastle,Arsenal,1,0,2.8,3.2,2.6,0,2.03,1.9
107,05/11/2023,Nott'm Forest,Aston Villa,2,0,4.2,3.75,1.85,0.5,1.96,1.97
108,05/11/2023,Luton,Liverpool,1,1,12,6.5,1.22,2,2,1.93
109,06/11/2023,Tottenham,Chelsea,1,4,2,3.75,3.5,-0.25,2.07,1.86
