team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9825,2023-08-12T12:00:00.000Z,10203,Nottingham Forest,2,1,True,78,0.83,15,7,0,0,693 (90%),12,8,22,1.18,6,2,2,1,137 (69%),12,3,,3,5,0,8,7,,3,1,0,4,2,0.73,0.11,0.83,1.98,0.95,0.24,1.18,0.95,769,314,379,15 (45%),3 (21%),18,2,200,72,65,19 (44%),1 (17%),12,1,,19,7,1,9,1,,17,8,5,16,5,,47,35 (49%),12 (38%),4 (33%),,56,36 (51%),20 (63%),7 (47%),,2,0,,2,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9825,2023-08-21T19:00:00.000Z,9826,Crystal Palace,1,0,False,53,2.02,14,3,3,2,422 (86%),10,8,47,1.01,14,2,1,1,370 (86%),14,1,,7,4,1,11,3,,5,7,0,10,4,1.16,0.07,1.23,1.08,0.79,0.23,1.01,0.24,489,158,264,24 (44%),4 (19%),10,2,428,144,226,24 (53%),3 (14%),17,0,,14,8,7,17,2,,14,5,4,18,2,,46,33 (49%),13 (48%),6 (50%),,48,34 (51%),14 (52%),10 (53%),,1,1,,2,0,,,3,2.0,1.0,78.0,0.83,15.0,7.0,0.0,22.0,1.18,6.0,2.0,2.0,0.0,0.0,3.0,0.133,0.286,0.167,0.5
9825,2023-08-26T14:00:00.000Z,9879,Fulham,2,2,True,71,3.20,19,11,5,3,614 (90%),6,8,29,0.56,8,3,1,1,196 (72%),5,3,,5,3,0,16,3,,3,2,0,6,2,1.60,0.81,2.41,1.97,0.19,0.37,0.56,0.43,680,213,401,34 (69%),8 (25%),19,4,274,122,74,22 (41%),2 (18%),7,1,,14,6,2,10,1,,18,6,4,38,8,,43,34 (59%),9 (39%),15 (60%),,38,24 (41%),14 (61%),1 (17%),,0,0,,4,1,,,1,1.5,0.5,65.5,1.425,14.5,5.0,1.5,34.5,1.095,10.0,2.0,1.5,0.0,0.0,3.0,0.103,0.3,0.05,0.25
9825,2023-09-03T15:30:00.000Z,10260,Manchester United,3,1,True,55,2.27,17,5,2,1,464 (87%),8,12,45,0.94,10,2,1,1,392 (85%),7,3,,4,8,0,12,5,,1,7,0,7,3,1.84,0.43,2.27,1.60,0.89,0.05,0.94,0.55,532,189,275,14 (44%),6 (23%),17,2,462,261,131,20 (45%),1 (33%),14,1,,11,8,7,8,1,,15,8,8,27,2,,43,30 (53%),13 (50%),12 (55%),,40,27 (47%),13 (50%),4 (40%),,2,0,,3,0,44.0,19.0,3,1.667,1.0,67.333,2.017,16.0,7.0,2.667,32.667,0.917,9.333,2.333,1.333,0.0,0.0,2.333,0.104,0.238,0.107,0.429
9825,2023-09-17T15:30:00.000Z,8668,Everton,1,0,False,74,1.02,13,4,0,0,595 (89%),10,11,26,0.34,8,1,0,0,158 (67%),12,1,,3,6,0,9,4,,3,4,0,4,4,0.83,0.19,1.02,0.81,0.30,0.04,0.34,0.09,668,320,275,31 (62%),6 (33%),24,4,235,103,55,17 (30%),1 (20%),11,1,,9,6,4,11,1,,19,10,6,17,3,,40,31 (51%),9 (47%),10 (59%),,40,30 (49%),10 (53%),3 (43%),,1,0,,1,0,,,3,2.0,1.0,64.25,2.08,16.25,6.5,2.5,35.75,0.922,9.5,2.25,1.25,11.0,4.75,2.5,0.123,0.308,0.105,0.444
9825,2023-09-24T13:00:00.000Z,8586,Tottenham Hotspur,2,2,True,46,2.03,13,6,3,2,317 (84%),12,11,54,1.46,13,5,4,2,385 (86%),19,4,,4,3,0,8,5,,4,4,0,9,4,0.74,0.51,1.25,1.84,1.39,0.07,1.46,3.15,377,144,173,21 (54%),7 (35%),17,2,449,241,144,15 (44%),0 (0%),17,3,,24,11,4,12,3,,28,6,3,21,4,,64,50 (53%),14 (64%),8 (47%),,53,45 (47%),8 (36%),6 (35%),,3,0,,4,0,,,1,1.8,0.8,66.2,1.868,15.6,6.0,2.0,33.8,0.806,9.2,2.0,1.0,8.8,3.8,2.6,0.115,0.3,0.087,0.4
9825,2023-09-30T14:00:00.000Z,8678,AFC Bournemouth,4,0,False,58,3.43,15,8,6,2,481 (88%),10,6,42,0.64,8,1,0,0,317 (81%),11,6,,3,4,1,14,1,,3,4,0,7,1,1.68,0.17,1.85,4.75,0.55,0.10,0.64,0.17,545,296,185,14 (45%),2 (50%),12,0,389,154,163,17 (41%),2 (13%),17,2,,28,9,4,14,1,,16,9,4,6,4,,58,48 (56%),10 (63%),10 (67%),,43,37 (44%),6 (38%),14 (42%),,1,0,,0,0,37.0,28.0,3,1.8,1.0,59.8,2.108,15.2,5.8,2.6,40.2,0.862,10.6,2.6,1.4,11.0,4.75,2.2,0.118,0.31,0.094,0.385
9825,2023-10-08T15:30:00.000Z,8456,Manchester City,1,0,True,49,0.39,12,2,0,0,433 (87%),8,5,51,0.48,4,1,2,2,451 (87%),7,4,,6,4,0,6,6,,2,1,0,3,1,0.23,0.17,0.39,0.19,0.10,0.38,0.48,0.00,500,231,202,19 (42%),2 (18%),17,2,521,277,174,19 (46%),1 (10%),13,0,,20,9,2,10,0,,22,5,3,14,1,,39,34 (47%),5 (38%),7 (39%),,46,38 (53%),8 (62%),8 (44%),,2,0,,3,0,26.0,16.0,3,2.4,1.0,60.8,2.39,15.4,6.8,3.2,39.2,0.788,9.4,2.4,1.2,18.4,10.35,2.2,0.156,0.353,0.106,0.417
9825,2023-10-21T16:30:00.000Z,8455,Chelsea,2,2,False,57,0.99,13,3,1,0,482 (85%),14,7,43,1.35,11,5,2,1,364 (82%),7,2,,5,5,0,9,4,,4,2,0,6,5,0.55,0.44,0.99,0.82,0.56,0.00,0.56,1.89,570,272,210,28 (52%),6 (38%),11,1,443,259,105,23 (38%),3 (38%),18,2,,19,9,1,5,3,,17,9,5,17,1,,48,33 (50%),15 (48%),6 (40%),,49,33 (50%),16 (52%),4 (33%),,3,0,,3,0,19.0,26.0,1,2.2,0.6,56.4,1.828,14.0,5.0,2.2,43.6,0.772,8.6,2.0,1.4,23.6,13.55,2.6,0.157,0.44,0.07,0.3
9825,2023-10-28T14:00:00.000Z,8657,Sheffield United,5,0,True,67,2.77,13,8,4,1,598 (91%),9,6,33,0.03,2,0,0,0,241 (75%),13,1,,2,3,0,10,3,,1,1,0,0,2,1.66,0.32,1.98,4.02,0.03,0.00,0.03,0.00,659,293,305,26 (68%),3 (18%),14,1,323,167,74,23 (40%),0 (0%),12,1,,10,8,1,8,0,,20,8,4,21,2,,40,29 (48%),11 (50%),6 (55%),,42,31 (52%),11 (50%),3 (33%),,0,0,,3,0,43.0,7.0,3,2.0,0.8,56.8,1.572,13.2,4.6,2.0,43.2,0.854,8.8,2.6,1.6,18.6,14.95,2.2,0.152,0.435,0.091,0.308
