team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9937,2023-08-13T13:00:00.000Z,8586,Tottenham Hotspur,2,2,True,30,2.22,11,6,4,3,235 (77%),12,3,70,1.27,18,6,1,0,638 (90%),13,6,,2,3,0,9,2,,6,6,0,12,6,1.32,0.11,1.43,1.73,0.43,0.84,1.27,1.11,306,148,87,28 (48%),3 (23%),20,1,711,183,455,11 (37%),3 (13%),16,0,,17,8,5,34,4,,16,10,3,17,4,,50,35 (45%),15 (56%),5 (56%),,54,42 (55%),12 (44%),16 (62%),,1,0,,4,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9937,2023-08-19T14:00:00.000Z,9879,Fulham,3,0,False,45,3.93,17,8,5,2,325 (83%),12,5,55,0.46,10,2,0,0,396 (84%),13,5,,7,2,0,15,2,,4,4,1,4,6,1.47,1.67,3.14,3.41,0.25,0.21,0.46,0.21,391,216,109,23 (51%),5 (33%),13,4,474,185,211,25 (48%),1 (6%),18,1,,13,9,3,25,2,,10,3,2,22,5,,46,34 (53%),12 (50%),8 (62%),,42,30 (47%),12 (50%),8 (62%),,2,0,,2,1,,,3,2.0,2.0,30.0,2.22,11.0,6.0,4.0,70.0,1.27,18.0,6.0,1.0,0.0,0.0,1.0,0.182,0.333,0.111,0.333
9937,2023-08-26T14:00:00.000Z,9826,Crystal Palace,1,1,True,60,0.97,12,1,1,1,439 (85%),9,8,40,0.80,15,5,1,1,283 (81%),15,6,,4,7,0,10,2,,4,6,0,10,5,0.44,0.53,0.97,0.56,0.62,0.18,0.80,0.75,518,262,177,36 (67%),7 (30%),18,2,348,122,161,10 (29%),6 (35%),13,2,,9,6,6,9,4,,20,6,6,24,0,,47,27 (37%),20 (54%),4 (27%),,63,46 (63%),17 (46%),17 (77%),,0,0,,0,0,,,1,2.5,1.0,37.5,3.075,14.0,7.0,4.5,62.5,0.865,14.0,4.0,0.5,0.0,0.0,2.0,0.179,0.357,0.071,0.25
9937,2023-09-02T14:00:00.000Z,8678,AFC Bournemouth,2,2,True,61,2.91,21,7,5,4,402 (83%),6,5,39,2.09,12,5,3,2,224 (72%),13,2,,11,3,2,16,5,,5,2,0,10,2,2.24,0.67,2.91,1.54,2.09,0.09,2.09,2.05,484,248,154,28 (48%),12 (52%),18,1,310,93,131,20 (32%),2 (17%),20,1,,22,6,2,16,3,,22,1,3,28,6,,60,37 (51%),23 (61%),4 (22%),,51,36 (49%),15 (39%),8 (38%),,1,0,,2,0,,,1,2.0,1.0,45.0,2.373,13.333,5.0,3.333,55.0,0.843,14.333,4.333,0.667,0.0,0.0,1.667,0.15,0.4,0.07,0.231
9937,2023-09-16T16:30:00.000Z,10261,Newcastle United,0,1,False,44,0.50,11,2,1,1,265 (72%),12,3,56,1.44,9,2,2,1,363 (78%),8,8,,4,5,0,8,3,,5,2,0,5,4,0.37,0.14,0.50,0.63,0.28,0.37,0.65,1.03,367,122,143,25 (36%),5 (33%),20,1,464,147,216,17 (37%),5 (19%),27,0,,30,9,2,28,1,,12,6,5,19,2,,68,48 (56%),20 (47%),10 (71%),,60,37 (44%),23 (53%),14 (56%),,5,0,,3,0,,,0,2.0,1.25,49.0,2.508,15.25,5.5,3.75,51.0,1.155,13.75,4.5,1.25,0.0,0.0,1.5,0.131,0.364,0.091,0.278
9937,2023-09-23T16:30:00.000Z,8668,Everton,1,3,True,57,1.03,12,2,4,4,483 (82%),9,1,43,1.90,18,6,5,2,338 (80%),12,4,,6,4,0,8,4,,11,1,1,12,6,0.49,0.55,1.03,0.90,1.38,0.52,1.90,1.53,588,328,155,25 (41%),3 (27%),20,3,425,137,201,25 (45%),6 (30%),22,1,,20,7,1,16,3,,16,7,4,20,1,,55,38 (57%),17 (38%),7 (41%),,57,29 (43%),28 (62%),4 (40%),,2,0,,2,0,,,0,1.6,1.2,48.0,2.106,14.4,4.8,3.2,52.0,1.212,12.8,4.0,1.4,0.0,0.0,1.2,0.111,0.333,0.094,0.3
9937,2023-10-01T13:00:00.000Z,10203,Nottingham Forest,1,1,False,59,1.66,18,5,2,1,491 (85%),10,11,41,0.46,6,1,2,2,320 (79%),6,1,,6,7,0,15,3,,4,1,0,5,1,1.00,0.66,1.66,0.72,0.37,0.09,0.46,0.08,578,257,234,19 (41%),9 (31%),25,1,407,154,166,21 (37%),4 (33%),19,2,,11,10,1,10,0,,17,6,9,38,3,,47,22 (39%),25 (61%),5 (42%),,51,35 (61%),16 (39%),9 (64%),,2,0,,1,1,39.0,13.0,1,1.4,1.4,53.4,1.868,14.6,4.0,3.2,46.6,1.338,12.8,4.0,2.2,0.0,0.0,1.0,0.096,0.35,0.109,0.35
9937,2023-10-07T14:00:00.000Z,10260,Manchester United,1,2,False,36,0.95,11,3,1,1,235 (72%),17,5,64,1.43,21,8,1,0,488 (88%),10,7,,7,1,0,6,5,,9,4,0,14,7,0.33,0.62,0.95,0.35,1.13,0.31,1.43,1.57,326,159,76,19 (31%),5 (63%),14,0,557,136,352,41 (72%),9 (25%),33,4,,18,16,4,42,6,,4,10,1,9,2,,42,32 (53%),10 (43%),5 (83%),,41,28 (47%),13 (57%),8 (53%),,5,0,,0,0,21.0,46.0,0,1.0,1.6,56.2,1.414,14.8,3.4,2.6,43.8,1.338,12.0,3.8,2.6,7.8,2.6,0.6,0.068,0.294,0.133,0.421
9937,2023-10-21T14:00:00.000Z,8191,Burnley,3,0,True,50,3.24,23,10,5,4,350 (79%),14,5,50,1.14,6,1,1,1,361 (83%),12,5,,8,5,0,16,7,,4,1,0,3,3,2.42,0.81,3.24,3.04,1.09,0.05,1.14,0.35,443,173,177,24 (40%),6 (29%),19,2,437,216,145,25 (42%),0 (0%),17,2,,17,8,1,13,1,,7,11,6,27,6,,55,39 (57%),16 (53%),10 (77%),,43,29 (43%),14 (47%),9 (53%),,5,0,,2,1,57.0,11.0,3,1.0,1.8,51.4,1.41,14.6,3.8,2.6,48.6,1.464,13.2,4.4,2.6,12.0,11.8,0.4,0.068,0.263,0.136,0.409
9937,2023-10-28T11:30:00.000Z,8455,Chelsea,2,0,False,31,2.16,7,5,5,3,244 (73%),7,1,69,2.03,17,2,2,2,652 (89%),12,10,,1,1,0,7,0,,8,7,1,12,5,2.10,0.06,2.16,1.38,1.90,0.12,2.03,0.76,333,161,83,18 (34%),3 (50%),19,0,730,166,486,25 (56%),4 (17%),27,0,,19,7,5,35,2,,11,13,1,12,3,,53,41 (56%),12 (48%),10 (63%),,45,32 (44%),13 (52%),14 (70%),,4,0,,1,0,15.0,45.0,3,1.2,1.4,49.2,1.476,15.0,4.4,2.6,50.8,1.274,12.0,3.6,2.2,23.4,14.0,0.8,0.08,0.273,0.117,0.389
