team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10204,2023-08-12T14:00:00.000Z,8346,Luton Town,4,1,True,71,4.01,27,12,6,2,551 (91%),11,6,29,1.48,9,3,2,1,168 (72%),12,7,,10,5,3,20,7,,4,2,0,7,2,3.03,0.19,3.22,4.87,0.48,0.21,0.69,1.11,605,279,272,17 (57%),7 (30%),16,51.0,2,234,87,81,31 (52%),6 (27%),11,21.0,3,,13,4,2,13,2,,17,9,5,27,8,,43,31 (53%),12 (36%),6 (40%),,48,27 (47%),21 (64%),1 (13%),,2,0,,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10204,2023-08-19T14:00:00.000Z,8602,Wolverhampton Wanderers,4,1,False,54,2.22,16,8,5,1,486 (88%),11,3,46,2.14,16,5,4,4,389 (84%),14,5,,5,3,0,11,5,,6,5,1,12,4,2.13,0.09,2.22,3.35,1.18,0.95,2.14,2.48,552,287,199,24 (56%),0 (0%),14,,7,462,238,151,10 (26%),4 (25%),16,,4,,25,10,4,21,4,,20,6,3,6,4,,57,52 (49%),5 (50%),13 (57%),,59,54 (51%),5 (50%),24 (75%),,6,0,,3,1,3,4.0,1.0,71.0,4.01,27.0,12.0,6.0,29.0,1.48,9.0,3.0,2.0,51.0,21.0,3.0,0.148,0.333,0.111,0.333
10204,2023-08-26T16:30:00.000Z,8654,West Ham United,1,3,True,78,1.48,25,10,2,2,668 (89%),10,17,22,3.23,12,7,6,4,141 (68%),9,4,,5,10,0,13,12,,4,1,1,10,2,1.16,0.32,1.48,1.95,2.92,0.31,3.23,2.94,749,183,485,27 (71%),10 (24%),15,,1,208,62,79,20 (43%),0 (0%),9,,2,,12,6,1,12,4,,15,19,10,42,9,,41,28 (45%),13 (50%),7 (44%),,47,34 (55%),13 (50%),9 (53%),,1,0,,3,0,0,4.0,1.0,62.5,3.115,21.5,10.0,5.5,37.5,1.81,12.5,4.0,3.0,25.5,10.5,3.0,0.186,0.4,0.08,0.25
10204,2023-09-02T16:30:00.000Z,10261,Newcastle United,3,1,True,56,1.30,15,6,1,0,507 (90%),14,5,44,1.23,9,2,1,0,371 (84%),17,3,,5,4,0,9,6,,4,3,0,7,2,1.19,0.11,1.30,1.74,1.21,0.02,1.23,0.40,565,292,215,23 (53%),6 (67%),12,,5,440,231,140,20 (47%),2 (18%),12,,0,,8,11,3,12,2,,18,3,4,14,4,,47,35 (44%),12 (71%),10 (53%),,50,45 (56%),5 (29%),13 (81%),,4,0,,4,0,3,3.0,1.667,67.667,2.57,22.667,10.0,4.333,32.333,2.283,12.333,5.0,4.0,34.0,14.0,2.0,0.132,0.3,0.135,0.333
10204,2023-09-16T14:00:00.000Z,10260,Manchester United,3,1,False,56,1.70,10,8,3,2,602 (91%),9,1,44,0.96,14,4,1,1,425 (86%),8,8,,2,0,0,7,3,,4,6,1,8,6,1.70,0.00,1.70,2.47,0.74,0.22,0.96,0.66,661,461,141,35 (67%),2 (50%),9,15.0,1,497,223,202,23 (43%),2 (11%),14,23.0,4,,19,10,6,17,3,,16,4,0,2,5,,38,33 (41%),5 (83%),6 (38%),,48,47 (59%),1 (17%),22 (71%),,2,0,,2,0,3,3.0,1.5,64.75,2.252,20.75,9.0,3.5,35.25,2.02,11.5,4.25,3.25,31.875,13.125,2.25,0.145,0.333,0.13,0.353
10204,2023-09-24T13:00:00.000Z,8678,AFC Bournemouth,3,1,True,62,1.85,13,4,3,1,449 (87%),12,4,38,1.14,12,4,3,2,249 (77%),17,4,,3,6,0,8,5,,4,4,0,8,4,1.50,0.36,1.85,2.26,0.94,0.20,1.14,0.62,519,304,145,30 (54%),4 (31%),14,,1,325,130,119,11 (22%),2 (22%),15,,1,,24,10,5,14,2,,23,10,6,14,2,,59,48 (48%),11 (92%),7 (37%),,52,51 (52%),1 (8%),16 (70%),,3,0,,3,0,3,3.0,1.4,63.0,2.142,18.6,8.8,3.4,37.0,1.808,12.0,4.2,2.8,28.5,15.1,2.4,0.161,0.341,0.117,0.333
10204,2023-09-30T11:30:00.000Z,10252,Aston Villa,1,6,False,62,1.71,11,3,3,2,461 (89%),21,3,38,1.58,19,9,2,1,250 (78%),19,1,,3,5,0,8,3,,4,6,0,14,5,1.60,0.11,1.71,1.15,1.48,0.10,1.58,3.25,518,268,193,18 (60%),2 (20%),12,22.0,6,320,118,132,14 (31%),1 (17%),22,36.0,0,,19,8,6,12,4,,21,4,5,12,2,,56,48 (49%),8 (62%),10 (48%),,55,50 (51%),5 (38%),9 (56%),,4,0,,4,0,0,2.8,1.4,61.2,1.71,15.8,7.2,2.8,38.8,1.74,12.6,4.4,3.0,24.675,13.525,2.4,0.177,0.389,0.111,0.318
10204,2023-10-08T13:00:00.000Z,8650,Liverpool,2,2,True,46,2.32,14,3,4,3,355 (85%),12,8,54,2.35,14,4,3,1,432 (87%),20,1,,5,6,0,8,6,,5,5,1,10,4,1.21,1.12,2.32,1.28,1.52,0.04,1.56,2.01,418,248,107,20 (50%),4 (29%),18,23.0,1,498,268,164,13 (36%),2 (25%),13,30.0,0,,17,13,5,13,2,,22,11,5,19,1,,55,50 (55%),5 (45%),13 (52%),,47,41 (45%),6 (55%),7 (54%),,1,0,,2,0,1,2.2,2.4,62.8,1.608,14.8,6.2,2.4,37.2,1.628,13.2,5.2,2.6,29.075,20.725,1.8,0.149,0.355,0.182,0.462
10204,2023-10-21T14:00:00.000Z,8456,Manchester City,1,2,False,46,0.83,5,3,3,2,443 (88%),11,2,54,0.75,10,6,1,0,546 (90%),9,2,,2,0,0,4,1,,4,0,0,6,4,0.70,0.12,0.83,0.96,0.71,0.05,0.75,0.96,506,308,135,16 (52%),1 (14%),11,11.0,1,609,254,292,31 (58%),0 (0%),13,23.0,2,,10,12,1,16,3,,14,10,0,9,2,,32,26 (43%),6 (50%),7 (58%),,41,35 (57%),6 (50%),10 (67%),,2,0,,2,1,0,2.4,2.2,56.4,1.776,12.6,4.8,2.8,43.6,1.452,13.6,4.6,2.0,23.475,22.525,2.0,0.19,0.5,0.162,0.478
10204,2023-10-29T14:00:00.000Z,9879,Fulham,1,1,True,71,1.43,18,7,4,4,746 (91%),12,7,29,0.71,10,5,0,0,261 (79%),8,3,,8,3,1,10,8,,4,1,0,5,5,1.29,0.14,1.43,1.24,0.69,0.02,0.71,0.89,823,471,275,15 (47%),4 (27%),14,33.0,0,331,158,103,21 (48%),1 (9%),14,20.0,1,,21,6,1,10,4,,27,19,4,14,5,,48,35 (43%),13 (57%),6 (30%),,57,47 (57%),10 (43%),9 (53%),,0,0,,3,0,1,2.0,2.4,54.4,1.682,10.6,4.2,3.2,45.6,1.356,13.8,5.4,2.0,20.575,25.025,1.4,0.189,0.476,0.174,0.444
