team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9826,2023-08-12T14:00:00.000Z,8657,Sheffield United,1,0,False,68,1.89,24,8,2,1,466 (83%),11,5,32,0.51,8,1,0,0,162 (62%),18,5,,8,8,0,17,7,,4,3,0,4,4,1.42,0.47,1.89,1.93,0.42,0.08,0.51,0.05,562,254,212,27 (50%),6 (35%),31,2,262,69,93,16 (24%),3 (21%),18,2,,21,4,3,14,1,,22,11,8,34,7,,83,52 (60%),31 (70%),13 (76%),,48,35 (40%),13 (30%),2 (18%),,0,0,,3,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9826,2023-08-21T19:00:00.000Z,9825,Arsenal,0,1,True,47,1.01,14,2,1,1,370 (86%),14,1,53,2.02,14,3,3,2,422 (86%),10,8,,5,7,0,10,4,,7,4,1,11,3,0.79,0.23,1.01,0.24,1.16,0.07,1.23,1.08,428,144,226,24 (53%),3 (14%),17,0,489,158,264,24 (44%),4 (19%),10,2,,14,5,4,18,2,,14,8,7,17,2,,48,34 (51%),14 (52%),10 (53%),,46,33 (49%),13 (48%),6 (50%),,2,0,,1,1,,,0,1.0,0.0,68.0,1.89,24.0,8.0,2.0,32.0,0.51,8.0,1.0,0.0,0.0,0.0,3.0,0.042,0.125,0.0,0.0
9826,2023-08-26T14:00:00.000Z,9937,Brentford,1,1,False,40,0.80,15,5,1,1,283 (81%),15,6,60,0.97,12,1,1,1,439 (85%),9,8,,4,6,0,10,5,,4,7,0,10,2,0.62,0.18,0.80,0.75,0.44,0.53,0.97,0.56,348,122,161,10 (29%),6 (35%),13,2,518,262,177,36 (67%),7 (30%),18,2,,20,6,6,24,0,,9,6,6,9,4,,63,46 (63%),17 (46%),17 (77%),,47,27 (37%),20 (54%),4 (27%),,0,0,,0,0,,,1,0.5,0.5,57.5,1.45,19.0,5.0,1.5,42.5,1.265,11.0,2.0,1.5,0.0,0.0,1.5,0.026,0.1,0.045,0.25
9826,2023-09-03T13:00:00.000Z,8602,Wolverhampton Wanderers,3,2,True,43,2.11,16,11,3,1,313 (80%),12,4,57,1.18,12,4,2,1,434 (84%),12,2,,4,1,0,14,2,,6,2,0,9,3,1.80,0.31,2.11,3.88,0.83,0.35,1.18,0.73,393,158,155,19 (34%),4 (24%),16,1,519,219,215,20 (39%),5 (23%),22,2,,24,10,2,20,2,,26,8,2,15,7,,51,39 (46%),12 (48%),5 (33%),,58,45 (54%),13 (52%),9 (47%),,1,0,,3,0,,,3,0.667,0.667,51.667,1.233,17.667,5.0,1.333,48.333,1.167,11.333,1.667,1.333,0.0,0.0,1.333,0.038,0.133,0.059,0.4
9826,2023-09-16T14:00:00.000Z,10252,Aston Villa,1,3,False,33,1.17,6,3,3,2,226 (75%),9,2,67,3.21,16,5,3,1,522 (86%),13,4,,2,1,0,4,2,,5,6,1,12,4,0.72,0.45,1.17,0.67,2.38,0.03,2.42,2.45,303,99,127,15 (33%),1 (7%),19,0,604,200,322,34 (67%),9 (31%),23,1,,23,12,6,29,2,,26,7,1,8,2,,55,49 (54%),6 (35%),13 (50%),,52,41 (46%),11 (65%),6 (40%),,3,0,,5,0,,,0,1.25,1.0,49.5,1.452,17.25,6.5,1.75,50.5,1.17,11.5,2.25,1.5,0.0,0.0,1.75,0.072,0.192,0.087,0.444
9826,2023-09-23T14:00:00.000Z,9879,Fulham,0,0,True,50,0.30,7,3,0,0,388 (82%),10,3,50,0.59,10,5,0,0,383 (83%),15,2,,2,2,0,4,3,,3,2,0,5,5,0.18,0.11,0.30,0.75,0.48,0.10,0.59,0.51,475,230,158,25 (43%),2 (13%),20,3,462,188,195,30 (56%),2 (11%),15,1,,14,6,2,22,5,,27,9,2,18,3,,57,43 (50%),14 (45%),15 (56%),,60,43 (50%),17 (55%),7 (58%),,3,0,,2,0,,,1,1.2,1.4,46.2,1.396,15.0,5.8,2.0,53.8,1.578,12.4,2.8,1.8,0.0,0.0,1.4,0.08,0.207,0.113,0.5
9826,2023-09-30T14:00:00.000Z,10260,Manchester United,1,0,False,23,0.90,8,2,0,0,148 (67%),8,4,77,1.30,19,4,2,2,653 (88%),10,10,,4,2,0,5,3,,8,7,0,15,4,0.21,0.69,0.90,0.44,0.87,0.43,1.30,0.33,221,87,61,14 (31%),3 (30%),17,0,741,261,392,31 (67%),4 (12%),31,2,,26,17,8,36,3,,32,4,2,11,1,,58,45 (46%),13 (57%),10 (50%),,63,53 (54%),10 (43%),13 (62%),,2,0,,3,0,8.0,47.0,3,1.0,1.4,42.6,1.078,11.6,4.8,1.6,57.4,1.594,12.8,3.6,1.8,0.0,0.0,1.0,0.086,0.208,0.109,0.389
9826,2023-10-07T16:30:00.000Z,10203,Nottingham Forest,0,0,True,52,0.81,8,2,2,2,463 (88%),7,3,48,1.05,16,5,2,2,421 (87%),12,7,,4,2,0,7,1,,7,4,1,11,5,0.77,0.04,0.81,0.13,0.83,0.23,1.05,0.81,528,232,231,23 (50%),3 (23%),12,0,482,217,204,18 (44%),4 (22%),14,2,,18,6,4,22,5,,20,9,2,25,2,,49,38 (52%),11 (44%),9 (69%),,49,35 (48%),14 (56%),9 (53%),,0,0,,1,0,20.0,28.0,1,1.2,1.2,37.8,1.056,10.4,4.8,1.4,62.2,1.45,13.8,3.8,1.6,1.6,9.4,1.6,0.115,0.25,0.087,0.316
9826,2023-10-21T14:00:00.000Z,10261,Newcastle United,0,4,False,40,1.21,17,3,0,0,308 (79%),12,8,60,2.39,10,7,6,3,495 (86%),7,6,,10,4,0,10,7,,3,0,1,9,1,0.60,0.61,1.21,1.00,2.26,0.13,2.39,3.01,389,155,153,11 (32%),4 (27%),20,1,573,274,221,32 (65%),5 (28%),15,0,,20,11,0,23,3,,8,7,4,15,3,,45,35 (55%),10 (42%),8 (67%),,43,29 (45%),14 (58%),9 (64%),,3,0,,2,0,16.0,24.0,0,1.0,1.0,40.2,1.058,9.0,4.2,1.6,59.8,1.466,14.6,4.6,1.8,5.6,15.0,1.6,0.111,0.238,0.068,0.217
9826,2023-10-27T19:00:00.000Z,8586,Tottenham Hotspur,1,2,True,24,0.61,13,3,0,0,148 (67%),19,11,76,1.12,10,1,1,0,669 (91%),11,2,,4,6,0,8,5,,4,5,0,4,6,0.19,0.42,0.61,0.37,1.08,0.03,1.12,0.78,220,72,76,22 (43%),5 (25%),21,1,732,384,285,28 (64%),2 (13%),21,3,,24,10,5,12,0,,20,6,6,23,2,,46,42 (48%),4 (40%),8 (44%),,52,46 (52%),6 (60%),8 (38%),,2,0,,1,0,15.0,19.0,0,0.4,1.4,39.6,0.878,9.2,2.6,1.0,60.4,1.708,14.2,5.2,2.6,8.8,19.8,1.0,0.043,0.154,0.099,0.269
