team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10261,2023-08-12T16:30:00.000Z,10252,Aston Villa,5,1,True,53,3.41,17,13,9,4,428 (85%),12,6,47,1.77,16,6,2,2,382 (85%),17,5,,2,2,0,14,3,,7,3,0,12,4,2.62,0.79,3.41,5.80,1.32,0.45,1.77,1.85,502,269,159,15 (36%),5 (45%),15,2,447,192,190,17 (57%),4 (25%),23,0,,16,7,3,12,5,,13,6,3,14,7,,44,39 (52%),5 (45%),7 (58%),,42,36 (48%),6 (55%),11 (79%),,4,0,,4,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10261,2023-08-19T19:00:00.000Z,8456,Manchester City,0,1,False,41,0.29,7,1,0,0,412 (86%),11,0,59,1.01,14,4,0,0,611 (89%),13,3,,2,4,0,4,3,,3,7,0,10,4,0.29,0.00,0.29,0.11,0.98,0.03,1.01,1.34,477,260,152,26 (58%),3 (60%),12,4,684,305,306,32 (60%),1 (14%),19,1,,10,7,7,11,3,,11,4,3,10,1,,34,28 (44%),6 (67%),5 (56%),,39,36 (56%),3 (33%),14 (74%),,5,0,,1,0,,,0,5.0,1.0,53.0,3.41,17.0,13.0,9.0,47.0,1.77,16.0,6.0,2.0,0.0,0.0,3.0,0.294,0.385,0.062,0.167
10261,2023-08-27T15:30:00.000Z,8650,Liverpool,1,2,True,60,1.99,23,8,1,0,508 (86%),16,5,40,0.88,9,4,1,0,307 (80%),10,9,,11,4,1,14,9,,3,2,0,6,3,1.62,0.37,1.99,1.34,0.72,0.16,0.88,1.75,590,296,212,18 (46%),6 (46%),13,0,384,192,115,14 (29%),4 (25%),20,1,,19,5,2,15,2,,12,8,4,19,7,,48,39 (51%),9 (53%),10 (67%),,45,37 (49%),8 (47%),10 (48%),,1,0,,2,1,,,0,2.5,1.0,47.0,1.85,12.0,7.0,4.5,53.0,1.39,15.0,5.0,1.0,0.0,0.0,1.5,0.208,0.357,0.067,0.2
10261,2023-09-02T16:30:00.000Z,10204,Brighton & Hove Albion,1,3,False,44,1.23,9,2,1,0,371 (84%),17,3,56,1.30,15,6,1,0,507 (90%),14,5,,4,3,0,7,2,,5,4,0,9,6,1.21,0.02,1.23,0.40,1.19,0.11,1.30,1.74,440,231,140,20 (47%),2 (18%),12,0,565,292,215,23 (53%),6 (67%),12,5,,18,3,4,14,4,,8,11,3,12,2,,50,45 (56%),5 (29%),13 (81%),,47,35 (44%),12 (71%),10 (53%),,4,0,,4,0,,,0,2.0,1.333,51.333,1.897,15.667,7.333,3.333,48.667,1.22,13.0,4.667,1.0,0.0,0.0,1.0,0.128,0.273,0.103,0.286
10261,2023-09-16T16:30:00.000Z,9937,Brentford,1,0,True,56,1.44,9,2,2,1,363 (78%),8,8,44,0.50,11,2,1,1,265 (72%),12,3,,5,2,0,5,4,,4,5,0,8,3,0.28,0.37,0.65,1.03,0.37,0.14,0.50,0.63,464,147,216,17 (37%),5 (19%),27,0,367,122,143,25 (36%),5 (33%),20,1,,12,6,5,19,2,,30,9,2,28,1,,60,37 (44%),23 (53%),14 (56%),,68,48 (56%),20 (47%),10 (71%),,3,0,,5,0,,,3,1.75,1.75,49.5,1.73,14.0,6.0,2.75,50.5,1.24,13.5,5.0,1.0,0.0,0.0,0.75,0.125,0.292,0.13,0.35
10261,2023-09-24T15:30:00.000Z,8657,Sheffield United,8,0,False,58,3.92,22,15,9,3,522 (87%),8,5,42,0.94,9,1,0,0,349 (79%),12,2,,3,4,0,17,5,,4,4,0,7,2,3.32,0.61,3.92,6.82,0.54,0.40,0.94,0.21,602,298,224,28 (64%),6 (38%),17,1,444,208,141,13 (23%),2 (29%),16,3,,19,7,4,9,1,,19,12,3,24,7,,51,40 (52%),11 (55%),10 (71%),,46,37 (48%),9 (45%),10 (56%),,0,0,,4,0,,,3,1.6,1.4,50.8,1.672,13.0,5.2,2.6,49.2,1.092,13.0,4.4,1.0,0.0,0.0,1.2,0.123,0.308,0.108,0.318
10261,2023-09-30T14:00:00.000Z,8191,Burnley,2,0,True,53,3.18,20,8,6,5,414 (81%),7,5,47,0.65,8,2,1,1,364 (79%),15,3,,6,6,0,14,6,,1,5,0,6,2,1.80,0.59,2.39,2.09,0.59,0.06,0.65,0.36,510,267,147,18 (44%),6 (32%),18,1,463,253,111,19 (33%),1 (17%),19,3,,21,4,5,10,2,,13,4,7,23,5,,64,45 (61%),19 (73%),9 (56%),,36,29 (39%),7 (27%),9 (43%),,1,0,,3,0,32.0,16.0,3,2.2,1.2,51.8,1.774,14.0,5.6,2.6,48.2,0.926,11.6,3.4,0.6,0.0,0.0,1.2,0.157,0.393,0.103,0.353
10261,2023-10-08T13:00:00.000Z,8654,West Ham United,2,2,False,65,2.01,10,3,3,1,520 (86%),18,2,35,1.16,5,3,1,0,229 (72%),11,4,,6,1,1,8,2,,2,0,0,3,2,1.42,0.60,2.01,1.48,1.01,0.15,1.16,1.31,603,292,228,27 (50%),5 (42%),19,1,318,103,126,27 (44%),1 (7%),15,2,,8,3,0,19,1,,11,8,1,10,1,,40,25 (42%),15 (47%),6 (67%),,51,34 (58%),17 (53%),6 (67%),,3,0,,3,0,23.0,12.0,1,2.6,1.0,54.2,2.352,16.6,7.0,3.8,45.8,0.854,10.4,3.0,0.8,6.4,3.2,1.8,0.157,0.371,0.096,0.333
10261,2023-10-21T14:00:00.000Z,9826,Crystal Palace,4,0,True,60,2.39,10,7,6,3,495 (86%),7,6,40,1.21,17,3,0,0,308 (79%),12,8,,3,0,1,9,1,,10,4,0,10,7,2.26,0.13,2.39,3.01,0.60,0.61,1.21,1.00,573,274,221,32 (65%),5 (28%),15,0,389,155,153,11 (32%),4 (27%),20,1,,8,7,4,15,3,,20,11,0,23,3,,43,29 (45%),14 (58%),9 (64%),,45,35 (55%),10 (42%),8 (67%),,2,0,,3,0,24.0,16.0,3,2.8,1.0,55.2,2.356,14.0,6.0,4.2,44.8,0.91,9.6,2.8,0.8,11.0,5.6,2.0,0.2,0.467,0.104,0.357
10261,2023-10-28T16:30:00.000Z,8602,Wolverhampton Wanderers,2,2,False,57,2.19,13,5,4,2,445 (86%),15,7,43,0.89,11,6,0,0,321 (82%),13,8,,3,5,0,11,2,,2,3,0,6,5,1.25,0.15,1.40,1.94,0.35,0.55,0.89,1.27,516,269,176,18 (46%),4 (25%),26,0,393,166,155,18 (38%),2 (13%),12,2,,16,10,3,21,4,,28,12,6,21,2,,43,39 (38%),4 (31%),11 (55%),,74,65 (63%),9 (69%),22 (76%),,4,0,,1,0,28.0,27.0,1,3.4,0.4,58.4,2.588,14.2,7.0,5.2,41.6,0.892,10.0,2.2,0.6,15.8,8.8,2.6,0.239,0.486,0.04,0.182
