team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10203,2023-08-12T12:00:00.000Z,9825,Arsenal,1,2,False,22,1.18,6,2,2,1,137 (69%),12,3,78,0.83,15,7,0,0,693 (90%),12,8,,3,1,0,4,2,,3,5,0,8,7,0.95,0.24,1.18,0.95,0.73,0.11,0.83,1.98,200,72,65,19 (44%),1 (17%),12,1,769,314,379,15 (45%),3 (21%),18,2,,17,8,5,16,5,,19,7,1,9,1,,56,36 (51%),20 (63%),7 (47%),,47,35 (49%),12 (38%),4 (33%),,2,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10203,2023-08-18T18:45:00.000Z,8657,Sheffield United,2,1,True,50,1.39,16,4,1,0,343 (79%),5,6,50,0.50,7,3,1,1,328 (75%),9,7,,7,5,0,9,7,,3,1,0,4,3,0.70,0.69,1.39,2.05,0.43,0.07,0.50,1.53,436,167,176,28 (49%),8 (38%),30,3,437,178,150,21 (34%),4 (20%),23,2,,20,14,1,24,2,,22,17,5,15,2,,66,35 (51%),31 (61%),7 (30%),,53,33 (49%),20 (39%),6 (29%),,2,0,,3,0,,,3,1.0,2.0,22.0,1.18,6.0,2.0,2.0,78.0,0.83,15.0,7.0,0.0,0.0,0.0,0.0,0.167,0.5,0.133,0.286
10203,2023-08-26T14:00:00.000Z,10260,Manchester United,2,3,False,34,1.21,9,4,1,0,228 (72%),11,3,66,2.83,18,9,5,2,548 (86%),13,11,,3,2,0,7,2,,5,4,0,7,11,0.86,0.36,1.21,2.00,1.07,0.97,2.04,4.03,316,131,97,23 (43%),2 (17%),14,2,637,172,376,20 (43%),1 (4%),15,3,,19,14,4,29,7,,15,7,1,25,2,,63,42 (56%),21 (66%),10 (53%),,44,33 (44%),11 (34%),7 (54%),,4,1,,4,0,,,0,1.5,1.5,36.0,1.285,11.0,3.0,1.5,64.0,0.665,11.0,5.0,0.5,0.0,0.0,1.5,0.136,0.5,0.136,0.3
10203,2023-09-02T14:00:00.000Z,8455,Chelsea,1,0,False,24,0.76,7,3,2,1,143 (62%),9,0,76,2.30,21,2,3,3,632 (89%),10,7,,4,0,0,4,3,,6,13,0,11,10,0.52,0.24,0.76,0.95,2.00,0.30,2.30,0.17,230,87,56,17 (32%),0 (0%),16,3,713,235,397,17 (52%),5 (13%),26,2,,23,9,13,37,2,,16,6,0,11,2,,51,38 (50%),13 (35%),5 (42%),,62,38 (50%),24 (65%),13 (59%),,4,0,,3,0,,,3,1.667,2.0,35.333,1.26,10.333,3.333,1.333,64.667,1.387,13.333,6.333,2.0,0.0,0.0,1.0,0.161,0.5,0.15,0.316
10203,2023-09-18T18:45:00.000Z,8191,Burnley,1,1,True,46,0.71,14,4,0,0,321 (79%),16,5,54,0.55,10,3,1,1,408 (84%),10,4,,5,5,0,6,8,,4,3,0,5,5,0.54,0.18,0.71,0.97,0.18,0.38,0.55,0.55,407,181,140,20 (40%),1 (6%),19,2,487,262,146,23 (45%),2 (11%),20,2,,13,6,3,17,2,,10,7,5,30,3,,48,31 (49%),17 (55%),9 (56%),,46,32 (51%),14 (45%),7 (54%),,2,0,,3,1,,,1,1.5,1.5,32.5,1.135,9.5,3.25,1.5,67.5,1.615,15.25,5.25,2.25,0.0,0.0,1.5,0.158,0.462,0.098,0.286
10203,2023-09-23T14:00:00.000Z,8456,Manchester City,0,2,False,43,1.03,10,3,1,1,354 (86%),17,6,57,1.33,7,4,2,1,509 (89%),5,6,,3,4,0,5,5,,1,2,0,4,3,0.75,0.28,1.03,0.40,1.14,0.19,1.33,1.00,414,145,209,21 (70%),2 (12%),14,3,570,176,333,29 (55%),1 (9%),15,0,,18,8,2,12,2,,8,6,4,23,3,,34,27 (45%),7 (50%),4 (67%),,40,33 (55%),7 (50%),8 (44%),,7,0,,3,1,,,0,1.4,1.4,35.2,1.05,10.4,3.4,1.2,64.8,1.402,14.2,4.8,2.0,0.0,0.0,1.4,0.135,0.412,0.099,0.292
10203,2023-10-01T13:00:00.000Z,9937,Brentford,1,1,True,41,0.46,6,1,2,2,320 (79%),6,1,59,1.66,18,5,2,1,491 (85%),10,11,,4,1,0,5,1,,6,7,0,15,3,0.37,0.09,0.46,0.08,1.00,0.66,1.66,0.72,407,154,166,21 (37%),4 (33%),19,2,578,257,234,19 (41%),9 (31%),25,1,,17,6,9,38,3,,11,10,1,10,0,,51,35 (61%),16 (39%),9 (64%),,47,22 (39%),25 (61%),5 (42%),,1,1,,2,0,13.0,39.0,1,1.2,1.4,39.4,1.02,11.2,3.6,1.0,60.6,1.502,12.6,4.2,2.4,0.0,0.0,1.4,0.107,0.333,0.111,0.333
10203,2023-10-07T16:30:00.000Z,9826,Crystal Palace,0,0,False,48,1.05,16,5,2,2,421 (87%),12,7,52,0.81,8,2,2,2,463 (88%),7,3,,7,4,1,11,5,,4,2,0,7,1,0.83,0.23,1.05,0.81,0.77,0.04,0.81,0.13,482,217,204,18 (44%),4 (22%),14,2,528,232,231,23 (50%),3 (23%),12,0,,20,9,2,25,2,,18,6,4,22,5,,49,35 (48%),14 (56%),9 (53%),,49,38 (52%),11 (44%),9 (69%),,1,0,,0,0,28.0,20.0,1,1.0,1.4,37.6,0.834,9.2,3.0,1.2,62.4,1.734,14.8,4.6,2.6,2.6,7.8,1.0,0.109,0.333,0.095,0.304
10203,2023-10-21T14:00:00.000Z,8346,Luton Town,2,2,True,57,2.97,19,8,4,2,378 (77%),12,4,43,1.71,13,4,3,1,251 (70%),11,2,,9,2,0,17,2,,5,4,0,9,4,2.45,0.52,2.97,2.89,1.25,0.46,1.71,1.24,494,230,148,23 (43%),9 (47%),19,2,361,95,156,32 (42%),6 (23%),22,0,,14,9,4,22,2,,9,7,2,25,6,,65,32 (54%),33 (59%),7 (58%),,50,27 (46%),23 (41%),6 (55%),,3,0,,0,0,31.0,25.0,1,0.6,0.8,40.4,0.802,10.6,3.2,1.4,59.6,1.33,12.8,3.2,2.0,8.2,11.8,1.2,0.057,0.187,0.062,0.25
10203,2023-10-29T14:00:00.000Z,8650,Liverpool,0,3,False,27,0.45,9,1,1,1,193 (73%),13,3,73,3.19,21,8,4,1,654 (90%),9,8,,4,4,1,7,2,,9,4,0,10,11,0.25,0.20,0.45,0.04,2.70,0.50,3.19,2.49,266,119,74,22 (44%),2 (17%),9,3,728,312,342,33 (72%),6 (24%),20,1,,19,11,4,31,5,,12,4,4,11,1,,51,38 (54%),13 (42%),10 (67%),,50,32 (46%),18 (58%),8 (57%),,3,0,,2,0,20.0,34.0,0,0.8,1.2,47.0,1.244,13.0,4.2,1.8,53.0,1.212,11.2,3.6,2.0,14.4,16.8,0.8,0.062,0.19,0.107,0.333
