team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8549,2023-08-05T14:00:00.000Z,10004,Millwall,0,1,True,68,0.78,16,2,0,0,644 (87%),3,12,32,1.20,12,2,4,4,244 (70%),8,6,,9,5,0,9,7,,6,4,0,8,4,0.71,0.07,0.78,0.57,1.09,0.11,1.20,1.28,741,223,421,15 (47%),4 (16%),16,32,1,348,116,128,32 (39%),3 (27%),12,22,1,,8,4,4,8,1,,27,13,5,20,2,,44,27 (42%),17 (55%),11 (52%),,51,37 (58%),14 (45%),7 (58%),,1,0,,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8549,2023-08-12T11:30:00.000Z,8669,Coventry City,0,3,False,50,1.33,14,2,2,2,428 (86%),8,7,50,0.95,12,5,2,1,410 (84%),5,7,,4,8,0,8,6,,3,4,0,8,4,1.22,0.11,1.33,0.47,0.74,0.20,0.95,1.35,497,205,223,21 (54%),1 (6%),15,27,2,486,293,117,18 (41%),1 (5%),22,19,0,,9,12,4,19,3,,29,9,8,14,2,,38,21 (31%),17 (68%),7 (28%),,55,47 (69%),8 (32%),10 (67%),,1,0,,1,0,0,0.0,1.0,68.0,0.78,16.0,2.0,0.0,32.0,1.2,12.0,2.0,4.0,32.0,22.0,0.0,0.0,0.0,0.083,0.5
8549,2023-08-19T14:00:00.000Z,9796,Huddersfield Town,1,1,True,59,1.99,17,7,3,3,376 (79%),10,7,41,1.31,16,2,0,0,206 (68%),10,8,,7,3,1,12,5,,8,6,1,12,4,1.93,0.06,1.99,2.78,0.82,0.49,1.31,0.18,477,196,180,17 (34%),3 (27%),16,29,4,304,103,103,20 (29%),7 (23%),19,24,1,,14,9,5,24,2,,20,10,3,20,6,,61,35 (52%),26 (59%),11 (58%),,50,32 (48%),18 (41%),3 (27%),,1,0,,3,0,1,0.0,2.0,59.0,1.055,15.0,2.0,1.0,41.0,1.075,12.0,3.5,3.0,29.5,20.5,0.0,0.0,0.0,0.167,0.571
8549,2023-08-26T14:00:00.000Z,8659,West Bromwich Albion,2,4,False,42,1.79,15,5,4,2,430 (86%),9,2,58,0.62,7,4,1,0,639 (92%),10,4,,4,6,1,11,4,,2,1,0,6,1,0.95,0.05,1.00,3.02,0.56,0.05,0.62,1.54,499,220,210,24 (46%),1 (7%),23,21,2,696,357,282,27 (55%),0 (0%),13,27,2,,13,1,1,19,0,,14,4,6,14,3,,36,28 (47%),8 (47%),7 (54%),,41,32 (53%),9 (53%),11 (65%),,1,1,,2,0,0,0.333,1.667,59.0,1.367,15.667,3.667,1.667,41.0,1.153,13.333,3.0,2.0,29.333,21.667,0.333,0.021,0.091,0.125,0.556
8549,2023-09-02T14:00:00.000Z,10172,Queens Park Rangers,0,2,True,62,1.46,16,9,4,4,552 (87%),9,7,38,0.68,11,3,0,0,303 (79%),11,5,,4,3,0,12,4,,2,6,0,9,2,1.33,0.13,1.46,1.85,0.68,0.00,0.68,0.53,636,266,286,28 (60%),3 (20%),22,31,0,382,168,135,25 (41%),2 (13%),24,25,2,,20,8,5,21,1,,18,15,3,17,9,,52,41 (51%),11 (65%),12 (67%),,45,39 (49%),6 (35%),12 (57%),,1,0,,2,0,0,0.75,2.25,54.75,1.473,15.5,4.0,2.25,45.25,1.02,11.75,3.25,1.75,27.25,23.0,0.25,0.048,0.188,0.191,0.692
8549,2023-09-16T14:00:00.000Z,8655,Blackburn Rovers,1,2,False,45,2.53,21,6,1,0,415 (85%),10,9,55,2.89,15,8,3,3,508 (86%),11,5,,9,6,0,14,7,,5,2,0,8,7,1.93,0.60,2.53,1.50,2.56,0.33,2.89,2.78,486,222,193,19 (56%),6 (32%),13,36,3,591,296,212,33 (54%),4 (33%),13,26,3,,8,14,2,16,6,,18,11,6,22,5,,45,34 (52%),11 (50%),15 (60%),,43,32 (48%),11 (50%),5 (56%),,2,0,,1,0,0,0.6,2.2,56.2,1.47,15.6,5.0,2.6,43.8,0.952,11.6,3.2,1.4,28.0,23.4,0.2,0.038,0.12,0.19,0.688
8549,2023-09-19T19:00:00.000Z,10163,Sheffield Wednesday,1,1,False,62,0.69,10,3,1,1,579 (88%),8,4,38,1.36,9,2,2,1,323 (81%),13,3,,4,3,0,6,4,,6,1,0,3,6,0.34,0.36,0.69,0.44,0.78,0.58,1.36,0.55,661,300,279,11 (29%),4 (22%),21,24,5,398,226,97,21 (39%),4 (24%),23,17,1,,10,4,1,19,1,,12,2,3,13,2,,39,28 (45%),11 (65%),5 (50%),,40,34 (55%),6 (35%),16 (73%),,1,0,,2,0,1,0.8,2.4,51.6,1.82,16.6,5.8,2.8,48.4,1.29,12.2,4.4,1.2,28.8,24.2,0.2,0.048,0.138,0.197,0.545
8549,2023-09-23T14:00:00.000Z,8466,Southampton,2,1,True,51,3.11,14,5,4,3,499 (87%),16,5,49,1.44,15,5,2,1,480 (88%),7,7,,7,2,1,10,4,,6,4,0,9,6,2.11,0.21,2.32,1.40,1.07,0.37,1.44,1.27,571,239,260,27 (54%),1 (10%),25,28,4,543,247,233,18 (55%),3 (14%),9,26,1,,22,12,4,18,4,,12,14,2,16,3,,42,31 (47%),11 (52%),3 (43%),,45,35 (53%),10 (48%),8 (47%),,3,0,,1,0,3,1.0,2.0,54.0,1.692,15.8,6.0,2.6,46.0,1.372,11.6,3.8,1.2,28.2,23.8,0.4,0.063,0.167,0.172,0.526
8549,2023-09-30T14:00:00.000Z,9817,Watford,3,2,False,46,1.34,9,3,1,0,412 (82%),15,3,54,1.34,17,4,2,1,490 (83%),10,9,,3,3,0,6,3,,11,2,1,12,5,1.20,0.13,1.34,,1.18,0.16,1.34,,502,208,204,29 (48%),2 (18%),14,21,0,588,266,224,39 (53%),7 (25%),21,25,0,,8,14,2,27,2,,19,7,3,16,0,,45,27 (38%),18 (64%),9 (60%),,54,44 (62%),10 (36%),12 (71%),,0,0,,2,0,3,1.2,2.0,52.4,1.916,15.2,5.6,2.8,47.6,1.398,11.4,4.4,1.6,28.0,24.2,0.8,0.079,0.214,0.175,0.455
8549,2023-10-03T18:45:00.000Z,8344,Cardiff City,2,0,True,61,2.20,11,6,4,2,578 (87%),10,8,39,0.56,6,3,1,1,354 (82%),10,2,,3,2,0,8,3,,3,0,1,6,0,1.97,0.22,2.20,2.15,0.51,0.06,0.56,0.18,666,310,268,22 (49%),2 (11%),23,25,1,434,222,132,25 (47%),2 (22%),17,8,2,,23,13,0,10,3,,19,17,3,27,3,,49,41 (56%),8 (33%),8 (42%),,48,32 (44%),16 (67%),4 (24%),,1,0,,3,0,3,1.4,1.6,53.2,1.826,14.0,5.2,2.2,46.8,1.542,13.4,4.4,1.8,28.0,23.8,1.4,0.1,0.269,0.119,0.364
