team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8689,2023-08-12T19:00:00.000Z,9847,Paris Saint-Germain,0,0,False,22,0.12,4,0,0,0,218 (76%),6,2,78,1.24,20,4,1,1,939 (94%),8,9,,3,1,1,1,3,,8,8,0,11,9,0.12,0.01,0.12,0.00,1.15,0.09,1.24,0.54,286,149,69,14 (40%),0 (0%),6,9.0,0,1001,186,753,17 (74%),9 (26%),16,46.0,0,,13,15,8,31,4,,10,8,1,6,0,,36,24 (50%),12 (57%),3 (50%),,33,24 (50%),9 (43%),9 (75%),,0,0,,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8689,2023-08-20T13:00:00.000Z,9831,Nice,1,1,True,40,0.85,9,2,1,0,400 (87%),8,0,60,1.75,21,8,3,2,626 (93%),10,9,,3,4,0,5,4,,7,6,0,12,9,0.85,0.00,0.85,1.09,1.39,0.35,1.75,1.36,459,246,154,15 (35%),2 (33%),12,,3,673,293,333,24 (80%),5 (23%),8,,1,,21,7,6,24,7,,15,9,4,2,1,,50,40 (56%),10 (48%),9 (53%),,42,31 (44%),11 (52%),9 (41%),,1,0,,1,0,1,0.0,0.0,22.0,0.12,4.0,0.0,0.0,78.0,1.24,20.0,4.0,1.0,9.0,46.0,1.0,0.0,0.0,0.0,0.0
8689,2023-08-27T15:05:00.000Z,8639,Lille,4,1,True,36,1.58,9,6,4,2,255 (79%),23,5,64,1.15,18,7,2,1,505 (87%),12,8,,3,0,0,7,2,,5,6,0,8,10,1.40,0.18,1.58,2.22,0.92,0.23,1.15,1.94,322,168,87,28 (54%),2 (25%),13,,2,578,172,333,15 (50%),7 (27%),21,,0,,21,13,6,21,6,,17,2,0,11,2,,53,40 (44%),13 (52%),7 (50%),,63,51 (56%),12 (48%),12 (44%),,2,0,,4,0,3,0.5,0.5,31.0,0.485,6.5,1.0,0.5,69.0,1.495,20.5,6.0,2.0,4.5,23.0,1.0,0.077,0.5,0.024,0.083
8689,2023-09-03T13:00:00.000Z,9746,Le Havre,0,3,False,57,0.68,9,2,1,1,541 (91%),7,4,43,1.98,17,6,2,1,378 (86%),10,5,,2,5,0,5,4,,8,3,0,11,6,0.58,0.10,0.68,0.64,1.75,0.24,1.98,1.52,595,273,268,30 (67%),3 (19%),13,,2,441,204,174,16 (38%),6 (27%),17,,0,,9,6,3,23,3,,14,6,5,11,2,,46,30 (52%),16 (64%),12 (86%),,37,28 (48%),9 (36%),7 (64%),,0,0,,0,0,0,1.667,0.667,32.667,0.85,7.333,2.667,1.667,67.333,1.38,19.667,6.333,2.0,6.0,30.667,1.667,0.227,0.625,0.034,0.105
8689,2023-09-17T11:00:00.000Z,9829,Monaco,2,2,True,41,0.90,10,3,2,1,328 (83%),13,8,59,1.78,20,7,1,0,517 (87%),14,6,,4,3,0,5,5,,8,5,0,15,5,0.81,0.09,0.90,1.22,1.24,0.54,1.78,1.58,397,191,137,21 (44%),2 (10%),8,,2,593,189,328,20 (54%),4 (25%),14,,2,,19,11,5,17,4,,13,4,3,17,1,,55,44 (52%),11 (50%),11 (65%),,51,40 (48%),11 (50%),15 (65%),,0,0,,2,0,1,1.25,1.25,38.75,0.807,7.75,2.5,1.5,61.25,1.53,19.0,6.25,2.0,5.625,28.75,1.25,0.161,0.5,0.066,0.2
8689,2023-09-23T15:00:00.000Z,9830,Nantes,3,5,False,56,1.74,10,7,3,1,531 (88%),17,2,44,2.14,19,9,2,0,405 (85%),8,4,,2,1,0,6,4,,6,4,0,16,3,1.74,0.00,1.74,3.17,1.15,0.20,1.35,3.24,604,317,214,27 (48%),7 (37%),21,17.0,0,475,172,233,35 (50%),7 (37%),15,34.0,0,,14,10,4,9,4,,20,8,1,13,4,,46,38 (49%),8 (40%),16 (59%),,51,39 (51%),12 (60%),6 (50%),,3,0,,1,0,0,1.4,1.4,39.2,0.826,8.2,2.6,1.6,60.8,1.58,19.2,6.4,1.8,5.7,29.133,1.2,0.171,0.538,0.073,0.219
8689,2023-10-01T15:05:00.000Z,10249,Montpellier,0,3,True,50,0.98,14,3,0,0,460 (87%),13,8,50,2.85,14,8,3,0,454 (86%),6,3,,4,7,1,13,1,,4,2,0,8,6,0.68,0.31,0.98,0.43,2.01,0.05,2.06,3.11,527,193,267,22 (56%),8 (32%),22,30.0,1,527,257,197,30 (49%),2 (12%),14,29.0,1,,15,8,2,21,5,,22,5,7,17,3,,46,34 (41%),12 (50%),14 (48%),,60,48 (59%),12 (50%),14 (67%),,2,0,,1,0,0,2.0,2.4,46.0,1.15,9.4,4.0,2.2,54.0,1.76,19.0,7.4,2.0,7.3,26.733,1.0,0.213,0.5,0.126,0.324
8689,2023-10-08T13:00:00.000Z,9748,Lyon,3,3,False,51,1.08,6,5,2,1,371 (81%),10,2,49,1.39,9,6,3,1,352 (80%),22,5,,1,0,0,4,2,,1,2,0,5,4,1.08,0.00,1.08,2.26,0.58,0.02,0.60,2.38,456,230,141,24 (45%),2 (17%),17,14.0,0,440,200,152,21 (40%),1 (6%),21,12.0,1,,11,15,2,26,3,,17,10,0,11,2,,63,49 (57%),14 (56%),16 (73%),,48,37 (43%),11 (44%),10 (71%),,0,0,,0,0,1,1.8,2.8,48.0,1.176,10.4,4.2,2.0,52.0,1.98,17.6,7.4,2.0,13.3,32.533,0.8,0.173,0.429,0.159,0.378
8689,2023-10-22T11:00:00.000Z,9851,Rennes,2,1,True,31,0.62,5,4,1,0,215 (73%),5,6,69,0.94,20,6,0,0,576 (88%),14,16,,1,0,0,4,1,,5,9,1,12,8,0.35,0.27,0.62,0.62,0.70,0.24,0.94,1.95,295,141,74,17 (33%),7 (58%),10,22.0,0,655,200,376,32 (71%),3 (8%),26,35.0,2,,29,17,9,45,5,,19,9,0,12,3,,69,53 (63%),16 (70%),12 (57%),,38,31 (37%),7 (30%),8 (40%),,0,0,,2,0,3,1.6,3.2,51.0,1.076,9.8,4.0,1.6,49.0,2.028,15.8,7.2,2.2,14.3,25.733,0.4,0.163,0.4,0.203,0.444
8689,2023-10-28T15:00:00.000Z,9837,Reims,0,1,False,44,0.42,9,1,0,0,347 (80%),7,4,56,0.78,12,5,1,1,475 (86%),16,4,,4,4,0,3,6,,4,3,0,9,3,0.40,0.02,0.42,0.11,0.78,0.00,0.78,1.19,436,224,123,29 (48%),1 (10%),18,12.0,0,554,220,255,31 (51%),5 (22%),20,26.0,2,,12,12,3,17,4,,19,11,4,16,1,,46,36 (50%),10 (48%),9 (39%),,47,36 (50%),11 (52%),10 (63%),,3,0,,1,0,0,2.0,2.8,45.8,1.064,9.0,4.4,1.6,54.2,1.82,16.4,7.2,1.8,17.8,28.133,1.0,0.222,0.455,0.171,0.389
