team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9837,2023-08-12T15:00:00.000Z,8592,Marseille,1,2,False,58,0.77,11,4,2,2,349 (82%),16,10,42,1.04,14,4,3,2,238 (77%),7,10,,4,3,0,7,4,,6,4,0,8,6,0.41,0.36,0.77,0.68,0.73,0.31,1.04,1.24,426,196,153,30 (61%),6 (25%),26,4,309,121,117,20 (38%),6 (30%),17,3,,16,9,3,18,2,,15,16,3,27,3,,47,31 (44%),16 (52%),8 (53%),,54,39 (56%),15 (48%),10 (63%),,3,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9837,2023-08-20T13:00:00.000Z,8311,Clermont Foot,2,0,True,46,2.36,8,4,4,2,327 (78%),9,3,54,0.43,11,4,0,0,384 (81%),6,10,,2,2,1,7,1,,6,1,0,7,4,1.91,0.44,2.36,3.61,0.36,0.07,0.43,1.39,419,181,146,34 (48%),3 (25%),16,5,472,208,176,28 (50%),5 (19%),20,2,,16,11,1,22,4,,26,12,2,11,2,,38,30 (38%),8 (40%),8 (31%),,61,49 (62%),12 (60%),14 (56%),,0,0,,0,0,,,3,1.0,2.0,58.0,0.77,11.0,4.0,2.0,42.0,1.04,14.0,4.0,3.0,0.0,0.0,0.0,0.091,0.25,0.143,0.5
9837,2023-08-27T13:00:00.000Z,10249,Montpellier,3,1,False,49,1.39,12,6,3,2,252 (71%),19,3,51,0.95,20,3,2,2,265 (72%),9,5,,4,2,0,5,7,,10,7,2,14,6,0.41,0.20,0.60,2.14,0.75,0.20,0.95,1.08,354,126,126,19 (33%),4 (25%),20,2,370,151,114,20 (34%),5 (23%),32,0,,26,18,7,24,2,,14,9,2,25,3,,68,48 (51%),20 (54%),14 (61%),,63,46 (49%),17 (46%),15 (52%),,1,0,,1,0,,,3,1.5,1.0,52.0,1.565,9.5,4.0,3.0,48.0,0.735,12.5,4.0,1.5,0.0,0.0,1.5,0.158,0.375,0.08,0.25
9837,2023-09-03T13:00:00.000Z,8550,Metz,2,2,False,64,0.71,12,2,1,1,460 (85%),17,1,36,1.06,12,4,1,1,226 (77%),10,4,,7,3,0,4,8,,4,4,0,6,6,0.71,0.00,0.71,0.38,0.43,0.63,1.06,1.32,540,219,241,25 (56%),4 (22%),27,2,293,131,95,25 (42%),5 (28%),16,0,,23,6,4,10,2,,18,10,3,14,0,,52,37 (48%),15 (56%),6 (35%),,52,40 (52%),12 (44%),7 (44%),,4,0,,0,0,27.0,13.0,1,2.0,1.0,51.0,1.507,10.333,4.667,3.0,49.0,0.807,15.0,3.667,1.667,0.0,0.0,2.0,0.194,0.429,0.067,0.273
9837,2023-09-17T13:00:00.000Z,8521,Brest,1,2,True,52,1.81,13,7,3,2,300 (78%),7,8,48,1.56,18,7,2,1,257 (74%),12,8,,5,1,0,7,6,,4,7,1,11,7,1.21,0.60,1.81,1.88,1.16,0.40,1.56,1.62,383,149,151,19 (50%),3 (12%),23,3,349,105,152,43 (63%),11 (34%),28,0,,20,13,7,26,3,,18,11,1,25,6,,58,45 (54%),13 (46%),16 (57%),,53,38 (46%),15 (54%),14 (61%),,2,0,,4,0,19.0,36.0,0,2.0,1.25,54.25,1.307,10.75,4.0,2.5,45.75,0.87,14.25,3.75,1.5,6.75,3.25,1.75,0.186,0.5,0.088,0.333
9837,2023-09-26T19:00:00.000Z,8639,Lille,2,1,False,30,0.50,4,4,2,0,195 (69%),19,2,70,1.24,14,3,2,1,567 (88%),4,4,,0,0,0,3,1,,7,4,0,10,4,0.28,0.22,0.50,0.85,0.96,0.28,1.24,1.02,284,142,53,16 (29%),0 (0%),14,5,648,301,266,34 (69%),9 (32%),33,3,,23,11,4,29,2,,7,5,0,6,2,,38,32 (46%),6 (40%),5 (56%),,46,37 (54%),9 (60%),12 (41%),,2,0,,1,0,,,3,1.8,1.4,53.8,1.408,11.2,4.6,2.6,46.2,1.008,15.0,4.4,1.6,9.2,9.8,1.4,0.161,0.391,0.093,0.318
9837,2023-10-01T11:00:00.000Z,9748,Lyon,2,0,True,50,1.97,8,3,4,2,410 (84%),19,1,50,0.75,11,6,0,0,418 (84%),14,5,,4,1,0,7,1,,1,4,0,5,6,1.96,0.01,1.97,1.60,0.66,0.09,0.75,0.58,490,269,141,37 (53%),3 (27%),18,1,496,236,182,35 (63%),3 (16%),17,2,,23,10,4,20,6,,9,9,1,9,2,,64,52 (59%),12 (48%),16 (84%),,49,36 (41%),13 (52%),9 (38%),,2,0,,2,0,17.0,19.0,3,2.0,1.2,48.2,1.354,9.8,4.6,2.6,51.8,1.048,15.0,4.2,1.4,10.55,10.45,2.0,0.204,0.435,0.08,0.286
9837,2023-10-07T19:00:00.000Z,9829,Monaco,1,3,True,54,1.55,11,4,3,2,330 (79%),10,10,46,1.21,11,4,2,0,289 (77%),14,5,,3,4,0,8,3,,4,3,0,9,2,0.76,0.00,0.76,1.60,0.96,0.25,1.21,1.77,416,162,168,38 (56%),5 (13%),25,3,375,174,115,28 (47%),5 (38%),21,5,,13,10,3,14,1,,24,16,4,33,3,,59,40 (43%),19 (54%),15 (56%),,69,53 (57%),16 (46%),19 (79%),,0,0,,3,0,25.0,31.0,0,2.0,1.2,49.0,1.276,9.8,4.4,2.6,51.0,1.112,15.0,4.6,1.4,13.95,14.25,2.0,0.204,0.455,0.08,0.261
9837,2023-10-22T13:00:00.000Z,9941,Toulouse,1,1,False,51,1.29,15,4,0,0,346 (78%),15,7,49,0.81,11,5,2,1,350 (81%),18,5,,6,5,2,11,4,,4,2,0,5,6,0.53,0.75,1.29,0.37,0.64,0.17,0.81,1.64,441,225,121,21 (40%),8 (38%),21,2,434,183,167,24 (46%),4 (21%),20,1,,32,9,2,22,4,,15,12,6,20,2,,70,58 (63%),12 (46%),10 (56%),,48,34 (37%),14 (54%),6 (33%),,0,0,,2,0,26.0,23.0,1,1.6,1.6,50.0,1.308,9.6,4.0,2.6,50.0,1.164,13.2,4.8,1.4,18.95,20.45,1.4,0.167,0.4,0.121,0.333
9837,2023-10-28T15:00:00.000Z,8689,Lorient,1,0,True,56,0.78,12,5,1,1,475 (86%),16,4,44,0.42,9,1,0,0,347 (80%),7,4,,4,3,0,9,3,,4,4,0,3,6,0.78,0.00,0.78,1.19,0.40,0.02,0.42,0.11,554,220,255,31 (51%),5 (22%),20,2,436,224,123,29 (48%),1 (10%),18,0,,19,11,4,16,1,,12,12,3,17,4,,47,36 (50%),11 (52%),10 (63%),,46,36 (50%),10 (48%),9 (39%),,1,0,,3,0,26.0,12.0,3,1.4,1.4,47.4,1.424,10.2,4.4,2.4,52.6,1.114,13.0,5.0,1.6,18.75,22.45,1.4,0.137,0.318,0.108,0.28
