team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9788,2023-08-19T13:30:00.000Z,8406,FC Augsburg,4,4,False,44,1.72,10,6,4,1,285 (77%),13,7,56,2.28,20,7,3,1,405 (85%),9,8,,3,1,0,8,2,,7,6,0,12,8,0.90,0.04,0.94,2.74,0.58,0.91,1.49,2.73,371,149,136,23 (37%),7 (37%),12,1,479,243,162,23 (52%),5 (22%),16,4,,10,7,6,19,3,,13,12,2,10,1,,41,26 (48%),15 (41%),7 (54%),,50,28 (52%),22 (59%),2 (29%),,2,0,,1,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9788,2023-08-26T16:30:00.000Z,8178,Bayer Leverkusen,0,3,True,40,0.93,12,2,3,3,378 (83%),7,5,60,2.74,24,11,4,2,627 (89%),8,8,,8,2,0,8,4,,6,7,0,18,6,0.83,0.10,0.93,0.20,2.45,0.29,2.74,3.28,453,179,199,19 (40%),5 (28%),12,1,705,272,355,28 (61%),0 (0%),18,2,,20,16,7,22,8,,16,9,2,13,2,,35,28 (49%),7 (58%),0 (0%),,34,29 (51%),5 (42%),7 (50%),,2,0,,3,0,,,0,4.0,4.0,44.0,1.72,10.0,6.0,4.0,56.0,2.28,20.0,7.0,3.0,0.0,0.0,1.0,0.4,0.667,0.2,0.571
9788,2023-09-02T16:30:00.000Z,9823,Bayern München,1,2,True,35,0.35,7,3,0,0,249 (73%),5,1,65,2.37,25,8,2,1,553 (88%),20,15,,4,0,1,3,4,,7,10,1,18,7,0.02,0.32,0.35,1.23,1.32,1.05,2.37,1.55,340,172,77,20 (42%),4 (40%),12,0,625,177,376,18 (58%),12 (34%),26,1,,25,8,11,40,5,,15,7,0,7,2,,62,47 (54%),15 (48%),4 (33%),,56,40 (46%),16 (52%),20 (56%),,0,0,,2,0,7.0,49.0,0,2.0,3.5,42.0,1.325,11.0,4.0,3.5,58.0,2.51,22.0,9.0,3.5,0.0,0.0,0.5,0.182,0.5,0.159,0.389
9788,2023-09-17T15:30:00.000Z,8262,SV Darmstadt,3,3,False,64,3.87,22,10,8,6,486 (87%),8,6,36,1.16,15,8,2,0,239 (76%),12,6,,9,3,0,16,6,,4,3,1,7,8,2.63,0.45,3.08,3.28,0.95,0.21,1.16,2.47,556,193,293,15 (42%),11 (38%),17,1,316,128,111,21 (33%),4 (29%),16,4,,11,4,3,11,5,,23,7,3,20,7,,42,27 (44%),15 (56%),6 (27%),,46,34 (56%),12 (44%),3 (30%),,1,0,,1,1,,,1,1.667,3.0,39.667,1.0,9.667,3.667,2.333,60.333,2.463,23.0,8.667,3.0,2.333,16.333,0.333,0.172,0.455,0.13,0.346
9788,2023-09-23T13:30:00.000Z,178475,RB Leipzig,0,1,True,45,0.80,14,1,0,0,354 (80%),14,11,55,0.72,8,4,1,0,457 (83%),7,6,,9,4,0,8,6,,0,4,0,6,2,0.29,0.51,0.80,0.29,0.65,0.07,0.72,0.56,444,203,151,27 (45%),8 (40%),18,2,552,265,192,18 (44%),2 (11%),19,2,,12,11,4,12,3,,22,7,4,9,1,,42,26 (37%),16 (46%),7 (44%),,63,44 (63%),19 (54%),9 (82%),,1,0,,1,0,,,0,2.0,3.0,45.75,1.718,12.75,5.25,3.75,54.25,2.138,21.0,8.5,2.75,1.75,12.25,0.5,0.157,0.381,0.143,0.353
9788,2023-09-30T13:40:00.000Z,9911,Bochum,3,1,False,42,2.90,27,9,6,5,206 (65%),12,10,58,1.74,24,5,1,0,312 (72%),12,5,,11,7,2,22,5,,12,7,0,15,9,1.94,0.96,2.90,2.86,1.52,0.22,1.74,0.98,316,99,107,31 (37%),7 (37%),15,3,434,107,205,42 (50%),8 (22%),22,2,,10,8,8,44,3,,12,9,8,15,5,,60,30 (55%),30 (47%),9 (53%),,59,25 (45%),34 (53%),3 (43%),,3,0,,2,0,37.0,36.0,3,1.6,2.6,45.6,1.534,13.0,4.4,3.0,54.4,1.854,18.4,7.6,2.4,1.867,13.067,0.4,0.123,0.364,0.141,0.342
9788,2023-10-06T18:30:00.000Z,9905,Mainz 05,2,2,True,60,2.30,21,9,5,5,474 (82%),9,10,40,0.75,14,7,3,2,290 (74%),9,3,,5,7,0,15,6,,2,5,0,8,6,1.31,0.99,2.30,3.20,0.53,0.22,0.75,1.80,578,204,270,27 (48%),12 (35%),25,1,390,194,96,24 (37%),2 (20%),22,1,,19,12,5,14,5,,14,14,6,32,7,,54,36 (55%),18 (46%),9 (53%),,51,30 (45%),21 (54%),8 (53%),,3,0,,1,0,31.0,11.0,1,1.4,2.0,45.2,1.77,16.4,5.0,3.4,54.8,1.746,19.2,7.2,2.0,9.267,20.267,0.8,0.085,0.28,0.104,0.278
9788,2023-10-22T13:35:00.000Z,8722,1. FC Köln,1,3,False,40,0.26,5,2,1,0,267 (74%),10,3,60,2.73,23,8,3,1,443 (82%),13,8,,3,0,0,3,2,,6,9,2,12,11,0.05,0.21,0.26,0.66,0.60,0.55,1.16,3.52,362,170,97,11 (27%),2 (20%),25,0,542,234,209,24 (44%),9 (35%),23,1,,19,5,7,27,5,,17,7,0,10,1,,50,36 (50%),14 (39%),5 (36%),,58,36 (50%),22 (61%),11 (65%),,2,1,,0,0,7.0,34.0,0,1.8,1.8,49.2,2.044,18.2,6.4,3.8,50.8,1.348,17.2,6.4,1.8,15.467,22.467,1.0,0.099,0.281,0.105,0.281
9788,2023-10-28T13:30:00.000Z,94937,FC Heidenheim,2,1,True,54,1.05,13,6,0,0,510 (85%),5,6,46,0.38,9,4,0,0,424 (85%),17,4,,4,3,0,11,2,,1,4,0,6,3,0.51,0.53,1.05,1.00,0.31,0.07,0.38,0.75,598,338,172,34 (59%),3 (19%),17,1,501,246,178,31 (67%),4 (17%),30,0,,18,15,4,24,3,,14,8,4,11,4,,71,50 (68%),21 (55%),15 (65%),,41,24 (32%),17 (45%),6 (43%),,0,0,,3,0,24.0,18.0,3,1.8,2.0,50.2,2.026,17.8,6.2,4.0,49.8,1.42,16.8,6.4,2.0,15.467,19.467,1.0,0.101,0.29,0.119,0.312
9788,2023-11-04T14:30:00.000Z,8358,Freiburg,3,3,False,41,2.16,10,5,2,0,339 (80%),10,2,59,3.38,16,9,7,4,504 (86%),7,8,,4,1,0,6,4,,5,2,0,12,4,1.07,0.30,1.38,3.28,1.56,1.03,2.59,4.16,423,249,90,22 (37%),1 (14%),19,4,585,234,270,38 (60%),9 (24%),23,1,,24,4,3,44,5,,11,4,1,7,2,,49,37 (61%),12 (39%),6 (67%),,43,24 (39%),19 (61%),4 (19%),,2,0,,2,0,15.0,28.0,1,1.6,1.6,48.2,1.462,16.0,5.4,2.4,51.8,1.264,15.6,5.6,1.6,20.267,23.067,1.4,0.1,0.296,0.103,0.286
