team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9905,2023-08-20T13:30:00.000Z,8149,Union Berlin,1,4,False,54,2.30,10,3,3,3,332 (77%),16,1,46,1.91,11,6,3,0,278 (74%),15,3,,3,4,1,9,1,,4,1,1,9,2,0.72,0.00,0.72,2.52,1.57,0.34,1.91,2.37,429,188,144,19 (42%),4 (24%),20,0,375,184,94,24 (36%),8 (53%),23,1,,13,14,1,12,2,,7,4,4,20,3,,51,26 (51%),25 (42%),1 (33%),,60,25 (49%),35 (58%),3 (30%),,5,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9905,2023-08-27T13:30:00.000Z,9810,Eintracht Frankfurt,1,1,True,40,1.17,12,6,2,1,215 (67%),23,5,60,1.14,7,1,2,1,375 (75%),12,4,,4,2,0,7,5,,4,2,0,5,2,0.92,0.25,1.17,0.71,0.95,0.19,1.14,0.82,323,106,109,21 (38%),4 (27%),11,2,497,266,109,19 (28%),4 (27%),25,0,,23,11,2,18,0,,12,3,2,22,5,,79,46 (52%),33 (57%),11 (52%),,68,43 (48%),25 (43%),10 (53%),,3,0,,2,1,,,1,1.0,4.0,54.0,2.3,10.0,3.0,3.0,46.0,1.91,11.0,6.0,3.0,0.0,0.0,0.0,0.1,0.333,0.364,0.667
9905,2023-09-02T13:30:00.000Z,8697,Werder Bremen,0,4,False,54,0.55,13,3,1,1,325 (71%),14,7,46,2.74,13,6,6,2,273 (70%),18,1,,7,3,0,8,5,,5,2,0,11,2,0.39,0.15,0.55,0.67,1.71,0.25,1.95,3.86,455,161,164,25 (35%),5 (22%),29,4,389,121,152,27 (44%),4 (40%),22,1,,14,15,2,13,2,,19,10,3,37,3,,66,39 (51%),27 (48%),8 (44%),,67,38 (49%),29 (52%),6 (46%),,2,0,,2,0,,,0,1.0,2.5,47.0,1.735,11.0,4.5,2.5,53.0,1.525,9.0,3.5,2.5,0.0,0.0,0.5,0.091,0.222,0.278,0.714
9905,2023-09-16T13:30:00.000Z,10269,VfB Stuttgart,1,3,True,39,0.97,15,3,1,0,271 (73%),12,6,61,1.56,15,6,5,2,488 (83%),9,4,,6,6,1,11,4,,5,4,0,9,6,0.67,0.31,0.97,1.31,1.51,0.05,1.56,2.32,370,180,91,21 (36%),3 (25%),30,1,587,196,292,17 (33%),0 (0%),24,1,,11,13,3,21,3,,10,8,6,25,2,,42,28 (49%),14 (33%),8 (67%),,58,29 (51%),29 (67%),8 (73%),,1,0,,2,0,,,0,0.667,3.0,49.333,1.34,11.667,4.0,2.0,50.667,1.93,10.333,4.333,3.667,0.0,0.0,0.333,0.057,0.167,0.29,0.692
9905,2023-09-23T13:30:00.000Z,8406,FC Augsburg,1,2,False,59,0.56,12,3,0,0,417 (79%),15,4,41,0.82,5,3,2,0,272 (72%),16,3,,4,5,0,8,4,,1,1,0,2,3,0.55,0.01,0.56,0.32,0.25,0.57,0.82,1.84,531,217,200,42 (55%),7 (26%),28,2,377,177,95,24 (35%),1 (7%),14,1,,15,9,1,21,1,,22,7,6,28,2,,71,38 (46%),33 (61%),8 (42%),,65,44 (54%),21 (39%),9 (45%),,3,0,,2,1,,,0,0.75,3.0,46.75,1.248,12.5,3.75,1.75,53.25,1.837,11.5,4.75,4.0,0.0,0.0,0.25,0.06,0.2,0.261,0.632
9905,2023-09-30T13:30:00.000Z,8178,Bayer Leverkusen,0,3,True,45,0.47,10,3,0,0,397 (82%),13,3,55,1.13,6,3,2,1,527 (87%),11,1,,4,3,0,4,6,,2,1,0,3,3,0.26,0.21,0.47,0.52,0.97,0.16,1.13,2.18,483,221,176,27 (60%),5 (36%),19,3,605,272,255,16 (42%),2 (25%),17,1,,12,13,1,7,1,,15,7,3,24,3,,39,33 (46%),6 (25%),10 (63%),,57,39 (54%),18 (75%),12 (63%),,4,0,,1,0,23.0,18.0,0,0.8,2.8,49.2,1.11,12.4,3.6,1.4,50.8,1.634,10.2,4.4,3.6,0.0,0.0,0.2,0.065,0.222,0.275,0.636
9905,2023-10-06T18:30:00.000Z,9788,Borussia Mönchengladbach,2,2,False,40,0.75,14,7,3,2,290 (74%),9,3,60,2.30,21,9,5,5,474 (82%),9,10,,2,5,0,8,6,,5,7,0,15,6,0.53,0.22,0.75,1.80,1.31,0.99,2.30,3.20,390,194,96,24 (37%),2 (20%),22,1,578,204,270,27 (48%),12 (35%),25,1,,14,14,6,32,7,,19,12,5,14,5,,51,30 (45%),21 (54%),8 (53%),,54,36 (55%),18 (46%),9 (53%),,1,0,,3,0,11.0,31.0,1,0.6,2.6,47.4,0.744,12.4,3.6,0.8,52.6,1.478,9.2,3.8,3.4,4.6,3.6,0.2,0.048,0.167,0.283,0.684
9905,2023-10-21T16:30:00.000Z,9823,Bayern München,1,3,True,38,1.13,16,3,0,0,290 (80%),12,2,62,1.77,13,5,3,2,528 (87%),10,7,,11,2,2,13,3,,3,5,0,8,5,0.94,0.19,1.13,0.88,1.24,0.53,1.77,1.84,364,174,116,26 (50%),6 (40%),10,1,607,295,233,23 (50%),6 (40%),17,1,,25,11,5,16,2,,13,7,2,15,2,,57,40 (51%),17 (52%),7 (50%),,54,38 (49%),16 (48%),13 (50%),,3,0,,2,0,26.0,40.0,0,0.8,2.8,47.4,0.66,12.8,3.8,1.0,52.6,1.71,12.0,5.4,4.0,6.8,9.8,0.2,0.062,0.211,0.233,0.519
9905,2023-10-27T18:30:00.000Z,9911,Bochum,2,2,False,50,0.43,9,3,0,0,264 (67%),21,4,50,1.45,12,4,2,1,253 (63%),14,5,,3,3,0,3,6,,3,5,0,8,4,0.23,0.20,0.43,0.73,0.39,0.27,0.66,2.82,393,173,91,28 (38%),1 (8%),29,2,399,132,121,24 (28%),6 (38%),29,2,,17,14,4,23,2,,12,16,3,13,2,,71,34 (48%),37 (52%),6 (43%),,71,37 (52%),34 (48%),7 (64%),,3,0,,3,0,10.0,25.0,1,1.0,2.6,44.2,0.776,13.4,3.8,0.8,55.8,1.516,12.0,5.2,3.4,12.0,17.8,0.2,0.075,0.263,0.217,0.5
9905,2023-11-04T14:30:00.000Z,178475,RB Leipzig,2,0,True,32,0.96,10,3,3,1,209 (68%),13,2,68,0.51,10,2,0,0,532 (82%),9,7,,4,3,0,5,5,,6,2,0,7,3,0.55,0.41,0.96,1.22,0.37,0.14,0.51,0.21,309,133,76,23 (36%),4 (36%),22,5,648,275,257,18 (35%),4 (17%),33,0,,22,12,3,26,1,,10,7,3,16,1,,43,31 (47%),12 (43%),4 (50%),,51,35 (53%),16 (57%),12 (71%),,3,0,,1,0,13.0,29.0,3,1.2,2.4,46.4,0.668,12.2,3.8,0.6,53.6,1.494,11.4,4.8,2.8,14.0,22.8,0.4,0.098,0.316,0.211,0.5
