team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8358,2023-08-19T13:30:00.000Z,8226,TSG Hoffenheim,2,1,False,50,2.65,18,9,6,5,347 (77%),9,2,50,1.43,22,4,2,2,353 (79%),9,4,,7,2,3,14,4,,7,11,0,14,8,2.16,0.49,2.65,1.87,0.98,0.45,1.43,0.63,450,187,160,27 (38%),8 (35%),15,0,449,158,195,29 (51%),8 (33%),16,3,,17,11,11,16,3,,11,7,4,24,6,,65,40 (63%),25 (56%),14 (70%),,44,24 (38%),20 (44%),4 (44%),,1,0,,0,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8358,2023-08-26T13:30:00.000Z,8697,Werder Bremen,1,0,True,49,2.42,23,7,4,3,343 (77%),9,5,51,1.06,15,2,0,0,339 (73%),8,5,,8,8,1,15,8,,10,3,0,6,9,1.92,0.50,2.42,2.09,0.54,0.52,1.06,0.02,448,151,192,23 (34%),7 (35%),20,3,462,193,146,25 (37%),5 (25%),18,2,,8,11,4,27,1,,11,8,8,19,6,,46,21 (48%),25 (51%),6 (60%),,47,23 (52%),24 (49%),4 (67%),,2,0,,2,0,,,3,2.0,1.0,50.0,2.65,18.0,9.0,6.0,50.0,1.43,22.0,4.0,2.0,0.0,0.0,3.0,0.111,0.222,0.045,0.25
8358,2023-09-02T13:30:00.000Z,10269,VfB Stuttgart,0,5,False,52,1.05,13,7,2,2,451 (84%),10,4,48,1.74,13,6,3,0,432 (87%),9,2,,3,3,1,10,3,,7,0,0,8,5,0.62,0.42,1.05,1.59,1.66,0.07,1.74,3.23,534,293,158,24 (53%),6 (40%),19,1,497,243,189,27 (54%),4 (27%),15,1,,18,3,0,9,1,,11,10,3,10,7,,47,30 (46%),17 (61%),3 (43%),,46,35 (54%),11 (39%),16 (67%),,1,0,,1,0,,,0,1.5,0.5,49.5,2.535,20.5,8.0,5.0,50.5,1.245,18.5,3.0,1.0,0.0,0.0,3.0,0.073,0.188,0.027,0.167
8358,2023-09-16T13:30:00.000Z,9789,Borussia Dortmund,2,4,True,49,1.05,15,4,1,0,333 (80%),12,6,51,2.35,15,7,6,2,355 (83%),16,8,,6,5,1,10,5,,5,3,0,12,3,0.51,0.54,1.05,1.20,1.19,1.16,2.35,4.47,415,184,149,17 (30%),8 (42%),17,3,428,197,158,22 (46%),5 (36%),11,2,,14,3,3,14,3,,10,7,5,12,2,,57,37 (59%),20 (51%),8 (50%),,45,26 (41%),19 (49%),4 (57%),,2,1,,3,0,,,0,1.0,2.0,50.333,2.04,18.0,7.667,4.0,49.667,1.41,16.667,4.0,1.667,0.0,0.0,2.0,0.056,0.13,0.12,0.5
8358,2023-09-24T15:30:00.000Z,9810,Eintracht Frankfurt,0,0,False,43,0.56,7,1,0,0,307 (75%),5,3,57,0.65,12,4,0,0,459 (82%),12,7,,3,3,0,5,2,,2,6,0,9,3,0.48,0.08,0.56,0.23,0.38,0.27,0.65,0.64,411,203,104,32 (50%),2 (15%),22,4,559,293,166,15 (31%),4 (22%),26,0,,30,15,6,20,4,,18,7,3,20,1,,63,48 (62%),15 (52%),6 (40%),,44,30 (38%),14 (48%),8 (33%),,2,0,,4,0,,,1,1.25,2.5,50.0,1.792,17.25,6.75,3.25,50.0,1.645,16.25,4.75,2.75,0.0,0.0,1.5,0.072,0.185,0.154,0.526
8358,2023-10-01T15:30:00.000Z,8406,Augsburg,2,0,True,53,1.03,7,3,2,0,340 (75%),13,2,47,0.81,13,3,2,2,287 (73%),17,3,,2,2,0,5,2,,5,5,0,8,5,0.11,0.12,0.24,1.21,0.21,0.60,0.81,0.57,453,223,117,19 (30%),2 (14%),22,0,395,186,101,18 (33%),6 (43%),24,2,,24,6,5,28,3,,11,11,2,20,1,,58,39 (53%),19 (45%),0 (0%),,57,34 (47%),23 (55%),11 (61%),,2,0,,2,0,15.0,24.0,3,1.0,2.0,48.6,1.546,15.2,5.6,2.6,51.4,1.446,15.4,4.6,2.2,0.0,0.0,1.4,0.066,0.179,0.13,0.435
8358,2023-10-08T15:30:00.000Z,9823,Bayern München,0,3,False,30,0.05,2,0,0,0,238 (71%),8,1,70,2.43,21,6,1,0,712 (91%),7,7,,2,0,0,2,0,,7,8,1,15,6,0.05,0.00,0.05,0.00,2.40,0.03,2.43,2.26,334,159,79,12 (26%),0 (0%),15,3,782,368,344,21 (62%),2 (11%),11,3,,18,9,7,28,4,,12,10,0,9,0,,35,28 (47%),7 (37%),3 (60%),,44,32 (53%),12 (63%),12 (63%),,0,0,,1,0,10.0,59.0,0,1.0,1.8,49.2,1.222,13.0,4.4,1.8,50.8,1.322,13.6,4.4,2.2,3.0,4.8,1.4,0.077,0.227,0.132,0.409
8358,2023-10-21T13:30:00.000Z,9911,Bochum,2,1,True,58,2.43,17,5,4,2,401 (82%),11,5,42,1.49,13,4,3,3,266 (73%),16,2,,7,5,1,14,3,,5,4,0,6,7,1.49,0.16,1.64,2.31,0.93,0.56,1.49,1.00,490,156,245,12 (39%),7 (33%),12,4,362,159,107,25 (34%),4 (31%),20,1,,8,7,5,17,2,,15,13,4,16,3,,61,30 (46%),31 (55%),8 (50%),,60,35 (54%),25 (45%),10 (77%),,3,0,,4,0,26.0,22.0,3,0.8,2.4,45.4,0.748,8.8,3.0,1.0,54.6,1.596,14.8,5.2,2.4,5.0,16.6,0.8,0.091,0.267,0.162,0.462
8358,2023-10-29T16:30:00.000Z,8178,Bayer Leverkusen,1,2,False,30,0.87,10,3,1,0,217 (74%),10,4,70,1.39,18,4,1,1,652 (90%),9,11,,5,2,0,8,2,,9,5,2,10,8,0.27,0.60,0.87,0.74,1.02,0.37,1.39,0.74,293,128,89,21 (46%),5 (31%),17,0,727,201,451,11 (34%),2 (13%),15,1,,22,9,5,24,2,,8,5,2,26,2,,54,38 (54%),16 (44%),11 (69%),,52,32 (46%),20 (56%),14 (52%),,2,0,,0,0,16.0,40.0,0,1.2,1.6,46.6,1.024,9.6,2.6,1.4,53.4,1.546,14.8,4.8,2.4,10.2,21.0,1.4,0.125,0.462,0.108,0.333
8358,2023-11-04T14:30:00.000Z,9788,Borussia Mönchengladbach,3,3,True,59,3.38,16,9,7,4,504 (86%),7,8,41,2.16,10,5,2,0,339 (80%),10,2,,5,2,0,12,4,,4,1,0,6,4,1.56,1.03,2.59,4.16,1.07,0.30,1.38,3.28,585,234,270,38 (60%),9 (24%),23,1,423,249,90,22 (37%),1 (14%),19,4,,11,4,1,7,2,,24,4,3,44,5,,43,24 (39%),19 (61%),4 (19%),,49,37 (61%),12 (39%),6 (67%),,2,0,,2,0,28.0,15.0,1,1.0,1.2,42.8,0.988,8.6,2.4,1.4,57.2,1.354,15.4,4.2,1.4,13.4,29.0,1.4,0.116,0.417,0.078,0.286
