wins,draws,losses,Points Earned,goals,goals against,goal diff,id
5,12,17,27,28,60,-32,8722
28,6,0,90,89,24,65,8178
23,3,8,72,94,45,49,9823
18,9,7,63,68,43,25,9789
7,13,14,34,56,67,-11,9788
11,14,9,47,51,50,1,9810
10,9,15,39,50,60,-10,8406
10,12,12,42,50,55,-5,94937
7,14,13,35,39,51,-12,9905
19,8,7,65,77,39,38,178475
11,9,14,42,45,58,-13,8358
3,8,23,17,30,86,-56,8262
13,7,14,46,66,66,0,8226
9,6,19,33,33,58,-25,8149
23,4,7,73,78,39,39,10269
7,12,15,33,42,74,-32,9911
11,9,14,42,48,54,-6,8697
10,7,17,37,41,56,-15,8721
