team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8524,2023-08-20T16:30:00.000Z,7943,Sassuolo,2,0,False,50,1.32,16,6,3,2,413 (86%),13,7,50,0.44,11,3,0,0,427 (87%),9,7,,8,2,1,10,6,,4,4,1,4,7,0.94,0.37,1.32,0.69,0.35,0.09,0.44,0.70,480,211,202,29 (52%),8 (28%),17,2,491,237,190,18 (44%),3 (21%),12,0,,13,9,4,9,3,,10,12,4,17,2,,43,35 (49%),8 (47%),13 (87%),,46,37 (51%),9 (53%),14 (64%),,0,0,,0,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8524,2023-08-26T16:30:00.000Z,9891,Frosinone,1,2,False,63,1.65,18,6,4,4,522 (84%),10,7,37,0.72,13,5,1,0,270 (73%),10,3,,8,4,0,12,6,,4,4,0,7,6,1.44,0.22,1.65,0.96,0.39,0.33,0.72,0.93,622,241,281,18 (44%),5 (17%),28,1,372,165,105,19 (30%),2 (25%),21,1,,16,9,3,8,3,,13,15,4,27,5,,52,31 (50%),21 (49%),6 (60%),,53,31 (50%),22 (51%),8 (53%),,2,0,,1,0,,,0,2.0,0.0,50.0,1.32,16.0,6.0,3.0,50.0,0.44,11.0,3.0,0.0,0.0,0.0,3.0,0.125,0.333,0.0,0.0
8524,2023-09-02T18:45:00.000Z,6504,Monza,3,0,True,41,1.26,18,8,4,2,364 (85%),11,7,59,0.36,8,2,0,0,538 (86%),9,3,,5,5,0,11,7,,5,1,0,5,3,1.03,0.24,1.26,1.85,0.23,0.13,0.36,0.48,427,173,191,17 (47%),10 (43%),14,4,627,330,208,32 (49%),4 (29%),22,1,,14,9,1,12,2,,20,7,5,12,5,,45,32 (49%),13 (50%),9 (45%),,46,33 (51%),13 (50%),3 (50%),,0,0,,3,0,,,3,1.5,1.0,56.5,1.485,17.0,6.0,3.5,43.5,0.58,12.0,4.0,0.5,0.0,0.0,1.5,0.088,0.25,0.083,0.25
8524,2023-09-17T16:00:00.000Z,8535,Fiorentina,2,3,False,43,0.70,11,4,0,0,284 (74%),14,4,57,1.12,15,8,2,1,424 (83%),8,3,,4,3,0,8,3,,4,3,1,9,6,0.56,0.14,0.70,0.77,0.93,0.19,1.12,1.95,383,164,120,23 (38%),3 (50%),26,2,509,168,256,45 (67%),2 (13%),28,0,,27,16,3,22,5,,19,5,3,11,2,,66,47 (55%),19 (46%),14 (70%),,61,39 (45%),22 (54%),7 (33%),,2,0,,1,0,,,0,2.0,0.667,51.333,1.41,17.333,6.667,3.667,48.667,0.507,10.667,3.333,0.333,0.0,0.0,2.0,0.115,0.3,0.063,0.2
8524,2023-09-24T13:00:00.000Z,8529,Cagliari,2,0,True,57,1.73,10,6,2,0,431 (81%),6,7,43,0.75,10,0,2,2,306 (76%),11,7,,2,2,2,9,1,,7,3,1,7,3,1.62,0.11,1.73,2.21,0.69,0.06,0.75,0.14,534,231,200,31 (42%),1 (7%),22,5,402,170,136,33 (45%),5 (28%),26,1,,15,3,3,19,0,,13,8,2,18,4,,60,38 (58%),22 (58%),12 (75%),,43,27 (42%),16 (42%),9 (60%),,1,0,,2,0,,,3,2.0,1.25,49.25,1.232,15.75,6.0,2.75,50.75,0.66,11.75,4.5,0.75,0.0,0.0,1.5,0.127,0.333,0.106,0.278
8524,2023-09-27T16:30:00.000Z,9876,Hellas Verona,1,0,False,49,1.23,8,2,2,1,264 (66%),25,1,51,0.48,11,2,0,0,281 (67%),10,4,,5,1,0,6,2,,6,3,0,3,8,1.16,0.08,1.23,0.81,0.17,0.31,0.48,0.19,397,150,114,22 (34%),4 (40%),25,3,417,138,143,35 (40%),5 (25%),26,1,,15,10,3,20,2,,14,7,1,9,1,,54,27 (41%),27 (61%),2 (40%),,56,39 (59%),17 (39%),4 (40%),,3,0,,2,0,,,3,2.0,1.0,50.8,1.332,14.6,6.0,2.6,49.2,0.678,11.4,3.6,1.0,0.0,0.0,1.8,0.137,0.333,0.088,0.278
8524,2023-10-01T16:00:00.000Z,9885,Juventus,0,0,True,52,1.25,15,2,3,3,472 (87%),13,5,48,0.17,5,3,0,0,449 (86%),7,2,,9,4,1,9,6,,0,2,0,2,3,0.89,0.36,1.25,0.49,0.08,0.09,0.17,0.29,544,203,269,10 (37%),3 (16%),24,0,521,277,172,26 (51%),1 (17%),10,1,,17,7,2,11,3,,9,6,4,17,2,,42,37 (58%),5 (25%),13 (81%),,42,27 (42%),15 (75%),6 (38%),,1,0,,2,0,18.0,7.0,1,1.8,1.0,50.6,1.314,13.0,5.2,2.4,49.4,0.686,11.4,3.4,1.0,0.0,0.0,1.8,0.138,0.346,0.088,0.294
8524,2023-10-08T13:00:00.000Z,8543,Lazio,2,3,False,54,0.98,12,4,1,1,461 (86%),10,6,46,1.57,12,4,3,1,387 (83%),7,4,,6,2,0,9,3,,4,4,1,5,7,0.80,0.17,0.98,0.67,1.00,0.57,1.57,1.40,535,323,138,18 (56%),5 (26%),18,2,465,226,161,23 (52%),4 (40%),21,3,,11,8,4,5,2,,17,10,2,14,2,,46,30 (47%),16 (70%),12 (60%),,41,34 (53%),7 (30%),7 (58%),,1,0,,1,0,23.0,15.0,0,1.6,0.6,48.4,1.234,12.4,4.4,2.2,51.6,0.576,9.8,3.0,0.8,3.6,1.4,2.0,0.129,0.364,0.061,0.2
8524,2023-10-22T16:00:00.000Z,10233,Genoa,2,0,True,57,1.33,13,8,2,1,462 (84%),17,8,43,0.99,15,4,1,1,312 (76%),9,4,,1,4,1,10,3,,9,2,1,7,8,1.20,0.13,1.33,2.74,0.52,0.46,0.99,0.78,552,182,280,22 (37%),4 (27%),13,1,412,166,146,29 (47%),4 (24%),24,1,,10,11,2,13,4,,20,6,4,12,6,,49,20 (32%),29 (53%),2 (17%),,68,42 (68%),26 (47%),5 (50%),,4,0,,2,0,28.0,11.0,3,1.4,1.2,51.0,1.178,11.2,3.6,1.6,49.0,0.818,10.6,3.4,1.4,8.2,4.4,1.4,0.125,0.389,0.113,0.353
8524,2023-10-30T17:30:00.000Z,8534,Empoli,3,0,False,56,1.65,18,6,4,3,449 (83%),13,6,44,0.35,9,2,1,1,322 (77%),10,3,,8,4,2,12,6,,5,2,0,4,5,1.19,0.46,1.65,1.01,0.28,0.07,0.35,0.46,542,250,199,34 (53%),11 (58%),25,1,419,180,142,12 (25%),2 (13%),31,3,,14,9,2,12,2,,21,11,4,14,3,,40,27 (41%),13 (87%),5 (42%),,41,39 (59%),2 (13%),6 (40%),,0,0,,4,0,33.0,16.0,3,1.4,0.6,53.8,1.304,11.6,4.4,2.0,46.2,0.792,10.6,2.6,1.2,13.8,6.6,2.0,0.121,0.318,0.057,0.231
