team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8564,2023-08-21T18:45:00.000Z,9857,Bologna,2,0,False,47,0.90,9,6,2,1,409 (85%),4,6,53,1.06,17,5,0,0,481 (89%),10,3,,1,2,1,6,3,,7,5,2,13,4,0.80,0.10,0.90,1.62,0.77,0.30,1.06,0.27,481,250,159,11 (33%),4 (36%),13,2,543,242,239,33 (75%),5 (31%),13,2,,13,9,5,11,5,,21,4,3,11,3,,40,35 (56%),5 (31%),12 (52%),,38,27 (44%),11 (69%),3 (30%),,2,0,,2,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8564,2023-08-26T18:45:00.000Z,9804,Torino,4,1,True,59,3.04,17,7,4,0,431 (87%),13,2,41,0.48,8,1,0,0,272 (81%),16,1,,8,2,0,10,7,,6,1,0,3,5,1.30,0.16,1.46,3.28,0.41,0.07,0.48,0.28,498,264,167,20 (50%),4 (36%),11,1,335,146,126,24 (51%),4 (31%),10,2,,10,9,1,5,0,,12,8,2,16,3,,46,33 (53%),13 (59%),9 (75%),,38,29 (47%),9 (41%),5 (42%),,2,0,,3,0,,,3,2.0,0.0,47.0,0.9,9.0,6.0,2.0,53.0,1.06,17.0,5.0,0.0,0.0,0.0,3.0,0.222,0.333,0.0,0.0
8564,2023-09-01T18:45:00.000Z,8686,Roma,2,1,False,57,1.66,9,4,1,0,478 (88%),15,5,43,0.71,13,2,1,1,336 (84%),14,3,,1,4,0,9,0,,7,4,0,5,8,0.81,0.06,0.87,1.63,0.21,0.50,0.71,0.09,544,342,136,20 (38%),3 (27%),7,1,399,147,189,32 (65%),3 (14%),17,1,,6,8,4,16,1,,12,8,4,7,2,,36,26 (43%),10 (38%),6 (55%),,50,34 (57%),16 (62%),8 (67%),,2,1,,2,0,,,3,3.0,0.5,53.0,1.97,13.0,6.5,3.0,47.0,0.77,12.5,3.0,0.0,0.0,0.0,3.0,0.231,0.462,0.04,0.167
8564,2023-09-16T16:00:00.000Z,8636,Inter,1,5,False,60,1.06,9,2,2,1,475 (90%),13,0,40,2.65,14,7,4,1,282 (83%),16,5,,4,3,0,5,4,,3,4,0,12,2,0.87,0.18,1.06,0.39,1.51,0.35,1.86,3.82,526,255,220,17 (65%),3 (38%),14,2,340,156,126,28 (56%),4 (33%),16,2,,8,5,4,18,2,,12,5,3,9,1,,34,28 (52%),6 (43%),6 (55%),,34,26 (48%),8 (57%),2 (33%),,2,0,,2,0,,,0,2.667,0.667,54.333,1.867,11.667,5.667,2.333,45.667,0.75,12.667,2.667,0.333,0.0,0.0,3.0,0.229,0.471,0.053,0.25
8564,2023-09-23T13:25:00.000Z,9876,Hellas Verona,1,0,True,54,0.93,9,4,1,0,370 (81%),12,2,46,0.62,10,2,2,2,280 (75%),11,3,,2,3,0,8,1,,5,3,0,6,4,0.87,0.06,0.93,1.00,0.24,0.37,0.62,0.54,458,214,156,19 (40%),2 (15%),19,1,372,149,131,22 (37%),5 (25%),20,1,,17,12,2,13,2,,23,4,3,19,3,,55,37 (49%),18 (50%),9 (43%),,56,38 (51%),18 (50%),4 (40%),,4,0,,2,0,,,3,2.25,1.75,55.75,1.665,11.0,4.75,2.25,44.25,1.225,13.0,3.75,1.25,0.0,0.0,2.25,0.205,0.474,0.135,0.467
8564,2023-09-27T16:30:00.000Z,8529,Cagliari,3,1,False,67,2.19,17,6,2,0,588 (93%),6,5,33,0.88,16,6,0,0,253 (82%),13,3,,7,4,0,12,5,,4,6,0,10,6,1.20,0.99,2.19,2.49,0.72,0.16,0.88,0.73,632,272,316,24 (63%),2 (11%),11,1,307,144,109,22 (50%),5 (25%),16,0,,12,3,6,15,5,,12,6,4,13,3,,42,32 (56%),10 (67%),7 (50%),,30,25 (44%),5 (33%),7 (64%),,1,0,,3,0,,,3,2.0,1.4,55.4,1.518,10.6,4.6,2.0,44.6,1.104,12.4,3.4,1.4,0.0,0.0,2.4,0.189,0.435,0.113,0.412
8564,2023-09-30T16:00:00.000Z,8543,Lazio,2,0,True,50,2.24,14,7,3,1,410 (86%),15,7,50,0.52,13,4,0,0,411 (85%),5,1,,2,5,1,11,3,,5,4,0,3,10,2.17,0.07,2.24,1.72,0.52,0.00,0.52,0.11,477,219,191,21 (49%),7 (39%),22,2,484,224,187,16 (53%),0 (0%),17,2,,19,9,4,9,4,,20,9,5,17,5,,42,37 (47%),5 (38%),13 (54%),,50,42 (53%),8 (62%),9 (53%),,3,0,,2,0,30.0,9.0,3,2.2,1.6,59.4,1.776,12.2,4.6,2.0,40.6,1.068,12.2,3.6,1.4,0.0,0.0,2.4,0.18,0.478,0.131,0.444
8564,2023-10-07T18:45:00.000Z,10233,Genoa,1,0,False,59,0.64,12,3,2,1,475 (86%),13,2,41,0.56,7,1,0,0,308 (81%),10,3,,4,5,0,5,7,,2,4,1,4,3,0.61,0.03,0.64,1.12,0.13,0.42,0.56,0.45,551,231,244,13 (39%),4 (29%),14,3,380,175,133,28 (55%),8 (53%),14,0,,11,6,4,14,1,,7,8,5,19,2,,38,23 (47%),15 (56%),4 (50%),,38,26 (53%),12 (44%),6 (60%),,5,1,,1,1,19.0,18.0,3,1.8,1.4,57.6,1.616,11.6,4.6,1.8,42.4,1.076,13.2,4.2,1.4,6.0,1.8,2.4,0.155,0.391,0.106,0.333
8564,2023-10-22T18:45:00.000Z,9885,Juventus,0,1,True,52,0.31,7,1,0,0,363 (84%),12,6,48,1.43,14,4,2,2,356 (87%),16,3,,3,3,0,4,3,,6,4,0,7,7,0.21,0.10,0.31,0.16,1.32,0.11,1.43,1.32,434,187,176,20 (43%),2 (6%),21,0,410,163,193,25 (60%),3 (13%),23,2,,20,3,3,26,3,,16,5,2,33,1,,61,40 (53%),21 (60%),7 (47%),,49,35 (47%),14 (40%),8 (53%),,1,1,,4,0,11.0,21.0,0,1.6,1.2,58.0,1.412,12.2,4.4,2.0,42.0,1.046,12.0,4.0,1.2,9.8,5.4,2.4,0.131,0.364,0.1,0.3
8564,2023-10-29T19:45:00.000Z,9875,Napoli,2,2,False,52,2.06,20,6,2,1,404 (85%),10,4,48,1.90,17,4,1,1,365 (85%),14,6,,7,7,0,15,5,,8,5,0,11,6,1.83,0.22,2.06,1.76,1.20,0.70,1.90,0.60,473,231,173,15 (38%),8 (47%),18,0,431,179,186,25 (45%),5 (31%),18,0,,19,14,5,13,2,,15,14,7,10,4,,45,34 (49%),11 (65%),2 (15%),,41,35 (51%),6 (35%),11 (52%),,3,0,,2,1,33.0,28.0,1,1.4,0.4,56.4,1.262,11.8,4.2,1.6,43.6,0.802,12.0,3.4,0.8,12.0,9.6,2.4,0.119,0.333,0.033,0.118
