team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9875,2023-08-19T16:30:00.000Z,9891,Frosinone,3,1,False,52,1.50,19,8,1,0,420 (89%),17,6,48,0.89,4,1,1,0,386 (88%),14,4,,4,7,0,13,6,,2,1,1,3,1,1.39,0.11,1.50,2.16,0.07,0.03,0.10,0.98,473,208,212,24 (56%),4 (22%),11,3,440,274,112,15 (38%),2 (29%),15,3,,20,3,1,7,0,,6,2,7,17,5,,47,38 (58%),9 (69%),5 (63%),,32,28 (42%),4 (31%),5 (29%),,3,0,,3,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9875,2023-08-27T18:45:00.000Z,7943,Sassuolo,2,0,True,67,3.54,25,5,5,3,595 (91%),9,12,33,0.17,6,1,0,0,269 (82%),10,4,,12,8,2,20,5,,3,2,0,1,5,1.71,0.25,1.96,1.98,0.14,0.03,0.17,0.01,656,311,284,29 (73%),12 (48%),15,4,330,134,135,12 (36%),2 (20%),6,0,,18,3,2,5,1,,17,7,6,24,3,,45,32 (47%),13 (72%),6 (33%),,41,36 (53%),5 (28%),11 (55%),,0,0,,1,1,,,3,3.0,1.0,52.0,1.5,19.0,8.0,1.0,48.0,0.89,4.0,1.0,1.0,0.0,0.0,3.0,0.158,0.375,0.25,1.0
9875,2023-09-02T18:45:00.000Z,8543,Lazio,1,2,True,61,1.29,22,4,0,0,520 (87%),8,7,39,0.64,6,2,1,0,317 (82%),9,2,,8,10,0,13,9,,3,1,0,5,1,0.76,0.53,1.29,0.51,0.64,0.00,0.64,1.22,598,286,234,22 (51%),6 (25%),22,4,387,221,96,12 (36%),1 (14%),8,3,,13,11,1,7,0,,11,10,9,38,3,,38,27 (50%),11 (52%),8 (62%),,37,27 (50%),10 (48%),8 (53%),,0,0,,2,0,,,0,2.5,0.5,59.5,2.52,22.0,6.5,3.0,40.5,0.53,5.0,1.0,0.5,0.0,0.0,3.0,0.114,0.385,0.1,0.5
9875,2023-09-16T18:45:00.000Z,10233,Genoa,2,2,False,66,0.94,12,4,1,0,524 (86%),8,1,34,1.20,8,3,2,0,226 (75%),14,3,,3,5,0,7,5,,4,1,0,5,3,0.88,0.06,0.94,1.13,0.20,1.00,1.20,1.34,608,167,357,16 (44%),3 (21%),22,3,302,118,108,23 (46%),2 (13%),16,1,,19,7,1,13,1,,15,7,5,18,2,,52,36 (55%),16 (50%),7 (47%),,46,30 (45%),16 (50%),9 (50%),,2,0,,3,0,,,1,2.0,1.0,60.0,2.11,22.0,5.667,2.0,40.0,0.567,5.333,1.333,0.667,0.0,0.0,2.0,0.091,0.353,0.188,0.75
9875,2023-09-24T16:00:00.000Z,9857,Bologna,0,0,False,51,2.06,12,4,3,3,400 (87%),12,5,49,0.24,4,2,0,0,398 (89%),16,5,,6,2,0,8,4,,1,1,0,3,1,1.06,0.21,1.27,0.36,0.16,0.09,0.24,0.27,460,190,210,17 (47%),2 (11%),21,2,448,242,156,28 (67%),3 (23%),22,2,,21,7,1,11,2,,20,5,2,18,4,,50,47 (55%),3 (23%),11 (41%),,49,39 (45%),10 (77%),9 (45%),,5,0,,4,0,,,1,2.0,1.25,61.5,1.817,19.5,5.25,1.75,38.5,0.725,6.0,1.75,1.0,0.0,0.0,1.75,0.103,0.381,0.208,0.714
9875,2023-09-27T18:45:00.000Z,8600,Udinese,4,1,True,66,3.29,23,10,9,5,515 (89%),11,8,34,0.69,13,3,1,0,248 (86%),10,4,,9,4,2,16,7,,7,3,0,5,8,2.34,0.17,2.50,5.49,0.57,0.12,0.69,1.03,576,297,218,30 (60%),4 (25%),22,0,288,141,107,20 (69%),5 (28%),12,0,,21,10,3,13,2,,11,3,4,24,6,,53,46 (55%),7 (47%),16 (67%),,46,38 (45%),8 (53%),17 (65%),,1,0,,1,0,,,3,1.6,1.0,59.4,1.866,18.0,5.0,2.0,40.6,0.628,5.6,1.8,0.8,0.0,0.0,1.6,0.089,0.32,0.179,0.556
9875,2023-09-30T13:00:00.000Z,9888,Lecce,4,0,False,56,2.50,15,6,4,1,432 (84%),11,7,44,0.46,9,4,1,1,326 (83%),11,3,,5,4,0,8,7,,4,1,0,5,4,1.28,0.43,1.71,3.38,0.33,0.13,0.46,0.23,512,197,235,26 (54%),5 (28%),22,1,391,155,171,15 (41%),3 (16%),21,3,,19,8,1,13,4,,23,11,4,18,2,,47,33 (43%),14 (61%),7 (37%),,52,43 (57%),9 (39%),11 (55%),,2,0,,3,0,29.0,17.0,3,1.8,1.0,62.2,2.224,18.8,5.4,3.6,37.8,0.588,7.4,2.2,0.8,0.0,0.0,1.6,0.096,0.333,0.135,0.455
9875,2023-10-08T18:45:00.000Z,8535,Fiorentina,1,3,True,54,1.75,16,4,2,1,483 (88%),4,6,46,2.07,12,3,2,0,404 (85%),14,4,,6,6,1,13,3,,5,4,2,9,3,0.95,0.02,0.96,1.95,1.81,0.26,2.07,1.82,551,296,187,23 (61%),3 (20%),18,2,476,195,209,34 (52%),4 (50%),22,3,,13,7,4,9,0,,23,11,6,16,3,,55,42 (54%),13 (52%),15 (71%),,48,36 (46%),12 (48%),9 (69%),,2,0,,4,0,29.0,17.0,0,2.2,1.0,60.0,2.016,16.8,5.6,3.4,40.0,0.646,8.0,2.8,1.0,5.8,3.4,1.6,0.131,0.393,0.125,0.357
9875,2023-10-21T13:00:00.000Z,9876,Hellas Verona,3,1,False,60,2.34,22,10,4,2,454 (87%),9,8,40,1.27,15,9,0,0,258 (80%),12,5,,6,6,1,14,8,,6,0,0,11,4,1.99,0.35,2.34,2.77,0.95,0.32,1.27,1.30,520,213,241,36 (54%),4 (31%),11,2,323,136,122,24 (43%),7 (27%),22,0,,13,3,0,22,8,,13,7,6,15,7,,35,29 (43%),6 (22%),5 (36%),,60,39 (57%),21 (78%),18 (72%),,2,0,,3,0,30.0,18.0,3,2.2,1.2,58.6,2.108,15.6,5.6,3.8,41.4,0.932,9.2,3.0,1.2,11.6,6.8,1.6,0.141,0.393,0.13,0.4
9875,2023-10-29T19:45:00.000Z,8564,Milan,2,2,True,48,1.90,17,4,1,1,365 (85%),14,6,52,2.06,20,6,2,1,404 (85%),10,4,,8,5,0,11,6,,7,7,0,15,5,1.20,0.70,1.90,0.60,1.83,0.22,2.06,1.76,431,179,186,25 (45%),5 (31%),18,0,473,231,173,15 (38%),8 (47%),18,0,,15,14,7,10,4,,19,14,5,13,2,,41,35 (51%),6 (35%),11 (52%),,45,34 (49%),11 (65%),2 (15%),,2,1,,3,0,28.0,33.0,1,2.4,1.0,57.4,2.388,17.6,6.8,4.4,42.6,0.946,10.6,4.2,0.8,17.6,10.4,2.0,0.136,0.353,0.094,0.238
