team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8686,2023-08-20T16:30:00.000Z,6480,Salernitana,2,2,True,60,1.90,13,3,3,1,389 (82%),12,9,40,0.14,3,2,1,0,241 (73%),9,1,,7,3,1,9,4,,1,0,0,2,1,0.80,1.10,1.90,0.80,0.14,0.00,0.14,0.76,475,205,184,23 (43%),10 (33%),28,1,332,128,113,12 (23%),0 (0%),17,1,,15,9,0,5,0,,9,10,3,18,1,,54,32 (59%),22 (63%),8 (53%),,35,22 (41%),13 (37%),3 (30%),,0,0,,4,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8686,2023-08-26T18:45:00.000Z,9876,Hellas Verona,1,2,False,72,1.56,23,7,3,2,431 (87%),12,12,28,0.75,5,3,1,0,134 (65%),17,1,,12,4,2,14,9,,1,1,0,4,1,1.16,0.40,1.56,1.63,0.73,0.02,0.75,1.27,497,239,192,20 (50%),6 (19%),21,3,206,63,71,34 (54%),1 (20%),15,0,,16,2,1,5,1,,12,5,4,36,6,,72,45 (61%),27 (54%),12 (86%),,52,29 (39%),23 (46%),6 (43%),,3,0,,1,1,,,0,2.0,2.0,60.0,1.9,13.0,3.0,3.0,40.0,0.14,3.0,2.0,1.0,0.0,0.0,1.0,0.154,0.667,0.667,1.0
8686,2023-09-01T18:45:00.000Z,8564,Milan,1,2,True,43,0.71,13,2,1,1,336 (84%),14,3,57,1.66,9,4,1,0,478 (88%),15,5,,7,4,0,5,8,,1,4,0,9,0,0.21,0.50,0.71,0.09,0.81,0.06,0.87,1.63,399,147,189,32 (65%),3 (14%),17,1,544,342,136,20 (38%),3 (27%),7,1,,12,8,4,7,2,,6,8,4,16,1,,50,34 (57%),16 (62%),8 (67%),,36,26 (43%),10 (38%),6 (55%),,2,0,,2,1,,,0,1.5,2.0,66.0,1.73,18.0,5.0,3.0,34.0,0.445,4.0,2.5,1.0,0.0,0.0,0.5,0.083,0.3,0.5,0.8
8686,2023-09-17T18:45:00.000Z,8534,Empoli,7,0,True,53,2.40,14,9,5,0,508 (89%),15,2,47,0.24,8,2,0,0,433 (90%),5,6,,3,2,2,8,6,,4,2,1,2,6,1.26,0.35,1.61,4.05,0.20,0.04,0.24,0.37,568,358,150,29 (69%),3 (43%),17,2,481,226,207,11 (52%),5 (20%),13,2,,25,5,2,14,2,,19,10,2,8,3,,48,36 (47%),12 (57%),7 (47%),,50,41 (53%),9 (43%),7 (32%),,2,0,,2,0,,,3,1.333,2.0,58.333,1.39,16.333,4.0,2.333,41.667,0.85,5.667,3.0,1.0,0.0,0.0,0.333,0.082,0.333,0.353,0.667
8686,2023-09-24T18:45:00.000Z,9804,Torino,1,1,False,58,1.42,11,3,1,1,451 (81%),5,1,42,0.89,12,4,1,0,294 (77%),5,7,,6,2,1,8,3,,6,2,0,6,6,1.42,0.00,1.42,0.15,0.30,0.59,0.89,0.98,558,283,168,25 (39%),3 (27%),32,0,381,123,171,17 (37%),7 (26%),15,0,,15,10,2,16,3,,15,10,2,19,2,,45,26 (50%),19 (53%),7 (41%),,43,26 (50%),17 (47%),6 (67%),,2,0,,0,0,,,1,2.75,1.5,57.0,1.643,15.75,5.25,3.0,43.0,0.698,6.25,2.75,0.75,0.0,0.0,1.0,0.175,0.524,0.24,0.545
8686,2023-09-28T18:45:00.000Z,10233,Genoa,1,4,False,71,1.46,13,3,3,2,597 (90%),12,7,29,1.11,8,4,2,0,209 (76%),7,1,,6,4,0,6,7,,1,3,0,7,1,0.73,0.72,1.46,0.97,0.47,0.64,1.11,2.00,666,312,285,22 (56%),5 (22%),28,2,274,115,94,21 (43%),3 (27%),15,0,,16,6,3,9,0,,16,7,4,34,2,,35,25 (43%),10 (45%),2 (15%),,45,33 (57%),12 (55%),6 (55%),,3,0,,4,0,,,0,2.4,1.4,57.2,1.598,14.8,4.8,2.6,42.8,0.736,7.4,3.0,0.8,0.0,0.0,1.0,0.162,0.5,0.189,0.467
8686,2023-10-01T18:45:00.000Z,9891,Frosinone,2,0,True,50,0.56,11,5,1,0,358 (80%),12,7,50,0.91,8,0,2,2,379 (83%),11,3,,5,1,0,8,3,,6,2,0,4,4,0.51,0.05,0.56,0.36,0.90,0.01,0.91,0.00,448,202,156,28 (42%),3 (23%),19,2,458,215,164,10 (34%),2 (40%),12,2,,32,12,2,6,0,,19,5,1,15,3,,57,49 (53%),8 (44%),7 (54%),,53,43 (47%),10 (56%),12 (43%),,1,0,,2,0,26.0,11.0,3,2.2,1.8,59.4,1.51,14.8,4.8,2.6,40.6,0.93,8.4,3.4,1.0,0.0,0.0,0.8,0.149,0.458,0.214,0.529
8686,2023-10-08T16:00:00.000Z,8529,Cagliari,4,1,False,42,2.58,11,5,6,2,270 (75%),13,3,58,1.71,16,2,2,1,392 (84%),15,4,,2,4,0,8,3,,10,4,0,11,5,2.48,0.09,2.58,3.39,0.71,0.20,0.92,1.14,360,158,112,25 (44%),3 (50%),16,1,468,178,214,36 (58%),9 (28%),19,1,,12,1,4,21,1,,7,5,4,10,1,,43,29 (47%),14 (54%),4 (50%),,45,33 (53%),12 (46%),14 (74%),,3,0,,2,0,18.0,25.0,3,2.4,1.4,55.0,1.31,12.4,4.4,2.2,45.0,0.962,9.0,2.8,1.2,5.2,2.2,1.4,0.194,0.545,0.156,0.5
8686,2023-10-22T10:30:00.000Z,6504,Monza,1,0,True,51,1.73,21,4,3,2,378 (86%),11,8,49,0.45,11,4,0,0,377 (87%),11,5,,6,11,2,15,6,,5,2,0,4,7,1.34,0.39,1.73,1.21,0.30,0.15,0.45,0.54,442,144,234,28 (67%),11 (39%),18,3,433,173,204,27 (52%),4 (29%),10,2,,10,5,2,13,4,,16,6,11,27,3,,37,25 (45%),12 (50%),4 (29%),,43,31 (55%),12 (50%),6 (55%),,2,0,,2,1,40.0,19.0,3,3.0,1.2,54.8,1.684,12.0,5.0,3.2,45.2,0.972,10.4,2.4,1.4,8.8,7.2,2.0,0.25,0.6,0.115,0.5
8686,2023-10-29T17:00:00.000Z,8636,Inter,0,1,False,37,0.14,3,1,1,1,276 (79%),9,0,63,2.30,19,3,2,1,502 (88%),14,8,,1,1,0,1,2,,9,7,2,12,7,0.09,0.05,0.14,0.40,1.93,0.37,2.30,1.96,351,146,130,26 (44%),1 (14%),12,1,572,205,297,32 (71%),10 (29%),21,1,,11,5,7,32,2,,17,7,1,7,1,,43,27 (43%),16 (55%),3 (43%),,49,36 (57%),13 (45%),11 (73%),,4,0,,3,0,2.0,33.0,0,1.8,1.2,54.4,1.55,13.4,4.0,2.8,45.6,1.014,11.0,2.8,1.4,16.8,11.0,2.0,0.134,0.45,0.109,0.429
