team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
7943,2023-08-20T16:30:00.000Z,8524,Atalanta,0,2,True,50,0.44,11,3,0,0,427 (87%),9,7,50,1.32,16,6,3,2,413 (86%),13,7,,4,4,1,4,7,,8,2,1,10,6,0.35,0.09,0.44,0.70,0.94,0.37,1.32,0.69,491,237,190,18 (44%),3 (21%),12,0,480,211,202,29 (52%),8 (28%),17,2,,10,12,4,17,2,,13,9,4,9,3,,46,37 (51%),9 (53%),14 (64%),,43,35 (49%),8 (47%),13 (87%),,0,0,,0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7943,2023-08-27T18:45:00.000Z,9875,Napoli,0,2,False,33,0.17,6,1,0,0,269 (82%),10,4,67,3.54,25,5,5,3,595 (91%),9,12,,3,2,0,1,5,,12,8,2,20,5,0.14,0.03,0.17,0.01,1.71,0.25,1.96,1.98,330,134,135,12 (36%),2 (20%),6,0,656,311,284,29 (73%),12 (48%),15,4,,17,7,6,24,3,,18,3,2,5,1,,41,36 (53%),5 (28%),11 (55%),,45,32 (47%),13 (72%),6 (33%),,1,1,,0,0,,,0,0.0,2.0,50.0,0.44,11.0,3.0,0.0,50.0,1.32,16.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.125,0.333
7943,2023-09-01T16:30:00.000Z,9876,Hellas Verona,3,1,True,47,1.72,16,7,4,2,283 (75%),8,10,53,0.63,11,3,1,1,357 (80%),13,1,,4,5,0,11,5,,8,0,0,7,4,0.80,0.13,0.93,2.57,0.57,0.06,0.63,0.58,375,137,146,28 (42%),4 (17%),25,1,445,241,116,33 (45%),4 (33%),12,4,,11,10,0,6,2,,15,4,5,29,4,,49,33 (54%),16 (46%),10 (71%),,47,28 (46%),19 (54%),5 (50%),,1,0,,3,0,,,3,0.0,2.0,41.5,0.305,8.5,2.0,0.0,58.5,2.43,20.5,5.5,4.0,0.0,0.0,0.0,0.0,0.0,0.098,0.364
7943,2023-09-17T13:00:00.000Z,9891,Frosinone,2,4,False,45,1.26,18,7,3,2,287 (79%),9,6,55,2.83,16,6,5,3,370 (84%),10,5,,5,6,0,12,6,,8,2,2,11,5,1.19,0.07,1.26,1.86,1.95,0.09,2.04,2.79,364,146,141,19 (40%),2 (18%),20,2,441,209,161,27 (52%),6 (43%),22,5,,14,9,2,20,2,,10,6,6,15,5,,35,28 (53%),7 (41%),6 (60%),,35,25 (47%),10 (59%),6 (43%),,2,0,,4,0,,,0,1.0,1.667,43.333,0.777,11.0,3.667,1.333,56.667,1.83,17.333,4.667,3.0,0.0,0.0,1.0,0.091,0.273,0.096,0.357
7943,2023-09-23T16:00:00.000Z,9885,Juventus,4,2,True,43,1.60,18,7,2,1,278 (79%),13,6,57,1.16,15,2,2,2,400 (85%),8,3,,7,4,1,9,9,,10,3,0,10,5,1.40,0.20,1.60,1.47,0.82,0.34,1.16,0.58,353,121,157,23 (43%),4 (22%),26,0,473,249,151,22 (44%),10 (48%),22,2,,17,10,3,17,1,,16,13,4,21,4,,41,34 (49%),7 (30%),10 (63%),,51,35 (51%),16 (70%),6 (43%),,4,0,,2,0,13.0,27.0,3,1.25,2.25,43.75,0.897,12.75,4.5,1.75,56.25,2.08,17.0,5.0,3.5,0.0,0.0,0.75,0.098,0.278,0.132,0.45
7943,2023-09-27T18:45:00.000Z,8636,Inter,2,1,False,37,1.02,13,6,2,2,277 (80%),8,6,63,0.92,13,3,3,3,492 (86%),10,8,,5,2,0,8,5,,6,4,0,10,3,0.51,0.51,1.02,0.88,0.71,0.21,0.92,0.86,347,139,138,21 (40%),3 (25%),10,4,573,276,216,34 (55%),7 (22%),29,3,,8,11,3,31,2,,15,13,2,5,4,,38,26 (45%),12 (39%),9 (75%),,51,32 (55%),19 (61%),9 (75%),,1,0,,0,0,,,3,1.8,2.2,43.6,1.038,13.8,5.0,1.8,56.4,1.896,16.6,4.4,3.2,2.6,5.4,1.2,0.13,0.36,0.133,0.5
7943,2023-10-02T16:30:00.000Z,6504,Monza,0,1,True,43,1.43,19,7,2,2,326 (85%),8,7,57,1.55,13,4,3,2,444 (88%),10,4,,6,6,0,10,9,,4,5,0,9,4,1.18,0.25,1.43,2.04,1.41,0.14,1.55,0.69,382,150,176,18 (50%),5 (31%),18,1,503,271,173,42 (70%),4 (29%),15,4,,12,3,5,10,3,,12,7,5,12,7,,37,29 (49%),8 (44%),7 (64%),,40,30 (51%),10 (56%),10 (71%),,0,0,,0,0,25.0,37.0,0,2.2,2.0,41.0,1.154,14.2,5.6,2.2,59.0,1.816,16.0,3.8,3.2,2.6,5.4,1.8,0.155,0.393,0.125,0.526
7943,2023-10-06T18:45:00.000Z,9888,Lecce,1,1,False,58,1.70,14,1,2,1,385 (84%),15,3,42,1.72,13,4,3,2,246 (74%),9,5,,8,5,0,7,7,,8,1,0,11,2,0.90,0.01,0.91,0.86,0.33,1.39,1.72,1.11,461,188,197,22 (44%),4 (25%),29,0,331,149,97,27 (44%),9 (39%),25,2,,10,8,1,11,3,,26,12,5,18,0,,39,27 (39%),12 (40%),10 (36%),,60,42 (61%),18 (60%),2 (33%),,3,0,,2,0,15.0,17.0,1,2.2,1.8,43.0,1.406,16.8,6.8,2.6,57.0,1.418,13.6,3.6,2.8,7.6,12.8,1.8,0.131,0.324,0.132,0.5
7943,2023-10-21T18:45:00.000Z,8543,Lazio,0,2,True,51,0.52,9,2,0,0,433 (84%),6,5,49,2.27,18,6,5,3,420 (86%),10,7,,4,3,0,3,6,,10,2,3,13,5,0.47,0.05,0.52,0.09,2.06,0.22,2.27,1.75,518,259,174,31 (52%),1 (8%),21,0,490,277,143,30 (56%),5 (26%),19,4,,14,5,2,18,5,,13,6,3,22,2,,45,36 (55%),9 (60%),12 (71%),,35,29 (45%),6 (40%),10 (56%),,1,0,,5,0,7.0,42.0,0,1.8,1.8,45.2,1.402,16.4,5.6,2.2,54.8,1.636,14.0,3.8,3.2,10.6,16.2,1.4,0.11,0.321,0.129,0.474
7943,2023-10-28T13:00:00.000Z,9857,Bologna,1,1,True,41,0.89,16,5,0,0,324 (82%),11,6,59,1.02,9,5,2,1,521 (87%),10,2,,8,3,0,8,8,,1,3,0,3,6,0.67,0.22,0.89,1.52,0.96,0.07,1.02,0.59,393,126,198,21 (45%),8 (35%),19,1,596,343,178,25 (63%),1 (14%),13,2,,14,7,4,7,3,,25,8,3,17,5,,36,34 (45%),2 (29%),11 (46%),,47,42 (55%),5 (71%),7 (47%),,1,0,,3,0,26.0,11.0,1,1.4,1.4,46.4,1.254,14.6,4.6,1.6,53.6,1.524,14.4,3.8,3.2,12.0,24.6,1.4,0.096,0.304,0.097,0.368
