team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9804,2023-08-21T16:30:00.000Z,8529,Cagliari,0,0,True,57,0.96,11,2,1,1,354 (79%),8,8,43,0.39,8,2,0,0,243 (72%),12,3,,6,3,0,7,4,,5,1,0,4,4,0.32,0.64,0.96,0.47,0.33,0.06,0.39,0.48,447,193,161,34 (50%),3 (15%),22,1,338,142,101,27 (35%),1 (7%),17,2,,10,8,1,14,2,,18,10,3,14,2,,53,32 (48%),21 (51%),11 (58%),,54,34 (52%),20 (49%),8 (100%),,1,0,,1,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9804,2023-08-26T18:45:00.000Z,8564,Milan,1,4,False,41,0.48,8,1,0,0,272 (81%),16,1,59,3.04,17,7,4,0,431 (87%),13,2,,6,1,0,3,5,,8,2,0,10,7,0.41,0.07,0.48,0.28,1.30,0.16,1.46,3.28,335,146,126,24 (51%),4 (31%),10,2,498,264,167,20 (50%),4 (36%),11,1,,12,8,2,16,3,,10,9,1,5,0,,38,29 (47%),9 (41%),5 (42%),,46,33 (53%),13 (59%),9 (75%),,3,0,,2,0,,,0,0.0,0.0,57.0,0.96,11.0,2.0,1.0,43.0,0.39,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9804,2023-09-03T16:30:00.000Z,10233,Genoa,1,0,True,63,0.44,10,3,0,0,426 (86%),13,4,37,0.18,7,2,0,0,214 (70%),7,0,,5,2,0,4,6,,3,2,0,1,6,0.18,0.26,0.44,0.42,0.15,0.03,0.18,0.15,497,192,234,18 (53%),4 (15%),18,5,307,125,89,31 (46%),0 (0%),10,2,,7,6,2,6,2,,16,10,1,22,2,,34,22 (44%),12 (44%),8 (53%),,43,28 (56%),15 (56%),3 (50%),,2,0,,5,0,,,3,0.5,2.0,49.0,0.72,9.5,1.5,0.5,51.0,1.715,12.5,4.5,2.0,0.0,0.0,0.5,0.053,0.333,0.16,0.444
9804,2023-09-18T16:30:00.000Z,6480,Salernitana,3,0,False,44,1.83,11,3,4,2,322 (80%),16,2,56,0.70,14,4,1,1,406 (80%),12,1,,3,5,0,7,4,,8,2,1,8,6,1.46,0.38,1.83,1.00,0.52,0.18,0.70,0.74,401,143,179,26 (46%),2 (17%),12,2,505,190,216,10 (32%),4 (31%),24,2,,11,11,2,15,4,,14,6,5,15,0,,50,32 (50%),18 (50%),9 (50%),,50,32 (50%),18 (50%),4 (40%),,2,0,,2,0,,,3,0.667,1.333,53.667,0.627,9.667,2.0,0.333,46.333,1.203,10.667,3.667,1.333,0.0,0.0,1.333,0.069,0.334,0.125,0.364
9804,2023-09-24T18:45:00.000Z,8686,Roma,1,1,True,42,0.89,12,4,1,0,294 (77%),5,7,58,1.42,11,3,1,1,451 (81%),5,1,,6,2,0,6,6,,6,2,1,8,3,0.30,0.59,0.89,0.98,1.42,0.00,1.42,0.15,381,123,171,17 (37%),7 (26%),15,0,558,283,168,25 (39%),3 (27%),32,0,,15,10,2,19,2,,15,10,2,16,3,,43,26 (50%),17 (47%),6 (67%),,45,26 (50%),19 (53%),7 (41%),,0,0,,2,0,,,1,1.25,1.0,51.25,0.927,10.0,2.25,1.25,48.75,1.077,11.5,3.75,1.25,0.0,0.0,1.75,0.125,0.556,0.087,0.267
9804,2023-09-27T18:45:00.000Z,8543,Lazio,0,2,False,50,0.35,7,2,1,1,443 (86%),13,2,50,0.89,6,3,2,1,452 (85%),12,4,,3,2,0,4,3,,2,1,0,4,2,0.23,0.12,0.35,0.15,0.80,0.09,0.89,1.02,517,285,158,28 (47%),3 (27%),11,1,533,242,210,27 (46%),3 (27%),17,0,,11,11,1,11,1,,17,16,2,7,2,,37,31 (47%),6 (33%),8 (62%),,47,35 (53%),12 (67%),7 (64%),,4,0,,1,0,,,0,1.2,1.0,49.4,0.92,10.4,2.6,1.2,50.6,1.146,11.4,3.6,1.2,0.0,0.0,1.6,0.115,0.462,0.088,0.278
9804,2023-10-02T16:30:00.000Z,9876,Hellas Verona,0,0,True,55,0.56,8,2,1,1,308 (74%),6,10,45,0.25,5,2,0,0,258 (72%),11,1,,5,1,0,6,2,,1,2,0,2,3,0.47,0.09,0.56,0.78,0.22,0.04,0.25,0.08,418,176,132,25 (45%),3 (20%),29,1,359,141,117,26 (35%),1 (13%),19,1,,9,7,2,14,2,,19,15,1,26,2,,45,26 (47%),19 (63%),7 (39%),,40,29 (53%),11 (37%),4 (50%),,1,0,,1,0,22.0,13.0,1,1.2,1.4,48.0,0.798,9.6,2.6,1.2,52.0,1.246,11.0,3.8,1.6,0.0,0.0,1.4,0.125,0.462,0.127,0.368
9804,2023-10-07T16:00:00.000Z,9885,Juventus,0,2,False,50,0.56,10,1,0,0,352 (82%),8,3,50,1.91,17,6,4,2,349 (82%),10,7,,7,2,0,6,4,,4,7,0,11,6,0.46,0.10,0.56,0.11,0.69,1.22,1.91,1.12,427,161,191,18 (44%),7 (35%),24,0,427,201,148,22 (45%),7 (35%),13,2,,16,5,8,8,3,,11,4,2,21,1,,43,29 (53%),14 (40%),3 (27%),,47,26 (47%),21 (60%),7 (58%),,1,0,,1,0,17.0,18.0,0,1.0,0.6,50.8,0.814,9.6,2.8,1.4,49.2,0.688,8.6,2.8,0.8,4.4,2.6,1.6,0.104,0.357,0.07,0.214
9804,2023-10-21T16:00:00.000Z,8636,Inter,0,3,True,46,0.39,7,3,1,1,319 (84%),13,2,54,2.52,14,4,3,1,383 (84%),8,4,,2,2,0,4,3,,6,4,0,10,4,0.23,0.16,0.39,0.68,0.92,0.81,1.73,2.63,382,159,160,18 (40%),5 (21%),19,1,456,243,140,22 (51%),5 (45%),17,0,,14,5,4,10,1,,13,6,2,19,3,,38,30 (53%),8 (30%),8 (73%),,46,27 (47%),19 (70%),2 (22%),,1,0,,2,0,19.0,27.0,0,0.8,1.0,48.2,0.838,9.6,2.4,1.4,51.8,1.034,10.6,3.6,1.6,7.8,6.2,1.0,0.083,0.333,0.094,0.278
9804,2023-10-28T16:00:00.000Z,9888,Lecce,1,0,False,51,0.78,10,2,1,0,366 (80%),19,0,49,0.49,11,6,0,0,337 (80%),17,3,,6,2,0,7,3,,2,3,0,6,5,0.73,0.05,0.78,,0.43,0.06,0.49,,457,167,199,15 (29%),5 (31%),16,0,422,149,188,30 (50%),4 (17%),25,1,,17,5,3,28,6,,9,5,2,11,1,,62,41 (56%),21 (55%),7 (54%),,49,32 (44%),17 (45%),6 (55%),,5,0,,3,0,14.0,19.0,3,0.2,1.6,48.6,0.55,8.8,2.4,0.8,51.4,1.398,10.6,3.6,2.0,11.6,11.6,0.4,0.023,0.083,0.151,0.444
