team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8385,2023-08-14T17:30:00.000Z,9866,Deportivo Alaves,1,0,True,44,0.66,12,3,0,0,206 (69%),19,2,56,0.25,10,2,0,0,274 (75%),15,4,,6,3,0,7,5,,5,3,0,4,6,0.21,0.45,0.66,0.43,0.11,0.14,0.25,0.11,298,109,97,26 (41%),4 (33%),22,2,365,108,166,31 (48%),4 (17%),22,2,,13,5,3,24,2,,9,11,3,15,2,,54,35 (51%),19 (41%),7 (78%),,61,34 (49%),27 (59%),7 (70%),,3,1,,2,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8385,2023-08-20T17:30:00.000Z,8634,Barcelona,0,2,False,25,1.15,10,1,2,2,133 (68%),22,2,75,3.48,24,10,6,4,559 (91%),9,10,,7,2,0,10,0,,6,8,1,19,5,1.06,0.09,1.15,0.28,2.42,1.06,3.48,3.20,196,64,69,26 (42%),5 (33%),13,1,612,142,417,16 (57%),9 (31%),14,1,,11,8,8,20,8,,11,5,2,9,1,,39,24 (37%),15 (54%),4 (50%),,54,41 (63%),13 (46%),12 (80%),,3,0,,4,0,,,0,1.0,0.0,44.0,0.66,12.0,3.0,0.0,56.0,0.25,10.0,2.0,0.0,0.0,0.0,3.0,0.083,0.333,0.0,0.0
8385,2023-08-26T17:00:00.000Z,9865,Almeria,1,1,True,52,1.58,11,3,1,0,266 (77%),16,7,48,0.26,5,2,0,0,252 (76%),22,3,,4,4,0,7,4,,2,1,0,3,2,0.59,0.99,1.58,1.14,0.03,0.23,0.26,0.77,345,110,156,28 (50%),11 (37%),15,0,332,165,87,13 (29%),3 (23%),15,1,,11,3,1,16,1,,12,14,4,18,2,,58,39 (51%),19 (54%),6 (67%),,54,38 (49%),16 (46%),10 (53%),,0,1,,3,1,,,1,0.5,1.0,34.5,0.905,11.0,2.0,1.0,65.5,1.865,17.0,6.0,3.0,0.0,0.0,1.5,0.045,0.25,0.059,0.167
8385,2023-09-01T17:30:00.000Z,10205,Villarreal,3,1,True,42,2.09,18,4,2,0,232 (78%),21,7,58,0.32,7,3,1,0,360 (84%),15,3,,6,8,0,9,9,,2,2,0,4,3,0.28,1.02,1.30,2.20,0.29,0.03,0.32,0.44,296,89,143,25 (45%),3 (10%),19,2,430,192,168,26 (52%),2 (22%),22,2,,18,7,2,13,2,,8,3,7,30,1,,42,35 (47%),7 (29%),3 (60%),,56,39 (53%),17 (71%),12 (52%),,5,0,,4,1,,,3,0.667,1.0,40.333,1.13,11.0,2.333,1.0,59.667,1.33,13.0,4.667,2.0,0.0,0.0,1.333,0.061,0.286,0.077,0.214
8385,2023-09-16T12:00:00.000Z,8315,Athletic Club,0,3,False,34,0.29,5,4,0,0,166 (64%),20,4,66,2.87,20,9,7,4,377 (77%),10,5,,0,1,0,2,3,,9,2,2,15,5,0.23,0.06,0.29,0.88,2.51,0.36,2.87,2.45,260,96,70,32 (44%),2 (22%),21,4,489,151,226,24 (45%),6 (27%),29,1,,14,10,3,37,5,,8,2,1,6,4,,48,31 (46%),17 (61%),7 (70%),,48,37 (54%),11 (39%),10 (56%),,4,0,,1,0,,,0,1.25,1.0,40.75,1.37,12.75,2.75,1.25,59.25,1.077,11.5,4.25,1.75,0.0,0.0,1.75,0.098,0.455,0.087,0.235
8385,2023-09-24T16:30:00.000Z,8603,Real Betis,1,1,False,37,0.22,5,1,1,0,221 (77%),14,8,63,1.86,21,7,5,5,452 (91%),10,11,,3,1,1,4,1,,11,3,0,15,6,0.19,0.03,0.22,0.69,1.47,0.39,1.86,1.55,286,105,116,33 (52%),3 (13%),12,5,499,175,277,20 (57%),11 (32%),15,1,,27,5,3,21,6,,24,5,1,22,0,,55,43 (46%),12 (39%),7 (30%),,69,50 (54%),19 (61%),13 (52%),,3,0,,2,0,,,1,1.0,1.4,39.4,1.154,11.2,3.0,1.0,60.6,1.436,13.2,5.2,2.8,0.0,0.0,1.4,0.089,0.333,0.106,0.269
8385,2023-09-27T19:30:00.000Z,8370,Rayo Vallecano,0,0,True,52,0.59,9,2,1,1,294 (73%),16,1,48,0.26,9,4,0,0,270 (70%),13,2,,6,1,0,5,4,,5,0,0,0,9,0.54,0.05,0.59,0.64,0.18,0.08,0.26,0.76,404,138,156,28 (41%),5 (24%),26,1,385,154,116,16 (23%),2 (15%),26,2,,12,9,0,15,4,,17,9,1,27,2,,47,24 (40%),23 (66%),1 (13%),,48,36 (60%),12 (34%),5 (50%),,5,0,,6,1,,,1,1.0,1.6,38.0,1.066,9.8,2.6,1.2,62.0,1.758,15.4,6.2,3.8,0.0,0.0,1.0,0.102,0.385,0.104,0.258
8385,2023-10-01T19:00:00.000Z,9906,Atletico Madrid,2,3,False,30,0.84,8,4,1,0,216 (71%),10,3,70,2.76,18,9,6,4,639 (87%),5,5,,3,1,0,4,4,,7,2,1,14,4,0.81,0.03,0.84,0.86,2.70,0.06,2.76,4.10,303,105,111,23 (34%),4 (24%),16,0,733,251,388,26 (54%),1 (7%),15,2,,17,6,2,25,6,,17,3,1,10,2,,36,25 (42%),11 (37%),3 (25%),,54,35 (58%),19 (63%),9 (50%),,3,0,,1,0,9.0,42.0,0,1.0,1.2,43.4,0.954,9.6,2.8,1.0,56.6,1.114,12.4,5.0,2.6,0.0,0.0,1.2,0.104,0.357,0.097,0.24
8385,2023-10-07T12:00:00.000Z,7732,Girona,0,1,True,26,0.43,8,2,1,1,116 (57%),12,5,74,1.21,20,5,1,1,549 (89%),13,5,,5,1,0,6,2,,8,7,0,5,15,0.17,0.26,0.43,0.38,1.21,0.00,1.21,1.81,205,56,60,24 (35%),7 (33%),13,0,615,157,392,33 (70%),6 (19%),10,3,,15,8,7,20,4,,15,2,1,19,2,,48,32 (46%),16 (52%),5 (45%),,52,37 (54%),15 (48%),10 (71%),,1,1,,3,0,21.0,36.0,0,1.2,1.6,39.0,0.806,9.0,3.0,1.0,61.0,1.614,15.0,6.4,3.8,1.8,8.4,1.0,0.133,0.4,0.107,0.25
8385,2023-10-23T19:00:00.000Z,10267,Valencia,0,2,False,38,0.63,5,4,2,2,260 (79%),16,5,62,1.51,12,4,3,1,482 (88%),16,4,,1,0,0,5,0,,5,3,0,7,5,0.50,0.13,0.63,1.56,1.36,0.14,1.51,2.25,329,142,118,32 (51%),2 (9%),13,2,549,246,236,32 (62%),4 (29%),15,4,,14,7,3,12,2,,13,7,0,14,4,,50,36 (50%),14 (54%),6 (67%),,48,36 (50%),12 (46%),7 (50%),,3,1,,0,0,12.0,19.0,0,0.6,1.6,35.8,0.474,7.0,2.6,0.8,64.2,1.792,17.6,6.8,3.8,6.0,15.6,0.4,0.086,0.231,0.091,0.235
