team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8371,2023-08-13T15:00:00.000Z,9910,Celta Vigo,2,0,False,48,0.95,11,5,4,2,323 (75%),15,2,52,1.00,11,1,1,1,385 (82%),11,7,,5,1,2,8,3,,7,3,0,8,3,0.86,0.10,0.95,1.50,0.87,0.13,1.00,0.00,432,149,174,46 (49%),7 (47%),19,1,469,227,158,24 (46%),2 (9%),30,6,,18,14,4,14,0,,8,11,1,11,3,,48,33 (50%),15 (50%),5 (83%),,48,33 (50%),15 (50%),11 (65%),,1,0,,1,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8371,2023-08-19T19:30:00.000Z,8315,Athletic Club,0,2,True,62,1.31,18,7,2,2,436 (81%),9,5,38,1.56,8,2,4,2,232 (70%),14,3,,5,6,0,11,7,,4,2,0,5,3,1.09,0.22,1.31,1.74,1.50,0.06,1.56,1.56,535,185,251,44 (54%),8 (21%),28,2,331,102,130,20 (29%),2 (15%),13,0,,13,15,2,9,0,,22,11,6,36,7,,53,33 (46%),20 (51%),6 (30%),,57,38 (54%),19 (49%),7 (64%),,1,1,,3,1,,,0,2.0,0.0,48.0,0.95,11.0,5.0,4.0,52.0,1.0,11.0,1.0,1.0,0.0,0.0,3.0,0.182,0.4,0.0,0.0
8371,2023-08-27T17:30:00.000Z,10267,Valencia,2,1,False,35,1.23,7,2,2,1,191 (67%),12,3,65,1.69,16,4,3,3,428 (84%),13,6,,3,2,0,6,1,,10,2,0,10,6,0.13,0.31,0.44,1.43,1.50,0.19,1.69,1.04,283,82,109,19 (32%),5 (56%),24,1,510,188,240,23 (45%),4 (13%),27,3,,14,7,2,37,3,,14,11,2,13,0,,48,30 (44%),18 (53%),4 (44%),,54,38 (56%),16 (47%),12 (52%),,4,0,,3,0,,,3,1.0,1.0,55.0,1.13,14.5,6.0,3.0,45.0,1.28,9.5,1.5,2.5,0.0,0.0,1.5,0.069,0.167,0.105,0.667
8371,2023-09-03T19:00:00.000Z,8634,Barcelona,1,2,True,30,0.77,11,3,1,1,197 (76%),6,8,70,2.00,9,4,2,1,586 (91%),16,5,,2,6,0,7,4,,3,2,1,7,2,0.57,0.20,0.77,0.82,1.00,0.20,1.21,1.59,259,53,144,27 (54%),9 (31%),26,2,647,237,349,16 (62%),5 (31%),21,2,,16,5,2,21,2,,20,8,6,29,2,,52,36 (49%),16 (52%),4 (31%),,53,38 (51%),15 (48%),12 (80%),,1,1,,3,0,,,0,1.333,1.0,48.333,1.163,12.0,4.667,2.667,51.667,1.417,11.667,2.333,2.667,0.0,0.0,2.0,0.111,0.286,0.086,0.429
8371,2023-09-17T12:00:00.000Z,8305,Getafe,2,3,False,55,1.13,8,3,2,0,326 (74%),11,3,45,0.50,11,6,1,0,236 (67%),15,6,,5,0,0,4,4,,2,3,0,10,1,0.09,0.24,0.34,1.54,0.28,0.22,0.50,1.34,441,171,155,38 (43%),3 (20%),32,7,351,102,134,45 (47%),6 (29%),22,0,,10,8,3,26,3,,9,6,0,14,1,,60,26 (54%),34 (60%),4 (40%),,45,22 (46%),23 (40%),2 (33%),,2,0,,6,1,,,0,1.25,1.25,43.75,1.065,11.75,4.25,2.25,56.25,1.562,11.0,2.75,2.5,0.0,0.0,1.5,0.106,0.294,0.114,0.455
8371,2023-09-23T14:15:00.000Z,8302,Sevilla,0,0,True,44,1.42,16,2,2,2,199 (62%),11,7,56,0.75,15,3,0,0,298 (70%),7,4,,7,7,1,13,3,,10,2,0,8,7,1.25,0.17,1.42,0.17,0.34,0.41,0.75,0.59,322,87,112,36 (42%),5 (24%),28,2,424,135,163,23 (33%),5 (25%),24,4,,15,5,2,23,3,,23,7,6,27,2,,54,27 (40%),27 (49%),6 (26%),,69,41 (60%),28 (51%),7 (47%),,2,0,,3,0,,,1,1.4,1.6,46.0,1.078,11.0,4.0,2.2,54.0,1.35,11.0,3.4,2.2,0.0,0.0,1.2,0.127,0.35,0.145,0.471
8371,2023-09-28T19:30:00.000Z,9906,Atletico Madrid,0,2,True,54,0.97,13,2,1,1,416 (83%),14,7,46,1.50,5,3,2,1,349 (79%),4,2,,8,3,1,8,5,,2,0,0,4,1,0.49,0.49,0.97,0.66,1.46,0.04,1.50,1.73,500,126,290,24 (51%),8 (21%),26,2,444,238,111,17 (28%),0 (0%),14,5,,11,8,0,9,1,,12,4,3,33,2,,45,25 (46%),20 (63%),10 (59%),,41,29 (54%),12 (38%),4 (40%),,3,1,,0,1,,,0,1.0,1.6,45.2,1.172,12.0,3.4,1.8,54.8,1.3,11.8,3.8,2.0,0.0,0.0,0.8,0.083,0.294,0.136,0.421
8371,2023-10-01T14:15:00.000Z,9866,Deportivo Alaves,2,0,False,54,1.12,10,3,3,2,354 (79%),13,2,46,1.50,17,3,4,4,259 (74%),13,4,,5,2,1,5,5,,6,8,0,9,8,0.99,0.13,1.12,1.46,1.28,0.22,1.50,1.41,446,209,145,33 (51%),4 (31%),17,1,352,121,138,26 (41%),6 (23%),20,5,,6,3,8,25,3,,12,9,2,16,1,,44,26 (43%),18 (44%),8 (62%),,57,34 (57%),23 (56%),10 (67%),,3,0,,2,1,12.0,21.0,3,1.0,1.6,43.6,1.104,11.0,2.4,1.6,56.4,1.288,11.2,4.0,1.6,0.0,0.0,0.8,0.091,0.417,0.143,0.4
8371,2023-10-07T14:15:00.000Z,8633,Real Madrid,0,4,False,33,0.46,7,1,1,1,273 (81%),6,4,67,3.46,19,9,6,3,648 (92%),9,5,,3,3,0,2,5,,7,3,0,15,4,0.46,0.00,0.46,0.32,2.60,0.07,2.67,3.64,335,144,129,18 (44%),4 (29%),13,1,707,310,338,35 (73%),2 (15%),21,2,,15,6,2,20,5,,14,9,3,3,1,,35,29 (52%),6 (55%),6 (67%),,32,27 (48%),5 (45%),8 (44%),,2,0,,2,0,18.0,44.0,0,1.0,1.4,47.4,1.082,11.6,2.6,1.8,52.6,1.25,11.4,3.8,1.8,2.4,4.2,0.8,0.086,0.385,0.123,0.368
8371,2023-10-20T19:00:00.000Z,7878,Granada,2,0,True,57,2.14,12,6,4,2,397 (79%),19,1,43,0.65,13,3,1,1,268 (73%),13,7,,3,3,0,8,4,,5,5,0,11,2,1.36,0.00,1.36,2.17,0.50,0.14,0.65,0.47,501,193,204,32 (49%),2 (11%),34,3,365,170,98,13 (26%),5 (26%),15,1,,7,7,5,16,3,,17,6,3,30,4,,43,24 (36%),19 (63%),6 (38%),,54,43 (64%),11 (37%),8 (62%),,3,0,,4,1,26.0,26.0,3,0.8,1.8,48.0,1.02,10.8,2.2,1.8,52.0,1.542,13.4,4.8,2.6,6.0,13.0,0.8,0.074,0.364,0.134,0.375
