team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10267,2023-08-11T20:00:00.000Z,8302,Sevilla,2,1,False,45,1.12,10,3,2,1,244 (71%),17,1,55,0.72,9,3,1,0,297 (75%),15,8,,6,1,0,7,3,,5,1,0,5,4,1.03,0.09,1.12,1.12,0.69,0.03,0.72,0.95,343,133,111,19 (32%),4 (36%),28,0,397,176,121,32 (49%),6 (18%),36,3,,24,10,1,33,2,,23,9,1,7,1,,70,51 (54%),19 (53%),12 (63%),,61,44 (46%),17 (47%),7 (35%),,2,0,,3,1,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10267,2023-08-18T19:30:00.000Z,8306,Las Palmas,1,0,True,38,1.54,9,4,3,2,290 (79%),12,6,62,0.52,7,1,2,2,522 (86%),6,4,,2,3,0,8,1,,4,2,0,2,5,0.64,0.11,0.75,1.78,0.47,0.06,0.52,0.07,365,174,116,21 (33%),4 (20%),24,2,605,338,184,18 (44%),1 (11%),24,1,,16,9,2,8,1,,19,7,3,15,3,,42,32 (41%),10 (48%),11 (61%),,57,46 (59%),11 (52%),15 (63%),,0,0,,0,0,,,3,2.0,1.0,45.0,1.12,10.0,3.0,2.0,55.0,0.72,9.0,3.0,1.0,0.0,0.0,3.0,0.2,0.667,0.111,0.333
10267,2023-08-27T17:30:00.000Z,8371,Osasuna,1,2,True,65,1.69,16,4,3,3,428 (84%),13,6,35,1.23,7,2,2,1,191 (67%),12,3,,10,2,0,10,6,,3,2,0,6,1,1.50,0.19,1.69,1.04,0.13,0.31,0.44,1.43,510,188,240,23 (45%),4 (13%),27,3,283,82,109,19 (32%),5 (56%),24,1,,14,11,2,13,0,,14,7,2,37,3,,54,38 (56%),16 (47%),12 (52%),,48,30 (44%),18 (53%),4 (44%),,3,0,,4,0,,,0,1.5,0.5,41.5,1.33,9.5,3.5,2.5,58.5,0.62,8.0,2.0,1.5,0.0,0.0,3.0,0.158,0.429,0.062,0.25
10267,2023-09-02T16:30:00.000Z,9866,Deportivo Alaves,0,1,False,61,0.76,9,4,1,1,403 (83%),9,2,39,1.30,7,1,3,3,214 (70%),18,1,,3,2,0,5,4,,4,2,1,7,0,0.73,0.03,0.76,0.88,0.35,0.16,0.51,0.98,486,215,188,10 (23%),0 (0%),20,0,307,90,124,26 (42%),5 (31%),28,3,,17,5,2,17,1,,13,3,2,16,4,,55,46 (59%),9 (43%),12 (63%),,44,32 (41%),12 (57%),10 (59%),,2,0,,4,0,,,0,1.333,1.0,49.333,1.45,11.667,3.667,2.667,50.667,0.823,7.667,2.0,1.667,0.0,0.0,2.0,0.114,0.364,0.13,0.5
10267,2023-09-16T14:15:00.000Z,9906,Atletico Madrid,3,0,True,37,1.26,12,8,4,3,255 (78%),13,5,63,0.60,11,3,0,0,458 (84%),17,8,,1,3,0,8,4,,5,3,0,7,4,0.54,0.72,1.26,2.26,0.49,0.11,0.60,0.56,327,139,116,24 (42%),1 (8%),18,0,543,177,281,25 (60%),9 (31%),23,0,,18,8,3,30,3,,18,5,2,13,5,,50,42 (51%),8 (32%),8 (47%),,58,41 (49%),17 (68%),11 (52%),,1,0,,5,0,,,3,1.0,1.0,52.25,1.278,11.0,3.75,2.25,47.75,0.943,7.5,1.75,2.0,0.0,0.0,1.5,0.091,0.267,0.133,0.571
10267,2023-09-23T19:00:00.000Z,9865,Almeria,2,2,False,39,0.76,7,5,2,0,255 (73%),10,3,61,2.67,17,10,5,3,462 (85%),12,7,,1,1,0,5,2,,5,2,1,13,4,0.73,0.03,0.76,1.76,2.49,0.17,2.67,3.61,350,150,105,23 (37%),3 (27%),24,1,544,258,204,26 (48%),10 (48%),22,3,,25,5,2,23,8,,10,4,1,15,3,,57,44 (60%),13 (35%),7 (64%),,53,29 (40%),24 (65%),9 (43%),,2,0,,4,0,,,1,1.4,0.8,49.2,1.274,11.2,4.6,2.6,50.8,0.874,8.2,2.0,1.6,0.0,0.0,1.8,0.125,0.304,0.098,0.4
10267,2023-09-27T19:30:00.000Z,8560,Real Sociedad,0,1,True,37,0.39,9,2,0,0,258 (73%),14,0,63,0.18,2,1,1,0,514 (85%),17,2,,4,3,0,3,6,,1,0,0,1,1,0.16,0.23,0.39,0.39,0.02,0.16,0.18,0.04,355,148,110,20 (32%),2 (25%),26,3,604,380,134,26 (49%),2 (18%),26,2,,18,2,0,15,0,,16,11,3,13,2,,57,40 (53%),17 (38%),8 (53%),,64,36 (47%),28 (62%),8 (50%),,2,1,,7,0,10.0,7.0,0,1.4,1.0,48.0,1.202,10.6,5.0,2.6,52.0,1.264,9.8,3.4,2.4,0.0,0.0,1.4,0.132,0.28,0.102,0.294
10267,2023-10-01T19:00:00.000Z,8603,Real Betis,0,3,False,44,0.66,9,2,0,0,318 (80%),10,3,56,1.71,15,7,3,2,432 (87%),11,5,,7,0,0,5,4,,4,4,1,12,3,0.26,0.40,0.66,0.41,1.06,0.65,1.71,1.41,399,200,118,16 (38%),4 (31%),21,2,498,247,185,28 (60%),5 (31%),17,5,,19,5,3,16,4,,13,4,0,21,2,,47,36 (51%),11 (46%),6 (46%),,47,34 (49%),13 (54%),11 (55%),,2,0,,2,0,11.0,30.0,0,1.2,1.2,47.8,0.972,10.6,4.6,2.0,52.2,1.196,8.8,3.4,2.2,2.0,1.4,0.8,0.113,0.261,0.136,0.353
10267,2023-10-07T16:30:00.000Z,8661,Mallorca,1,1,False,52,0.55,11,3,0,0,371 (80%),11,6,48,0.58,9,5,1,0,349 (79%),17,3,,3,5,1,4,7,,2,2,1,7,2,0.44,0.12,0.55,0.71,0.38,0.19,0.58,2.28,463,201,170,25 (43%),2 (13%),24,0,441,226,123,49 (58%),5 (36%),28,4,,15,14,2,13,4,,26,7,5,11,2,,64,47 (52%),17 (46%),17 (59%),,63,43 (48%),20 (54%),7 (50%),,1,0,,2,0,16.0,22.0,1,1.0,1.4,43.6,0.766,9.2,4.2,1.4,56.4,1.292,10.4,4.4,2.4,4.2,7.4,0.8,0.109,0.238,0.135,0.318
10267,2023-10-23T19:00:00.000Z,8385,Cadiz,2,0,True,62,1.51,12,4,3,1,482 (88%),16,4,38,0.63,5,4,2,2,260 (79%),16,5,,5,3,0,7,5,,1,0,0,5,0,1.36,0.14,1.51,2.25,0.50,0.13,0.63,1.56,549,246,236,32 (62%),4 (29%),15,4,329,142,118,32 (51%),2 (9%),13,2,,13,7,0,14,4,,14,7,3,12,2,,48,36 (50%),12 (46%),7 (50%),,50,36 (50%),14 (54%),6 (67%),,0,0,,3,1,19.0,12.0,3,1.2,1.4,41.8,0.724,9.6,4.0,1.2,58.2,1.148,10.8,5.2,2.0,7.4,11.8,1.0,0.125,0.3,0.13,0.269
