team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10205,2023-08-13T17:30:00.000Z,8603,Real Betis,1,2,True,63,0.96,18,5,1,1,481 (86%),13,9,37,1.07,12,5,1,0,251 (79%),17,4,,6,7,1,12,6,,2,5,0,6,6,0.77,0.18,0.96,0.36,0.97,0.10,1.07,1.05,560,240,241,18 (50%),7 (37%),21,2,317,133,118,21 (47%),6 (43%),14,1,,23,12,5,8,3,,25,16,7,19,4,,68,46 (51%),22 (76%),7 (32%),,52,45 (49%),7 (24%),8 (42%),,1,0,,3,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10205,2023-08-18T17:30:00.000Z,8661,Mallorca,1,0,False,60,1.95,15,3,2,1,463 (90%),11,5,40,0.38,8,1,0,0,272 (84%),12,6,,7,5,0,11,4,,4,3,0,7,1,1.03,0.92,1.95,1.33,0.27,0.11,0.38,0.05,517,189,274,29 (66%),4 (27%),18,1,323,131,141,32 (63%),6 (21%),11,6,,15,3,3,25,1,,27,6,4,16,3,,46,35 (47%),11 (42%),8 (44%),,55,40 (53%),15 (58%),4 (36%),,4,0,,2,0,,,3,1.0,2.0,63.0,0.96,18.0,5.0,1.0,37.0,1.07,12.0,5.0,1.0,0.0,0.0,0.0,0.056,0.2,0.167,0.4
10205,2023-08-27T15:30:00.000Z,8634,Barcelona,3,4,True,39,1.86,13,6,4,1,327 (86%),12,2,61,3.07,21,11,5,2,540 (91%),14,6,,3,4,0,10,3,,4,6,2,15,6,1.74,0.12,1.86,2.84,2.80,0.27,3.07,3.47,382,186,141,32 (67%),2 (25%),14,5,592,246,294,29 (71%),5 (28%),12,3,,16,5,6,22,7,,15,11,4,7,3,,56,43 (54%),13 (57%),13 (59%),,47,37 (46%),10 (43%),11 (79%),,3,0,,3,0,,,0,1.0,1.0,61.5,1.455,16.5,4.0,1.5,38.5,0.725,10.0,3.0,0.5,0.0,0.0,1.5,0.061,0.25,0.1,0.333
10205,2023-09-01T17:30:00.000Z,8385,Cadiz,1,3,False,58,0.32,7,3,1,0,360 (84%),15,3,42,2.09,18,4,2,0,232 (78%),21,7,,2,2,0,4,3,,6,8,0,9,9,0.29,0.03,0.32,0.44,0.28,1.02,1.30,2.20,430,192,168,26 (52%),2 (22%),22,2,296,89,143,25 (45%),3 (10%),19,2,,8,3,7,30,1,,18,7,2,13,2,,56,39 (53%),17 (71%),12 (52%),,42,35 (47%),7 (29%),3 (60%),,4,1,,5,0,,,0,1.667,2.0,54.0,1.59,15.333,4.667,2.333,46.0,1.507,13.667,5.667,2.0,0.0,0.0,1.0,0.109,0.357,0.146,0.353
10205,2023-09-17T14:15:00.000Z,9865,Almeria,2,1,True,63,0.90,10,4,3,1,429 (86%),16,6,37,1.51,17,7,3,2,224 (76%),6,6,,2,4,0,9,1,,8,2,0,10,7,0.82,0.09,0.90,1.59,1.17,0.33,1.51,2.00,497,154,275,25 (56%),5 (20%),13,1,295,146,78,15 (32%),2 (14%),18,1,,18,4,2,13,6,,18,8,4,21,2,,46,31 (42%),15 (52%),7 (44%),,57,43 (58%),14 (48%),10 (56%),,2,0,,3,0,31.0,21.0,3,1.5,2.25,55.0,1.272,13.25,4.25,2.0,45.0,1.652,14.75,5.25,2.0,0.0,0.0,0.75,0.113,0.353,0.153,0.429
10205,2023-09-24T14:15:00.000Z,8370,Rayo Vallecano,1,1,False,59,1.64,13,6,1,1,406 (86%),18,8,41,1.21,11,6,2,1,256 (79%),20,2,,6,1,1,9,4,,3,2,0,7,4,1.35,0.29,1.64,1.27,1.18,0.03,1.21,1.41,474,216,190,36 (61%),4 (20%),11,2,326,114,142,41 (54%),2 (17%),17,6,,21,10,2,18,5,,14,11,1,20,5,,63,50 (56%),13 (76%),11 (65%),,43,39 (44%),4 (24%),10 (50%),,1,1,,2,0,25.0,37.0,1,1.6,2.0,56.6,1.198,12.6,4.2,2.2,43.4,1.624,15.2,5.6,2.2,6.2,4.2,1.2,0.127,0.381,0.132,0.357
10205,2023-09-27T17:00:00.000Z,7732,Girona,1,2,True,53,1.91,14,3,2,1,409 (89%),9,5,47,2.15,17,5,4,2,356 (88%),11,6,,6,5,0,11,3,,9,3,3,13,4,1.11,0.01,1.12,1.23,1.37,0.78,2.15,1.43,461,186,223,44 (80%),5 (23%),18,4,405,212,144,21 (53%),9 (45%),14,0,,17,7,3,11,3,,16,8,4,24,2,,45,36 (53%),9 (50%),8 (50%),,41,32 (47%),9 (50%),7 (58%),,3,0,,2,0,34.0,24.0,0,1.6,1.8,55.8,1.334,11.6,4.4,2.2,44.2,1.652,15.0,5.8,2.4,11.2,11.6,1.4,0.138,0.364,0.12,0.31
10205,2023-09-30T12:00:00.000Z,8305,Getafe,0,0,False,36,0.14,3,0,0,0,187 (70%),11,4,64,0.95,22,9,0,0,396 (85%),19,6,,2,1,0,2,1,,11,2,0,12,10,0.05,0.08,0.14,0.00,0.73,0.22,0.95,1.45,269,115,72,32 (43%),4 (36%),18,1,466,135,261,44 (68%),12 (27%),17,2,,16,9,2,27,9,,22,6,1,13,0,,63,45 (56%),18 (58%),10 (53%),,49,36 (44%),13 (42%),3 (27%),,4,1,,2,0,10.0,30.0,1,1.6,2.2,54.4,1.326,11.4,4.4,2.2,45.6,2.006,16.8,6.6,3.2,18.0,16.4,0.8,0.14,0.364,0.131,0.333
10205,2023-10-08T12:00:00.000Z,8306,Las Palmas,1,2,True,49,0.99,9,4,2,2,342 (84%),17,7,51,1.12,8,5,1,0,376 (86%),7,2,,4,1,0,7,2,,3,0,1,6,2,0.63,0.36,0.99,0.47,0.30,0.03,0.33,1.80,409,208,134,26 (63%),6 (32%),20,4,436,210,166,22 (48%),2 (18%),12,5,,16,9,0,10,3,,34,15,1,14,3,,41,32 (35%),9 (75%),9 (41%),,63,60 (65%),3 (25%),12 (57%),,4,0,,4,0,21.0,17.0,0,1.0,1.4,53.8,0.982,9.4,3.2,1.4,46.2,1.582,17.0,6.2,2.2,20.0,22.4,1.0,0.106,0.312,0.082,0.226
10205,2023-10-22T16:30:00.000Z,9866,Deportivo Alaves,1,1,True,68,1.53,12,3,2,1,505 (89%),15,9,32,1.66,16,7,3,2,182 (69%),10,3,,4,5,0,9,3,,5,4,0,8,8,0.61,0.13,0.74,1.09,1.61,0.05,1.66,1.77,567,235,270,25 (52%),6 (21%),22,2,263,84,98,18 (34%),2 (13%),18,1,,10,7,4,17,6,,26,9,5,23,2,,42,25 (36%),17 (71%),6 (33%),,52,45 (64%),7 (29%),6 (60%),,4,0,,3,0,30.0,17.0,1,1.0,1.2,52.0,1.116,9.8,3.4,1.6,48.0,1.388,15.0,6.4,2.0,24.2,25.8,1.0,0.102,0.294,0.08,0.187
