team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
8393,2024-08-15T18:30:00.000Z,7878,Granada,2,1,False,34,9,3,3,1,178 (74%),11,5,66,20,9,2,1,394 (87%),9,9,,2,4,0,7,2,,10,1,2,17,3,240,78,100,28 (47%),3 (20%),19,14,7,452,196,198,23 (51%),12 (27%),12,36,3,,7,6,1,33,8,,14,7,4,21,1,,38,18 (37%),20 (53%),2 (25%),,49,31 (63%),18 (47%),6 (55%),,3,0,,6,0
8393,2024-08-25T17:00:00.000Z,10268,Elche,1,0,True,21,8,2,4,3,149 (72%),14,0,79,16,4,0,0,749 (93%),7,8,,6,0,0,3,5,,4,8,1,8,8,208,89,60,21 (51%),1 (25%),19,7,0,803,325,424,10 (36%),6 (24%),19,22,1,,20,6,8,19,4,,14,2,0,9,1,,43,33 (49%),10 (56%),6 (50%),,43,35 (51%),8 (44%),8 (62%),,2,0,,1,0
8393,2024-08-31T19:30:00.000Z,9864,Malaga,1,2,False,56,14,6,3,2,359 (84%),19,1,44,18,6,2,0,255 (79%),18,8,,4,4,0,11,3,,6,6,0,11,7,429,207,152,29 (52%),2 (17%),11,20,2,323,155,100,39 (53%),3 (17%),16,23,2,,24,9,6,21,4,,18,9,4,12,5,,65,49 (54%),16 (57%),8 (53%),,54,42 (46%),12 (43%),6 (26%),,4,0,,3,1
8393,2024-09-09T19:00:00.000Z,8372,Eibar,0,1,True,48,16,3,2,2,339 (80%),8,4,52,10,1,1,1,376 (82%),7,3,,5,8,0,11,5,,5,4,0,7,3,425,186,153,33 (52%),5 (31%),23,28,0,457,183,193,28 (44%),2 (12%),26,18,0,,15,6,4,17,2,,20,4,8,29,3,,44,28 (48%),16 (47%),6 (46%),,48,30 (52%),18 (53%),3 (38%),,2,0,,2,0
8393,2024-09-15T12:00:00.000Z,4032,CD Mirandes,0,2,False,53,6,2,2,2,336 (77%),11,2,47,17,5,2,1,274 (72%),10,4,,3,1,1,5,1,,6,6,0,10,7,434,197,139,35 (47%),2 (13%),25,13,2,381,116,158,31 (46%),8 (42%),27,31,1,,16,9,6,34,3,,12,8,1,27,2,,56,29 (46%),27 (50%),4 (36%),,61,34 (54%),27 (50%),12 (63%),,2,0,,2,0
8393,2024-09-21T14:15:00.000Z,8474,Racing de Ferrol,4,1,False,43,20,9,3,0,261 (79%),11,3,57,16,4,1,1,353 (84%),8,6,,7,4,2,13,7,,6,6,0,12,4,332,142,119,26 (47%),3 (23%),29,32,2,421,225,128,28 (56%),7 (24%),29,20,1,,20,7,6,24,3,,22,9,4,12,5,,49,41 (49%),8 (42%),14 (61%),,53,42 (51%),11 (58%),9 (43%),,2,0,,1,0
8393,2024-09-27T18:30:00.000Z,9783,Deportivo La Coruna,2,5,True,59,20,7,5,4,418 (84%),13,10,41,14,7,4,0,286 (81%),8,3,,8,5,0,12,8,,4,3,0,10,4,495,177,241,32 (68%),9 (25%),25,30,1,355,184,102,16 (32%),1 (14%),12,20,1,,5,10,3,9,2,,11,9,6,37,4,,39,26 (45%),13 (46%),13 (72%),,47,32 (55%),15 (54%),9 (75%),,3,0,,2,0
8393,2024-10-06T19:00:00.000Z,7869,Cordoba,1,1,True,40,17,5,2,1,180 (71%),9,8,60,10,3,0,0,320 (82%),16,3,,8,4,0,13,4,,6,1,0,6,4,253,59,121,34 (52%),6 (19%),18,28,3,392,182,138,27 (49%),6 (24%),18,20,1,,15,11,1,15,2,,17,11,4,33,4,,56,45 (59%),11 (58%),15 (58%),,39,31 (41%),8 (42%),6 (60%),,1,0,,2,0
8393,2024-10-13T12:00:00.000Z,96925,SD Huesca,2,2,False,37,5,2,1,0,194 (71%),12,5,63,9,2,1,0,397 (84%),13,6,,2,1,0,1,4,,5,2,0,6,3,273,99,95,29 (46%),3 (19%),23,9,3,474,233,164,20 (38%),4 (17%),23,17,1,,17,6,2,19,0,,10,12,1,27,0,,49,34 (56%),15 (68%),5 (56%),,34,27 (44%),7 (32%),5 (38%),,5,0,,3,0
8393,2024-10-21T18:30:00.000Z,7876,Burgos CF,2,0,True,40,17,9,2,0,254 (80%),4,2,60,11,2,0,0,382 (81%),11,7,,6,2,1,9,8,,4,5,1,10,1,318,128,126,22 (49%),7 (54%),23,29,3,473,219,163,36 (47%),3 (14%),25,25,2,,14,10,5,32,2,,17,7,2,17,7,,48,32 (54%),16 (64%),7 (58%),,36,27 (46%),9 (36%),6 (40%),,0,0,,1,0
8393,2024-10-24T17:00:00.000Z,9865,Almeria,1,3,False,48,15,7,3,2,348 (85%),9,5,52,23,7,2,0,383 (85%),19,2,,7,1,0,10,5,,10,6,0,13,10,410,177,171,37 (69%),3 (14%),15,28,4,449,213,170,35 (56%),4 (27%),17,23,0,,13,11,6,16,4,,15,9,1,21,6,,43,36 (54%),7 (54%),4 (33%),,37,31 (46%),6 (46%),7 (41%),,0,0,,4,0
8393,2024-10-27T17:30:00.000Z,9869,Sporting Gijon,3,3,True,57,22,11,5,2,400 (83%),5,12,43,9,5,2,2,302 (79%),8,5,,7,4,0,17,5,,2,2,1,6,3,483,163,237,20 (41%),9 (20%),22,42,3,381,177,125,23 (41%),3 (18%),18,16,1,,15,12,2,18,3,,17,13,4,41,7,,42,30 (54%),12 (50%),8 (53%),,38,26 (46%),12 (50%),5 (50%),,2,0,,3,0
8393,2024-11-02T17:30:00.000Z,8696,Racing Santander,1,1,False,41,11,4,1,0,255 (74%),9,6,59,16,8,2,2,430 (85%),14,3,,5,2,0,7,4,,7,1,0,12,4,345,144,111,34 (46%),3 (18%),23,21,7,507,192,238,16 (48%),5 (31%),19,41,2,,16,19,1,15,7,,13,15,2,18,3,,47,37 (59%),10 (40%),8 (50%),,41,26 (41%),15 (60%),4 (33%),,3,0,,2,0
8393,2024-11-10T17:30:00.000Z,8670,Real Oviedo,2,2,True,47,6,3,2,1,261 (75%),7,2,53,10,5,2,1,322 (82%),13,2,,2,1,0,4,2,,5,0,0,6,4,348,122,139,29 (45%),4 (24%),29,14,2,394,180,142,38 (53%),2 (10%),26,18,0,,17,14,0,23,3,,13,9,1,18,1,,53,43 (64%),10 (43%),13 (65%),,37,24 (36%),13 (57%),5 (38%),,2,0,,3,0
8393,2024-11-16T15:15:00.000Z,8288,Eldense,0,2,False,51,13,1,0,0,263 (73%),10,6,49,9,3,2,0,267 (74%),13,4,,7,5,0,3,10,,5,1,1,7,2,362,150,113,30 (42%),3 (12%),30,19,4,359,117,150,30 (37%),3 (21%),20,15,3,,12,6,1,18,1,,18,6,5,37,1,,39,29 (46%),10 (31%),4 (29%),,56,34 (54%),22 (69%),7 (58%),,1,0,,2,0
8393,2024-11-24T13:00:00.000Z,9867,Tenerife,2,1,True,43,14,3,5,3,277 (78%),9,5,57,9,2,0,0,382 (81%),8,4,,6,5,0,11,3,,4,3,0,6,3,355,138,139,28 (46%),5 (33%),27,24,5,469,221,161,20 (32%),2 (15%),17,19,2,,18,2,3,23,1,,17,7,5,29,1,,50,39 (57%),11 (52%),13 (59%),,40,30 (43%),10 (48%),6 (50%),,2,0,,1,0
8393,2024-11-30T15:15:00.000Z,8394,Real Zaragoza,1,0,False,33,7,2,2,1,193 (69%),9,1,67,17,2,0,0,492 (87%),18,6,,5,0,2,7,0,,10,5,1,7,10,278,82,111,22 (38%),3 (30%),15,22,1,566,234,258,34 (63%),5 (17%),27,24,1,,10,8,5,40,2,,8,10,0,20,1,,43,32 (62%),11 (46%),5 (50%),,33,20 (38%),13 (54%),4 (33%),,1,0,,3,0
8393,2024-12-08T17:30:00.000Z,10279,Castellon,0,0,True,30,9,2,3,3,146 (62%),4,4,70,5,0,0,0,489 (85%),12,6,,5,2,0,6,3,,2,3,0,1,4,236,70,76,28 (38%),5 (26%),25,16,2,576,211,278,27 (46%),2 (7%),23,27,2,,25,12,3,40,0,,15,6,2,32,2,,62,43 (61%),19 (51%),7 (47%),,46,28 (39%),18 (49%),9 (39%),,0,0,,1,0
