team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
8385,2024-08-16T19:30:00.000Z,8394,Real Zaragoza,0,4,True,61,12,3,1,1,336 (81%),14,6,39,11,8,5,3,201 (70%),18,0,,6,3,0,10,2,,3,0,0,10,1,414,195,141,44 (65%),10 (30%),26,29,3,286,104,97,20 (32%),2 (40%),17,20,1,,11,6,1,6,3,,17,10,3,22,3,,58,35 (49%),23 (72%),7 (44%),,46,37 (51%),9 (28%),6 (60%),,3,0,,2,0
8385,2024-08-24T17:00:00.000Z,8581,Levante,1,1,False,56,14,7,2,1,345 (83%),15,4,44,16,6,4,3,274 (81%),14,6,,6,1,0,11,3,,8,2,1,13,3,415,183,162,41 (64%),11 (41%),15,23,1,339,141,133,28 (46%),4 (22%),28,26,2,,16,6,1,22,5,,15,3,1,21,6,,49,36 (53%),13 (46%),7 (58%),,47,32 (47%),15 (54%),3 (30%),,5,0,,2,0
8385,2024-08-31T17:00:00.000Z,9867,Tenerife,2,2,True,68,7,3,2,0,436 (85%),13,3,32,8,4,2,0,168 (68%),20,4,,2,2,0,6,1,,3,1,0,6,2,512,207,229,27 (51%),8 (31%),23,26,2,247,94,74,20 (31%),3 (33%),13,15,1,,15,7,1,8,2,,25,9,2,25,1,,54,39 (48%),15 (56%),6 (40%),,54,42 (52%),12 (44%),6 (55%),,5,0,,2,0
8385,2024-09-09T19:00:00.000Z,10279,Castellon,3,1,False,30,9,5,4,1,115 (56%),14,7,70,16,5,1,0,406 (85%),12,3,,3,1,0,7,2,,4,7,0,10,6,207,47,68,27 (35%),1 (7%),22,20,1,479,186,220,22 (47%),6 (33%),20,24,6,,15,7,8,26,3,,25,5,1,14,2,,53,29 (39%),24 (59%),2 (11%),,62,45 (61%),17 (41%),7 (41%),,2,0,,2,0
8385,2024-09-15T16:30:00.000Z,8474,Racing de Ferrol,0,0,True,48,13,3,1,1,266 (79%),21,4,52,15,1,1,1,310 (82%),11,3,,6,4,0,10,3,,6,8,0,9,6,337,120,146,27 (44%),8 (35%),17,29,0,380,191,119,31 (51%),2 (15%),19,14,2,,21,5,8,17,1,,15,9,4,17,3,,59,41 (50%),18 (47%),9 (47%),,61,41 (50%),20 (53%),7 (35%),,2,0,,3,0
8385,2024-09-22T14:15:00.000Z,8554,Cartagena,2,1,False,53,13,6,2,0,301 (79%),11,9,47,11,4,0,0,264 (80%),15,9,,5,2,1,11,2,,4,3,0,8,3,379,147,154,24 (44%),9 (41%),19,31,1,329,126,138,19 (36%),8 (28%),19,26,2,,13,11,3,20,3,,19,12,2,24,4,,50,35 (50%),15 (42%),9 (53%),,56,35 (50%),21 (58%),7 (64%),,4,0,,3,0
8385,2024-09-28T14:15:00.000Z,8288,Eldense,1,2,True,55,21,6,2,2,336 (84%),23,2,45,15,6,4,3,267 (78%),17,4,,8,7,0,13,8,,5,4,1,12,3,398,145,191,19 (50%),11 (35%),15,32,1,342,145,122,33 (50%),3 (23%),17,27,1,,15,12,2,16,4,,10,11,6,20,5,,54,40 (50%),14 (58%),9 (75%),,50,40 (50%),10 (42%),9 (50%),,1,0,,5,0
8385,2024-10-04T18:30:00.000Z,96925,SD Huesca,1,3,False,65,10,4,3,2,397 (82%),11,4,35,6,5,5,2,193 (75%),19,2,,6,0,0,7,3,,1,0,0,5,1,483,219,178,27 (44%),5 (18%),23,20,1,258,114,79,33 (48%),1 (10%),15,12,2,,15,7,0,10,2,,13,10,0,26,4,,52,40 (58%),12 (48%),9 (60%),,42,29 (42%),13 (52%),5 (33%),,5,0,,2,1
8385,2024-10-12T16:30:00.000Z,9864,Malaga,2,2,True,41,15,9,3,3,257 (76%),18,6,59,13,7,1,0,422 (84%),10,4,,5,1,1,9,6,,4,2,0,11,2,340,156,101,22 (36%),7 (39%),17,23,3,504,251,171,20 (43%),2 (13%),22,19,4,,23,8,2,18,6,,12,2,3,15,6,,54,42 (53%),12 (48%),9 (60%),,50,37 (47%),13 (52%),8 (36%),,1,0,,0,0
8385,2024-10-20T12:00:00.000Z,8696,Racing Santander,0,1,True,44,15,4,2,2,183 (71%),28,4,56,13,2,2,1,259 (78%),16,9,,6,5,0,14,1,,5,6,0,11,2,256,77,106,32 (46%),6 (38%),19,28,10,331,145,114,19 (44%),6 (43%),21,26,4,,19,9,6,8,1,,11,3,6,23,3,,51,40 (46%),11 (50%),5 (56%),,58,47 (54%),11 (50%),10 (63%),,6,0,,3,0
