team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
8554,2024-08-18T17:30:00.000Z,7876,Burgos CF,1,3,False,44,10,3,4,3,220 (73%),19,5,56,12,6,5,3,314 (77%),11,5,,5,2,0,7,3,,4,2,0,9,3,302,110,110,31 (46%),5 (18%),18,16,1,408,160,154,26 (38%),3 (21%),34,24,1,,9,5,2,22,3,,14,3,2,22,2,,45,25 (41%),20 (43%),5 (56%),,62,36 (59%),26 (57%),3 (50%),,3,0,,2,0
8554,2024-08-26T17:00:00.000Z,8394,Real Zaragoza,1,2,True,41,9,3,1,0,228 (70%),9,5,59,16,7,3,2,385 (82%),13,5,,3,3,0,7,2,,6,3,0,11,5,325,92,136,32 (46%),7 (28%),24,23,1,469,222,163,19 (38%),8 (31%),14,25,2,,13,10,4,25,4,,15,11,3,14,2,,55,33 (49%),22 (69%),7 (54%),,44,34 (51%),10 (31%),10 (53%),,3,0,,2,0
8554,2024-09-01T17:00:00.000Z,8288,Eldense,2,1,False,39,6,3,1,0,180 (73%),12,0,61,23,11,7,7,327 (83%),10,7,,2,1,0,3,3,,7,5,1,14,9,247,106,74,26 (46%),2 (13%),16,12,1,394,189,138,16 (32%),10 (45%),29,28,4,,12,10,5,21,10,,17,4,1,13,1,,39,27 (44%),12 (44%),6 (55%),,49,34 (56%),15 (56%),7 (58%),,3,0,,4,0
8554,2024-09-08T14:15:00.000Z,8581,Levante,0,1,True,48,14,3,2,2,359 (85%),8,5,52,10,8,4,3,399 (86%),12,5,,6,5,0,9,5,,2,0,0,7,3,424,194,165,24 (45%),12 (44%),13,24,5,464,212,187,31 (58%),2 (17%),16,15,2,,18,4,0,10,7,,10,2,5,21,3,,41,36 (58%),5 (31%),8 (67%),,37,26 (42%),11 (69%),8 (44%),,0,0,,1,0
8554,2024-09-15T14:15:00.000Z,8670,Real Oviedo,0,1,False,30,5,2,1,1,156 (66%),7,0,70,15,3,2,1,480 (87%),16,6,,2,1,0,4,1,,7,5,0,7,8,236,108,48,21 (33%),2 (33%),20,5,1,551,214,266,32 (57%),4 (12%),27,34,2,,12,10,5,37,3,,9,5,1,12,2,,42,27 (55%),15 (50%),1 (33%),,37,22 (45%),15 (50%),6 (55%),,3,0,,3,0
8554,2024-09-22T14:15:00.000Z,8385,Cadiz,1,2,True,47,11,4,0,0,264 (80%),15,9,53,13,6,2,0,301 (79%),11,9,,4,3,0,8,3,,5,2,1,11,2,329,126,138,19 (36%),8 (28%),19,26,2,379,147,154,24 (44%),9 (41%),19,31,1,,19,12,2,24,4,,13,11,3,20,3,,56,35 (50%),21 (58%),7 (64%),,50,35 (50%),15 (42%),9 (53%),,3,0,,4,0
8554,2024-09-30T18:30:00.000Z,8696,Racing Santander,2,1,False,31,9,2,2,0,175 (65%),18,1,69,17,3,6,6,505 (85%),10,6,,6,1,0,6,3,,11,3,0,11,6,271,123,52,26 (33%),2 (67%),13,17,2,595,154,351,9 (36%),2 (10%),24,46,2,,24,17,3,26,2,,17,8,1,4,0,,51,40 (48%),11 (38%),9 (56%),,61,43 (52%),18 (62%),9 (60%),,4,0,,0,0
8554,2024-10-05T19:00:00.000Z,9867,Tenerife,0,2,False,55,4,3,0,0,352 (79%),13,6,45,18,5,6,4,285 (81%),16,3,,1,0,0,0,4,,9,4,0,12,6,445,250,102,23 (38%),0 (0%),23,7,1,354,129,156,17 (37%),5 (38%),18,28,4,,18,9,4,10,3,,17,15,0,16,3,,49,39 (52%),10 (50%),7 (64%),,46,36 (48%),10 (50%),7 (39%),,1,0,,2,0
8554,2024-10-12T14:15:00.000Z,8474,Racing de Ferrol,0,1,True,40,8,1,1,1,258 (81%),13,3,60,7,3,1,0,426 (86%),8,1,,3,4,0,4,4,,2,2,0,5,2,317,160,98,24 (53%),3 (18%),15,16,2,494,265,161,26 (51%),4 (31%),15,17,1,,7,7,1,16,2,,8,11,5,16,0,,33,26 (51%),7 (30%),12 (71%),,41,25 (49%),16 (70%),8 (67%),,3,0,,0,0
8554,2024-10-18T18:30:00.000Z,7869,Cordoba,1,2,False,37,5,3,1,1,185 (69%),11,2,63,20,6,2,1,395 (84%),12,7,,2,0,0,3,2,,10,4,1,11,9,268,111,74,26 (41%),2 (13%),27,15,5,470,226,169,38 (51%),8 (35%),19,35,0,,15,12,4,23,4,,16,6,0,18,2,,46,33 (52%),13 (42%),7 (64%),,48,30 (48%),18 (58%),3 (38%),,3,0,,4,0
