team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
10279,2024-08-17T15:00:00.000Z,8372,Eibar,0,1,False,64,11,4,1,1,365 (80%),9,3,36,8,3,2,1,137 (55%),16,3,,4,3,0,10,1,,2,3,1,5,3,458,191,174,26 (55%),2 (10%),31,41,3,251,46,91,30 (39%),3 (20%),23,13,0,,10,10,3,15,2,,20,19,3,24,4,,53,38 (54%),15 (36%),15 (56%),,60,33 (46%),27 (64%),6 (60%),,1,0,,4,0
10279,2024-08-25T19:30:00.000Z,8670,Real Oviedo,0,0,True,59,17,5,2,2,340 (77%),12,10,41,6,0,2,2,212 (69%),14,3,,7,5,0,14,3,,5,1,0,3,3,439,160,180,36 (54%),4 (21%),22,39,5,307,128,84,36 (47%),3 (27%),23,12,0,,22,7,1,10,0,,14,10,5,33,5,,53,43 (59%),10 (32%),8 (42%),,51,30 (41%),21 (68%),5 (36%),,0,0,,2,0
10279,2024-09-01T15:00:00.000Z,7876,Burgos CF,2,0,False,57,14,5,2,1,305 (71%),11,6,43,14,4,5,5,199 (63%),5,8,,5,4,2,5,9,,8,2,0,10,4,431,156,149,21 (32%),3 (18%),21,25,1,316,90,109,35 (44%),2 (10%),31,25,2,,19,12,2,25,4,,18,13,4,23,3,,56,32 (49%),24 (50%),9 (43%),,57,33 (51%),24 (50%),6 (33%),,1,0,,0,0
10279,2024-09-09T19:00:00.000Z,8385,Cadiz,1,3,True,70,16,5,1,0,406 (85%),12,3,30,9,5,4,1,115 (56%),14,7,,4,7,0,10,6,,3,1,0,7,2,479,186,220,22 (47%),6 (33%),20,24,6,207,47,68,27 (35%),1 (7%),22,20,1,,25,5,1,14,2,,15,7,8,26,3,,62,45 (61%),17 (41%),7 (41%),,53,29 (39%),24 (59%),2 (11%),,2,0,,2,0
10279,2024-09-16T18:30:00.000Z,9865,Almeria,5,2,False,52,11,7,2,1,298 (75%),17,4,48,20,7,3,2,279 (73%),9,5,,1,3,0,9,2,,9,4,1,12,8,400,162,136,22 (36%),4 (27%),14,22,2,382,191,88,23 (33%),1 (10%),26,32,2,,13,6,4,17,5,,8,10,3,19,2,,42,26 (45%),16 (50%),5 (63%),,48,32 (55%),16 (50%),10 (56%),,4,0,,0,0
10279,2024-09-22T14:15:00.000Z,8696,Racing Santander,0,1,True,57,18,9,3,3,307 (71%),15,7,43,9,7,4,3,203 (62%),12,3,,6,3,0,12,6,,2,0,1,7,2,431,187,120,40 (40%),3 (17%),32,21,5,327,103,100,24 (31%),0 (0%),34,17,6,,25,10,0,9,6,,12,13,3,25,9,,68,45 (54%),23 (53%),9 (69%),,59,39 (46%),20 (47%),12 (55%),,1,0,,2,0
10279,2024-09-29T14:15:00.000Z,9867,Tenerife,2,1,True,50,18,7,3,1,233 (67%),11,9,50,15,6,4,3,252 (71%),15,4,,5,6,1,10,8,,6,3,1,7,8,346,105,128,34 (41%),2 (10%),30,31,1,354,145,107,31 (38%),3 (25%),18,19,3,,20,7,3,22,5,,14,12,7,41,4,,64,43 (55%),21 (38%),9 (60%),,70,35 (45%),35 (63%),10 (53%),,1,0,,2,0
10279,2024-10-06T14:15:00.000Z,8288,Eldense,3,2,False,55,13,6,2,1,281 (77%),13,1,45,14,6,6,4,195 (69%),11,8,,5,2,1,7,6,,5,3,0,13,1,365,102,179,31 (46%),4 (50%),17,19,4,282,90,105,27 (36%),8 (31%),32,27,0,,16,13,3,30,4,,10,9,2,10,3,,57,36 (55%),21 (64%),9 (64%),,41,29 (45%),12 (36%),8 (62%),,1,0,,2,0
10279,2024-10-14T18:30:00.000Z,9869,Sporting Gijon,1,2,False,46,10,1,0,0,265 (72%),9,4,54,17,8,5,3,332 (76%),11,7,,6,3,0,7,3,,6,3,0,13,4,366,123,142,26 (37%),1 (10%),25,16,0,436,208,124,31 (40%),3 (23%),39,29,4,,13,3,3,27,6,,15,4,3,31,0,,40,29 (45%),11 (32%),4 (27%),,59,36 (55%),23 (68%),12 (55%),,2,0,,3,0
10279,2024-10-19T16:30:00.000Z,8581,Levante,2,0,True,50,15,5,3,1,277 (76%),11,4,50,13,3,4,4,268 (73%),13,6,,7,3,2,11,4,,8,2,0,10,3,364,137,140,26 (41%),5 (33%),16,25,4,367,129,139,26 (37%),3 (17%),24,34,2,,16,11,3,15,2,,31,4,3,18,3,,49,32 (39%),17 (61%),4 (20%),,61,50 (61%),11 (39%),8 (47%),,2,0,,3,0
10279,2024-10-22T19:00:00.000Z,7878,Granada,2,3,True,61,11,4,3,2,345 (78%),12,6,39,11,5,3,2,188 (66%),11,1,,4,3,1,6,5,,3,3,0,6,5,441,163,182,21 (43%),3 (15%),19,23,6,283,111,77,23 (35%),3 (33%),19,14,1,,16,12,2,12,2,,21,14,3,23,2,,44,32 (45%),12 (50%),7 (37%),,51,39 (55%),12 (50%),9 (64%),,2,0,,4,1
