team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
9864,2024-08-17T15:00:00.000Z,8474,Racing de Ferrol,2,2,False,56,9,3,1,0,348 (80%),18,3,44,12,5,2,0,253 (78%),13,3,,4,2,0,7,2,,3,4,1,9,3,436,205,143,22 (32%),3 (30%),17,18,2,326,157,96,24 (45%),9 (50%),25,19,3,,17,8,4,17,3,,10,8,2,20,1,,47,31 (48%),16 (43%),4 (50%),,55,34 (52%),21 (57%),7 (47%),,3,0,,1,0
9864,2024-08-24T19:30:00.000Z,4032,CD Mirandes,1,1,True,68,6,2,0,0,432 (87%),18,2,32,8,3,0,0,168 (69%),22,2,,2,2,0,4,2,,3,2,1,4,4,498,223,209,39 (70%),5 (18%),23,15,0,242,103,65,19 (39%),2 (25%),18,10,2,,26,8,2,11,2,,20,10,2,25,1,,70,57 (57%),13 (42%),11 (44%),,61,43 (43%),18 (58%),6 (46%),,2,0,,3,0
9864,2024-08-31T19:30:00.000Z,8393,Albacete,2,1,True,44,18,6,2,0,255 (79%),18,8,56,14,6,3,2,359 (84%),19,1,,6,6,0,11,7,,4,4,0,11,3,323,155,100,39 (53%),3 (17%),16,23,2,429,207,152,29 (52%),2 (17%),11,20,2,,18,9,4,12,5,,24,9,6,21,4,,54,42 (46%),12 (43%),6 (26%),,65,49 (54%),16 (57%),8 (53%),,3,1,,4,0
9864,2024-09-07T19:00:00.000Z,7869,Cordoba,0,0,False,45,3,1,0,0,236 (74%),11,1,55,16,4,2,2,291 (77%),19,8,,2,0,0,1,2,,8,4,0,9,7,321,136,100,33 (43%),1 (11%),22,9,1,376,161,130,38 (58%),10 (37%),21,25,5,,22,5,4,20,4,,17,12,0,4,1,,64,46 (56%),18 (51%),6 (55%),,53,36 (44%),17 (49%),9 (36%),,2,0,,6,0
9864,2024-09-14T16:30:00.000Z,96925,SD Huesca,1,0,True,53,13,2,2,2,387 (85%),18,2,47,9,2,3,3,335 (83%),12,3,,8,3,1,8,5,,6,1,0,5,4,457,235,152,27 (52%),4 (25%),12,26,1,404,204,131,25 (46%),2 (13%),20,16,1,,15,9,1,25,2,,16,9,3,20,2,,53,35 (47%),18 (53%),10 (50%),,55,39 (53%),16 (47%),6 (40%),,3,0,,3,0
9864,2024-09-20T18:30:00.000Z,7878,Granada,2,2,False,50,13,5,2,1,343 (81%),14,7,50,12,6,2,1,327 (82%),17,5,,6,2,0,7,6,,4,2,0,10,2,421,217,126,35 (46%),3 (30%),20,19,2,399,202,125,24 (49%),9 (36%),26,22,0,,10,4,3,18,3,,20,10,2,15,3,,39,31 (41%),8 (57%),4 (25%),,51,45 (59%),6 (43%),11 (73%),,5,0,,3,0
9864,2024-09-28T19:00:00.000Z,10268,Elche,0,3,True,51,5,0,0,0,312 (78%),18,4,49,13,7,3,1,319 (82%),19,5,,3,2,0,3,2,,2,4,0,9,4,401,193,119,24 (51%),4 (27%),16,11,0,390,143,176,32 (53%),6 (43%),21,22,1,,33,14,3,17,4,,22,13,2,17,0,,70,56 (50%),14 (50%),5 (31%),,71,57 (50%),14 (50%),18 (60%),,5,0,,4,0
9864,2024-10-06T12:00:00.000Z,9783,Deportivo La Coruna,0,0,False,47,13,5,1,1,333 (81%),5,5,53,19,5,0,0,387 (85%),10,5,,6,2,1,6,7,,8,6,0,10,9,409,168,165,37 (51%),3 (18%),16,13,0,455,218,169,32 (56%),6 (32%),25,33,4,,24,11,6,17,5,,8,11,2,18,5,,49,41 (68%),8 (44%),7 (64%),,29,19 (32%),10 (56%),6 (32%),,1,0,,0,0
9864,2024-10-12T16:30:00.000Z,8385,Cadiz,2,2,False,59,13,7,1,0,422 (84%),10,4,41,15,9,3,3,257 (76%),18,6,,4,2,0,11,2,,5,1,1,9,6,504,251,171,20 (43%),2 (13%),22,19,4,340,156,101,22 (36%),7 (39%),17,23,3,,12,2,3,15,6,,23,8,2,18,6,,50,37 (47%),13 (52%),8 (36%),,54,42 (53%),12 (48%),9 (60%),,0,0,,1,0
9864,2024-10-19T14:15:00.000Z,8670,Real Oviedo,0,0,True,53,11,4,1,1,298 (82%),10,6,47,18,7,2,2,264 (79%),20,6,,3,4,0,4,7,,7,4,0,13,5,365,182,116,30 (49%),0 (0%),24,16,3,333,141,123,33 (57%),7 (39%),24,36,1,,23,10,5,24,6,,23,5,4,20,4,,70,53 (50%),17 (53%),11 (55%),,68,53 (50%),15 (47%),20 (63%),,3,0,,3,1
9864,2024-10-24T19:00:00.000Z,9867,Tenerife,0,0,False,57,5,1,0,0,310 (78%),14,4,43,12,4,2,2,224 (76%),20,5,,3,1,1,4,1,,4,4,0,9,3,397,194,116,30 (41%),2 (14%),23,7,3,296,95,129,28 (53%),6 (26%),18,24,3,,15,11,4,22,4,,16,10,1,21,1,,60,46 (53%),14 (45%),12 (57%),,57,40 (47%),17 (55%),12 (52%),,3,0,,5,0
9864,2024-10-27T13:00:00.000Z,8372,Eibar,1,0,True,38,10,5,2,1,252 (74%),15,0,62,14,5,0,0,455 (84%),13,6,,4,1,0,9,1,,5,4,0,7,7,341,150,102,29 (43%),3 (43%),19,20,2,543,222,233,31 (54%),4 (11%),33,29,1,,17,17,5,31,4,,16,10,1,9,4,,55,36 (46%),19 (46%),8 (42%),,64,42 (54%),22 (54%),12 (57%),,1,0,,4,0
9864,2024-11-09T20:00:00.000Z,8554,Cartagena,1,0,True,74,18,6,2,1,474 (88%),12,8,26,9,2,1,1,133 (69%),16,2,,8,4,0,13,5,,3,4,0,6,3,541,202,272,39 (61%),10 (36%),18,36,1,194,60,73,26 (46%),1 (10%),13,9,5,,19,2,4,12,2,,14,9,4,30,5,,61,45 (61%),16 (38%),11 (79%),,55,29 (39%),26 (62%),3 (25%),,2,0,,3,0
9864,2024-11-17T20:00:00.000Z,8394,Real Zaragoza,0,0,False,39,8,2,0,0,248 (79%),13,5,61,20,8,4,4,426 (87%),15,5,,4,2,1,5,3,,11,1,0,10,10,315,145,103,39 (54%),1 (7%),20,14,0,489,175,251,29 (63%),7 (23%),21,22,5,,15,11,1,31,8,,14,1,2,17,2,,46,39 (57%),7 (30%),9 (56%),,45,29 (43%),16 (70%),3 (23%),,4,1,,4,0
9864,2024-11-23T20:00:00.000Z,8696,Racing Santander,0,0,True,42,18,6,5,5,237 (76%),18,3,58,11,7,3,3,343 (78%),11,2,,5,7,0,15,3,,3,1,0,4,7,313,148,89,32 (46%),4 (29%),28,32,11,439,188,155,9 (31%),2 (40%),27,23,1,,20,18,1,25,7,,31,8,7,29,6,,57,51 (48%),6 (32%),20 (54%),,69,56 (52%),13 (68%),8 (35%),,2,0,,3,0
9864,2024-11-27T18:00:00.000Z,8581,Levante,2,4,False,52,12,3,0,0,430 (87%),13,3,48,20,7,7,3,390 (88%),11,7,,5,4,1,7,5,,9,4,0,15,5,494,251,179,32 (60%),1 (7%),15,15,0,442,226,164,30 (60%),7 (32%),14,30,3,,11,5,4,20,3,,12,7,4,19,1,,35,29 (48%),6 (50%),7 (54%),,38,32 (52%),6 (50%),7 (70%),,1,0,,2,0
9864,2024-12-01T13:00:00.000Z,10279,Castellon,0,2,False,53,7,2,1,1,290 (77%),17,3,47,14,8,1,0,256 (78%),11,3,,3,2,0,7,0,,2,4,0,5,9,379,167,123,33 (54%),2 (11%),33,22,0,327,137,119,21 (47%),4 (27%),21,15,0,,20,6,4,20,6,,22,6,2,26,2,,56,45 (49%),11 (48%),14 (54%),,59,47 (51%),12 (52%),8 (42%),,3,0,,2,0
