team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
8696,2024-08-18T15:00:00.000Z,9865,Almeria,2,2,True,37,12,5,4,2,206 (67%),16,5,63,20,8,1,0,421 (82%),15,7,,4,3,0,11,1,,10,2,0,14,6,307,115,91,13 (26%),4 (40%),19,29,4,513,241,180,19 (43%),2 (13%),26,29,0,,25,11,1,24,6,,13,9,3,22,3,,52,44 (52%),8 (35%),4 (50%),,56,41 (48%),15 (65%),13 (46%),,3,0,,2,0
8696,2024-08-23T17:00:00.000Z,8372,Eibar,2,2,True,56,14,7,5,3,367 (76%),10,7,44,16,3,5,4,277 (72%),13,5,,4,3,0,10,4,,9,4,1,11,5,483,146,221,16 (35%),2 (8%),26,23,1,386,159,118,32 (36%),7 (50%),10,19,3,,15,12,4,6,1,,15,7,3,32,4,,47,29 (45%),18 (50%),4 (33%),,53,35 (55%),18 (50%),11 (48%),,3,0,,2,0
8696,2024-08-30T19:30:00.000Z,8670,Real Oviedo,3,1,False,37,11,5,1,1,226 (74%),23,4,63,17,3,1,1,452 (84%),10,4,,4,2,0,6,5,,6,8,0,12,5,307,112,114,13 (30%),4 (57%),19,24,2,535,257,195,43 (58%),8 (38%),27,26,1,,19,10,8,24,1,,13,10,1,16,2,,41,31 (41%),10 (31%),3 (38%),,67,45 (59%),22 (69%),10 (50%),,3,0,,2,0
8696,2024-09-06T19:00:00.000Z,9867,Tenerife,1,0,False,44,14,3,2,1,282 (78%),15,5,56,10,4,3,3,367 (80%),19,4,,7,4,0,6,8,,3,3,0,6,4,363,119,163,13 (33%),2 (15%),13,20,2,460,210,157,34 (48%),7 (33%),14,19,8,,13,9,3,21,3,,25,6,4,14,2,,46,35 (43%),11 (52%),4 (27%),,57,47 (57%),10 (48%),7 (44%),,2,1,,3,0
8696,2024-09-14T16:30:00.000Z,9869,Sporting Gijon,1,0,True,42,13,4,4,3,238 (69%),6,5,58,9,0,3,3,359 (74%),23,4,,3,6,1,10,3,,5,4,1,7,2,347,121,117,22 (35%),2 (12%),21,24,4,484,199,160,24 (33%),3 (17%),33,14,3,,19,12,4,23,0,,23,11,6,13,3,,56,45 (54%),11 (41%),4 (27%),,55,39 (46%),16 (59%),11 (52%),,2,0,,5,0
8696,2024-09-22T14:15:00.000Z,10279,Castellon,1,0,False,43,9,7,4,3,203 (62%),12,3,57,18,9,3,3,307 (71%),15,7,,2,0,1,7,2,,6,3,0,12,6,327,103,100,24 (31%),0 (0%),34,17,6,431,187,120,40 (40%),3 (17%),32,21,5,,12,13,3,25,9,,25,10,0,9,6,,59,39 (46%),20 (47%),12 (55%),,68,45 (54%),23 (53%),9 (69%),,2,0,,1,0
8696,2024-09-30T18:30:00.000Z,8554,Cartagena,1,2,True,69,17,3,6,6,505 (85%),10,6,31,9,2,2,0,175 (65%),18,1,,11,3,0,11,6,,6,1,0,6,3,595,154,351,9 (36%),2 (10%),24,46,2,271,123,52,26 (33%),2 (67%),13,17,2,,17,8,1,4,0,,24,17,3,26,2,,61,43 (52%),18 (62%),9 (60%),,51,40 (48%),11 (38%),9 (56%),,0,0,,4,0
8696,2024-10-05T16:30:00.000Z,8394,Real Zaragoza,3,2,False,38,14,6,5,3,220 (72%),11,1,62,18,8,3,2,370 (81%),13,11,,6,2,0,9,5,,8,2,0,8,10,304,112,108,12 (24%),1 (33%),13,19,2,455,151,219,29 (45%),8 (19%),35,26,3,,18,11,2,49,6,,12,9,2,7,3,,45,35 (57%),10 (38%),6 (43%),,42,26 (43%),16 (62%),5 (33%),,3,1,,3,0
8696,2024-10-13T14:15:00.000Z,8581,Levante,1,0,True,54,16,2,3,2,330 (81%),7,7,46,5,1,2,2,269 (75%),14,3,,11,3,0,13,3,,3,1,0,3,2,409,130,200,17 (43%),6 (25%),24,45,2,360,178,91,34 (44%),2 (14%),23,5,8,,20,11,1,23,1,,17,7,3,22,1,,51,43 (57%),8 (62%),9 (60%),,37,32 (43%),5 (38%),9 (53%),,2,0,,4,0
8696,2024-10-20T12:00:00.000Z,8385,Cadiz,1,0,False,56,13,2,2,1,259 (78%),16,9,44,15,4,2,2,183 (71%),28,4,,5,6,0,11,2,,6,5,0,14,1,331,145,114,19 (44%),6 (43%),21,26,4,256,77,106,32 (46%),6 (38%),19,28,10,,11,3,6,23,3,,19,9,6,8,1,,58,47 (54%),11 (50%),10 (63%),,51,40 (46%),11 (50%),5 (56%),,3,0,,6,0
8696,2024-10-23T19:00:00.000Z,7869,Cordoba,2,0,True,50,18,7,2,2,307 (78%),11,7,50,12,4,0,0,318 (82%),17,2,,5,6,0,11,7,,7,1,0,5,7,393,147,160,11 (31%),3 (20%),22,34,7,390,175,143,34 (52%),1 (10%),21,11,6,,24,10,1,25,4,,16,10,6,22,5,,62,49 (58%),13 (52%),9 (45%),,47,35 (42%),12 (48%),9 (41%),,2,0,,5,1
8696,2024-10-27T15:15:00.000Z,9783,Deportivo La Coruna,2,1,False,44,11,7,4,2,339 (80%),9,3,56,15,3,3,3,426 (81%),12,10,,3,1,1,8,3,,9,3,2,11,4,425,194,145,19 (38%),3 (33%),17,22,2,523,266,160,32 (40%),8 (31%),35,28,6,,23,13,3,33,2,,17,7,2,18,4,,59,46 (53%),13 (48%),11 (58%),,54,40 (47%),14 (52%),15 (58%),,0,0,,2,0
8696,2024-11-02T17:30:00.000Z,8393,Albacete,1,1,True,59,16,8,2,2,430 (85%),14,3,41,11,4,1,0,255 (74%),9,6,,7,1,0,12,4,,5,2,0,7,4,507,192,238,16 (48%),5 (31%),19,41,2,345,144,111,34 (46%),3 (18%),23,21,7,,13,15,2,18,3,,16,19,1,15,7,,41,26 (41%),15 (60%),4 (33%),,47,37 (59%),10 (40%),8 (50%),,2,0,,3,0
8696,2024-11-10T15:15:00.000Z,8474,Racing de Ferrol,2,1,False,50,12,4,2,1,258 (75%),12,2,50,12,1,2,1,241 (72%),17,5,,6,2,1,7,5,,8,3,0,9,3,344,129,129,17 (39%),2 (25%),26,22,2,333,142,99,30 (45%),4 (16%),27,29,7,,15,5,3,35,1,,17,10,2,10,2,,47,37 (52%),10 (43%),5 (56%),,47,34 (48%),13 (57%),6 (38%),,3,0,,2,0
8696,2024-11-16T17:30:00.000Z,7876,Burgos CF,2,0,True,40,3,3,2,0,220 (72%),18,1,60,9,5,1,1,366 (83%),21,7,,0,0,0,3,0,,2,2,0,2,7,305,110,110,7 (19%),2 (33%),17,13,0,443,223,143,37 (54%),5 (26%),27,10,12,,8,5,2,24,5,,20,14,0,10,1,,51,39 (48%),12 (57%),11 (55%),,52,43 (52%),9 (43%),6 (50%),,1,1,,5,0
8696,2024-11-23T20:00:00.000Z,9864,Malaga,0,0,False,58,11,7,3,3,343 (78%),11,2,42,18,6,5,5,237 (76%),18,3,,3,1,0,4,7,,5,7,0,15,3,439,188,155,9 (31%),2 (40%),27,23,1,313,148,89,32 (46%),4 (29%),28,32,11,,31,8,7,29,6,,20,18,1,25,7,,69,56 (52%),13 (68%),8 (35%),,57,51 (48%),6 (32%),20 (54%),,3,0,,2,0
8696,2024-11-30T17:30:00.000Z,4032,CD Mirandes,0,1,True,67,17,2,0,0,419 (80%),10,11,33,8,4,1,1,149 (57%),20,3,,8,7,0,9,8,,3,1,0,5,3,523,202,217,11 (26%),3 (30%),29,25,0,260,72,77,27 (39%),2 (20%),18,13,6,,16,4,2,32,2,,22,9,7,19,2,,60,38 (50%),22 (59%),4 (24%),,53,38 (50%),15 (41%),7 (58%),,2,0,,2,1
8696,2024-12-07T15:15:00.000Z,7878,Granada,0,3,False,63,10,3,0,0,400 (79%),9,4,37,16,6,2,1,202 (70%),22,2,,4,3,0,4,6,,9,1,2,13,3,504,160,240,16 (37%),0 (0%),23,17,0,288,137,65,27 (38%),6 (50%),18,27,5,,14,5,1,11,3,,24,11,3,30,3,,48,37 (48%),11 (65%),2 (15%),,46,40 (52%),6 (35%),8 (62%),,3,0,,5,0
8696,2024-12-15T17:30:00.000Z,96925,SD Huesca,0,1,True,65,16,7,2,2,521 (86%),8,7,35,7,4,1,0,261 (78%),12,1,,6,3,2,10,6,,2,1,0,6,1,607,224,297,11 (37%),1 (5%),30,26,1,333,180,81,29 (43%),3 (43%),26,16,3,,17,0,1,16,3,,13,8,2,42,7,,54,38 (61%),16 (50%),9 (69%),,40,24 (39%),16 (50%),4 (36%),,2,0,,3,0
8696,2024-12-19T18:00:00.000Z,10268,Elche,0,3,False,38,14,3,2,2,251 (77%),17,5,62,16,7,4,2,472 (86%),15,8,,4,7,0,8,6,,5,4,1,10,6,328,117,134,12 (32%),4 (31%),23,15,1,546,252,220,30 (56%),6 (33%),20,30,5,,19,10,4,26,4,,15,8,7,16,3,,44,34 (43%),10 (53%),2 (22%),,54,45 (57%),9 (47%),13 (52%),,1,1,,1,0
