team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
8394,2024-08-16T19:30:00.000Z,8385,Cadiz,4,0,False,39,11,8,5,3,201 (70%),18,0,61,12,3,1,1,336 (81%),14,6,,3,0,0,10,1,,6,3,0,10,2,286,104,97,20 (32%),2 (40%),17,20,1,414,195,141,44 (65%),10 (30%),26,29,3,,17,10,3,22,3,,11,6,1,6,3,,46,37 (51%),9 (28%),6 (60%),,58,35 (49%),23 (72%),7 (44%),,2,0,,3,0
8394,2024-08-26T17:00:00.000Z,8554,Cartagena,2,1,False,59,16,7,3,2,385 (82%),13,5,41,9,3,1,0,228 (70%),9,5,,6,3,0,11,5,,3,3,0,7,2,469,222,163,19 (38%),8 (31%),14,25,2,325,92,136,32 (46%),7 (28%),24,23,1,,15,11,3,14,2,,13,10,4,25,4,,44,34 (51%),10 (31%),10 (53%),,55,33 (49%),22 (69%),7 (54%),,2,0,,3,0
8394,2024-09-01T17:00:00.000Z,4032,CD Mirandes,0,0,False,58,10,1,0,0,275 (75%),18,6,42,18,2,0,0,183 (70%),8,6,,6,3,1,3,7,,7,9,1,7,11,365,159,116,25 (39%),3 (19%),26,10,4,261,83,100,18 (30%),7 (33%),21,21,0,,19,5,8,21,2,,19,10,3,25,1,,52,28 (40%),24 (69%),1 (10%),,53,42 (60%),11 (31%),5 (36%),,2,0,,2,0
8394,2024-09-08T16:30:00.000Z,10268,Elche,3,0,True,41,19,8,2,0,248 (82%),13,6,59,5,3,0,0,384 (87%),14,3,,7,4,1,12,7,,2,0,0,1,4,304,141,107,17 (41%),5 (36%),12,25,2,442,268,116,18 (44%),1 (7%),23,8,0,,17,4,0,13,3,,16,7,4,9,5,,45,34 (48%),11 (79%),4 (31%),,40,37 (52%),3 (21%),8 (62%),,1,0,,5,1
8394,2024-09-15T16:30:00.000Z,7876,Burgos CF,0,1,False,52,12,4,0,0,250 (74%),12,7,48,15,6,5,4,245 (78%),10,6,,5,3,1,4,8,,7,2,0,10,5,336,122,128,13 (32%),4 (19%),22,25,1,314,116,129,21 (46%),5 (26%),28,22,4,,12,14,2,15,5,,23,7,3,35,5,,46,29 (38%),17 (44%),7 (39%),,69,47 (62%),22 (56%),12 (71%),,3,0,,3,0
8394,2024-09-21T19:00:00.000Z,8581,Levante,2,1,True,51,18,5,1,0,343 (82%),15,4,49,13,4,4,3,310 (79%),9,8,,9,4,2,8,10,,5,4,1,10,3,417,147,196,31 (56%),5 (22%),20,18,0,391,181,129,28 (41%),3 (13%),18,25,1,,15,6,4,17,3,,12,11,4,21,3,,40,29 (47%),11 (50%),6 (43%),,44,33 (53%),11 (50%),6 (38%),,1,0,,2,0
8394,2024-09-28T16:30:00.000Z,9869,Sporting Gijon,0,1,False,40,7,2,1,1,266 (76%),8,5,60,21,8,2,2,417 (81%),8,5,,5,0,0,5,2,,10,3,0,14,7,350,124,142,32 (50%),3 (20%),23,21,2,515,212,205,26 (45%),6 (26%),16,28,2,,9,8,3,27,7,,18,12,0,24,2,,42,24 (42%),18 (44%),7 (50%),,56,33 (58%),23 (56%),7 (70%),,4,2,,0,0
8394,2024-10-05T16:30:00.000Z,8696,Racing Santander,2,3,True,62,18,8,3,2,370 (81%),13,11,38,14,6,5,3,220 (72%),11,1,,8,2,0,8,10,,6,2,0,9,5,455,151,219,29 (45%),8 (19%),35,26,3,304,112,108,12 (24%),1 (33%),13,19,2,,12,9,2,7,3,,18,11,2,49,6,,42,26 (43%),16 (62%),5 (33%),,45,35 (57%),10 (38%),6 (43%),,3,0,,3,1
8394,2024-10-11T18:30:00.000Z,9867,Tenerife,3,2,False,68,21,11,4,3,413 (85%),13,8,32,9,2,2,1,158 (68%),15,3,,4,6,0,15,6,,3,4,1,5,4,488,172,241,35 (60%),6 (21%),25,35,5,233,82,76,25 (42%),4 (29%),14,14,0,,19,7,4,11,0,,26,7,6,29,8,,61,41 (48%),20 (53%),8 (36%),,62,44 (52%),18 (47%),5 (38%),,3,0,,4,1
8394,2024-10-20T16:30:00.000Z,9865,Almeria,1,2,True,58,14,3,2,1,389 (85%),16,8,42,11,4,2,0,268 (81%),13,1,,6,5,0,10,4,,3,4,0,7,4,455,184,205,25 (60%),9 (32%),17,33,1,331,165,103,25 (47%),3 (30%),17,24,2,,19,7,4,13,2,,20,9,5,16,2,,53,41 (47%),12 (67%),9 (56%),,53,47 (53%),6 (33%),11 (42%),,2,0,,6,0
8394,2024-10-23T17:00:00.000Z,8288,Eldense,3,2,False,44,9,4,4,1,235 (74%),13,2,56,20,6,5,3,318 (82%),13,4,,3,2,0,7,2,,8,6,0,11,9,318,123,112,20 (38%),1 (11%),23,18,1,389,190,128,35 (55%),5 (20%),20,26,2,,18,5,6,27,4,,13,8,2,11,1,,52,37 (48%),15 (60%),8 (47%),,50,40 (52%),10 (40%),15 (56%),,3,0,,1,0
8394,2024-10-26T16:30:00.000Z,10279,Castellon,1,2,True,41,10,4,3,2,195 (64%),20,2,59,12,4,2,1,315 (74%),21,5,,4,2,0,7,3,,3,5,0,7,5,304,97,98,26 (35%),2 (15%),31,15,4,424,138,177,27 (40%),7 (35%),16,27,3,,17,7,5,21,2,,20,8,2,23,3,,68,39 (47%),29 (58%),3 (23%),,65,44 (53%),21 (42%),6 (40%),,3,0,,4,0
8394,2024-11-02T17:30:00.000Z,7878,Granada,2,1,True,43,12,6,3,1,280 (78%),17,1,57,15,3,1,1,392 (83%),14,4,,2,4,0,6,6,,7,5,0,5,10,360,170,110,33 (52%),3 (25%),12,27,2,473,246,146,33 (57%),3 (14%),15,11,0,,11,6,5,18,2,,18,9,4,16,3,,48,28 (46%),20 (61%),4 (29%),,46,33 (54%),13 (39%),1 (13%),,3,0,,1,2
8394,2024-11-09T17:30:00.000Z,96925,SD Huesca,1,1,False,57,15,4,1,0,325 (79%),6,3,43,11,4,1,1,224 (74%),13,8,,7,4,0,6,9,,6,1,1,3,8,410,187,138,23 (38%),4 (31%),26,14,0,302,135,89,22 (44%),3 (13%),26,16,1,,19,11,2,27,2,,13,6,4,20,3,,52,38 (58%),14 (40%),6 (40%),,49,28 (42%),21 (60%),9 (53%),,1,0,,3,0
8394,2024-11-17T20:00:00.000Z,9864,Malaga,0,0,True,61,20,8,4,4,426 (87%),15,5,39,8,2,0,0,248 (79%),13,5,,11,1,0,10,10,,4,2,1,5,3,489,175,251,29 (63%),7 (23%),21,22,5,315,145,103,39 (54%),1 (7%),20,14,0,,14,1,2,17,2,,15,11,1,31,8,,45,29 (43%),16 (70%),3 (23%),,46,39 (57%),7 (30%),9 (56%),,4,0,,4,1
8394,2024-11-23T17:30:00.000Z,7869,Cordoba,2,2,False,45,7,4,3,1,228 (74%),17,2,55,20,7,1,0,276 (76%),17,10,,1,2,2,6,1,,6,7,1,13,7,310,159,69,27 (41%),0 (0%),19,12,6,364,119,157,25 (40%),7 (30%),29,35,1,,22,9,7,36,5,,21,11,2,13,2,,57,40 (44%),17 (49%),4 (27%),,68,50 (56%),18 (51%),14 (58%),,4,0,,5,0
8394,2024-11-30T15:15:00.000Z,8393,Albacete,0,1,True,67,17,2,0,0,492 (87%),18,6,33,7,2,2,1,193 (69%),9,1,,10,5,1,7,10,,5,0,2,7,0,566,234,258,34 (63%),5 (17%),27,24,1,278,82,111,22 (38%),3 (30%),15,22,1,,8,10,0,20,1,,10,8,5,40,2,,33,20 (38%),13 (54%),4 (33%),,43,32 (62%),11 (46%),5 (50%),,3,0,,1,0
8394,2024-12-07T17:30:00.000Z,9783,Deportivo La Coruna,1,1,False,53,23,4,11,10,338 (80%),17,5,47,5,2,2,1,296 (78%),11,2,,15,4,0,20,3,,3,0,1,3,2,422,174,164,37 (60%),10 (40%),21,39,2,380,182,114,27 (44%),0 (0%),20,9,1,,19,11,0,22,1,,20,12,4,34,3,,72,39 (49%),33 (67%),10 (48%),,57,41 (51%),16 (33%),5 (29%),,3,0,,5,0
8394,2024-12-14T17:30:00.000Z,8372,Eibar,1,2,False,52,6,3,0,0,374 (79%),13,6,48,13,6,2,0,376 (84%),14,5,,1,2,1,4,2,,3,4,1,9,4,476,201,173,33 (47%),5 (24%),24,15,1,450,171,205,42 (54%),4 (24%),19,23,2,,26,9,4,25,4,,12,7,2,20,2,,65,48 (60%),17 (45%),9 (75%),,53,32 (40%),21 (55%),9 (38%),,4,0,,3,0
