team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
96925,2024-08-18T17:30:00.000Z,10268,Elche,1,0,False,26,6,3,1,0,174 (76%),17,1,74,12,3,1,1,577 (90%),14,3,,2,1,1,2,4,,4,5,0,9,3,228,119,55,14 (35%),2 (25%),17,8,3,644,339,238,8 (30%),8 (38%),20,25,1,,9,9,5,25,3,,12,2,2,9,1,,32,25 (42%),7 (58%),7 (54%),,39,34 (58%),5 (42%),6 (55%),,3,0,,3,0
96925,2024-08-23T19:30:00.000Z,9783,Deportivo La Coruna,2,1,True,42,11,5,3,1,254 (76%),12,3,58,13,4,2,2,386 (83%),5,11,,5,1,0,8,3,,6,3,0,6,7,336,168,86,22 (38%),7 (44%),24,21,2,463,232,154,28 (46%),3 (12%),24,20,1,,9,7,3,31,3,,10,6,1,15,3,,42,26 (46%),16 (48%),12 (75%),,48,31 (54%),17 (52%),10 (59%),,4,0,,0,0
96925,2024-08-30T17:00:00.000Z,7878,Granada,3,1,False,35,13,5,4,1,218 (70%),9,4,65,14,5,1,1,489 (85%),8,5,,7,1,2,10,3,,6,3,1,7,7,311,130,88,36 (49%),2 (18%),21,19,1,575,231,258,28 (61%),7 (25%),34,23,1,,17,17,3,37,4,,13,7,1,9,2,,50,31 (54%),19 (63%),6 (46%),,37,26 (46%),11 (37%),4 (44%),,3,0,,1,0
96925,2024-09-07T16:30:00.000Z,7876,Burgos CF,0,1,True,44,11,1,0,0,308 (80%),9,4,56,14,6,1,1,432 (86%),9,4,,6,4,0,7,4,,4,4,0,7,7,383,176,132,22 (42%),4 (19%),20,22,0,503,241,191,25 (46%),2 (14%),18,18,2,,15,5,4,16,5,,22,14,4,31,1,,55,38 (51%),17 (52%),14 (74%),,53,37 (49%),16 (48%),6 (38%),,4,1,,2,0
96925,2024-09-14T16:30:00.000Z,9864,Malaga,0,1,False,47,9,2,3,3,335 (83%),12,3,53,13,2,2,2,387 (85%),18,2,,6,1,0,5,4,,8,3,1,8,5,404,204,131,25 (46%),2 (13%),20,16,1,457,235,152,27 (52%),4 (25%),12,26,1,,16,9,3,20,2,,15,9,1,25,2,,55,39 (53%),16 (47%),6 (40%),,53,35 (47%),18 (53%),10 (50%),,3,0,,3,0
96925,2024-09-23T18:30:00.000Z,7869,Cordoba,4,1,True,31,9,5,3,0,136 (63%),9,3,69,16,4,0,0,380 (83%),7,7,,3,1,0,7,2,,6,6,0,9,7,216,54,82,25 (39%),3 (33%),19,11,4,460,169,211,35 (57%),8 (23%),30,31,4,,13,5,6,45,4,,9,5,1,11,1,,43,26 (47%),17 (44%),6 (50%),,51,29 (53%),22 (56%),11 (65%),,2,0,,2,1
96925,2024-09-28T14:15:00.000Z,4032,CD Mirandes,0,1,False,57,7,1,0,0,363 (82%),14,2,43,15,2,3,2,239 (74%),18,6,,4,2,0,4,3,,7,6,0,10,5,442,245,118,39 (53%),2 (13%),22,11,0,324,96,143,27 (47%),6 (30%),25,29,1,,12,7,6,22,1,,15,6,2,15,1,,54,35 (49%),19 (53%),6 (55%),,54,37 (51%),17 (47%),9 (64%),,6,0,,2,0
96925,2024-10-04T18:30:00.000Z,8385,Cadiz,3,1,True,35,6,5,5,2,193 (75%),19,2,65,10,4,3,2,397 (82%),11,4,,1,0,0,5,1,,6,0,0,7,3,258,114,79,33 (48%),1 (10%),15,12,2,483,219,178,27 (44%),5 (18%),23,20,1,,13,10,0,26,4,,15,7,0,10,2,,42,29 (42%),13 (52%),5 (33%),,52,40 (58%),12 (48%),9 (60%),,2,1,,5,0
96925,2024-10-13T12:00:00.000Z,8393,Albacete,2,2,True,63,9,2,1,0,397 (84%),13,6,37,5,2,1,0,194 (71%),12,5,,5,2,0,6,3,,2,1,0,1,4,474,233,164,20 (38%),4 (17%),23,17,1,273,99,95,29 (46%),3 (19%),23,9,3,,10,12,1,27,0,,17,6,2,19,0,,34,27 (44%),7 (32%),5 (38%),,49,34 (56%),15 (68%),5 (56%),,3,0,,5,0
96925,2024-10-20T14:15:00.000Z,8474,Racing de Ferrol,0,0,False,58,10,2,0,0,395 (88%),11,3,42,12,4,2,2,263 (81%),10,8,,7,1,0,8,2,,6,2,1,9,3,449,202,193,20 (61%),4 (18%),23,15,1,326,166,97,20 (42%),9 (43%),21,17,1,,8,5,2,18,4,,7,10,1,21,2,,31,20 (50%),11 (48%),3 (43%),,32,20 (50%),12 (52%),4 (67%),,2,0,,3,1
