spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
-2.25,2.02,1.91,1.18,7.5,13,2024-08-17T14:00:00.000Z,9825,8602,True,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.25,2.02,1.91,1.18,7.5,13,2024-08-17T14:00:00.000Z,9825,8602,True,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1.87,2.06,2.63,3.3,2.63,2024-08-17T14:00:00.000Z,10204,8668,False,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.25,1.87,2.06,1.36,5.25,8,2024-08-17T14:00:00.000Z,10261,8466,True,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.93,2,2.9,3.8,2.2,2024-08-25T13:00:00.000Z,8678,10261,True,1,1,1,1.0,0.25,3.0,1.0,22.0,1.0,14.0,0.0,1.77,19.0,4.0,78.0,3.0,48.0,3.0,0.333,1.0,0.0,0.0,1.0,1.22,13.0,4.0,47.0,3.0,23.0,1.0,1.3,14.0,8.0,53.0,1.0,29.0,1.0,0.077,0.25,0.071,0.125
0.5,1.99,1.94,4.33,4,1.75,2024-08-25T13:00:00.000Z,8455,8602,False,6,2,2,0.0,1.01,10.0,3.0,48.0,1.0,26.0,2.0,0.77,11.0,5.0,52.0,1.0,27.0,0.0,0.0,0.0,0.182,0.4,0.0,0.47,9.0,3.0,47.0,1.0,18.0,2.0,1.24,18.0,6.0,53.0,2.0,50.0,0.0,0.0,0.0,0.111,0.333
0.25,1.85,2.08,2.75,3.4,2.55,2024-08-31T14:00:00.000Z,8678,8668,False,3,2,2,1.0,1.74,14.5,4.0,43.0,2.5,25.0,1.0,1.495,14.0,6.5,57.0,2.5,30.5,1.0,0.069,0.25,0.071,0.154,0.0,0.725,9.5,1.0,34.0,0.0,21.0,3.5,1.93,11.5,6.0,66.0,4.0,31.0,0.0,0.0,0.0,0.304,0.583
0.5,1.99,1.94,4.5,4,1.7,2024-08-31T14:00:00.000Z,10252,8197,False,2,1,2,1.0,1.655,13.0,3.0,43.5,3.0,20.0,1.5,1.665,11.5,3.5,56.5,3.0,30.5,1.5,0.077,0.333,0.13,0.429,1.0,0.83,8.5,3.5,38.0,1.5,10.5,1.5,1.48,16.5,6.5,62.0,2.5,46.5,0.5,0.118,0.286,0.091,0.231
-0.75,2.08,1.85,1.75,3.9,4.33,2024-08-31T14:00:00.000Z,9937,8466,True,3,1,2,0.0,0.955,12.0,2.5,71.5,1.5,34.5,1.0,1.35,13.0,4.5,28.5,3.5,23.5,0.0,0.0,0.0,0.077,0.222,1.0,1.07,8.5,3.5,42.0,2.5,11.5,1.5,1.91,16.5,7.0,58.0,2.5,31.5,1.5,0.118,0.286,0.091,0.214
0.25,1.82,2.11,3,3.5,2.3,2024-08-31T14:00:00.000Z,9879,9902,False,1,1,1,1.0,1.11,14.0,4.0,49.5,1.5,26.5,1.0,1.52,12.0,4.5,50.5,2.5,16.0,1.5,0.071,0.25,0.083,0.222,0.5,0.37,4.0,1.5,31.5,0.5,11.5,3.0,2.995,16.0,5.0,68.5,5.5,49.5,0.0,0.125,0.333,0.188,0.6
