team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8344,2024-08-10T11:30:00.000Z,8472,Sunderland,0,2,True,64,1.02,12,4,2,2,508 (88%),10,4,36,1.80,11,4,2,1,250 (80%),8,4,,4,4,0,9,3,,4,3,0,10,1,0.91,0.12,1.02,1.26,0.75,1.04,1.80,2.50,575,296,212,18 (41%),6 (29%),19,22,1,313,143,107,20 (48%),6 (55%),19,21,3,,18,10,3,11,2,,16,11,4,13,4,,45,40 (54%),5 (42%),14 (70%),,41,34 (46%),7 (58%),8 (44%),,1,0,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8344,2024-08-17T14:00:00.000Z,8191,Burnley,0,5,False,52,0.62,11,4,1,1,446 (88%),6,5,48,0.81,9,4,1,0,431 (88%),19,2,,3,4,1,7,4,,4,1,0,3,6,0.48,0.13,0.62,0.14,0.77,0.05,0.81,1.56,509,293,153,27 (52%),4 (22%),25,18,4,489,332,99,18 (51%),2 (40%),12,9,0,,22,8,1,10,0,,15,10,3,18,4,,56,48 (62%),8 (50%),7 (54%),,38,30 (38%),8 (50%),9 (39%),,1,0,,2,0,0,0.0,2.0,64.0,1.02,12.0,4.0,2.0,36.0,1.8,11.0,4.0,2.0,22.0,21.0,0.0,0.0,0.0,0.182,0.5
8344,2024-08-25T14:00:00.000Z,10003,Swansea City,1,1,False,39,0.79,7,3,1,0,220 (73%),14,5,61,1.40,9,4,2,1,425 (84%),14,2,,3,1,0,5,2,,4,1,0,5,4,0.50,0.29,0.79,0.90,1.38,0.02,1.40,1.15,303,151,69,17 (33%),3 (14%),20,17,3,503,276,149,20 (44%),2 (18%),27,13,2,,21,7,1,17,3,,20,6,1,22,2,,53,37 (51%),16 (57%),3 (25%),,47,35 (49%),12 (43%),4 (29%),,2,0,,2,0,1,0.0,3.5,58.0,0.82,11.5,4.0,1.5,42.0,1.305,10.0,4.0,1.5,20.0,15.0,0.0,0.0,0.0,0.35,0.875
8344,2024-08-31T11:30:00.000Z,8549,Middlesbrough,0,2,True,52,0.50,12,3,0,0,374 (86%),13,4,48,0.81,10,5,0,0,346 (84%),10,5,,5,4,0,7,5,,4,1,0,6,4,0.35,0.15,0.50,0.41,0.49,0.32,0.81,1.15,435,209,165,18 (43%),5 (25%),27,18,7,412,187,159,16 (36%),4 (29%),19,25,2,,16,4,1,23,4,,23,11,5,29,2,,44,29 (38%),15 (71%),4 (31%),,54,48 (62%),6 (29%),13 (65%),,2,0,,1,0,0,0.333,2.667,51.667,0.81,10.0,3.667,1.333,48.333,1.337,9.667,4.0,1.667,19.0,14.333,0.333,0.033,0.091,0.276,0.667
8344,2024-09-14T14:00:00.000Z,10170,Derby County,0,1,False,64,0.34,9,3,0,0,385 (81%),10,6,36,1.49,12,3,3,2,180 (69%),12,7,,5,1,0,6,3,,4,5,0,8,4,0.19,0.15,0.34,0.56,1.32,0.17,1.49,1.38,476,176,209,30 (51%),3 (14%),27,13,0,262,110,70,20 (33%),5 (25%),23,15,2,,13,4,5,23,2,,16,11,1,20,5,,48,30 (52%),18 (46%),7 (47%),,49,28 (48%),21 (54%),2 (40%),,3,0,,2,0,0,0.25,2.5,51.75,0.733,10.5,3.5,1.0,48.25,1.205,9.75,4.25,1.25,18.75,17.0,0.25,0.024,0.071,0.256,0.588
8344,2024-09-21T14:00:00.000Z,8463,Leeds United,0,2,True,21,0.12,3,2,0,0,109 (53%),10,0,79,2.94,15,7,5,3,696 (89%),14,4,,1,0,0,1,2,,5,3,0,8,7,0.09,0.04,0.12,0.21,2.09,0.07,2.15,2.78,205,55,54,22 (31%),0 (0%),16,2,1,779,328,368,19 (48%),2 (17%),24,37,3,,17,9,3,20,5,,9,8,0,5,2,,50,31 (56%),19 (49%),2 (25%),,44,24 (44%),20 (51%),5 (38%),,2,1,,2,0,0,0.2,2.2,54.2,0.654,10.2,3.4,0.8,45.8,1.262,10.2,4.0,1.6,17.6,16.6,0.2,0.02,0.059,0.216,0.55
8344,2024-09-28T14:00:00.000Z,8667,Hull City,1,4,False,51,1.76,16,5,1,0,367 (82%),12,5,49,2.35,18,9,3,1,365 (83%),9,7,,6,5,0,12,4,,6,3,0,12,6,1.71,0.05,1.76,1.33,1.18,0.38,1.56,3.17,449,204,163,23 (48%),8 (47%),22,33,0,442,267,98,22 (49%),0 (0%),18,35,1,,19,6,3,14,5,,9,5,5,16,4,,53,38 (51%),15 (54%),10 (59%),,49,36 (49%),13 (46%),14 (58%),,4,0,,3,0,0,0.2,2.2,45.6,0.474,8.4,3.0,0.4,54.4,1.49,11.0,4.6,2.2,13.6,19.8,0.2,0.024,0.067,0.2,0.478
8344,2024-10-01T18:45:00.000Z,10004,Millwall,1,0,True,49,0.81,10,5,2,2,236 (74%),14,5,51,1.27,11,5,1,1,236 (71%),12,6,,4,1,0,8,2,,4,2,0,8,3,0.51,0.30,0.81,1.03,0.71,0.56,1.27,1.00,320,112,124,18 (37%),3 (20%),26,13,0,333,132,104,29 (44%),4 (22%),25,21,1,,13,7,3,30,4,,23,7,1,14,4,,55,33 (42%),22 (55%),9 (43%),,63,45 (58%),18 (45%),8 (53%),,1,0,,3,0,3,0.4,2.0,45.4,0.702,9.4,3.2,0.4,54.6,1.798,12.8,5.6,2.6,16.6,25.0,0.2,0.043,0.125,0.156,0.357
8344,2024-10-06T14:00:00.000Z,8427,Bristol City,1,1,False,40,1.34,15,2,3,3,273 (78%),12,6,60,1.01,16,2,1,0,419 (82%),8,4,,6,7,1,8,7,,8,6,1,12,4,1.27,0.07,1.34,1.25,0.83,0.19,1.01,0.26,350,169,104,25 (45%),2 (14%),20,17,1,510,220,199,23 (38%),7 (29%),22,23,2,,11,12,6,26,1,,18,14,7,19,1,,40,30 (46%),10 (42%),12 (46%),,49,35 (54%),14 (58%),5 (56%),,1,0,,2,0,1,0.4,1.8,47.4,0.706,10.0,3.6,0.6,52.6,1.772,13.2,5.8,2.4,15.8,26.6,0.6,0.04,0.111,0.136,0.31
8344,2024-10-19T11:30:00.000Z,8401,Plymouth Argyle,5,0,True,55,2.48,25,11,1,0,474 (91%),15,9,45,0.47,6,2,1,1,375 (86%),10,1,,6,8,0,18,7,,4,0,1,4,2,2.14,0.34,2.48,4.56,0.26,0.21,0.47,0.08,523,312,162,33 (73%),7 (30%),12,43,5,437,265,110,10 (27%),1 (14%),14,9,0,,16,12,0,7,2,,13,6,5,16,6,,40,33 (51%),7 (78%),7 (78%),,34,32 (49%),2 (22%),4 (31%),,3,0,,1,1,3,0.6,1.6,45.0,0.874,10.6,3.4,1.2,55.0,1.812,14.4,5.2,2.6,15.6,26.2,0.8,0.057,0.176,0.111,0.308
